Month,"Coal, Net Summer Capacity ","Petroleum, Net Summer Capacity","Natural Gas, Net Summer Capacity ","Fossil Fuels, Net Summer Capacity","Nuclear Electric Power, Net Summer Capacity","Hydroelectric Pumped Storage, Net Summer Capacity","Conventional Hydroelectric Power, Net Summer Capacity","Wood, Net Summer Capacity","Waste, Net Summer Capacity","Geothermal, Net Summer Capacity","Solar, Net Summer Capacity ","Wind, Net Summer Capacity","Renewable Energy, Net Summer Capacity ","Battery Storage, Net Summer Capacity","Total Electric, Net Summer Capacity"
1986-03-01,Not Available,Not Available,Not Available,Not Available,80.604,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-04-01,Not Available,Not Available,Not Available,Not Available,81.863,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-05-01,Not Available,Not Available,Not Available,Not Available,82.995,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-06-01,Not Available,Not Available,Not Available,Not Available,82.995,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-07-01,Not Available,Not Available,Not Available,Not Available,84.048,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-08-01,Not Available,Not Available,Not Available,Not Available,84.048,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-09-01,Not Available,Not Available,Not Available,Not Available,84.048,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-10-01,Not Available,Not Available,Not Available,Not Available,84.048,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-11-01,Not Available,Not Available,Not Available,Not Available,85.241,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-12-01,Not Available,Not Available,Not Available,488.338,85.241,Not Available,89.3,0.193,0.151,1.558,Not Available,0.019,91.221,Not Available,664.8
1987-01-01,Not Available,Not Available,Not Available,Not Available,87.248,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-02-01,Not Available,Not Available,Not Available,Not Available,87.248,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-03-01,Not Available,Not Available,Not Available,Not Available,88.446,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-04-01,Not Available,Not Available,Not Available,Not Available,89.33,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-05-01,Not Available,Not Available,Not Available,Not Available,89.33,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-06-01,Not Available,Not Available,Not Available,Not Available,89.33,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-07-01,Not Available,Not Available,Not Available,Not Available,91.488,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-08-01,Not Available,Not Available,Not Available,Not Available,92.324,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-09-01,Not Available,Not Available,Not Available,Not Available,92.324,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-10-01,Not Available,Not Available,Not Available,Not Available,92.324,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-11-01,Not Available,Not Available,Not Available,Not Available,93.583,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-12-01,Not Available,Not Available,Not Available,488.842,93.583,Not Available,89.7,0.201,0.2,1.549,Not Available,0.025,91.675,Not Available,674.1
1988-01-01,Not Available,Not Available,Not Available,Not Available,93.583,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-02-01,Not Available,Not Available,Not Available,Not Available,92.743,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-03-01,Not Available,Not Available,Not Available,Not Available,93.982,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-04-01,Not Available,Not Available,Not Available,Not Available,93.982,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-05-01,Not Available,Not Available,Not Available,Not Available,95.089,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-06-01,Not Available,Not Available,Not Available,Not Available,95.089,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-07-01,Not Available,Not Available,Not Available,Not Available,94.695,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-08-01,Not Available,Not Available,Not Available,Not Available,94.695,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-09-01,Not Available,Not Available,Not Available,Not Available,94.695,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-10-01,Not Available,Not Available,Not Available,Not Available,94.695,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-11-01,Not Available,Not Available,Not Available,Not Available,94.695,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-12-01,Not Available,Not Available,Not Available,490.61,94.695,Not Available,90.3,0.221,0.2,1.667,Not Available,0.007,92.395,Not Available,677.7
1989-01-01,Not Available,Not Available,Not Available,Not Available,94.695,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-02-01,Not Available,Not Available,Not Available,Not Available,94.695,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-03-01,Not Available,Not Available,Not Available,Not Available,97.031,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-04-01,Not Available,Not Available,Not Available,Not Available,97.031,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-05-01,Not Available,Not Available,Not Available,Not Available,97.031,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-06-01,Not Available,Not Available,Not Available,Not Available,97.031,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-07-01,Not Available,Not Available,Not Available,Not Available,97.323,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-08-01,Not Available,Not Available,Not Available,Not Available,98.161,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-09-01,Not Available,Not Available,Not Available,Not Available,98.161,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-10-01,Not Available,Not Available,Not Available,Not Available,98.161,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-11-01,Not Available,Not Available,Not Available,Not Available,98.161,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-12-01,303.108,79.061,135.678,519.392,98.161,18.094,74.111,5.222,2.051,2.577,0.19,1.528,85.679,Not Available,721.797
1990-01-01,Not Available,Not Available,Not Available,Not Available,98.161,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1990-02-01,Not Available,Not Available,Not Available,Not Available,98.161,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1990-03-01,Not Available,Not Available,Not Available,Not Available,99.311,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1990-04-01,Not Available,Not Available,Not Available,Not Available,100.461,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1990-05-01,Not Available,Not Available,Not Available,Not Available,100.461,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1990-06-01,Not Available,Not Available,Not Available,Not Available,100.461,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1990-07-01,Not Available,Not Available,Not Available,Not Available,100.497,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1990-08-01,Not Available,Not Available,Not Available,Not Available,100.497,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1990-09-01,Not Available,Not Available,Not Available,Not Available,99.624,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1990-10-01,Not Available,Not Available,Not Available,Not Available,99.624,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1990-11-01,Not Available,Not Available,Not Available,Not Available,99.624,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1990-12-01,307.361,77.921,140.849,527.772,99.624,19.462,73.923,5.549,2.511,2.666,0.314,1.799,86.763,Not Available,734.122
1991-01-01,Not Available,Not Available,Not Available,Not Available,99.624,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1991-02-01,Not Available,Not Available,Not Available,Not Available,99.624,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1991-03-01,Not Available,Not Available,Not Available,Not Available,99.624,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1991-04-01,Not Available,Not Available,Not Available,Not Available,99.624,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1991-05-01,Not Available,Not Available,Not Available,Not Available,99.624,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1991-06-01,Not Available,Not Available,Not Available,Not Available,99.624,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1991-07-01,Not Available,Not Available,Not Available,Not Available,99.589,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1991-08-01,Not Available,Not Available,Not Available,Not Available,99.589,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1991-09-01,Not Available,Not Available,Not Available,Not Available,99.589,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1991-10-01,Not Available,Not Available,Not Available,Not Available,99.589,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1991-11-01,Not Available,Not Available,Not Available,Not Available,99.589,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1991-12-01,307.438,74.248,147.61,531.398,99.589,18.414,76.036,6.137,2.928,2.622,0.323,1.885,89.931,Not Available,739.87
1992-01-01,Not Available,Not Available,Not Available,Not Available,99.589,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1992-02-01,Not Available,Not Available,Not Available,Not Available,99.421,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1992-03-01,Not Available,Not Available,Not Available,Not Available,99.421,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1992-04-01,Not Available,Not Available,Not Available,Not Available,99.421,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1992-05-01,Not Available,Not Available,Not Available,Not Available,99.421,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1992-06-01,Not Available,Not Available,Not Available,Not Available,99.421,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1992-07-01,Not Available,Not Available,Not Available,Not Available,99.421,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1992-08-01,Not Available,Not Available,Not Available,Not Available,99.421,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1992-09-01,Not Available,Not Available,Not Available,Not Available,99.421,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1992-10-01,Not Available,Not Available,Not Available,Not Available,99.421,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1992-11-01,Not Available,Not Available,Not Available,Not Available,99.421,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1992-12-01,309.372,73.114,152.177,536.733,98.985,21.19,74.773,6.213,3.03,2.877,0.339,1.823,89.053,Not Available,746.507
1993-01-01,Not Available,Not Available,Not Available,Not Available,97.881,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1993-02-01,Not Available,Not Available,Not Available,Not Available,97.881,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1993-03-01,Not Available,Not Available,Not Available,Not Available,97.881,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1993-04-01,Not Available,Not Available,Not Available,Not Available,99.031,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1993-05-01,Not Available,Not Available,Not Available,Not Available,99.031,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1993-06-01,Not Available,Not Available,Not Available,Not Available,99.031,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1993-07-01,Not Available,Not Available,Not Available,Not Available,99.031,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1993-08-01,Not Available,Not Available,Not Available,Not Available,99.031,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1993-09-01,Not Available,Not Available,Not Available,Not Available,99.031,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1993-10-01,Not Available,Not Available,Not Available,Not Available,99.094,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1993-11-01,Not Available,Not Available,Not Available,Not Available,99.094,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1993-12-01,310.148,71.102,158.598,541.779,99.041,21.146,77.41,6.453,3.122,2.945,0.34,1.796,92.066,Not Available,754.582
1994-01-01,Not Available,Not Available,Not Available,Not Available,99.041,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1994-02-01,Not Available,Not Available,Not Available,Not Available,99.041,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1994-03-01,Not Available,Not Available,Not Available,Not Available,99.041,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1994-04-01,Not Available,Not Available,Not Available,Not Available,99.041,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1994-05-01,Not Available,Not Available,Not Available,Not Available,99.041,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1994-06-01,Not Available,Not Available,Not Available,Not Available,99.041,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1994-07-01,Not Available,Not Available,Not Available,Not Available,99.041,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1994-08-01,Not Available,Not Available,Not Available,Not Available,99.041,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1994-09-01,Not Available,Not Available,Not Available,Not Available,99.041,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1994-10-01,Not Available,Not Available,Not Available,Not Available,99.041,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1994-11-01,Not Available,Not Available,Not Available,Not Available,99.041,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1994-12-01,311.415,71.71,164.78,549.998,99.148,21.208,78.041,6.683,3.288,2.972,0.333,1.745,93.062,Not Available,763.967
1995-01-01,Not Available,Not Available,Not Available,Not Available,99.148,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1995-02-01,Not Available,Not Available,Not Available,Not Available,99.148,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1995-03-01,Not Available,Not Available,Not Available,Not Available,99.148,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1995-04-01,Not Available,Not Available,Not Available,Not Available,99.148,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1995-05-01,Not Available,Not Available,Not Available,Not Available,99.148,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1995-06-01,Not Available,Not Available,Not Available,Not Available,99.148,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1995-07-01,Not Available,Not Available,Not Available,Not Available,99.515,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1995-08-01,Not Available,Not Available,Not Available,Not Available,99.515,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1995-09-01,Not Available,Not Available,Not Available,Not Available,99.515,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1995-10-01,Not Available,Not Available,Not Available,Not Available,99.515,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1995-11-01,Not Available,Not Available,Not Available,Not Available,99.515,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1995-12-01,311.386,66.622,174.482,554.15,99.515,21.387,78.562,6.75,3.519,2.968,0.333,1.731,93.862,Not Available,769.463
1996-01-01,Not Available,Not Available,Not Available,Not Available,99.515,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1996-02-01,Not Available,Not Available,Not Available,Not Available,100.908,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1996-03-01,Not Available,Not Available,Not Available,Not Available,100.908,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1996-04-01,Not Available,Not Available,Not Available,Not Available,100.908,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1996-05-01,Not Available,Not Available,Not Available,Not Available,100.908,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1996-06-01,Not Available,Not Available,Not Available,Not Available,100.908,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1996-07-01,Not Available,Not Available,Not Available,Not Available,100.908,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1996-08-01,Not Available,Not Available,Not Available,Not Available,100.908,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1996-09-01,Not Available,Not Available,Not Available,Not Available,100.908,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1996-10-01,Not Available,Not Available,Not Available,Not Available,100.908,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
