Month,Refiner Price of Finished Motor Gasoline to End Users,Refiner Price of Finished Aviation Gasoline to End Users,Refiner Price of Kerosene-Type Jet Fuel to End Users,Refiner Price of Kerosene to End Users,Refiner Price of No. 2 Fuel Oil to End Users,Refiner Price of No. 2 Diesel Fuel to End Users,Refiner Price of Propane (Consumer Grade) to End Users
2018-10-01,2.441,Withheld,2.349,Withheld,2.696,2.5,0.988
2018-11-01,2.205,Withheld,2.162,Withheld,2.431,2.282,0.876
2018-12-01,1.973,Withheld,1.852,Withheld,2.222,1.981,0.794
2019-01-01,1.854,Withheld,1.827,Withheld,2.195,1.96,0.756
2019-02-01,1.949,Withheld,1.956,Withheld,2.367,2.08,0.784
2019-03-01,2.137,Withheld,2.005,Withheld,2.376,2.158,0.761
2019-04-01,2.487,Withheld,2.063,Withheld,2.461,2.259,0.686
2019-05-01,2.52,Withheld,2.141,Withheld,2.389,2.272,0.599
2019-06-01,2.366,Withheld,1.907,3.312,2.156,2.078,0.464
2019-07-01,2.375,Withheld,1.973,3.26,2.206,2.1,0.487
2019-08-01,2.252,Withheld,1.901,Withheld,2.155,2.037,0.461
2019-09-01,2.242,Withheld,1.937,3.203,2.2,2.101,0.473
2019-10-01,2.289,Withheld,1.965,Withheld,2.174,2.134,0.516
2019-11-01,2.229,Withheld,1.979,Withheld,2.321,2.126,0.635
2019-12-01,2.182,Withheld,1.979,Withheld,2.361,2.072,0.601
2020-01-01,2.15,Withheld,1.958,Withheld,2.328,2.002,0.502
2020-02-01,2.06,Withheld,1.667,Withheld,2.113,1.835,0.469
2020-03-01,1.862,Withheld,1.257,Withheld,1.813,1.486,0.378
2020-04-01,1.49,Withheld,0.74,Withheld,1.22,1.137,0.368
2020-05-01,1.598,Withheld,0.728,Withheld,1.162,1.13,0.421
2020-06-01,1.768,Withheld,1.046,3.321,1.338,1.354,0.515
2020-07-01,1.806,2.761,1.175,3.059,1.394,1.431,0.518
2020-08-01,1.814,2.805,1.188,3.163,1.464,1.456,0.541
2020-09-01,1.804,2.613,1.11,Withheld,1.411,1.386,0.508
2020-10-01,1.773,2.495,1.134,Withheld,1.36,1.4,0.548
2020-11-01,1.736,2.485,1.216,Withheld,1.76,1.482,0.577
2020-12-01,1.828,2.674,1.395,Withheld,2.004,1.624,0.697
2021-01-01,1.986,2.829,1.485,Withheld,2.103,1.713,0.908
2021-02-01,2.201,3.148,1.642,Withheld,2.173,1.933,0.972
2021-03-01,2.442,3.364,1.763,Withheld,2.323,2.111,0.964
2021-04-01,2.493,3.363,1.724,Withheld,2.185,2.09,0.851
2021-05-01,2.683,3.447,1.822,Withheld,2.291,2.177,0.833
2021-06-01,3.0,3.492,1.906,Withheld,2.341,2.228,0.966
2021-07-01,3.105,Withheld,1.981,2.86,2.505,2.282,1.096
2021-08-01,3.146,Withheld,1.965,Withheld,2.395,2.266,1.122
2021-09-01,3.143,Withheld,2.032,2.817,2.387,2.323,1.296
2021-10-01,3.201,3.783,2.303,3.425,2.678,2.561,1.459
2021-11-01,3.318,3.778,2.309,3.799,2.651,2.542,1.292
2021-12-01,3.283,Withheld,2.168,3.279,2.76,2.374,1.098
2022-01-01,3.145,3.689,2.451,3.822,3.169,2.648,1.225
2022-02-01,3.313,Withheld,2.653,4.042,3.269,2.9,1.365
2022-03-01,3.991,4.581,3.326,4.689,3.924,3.689,1.442
