Month,Coal Consumed by the Residential Sector,Natural Gas Consumed by the Residential Sector (Excluding Supplemental Gaseous Fuels),Petroleum Consumed by the Residential Sector,Total Fossil Fuels Consumed by the Residential Sector,Geothermal Energy Consumed by the Residential Sector,Solar Energy Consumed by the Residential Sector,Biomass Energy Consumed by the Residential Sector,Total Renewable Energy Consumed by the Residential Sector,Total Primary Energy Consumed by the Residential Sector,Electricity Sales to Ultimate Customers in the Residential Sector,End-Use Energy Consumed by the Residential Sector,Electricity System Energy Losses Proportioned to the Residential Sector,Total Energy Consumed by the Residential Sector
1999-07-01,1.166,129.454,73.307,203.928,0.722,6.235,33.123,40.08,244.008,420.104,664.112,941.473,1605.585
1999-08-01,0.943,118.886,78.557,198.386,0.722,6.17,33.123,40.015,238.401,422.951,661.352,917.864,1579.215
1999-09-01,0.687,137.913,80.19,218.79,0.699,5.627,32.055,38.381,257.171,355.034,612.205,673.793,1285.999
1999-10-01,0.873,238.767,110.463,350.102,0.722,5.129,33.123,38.974,389.076,281.849,670.925,556.241,1227.165
1999-11-01,1.216,379.974,131.57,512.76,0.699,4.207,32.055,36.96,549.721,267.12,816.84,529.416,1346.256
1999-12-01,2.105,674.949,178.42,855.475,0.722,3.993,33.123,37.839,893.314,324.698,1218.011,653.22,1871.232
2000-01-01,1.466,881.954,204.029,1087.449,0.728,3.112,35.574,39.414,1126.863,373.587,1500.45,806.762,2307.212
2000-02-01,1.093,792.41,171.01,964.513,0.681,3.354,33.279,37.315,1001.827,335.897,1337.724,670.476,2008.2
2000-03-01,0.848,562.305,145.409,708.562,0.728,4.622,35.574,40.924,749.486,288.809,1038.295,617.389,1655.684
2000-04-01,0.967,409.652,114.231,524.851,0.705,5.094,34.426,40.225,565.076,260.091,825.167,542.871,1368.038
2000-05-01,0.648,233.428,92.076,326.152,0.728,5.623,35.574,41.926,368.078,284.446,652.524,654.836,1307.36
2000-06-01,0.656,157.568,76.63,234.853,0.705,5.674,34.426,40.805,275.658,354.768,630.426,764.597,1395.023
2000-07-01,0.792,131.05,74.225,206.067,0.728,5.957,35.574,42.259,248.326,407.65,655.975,882.615,1538.59
2000-08-01,0.81,125.024,91.806,217.64,0.728,5.895,35.574,42.197,259.837,422.301,682.138,912.21,1594.348
2000-09-01,0.67,143.774,92.47,236.914,0.705,5.376,34.426,40.508,277.421,370.36,647.782,699.202,1346.983
2000-10-01,0.531,240.727,116.051,357.31,0.728,4.9,35.574,41.202,398.512,296.27,694.781,581.306,1276.087
2000-11-01,1.101,492.895,152.742,646.738,0.705,4.019,34.426,39.151,685.889,288.369,974.258,582.863,1557.121
2000-12-01,1.775,934.509,223.374,1159.658,0.728,3.815,35.574,40.118,1199.776,386.079,1585.855,790.16,2376.015
2001-01-01,1.425,1001.487,221.517,1224.429,0.803,2.971,31.425,35.198,1259.628,433.597,1693.225,857.428,2550.652
2001-02-01,1.131,800.385,177.774,979.29,0.725,3.203,28.384,32.311,1011.601,340.776,1352.377,645.691,1998.068
2001-03-01,1.035,698.968,173.465,873.469,0.803,4.413,31.425,36.64,910.109,316.689,1226.797,659.545,1886.343
2001-04-01,1.026,410.748,120.908,532.682,0.777,4.864,30.411,36.051,568.733,281.279,850.013,569.031,1419.044
2001-05-01,0.644,214.433,89.749,304.827,0.803,5.369,31.425,37.597,342.423,278.95,621.373,605.271,1226.644
2001-06-01,0.724,150.446,81.449,232.619,0.777,5.418,30.411,36.605,269.225,339.187,608.411,731.521,1339.932
2001-07-01,0.887,126.712,84.801,212.401,0.803,5.687,31.425,37.915,250.316,411.812,662.127,903.733,1565.86
2001-08-01,0.901,119.814,84.442,205.156,0.803,5.628,31.425,37.856,243.012,440.796,683.807,946.243,1630.05
2001-09-01,0.606,130.529,81.781,212.916,0.777,5.133,30.411,36.321,249.237,361.523,610.76,694.457,1305.218
2001-10-01,0.78,243.195,109.76,353.735,0.803,4.679,31.425,36.906,390.64,291.469,682.109,601.572,1283.681
2001-11-01,1.046,369.34,129.915,500.301,0.777,3.838,30.411,35.025,535.326,275.684,811.01,570.58,1381.59
2001-12-01,1.766,624.022,173.28,799.068,0.803,3.643,31.425,35.87,834.938,328.121,1163.059,708.779,1871.839
2002-01-01,1.363,833.406,187.962,1022.731,0.867,2.867,32.274,36.007,1058.738,398.835,1457.573,800.156,2257.729
2002-02-01,1.188,728.738,159.932,889.859,0.783,3.09,29.151,33.024,922.882,329.575,1252.457,629.501,1881.958
2002-03-01,1.123,674.842,153.239,829.204,0.867,4.258,32.274,37.398,866.603,325.227,1191.83,674.48,1866.31
2002-04-01,0.996,424.412,102.0,527.408,0.839,4.692,31.233,36.764,564.172,291.411,855.583,593.471,1449.053
2002-05-01,0.757,260.608,93.633,354.999,0.867,5.18,32.274,38.321,393.32,297.931,691.251,621.627,1312.878
2002-06-01,0.696,163.458,74.87,239.024,0.839,5.227,31.233,37.299,276.323,365.664,641.987,779.249,1421.236
2002-07-01,0.968,127.703,75.146,203.817,0.867,5.487,32.274,38.628,242.445,456.167,698.612,970.902,1669.514
2002-08-01,0.862,118.14,77.374,196.376,0.867,5.43,32.274,38.571,234.947,458.342,693.289,952.22,1645.509
2002-09-01,0.619,126.551,80.855,208.024,0.839,4.953,31.233,37.024,245.049,395.222,640.271,775.783,1416.054
2002-10-01,0.818,255.802,117.053,373.673,0.867,4.514,32.274,37.654,411.328,322.541,733.869,640.885,1374.754
2002-11-01,1.231,493.51,142.269,637.009,0.839,3.703,31.233,35.774,672.783,303.062,975.845,633.705,1609.551
2002-12-01,1.626,788.589,192.4,982.615,0.867,3.515,32.274,36.655,1019.27,372.817,1392.087,786.138,2178.225
2003-01-01,1.497,971.054,226.471,1199.023,1.104,2.783,33.973,37.86,1236.883,424.019,1660.901,878.172,2539.074
2003-02-01,1.255,907.632,185.825,1094.712,0.997,3,30.685,34.682,1129.394,378.518,1507.913,717.252,2225.165
2003-03-01,0.922,692.282,160.233,853.437,1.104,4.134,33.973,39.21,892.648,339.703,1232.351,675.241,1907.592
2003-04-01,1.048,425.292,118.603,544.942,1.068,4.556,32.877,38.501,583.443,284.725,868.169,564.247,1432.416
2003-05-01,0.747,253.809,97.789,352.345,1.104,5.03,33.973,40.106,392.451,299.589,692.04,618.856,1310.895
2003-06-01,0.655,161.392,81.89,243.937,1.068,5.075,32.877,39.02,282.957,345.587,628.544,712.949,1341.492
2003-07-01,0.931,129.78,81.146,211.857,1.104,5.327,33.973,40.404,252.261,445.859,698.12,920.628,1618.748
2003-08-01,0.925,118.726,79.261,198.913,1.104,5.272,33.973,40.349,239.262,458.804,698.066,946.076,1644.141
2003-09-01,0.593,131.847,95.033,227.473,1.068,4.809,32.877,38.754,266.227,388.453,654.68,733.836,1388.515
2003-10-01,0.728,237.387,114.602,352.717,1.104,4.382,33.973,39.459,392.176,306.332,698.508,615.493,1314.001
2003-11-01,1.155,423.989,125.551,550.695,1.068,3.595,32.877,37.54,588.235,295.679,883.914,619.148,1503.062
2003-12-01,1.791,757.613,180.166,939.57,1.104,3.412,33.973,38.489,978.059,385.842,1363.902,800.902,2164.804
2004-01-01,1.467,985.415,214.279,1201.161,1.186,2.741,34.727,38.654,1239.815,433.738,1673.553,891.124,2564.677
2004-02-01,1.18,877.477,179.759,1058.417,1.109,2.955,32.486,36.55,1094.967,383.727,1478.695,754.26,2232.955
2004-03-01,0.782,604.994,144.953,750.729,1.186,4.071,34.727,39.984,790.713,337.608,1128.321,664.318,1792.639
2004-04-01,0.952,388.241,116.372,505.565,1.148,4.487,33.607,39.241,544.806,291.306,836.112,570.208,1406.319
2004-05-01,0.68,218.291,87.282,306.252,1.186,4.953,34.727,40.866,347.118,309.121,656.239,667.381,1323.62
2004-06-01,0.655,148.494,82.201,231.351,1.148,4.998,33.607,39.752,271.103,383.287,654.39,776.86,1431.25
2004-07-01,0.895,127.908,79.161,207.963,1.186,5.247,34.727,41.159,249.123,441.19,690.312,919.022,1609.334
2004-08-01,0.767,122.503,84.957,208.227,1.186,5.192,34.727,41.105,249.331,431.356,680.688,884.96,1565.648
2004-09-01,0.625,127.677,82.402,210.704,1.148,4.736,33.607,39.49,250.193,383.296,633.49,757.397,1390.887
2004-10-01,0.663,221.147,108.561,330.37,1.186,4.316,34.727,40.229,370.599,318.907,689.506,646.666,1336.172
2004-11-01,1.071,416.323,133.987,551.381,1.148,3.54,33.607,38.294,589.676,305.885,895.561,629.233,1524.794
2004-12-01,1.697,742.7,205.936,950.333,1.186,3.361,34.727,39.273,989.607,388.819,1378.426,816.429,2194.855
2005-01-01,1.002,915.792,192.896,1109.69,1.35,2.674,36.521,40.545,1150.235,427.482,1577.718,872.142,2449.86
2005-02-01,0.779,778.465,160.818,940.061,1.22,2.883,32.986,37.089,977.15,363.948,1341.097,692.621,2033.718
2005-03-01,0.749,694.927,155.846,851.522,1.35,3.972,36.521,41.843,893.365,355.07,1248.436,704.487,1952.923
2005-04-01,0.641,393.663,106.239,500.542,1.307,4.378,35.342,41.027,541.57,295.988,837.558,571.172,1408.73
2005-05-01,0.508,253.694,95.387,349.588,1.35,4.833,36.521,42.704,392.293,298.155,690.447,623.195,1313.642
2005-06-01,0.539,155.682,85.64,241.861,1.307,4.877,35.342,41.526,283.387,397.933,681.32,820.888,1502.207
2005-07-01,0.641,125.273,81.229,207.142,1.35,5.119,36.521,42.99,250.133,492.953,743.086,1025.791,1768.877
2005-08-01,0.61,115.34,86.047,201.996,1.35,5.066,36.521,42.937,244.934,501.239,746.173,1029.437,1775.609
2005-09-01,0.436,121.06,80.579,202.076,1.307,4.621,35.342,41.27,243.346,431.671,675.017,825.839,1500.857
2005-10-01,0.482,206.876,104.711,312.069,1.35,4.211,36.521,42.082,354.151,350.364,704.515,675.788,1380.304
2005-11-01,0.749,396.387,122.978,520.114,1.307,3.454,35.342,40.104,560.217,312.835,873.052,639.606,1512.658
2005-12-01,1.299,790.661,178.113,970.073,1.35,3.279,36.521,41.15,1011.223,410.045,1421.268,864.667,2285.935
2006-01-01,0.682,731.646,151.687,884.014,1.554,2.782,32.274,36.61,920.624,410.869,1331.493,783.261,2114.754
2006-02-01,0.619,719.882,159.748,880.25,1.404,2.999,29.151,33.553,913.803,356.592,1270.395,686.619,1957.013
2006-03-01,0.621,641.487,143.236,785.344,1.554,4.132,32.274,37.96,823.304,358.107,1181.411,692.055,1873.466
2006-04-01,0.409,364.287,95.157,459.853,1.504,4.554,31.233,37.291,497.144,304.944,802.088,585.3,1387.388
2006-05-01,0.425,208.609,80.752,289.786,1.554,5.027,32.274,38.855,328.641,320.728,649.369,652.707,1302.075
2006-06-01,0.448,144.522,65.398,210.368,1.504,5.072,31.233,37.809,248.178,405.398,653.575,815.519,1469.094
2006-07-01,0.45,118.424,63.561,182.434,1.554,5.325,32.274,39.153,221.588,502.718,724.306,1037.656,1761.962
2006-08-01,0.45,111.091,64.637,176.178,1.554,5.27,32.274,39.098,215.276,512.02,727.296,1028.895,1756.191
2006-09-01,0.382,127.892,70.576,198.849,1.504,4.806,31.233,37.543,236.392,396.038,632.431,733.151,1365.582
2006-10-01,0.547,246.223,88.657,335.427,1.554,4.38,32.274,38.209,373.635,328.392,702.027,651.423,1353.45
2006-11-01,0.64,423.51,102.578,526.727,1.504,3.593,31.233,36.33,563.057,323.604,886.661,652.277,1538.938
2006-12-01,0.735,638.99,135.868,775.593,1.554,3.411,32.274,37.239,812.832,391.976,1204.808,803.227,2008.034
2007-01-01,0.815,822.543,158.471,981.829,1.868,2.895,35.671,40.434,1022.264,427.477,1449.74,871.461,2321.201
2007-02-01,0.791,921.641,163.265,1085.697,1.688,3.12,32.219,37.027,1122.724,414.436,1537.16,793.644,2330.804
2007-03-01,0.728,631.266,136.277,768.271,1.868,4.299,35.671,41.839,810.11,360.631,1170.741,697.112,1867.852
2007-04-01,0.533,417.448,90.159,508.14,1.808,4.738,34.521,41.067,549.207,308.042,857.249,597.222,1454.471
2007-05-01,0.522,220.934,59.225,280.681,1.868,5.231,35.671,42.771,323.451,328.879,652.33,662.713,1315.043
2007-06-01,0.501,140.352,56.54,197.394,1.808,5.278,34.521,41.607,239.001,400.629,639.629,815.686,1455.316
2007-07-01,0.513,120.384,54.922,175.819,1.868,5.541,35.671,43.08,218.899,474.36,693.26,967.148,1660.407
2007-08-01,0.549,114.68,62.402,177.632,1.868,5.483,35.671,43.023,220.655,512.146,732.801,1067.734,1800.535
2007-09-01,0.494,119.134,66.646,186.274,1.808,5.001,34.521,41.33,227.603,441.895,669.499,828.9,1498.398
2007-10-01,0.671,178.341,84.76,263.772,1.868,4.558,35.671,42.098,305.87,354.008,659.878,687.303,1347.181
2007-11-01,0.799,414.967,128.411,544.176,1.808,3.739,34.521,40.068,584.243,327.227,911.471,651.691,1563.161
2007-12-01,0.865,734.806,188.091,923.762,1.868,3.549,35.671,41.089,964.85,400.596,1365.446,837.821,2203.267
2008-01-01,Not Available,905.691,194.318,1100.009,2.236,3.026,39.809,45.071,1145.079,455.053,1600.132,905.109,2505.242
2008-02-01,Not Available,838.635,178.324,1016.959,2.092,3.262,37.24,42.594,1059.553,404.505,1464.058,761.18,2225.238
2008-03-01,Not Available,672.317,145.2,817.517,2.236,4.494,39.809,46.539,864.056,365.638,1229.694,710.576,1940.269
2008-04-01,Not Available,397.749,99.961,497.71,2.164,4.953,38.525,45.641,543.351,314.47,857.821,603.294,1461.115
2008-05-01,Not Available,235.586,74.657,310.244,2.236,5.468,39.809,47.513,357.756,314.742,672.498,630.146,1302.644
2008-06-01,Not Available,147.693,63.949,211.642,2.164,5.517,38.525,46.206,257.847,414.134,671.982,839.862,1511.844
2008-07-01,Not Available,121.195,60.853,182.048,2.236,5.792,39.809,47.837,229.884,488.527,718.411,985.638,1704.049
2008-08-01,Not Available,113.899,57.501,171.4,2.236,5.732,39.809,47.776,219.176,472.425,691.602,945.658,1637.259
2008-09-01,Not Available,120.878,62.936,183.815,2.164,5.228,38.525,45.916,229.731,399.471,629.201,749.276,1378.478
2008-10-01,Not Available,223.184,88.01,311.194,2.236,4.764,39.809,46.809,358.003,327.929,685.932,639.486,1325.418
2008-11-01,Not Available,443.753,118.736,562.49,2.164,3.908,38.525,44.597,607.086,326.755,933.841,662.002,1595.843
2008-12-01,Not Available,790.83,180.065,970.895,2.236,3.71,39.809,45.755,1016.65,427.167,1443.817,867.662,2311.479
2009-01-01,Not Available,969.274,175.563,1144.838,2.786,3.055,42.805,48.647,1193.484,464.813,1658.297,912.466,2570.763
2009-02-01,Not Available,773.405,139.928,913.334,2.516,3.294,38.663,44.473,957.807,393.104,1350.911,711.236,2062.147
2009-03-01,Not Available,613.591,126.968,740.559,2.786,4.538,42.805,50.129,790.688,363.383,1154.071,686.04,1840.111
2009-04-01,Not Available,398.744,92.071,490.816,2.696,5.002,41.425,49.122,539.938,312.646,852.583,576.724,1429.307
2009-05-01,Not Available,205.634,62.474,268.108,2.786,5.521,42.805,51.113,319.22,321.793,641.014,632.874,1273.888
2009-06-01,Not Available,144.082,51.637,195.718,2.696,5.571,41.425,49.692,245.41,390.316,635.727,781.528,1417.254
2009-07-01,Not Available,121.143,53.544,174.687,2.786,5.849,42.805,51.44,226.127,469.143,695.27,910.297,1605.567
2009-08-01,Not Available,113.863,55.637,169.5,2.786,5.788,42.805,51.379,220.879,471.616,692.495,925.581,1618.076
2009-09-01,Not Available,122.223,63.952,186.175,2.696,5.279,41.425,49.399,235.574,392.937,628.512,712.767,1341.279
2009-10-01,Not Available,256.37,84.445,340.815,2.786,4.811,42.805,50.402,391.217,336.26,727.477,616.68,1344.157
2009-11-01,Not Available,384.636,92.364,477.0,2.696,3.946,41.425,48.067,525.067,317.411,842.478,610.74,1453.218
2009-12-01,Not Available,781.549,159.074,940.624,2.786,3.746,42.805,49.337,989.961,423.133,1413.094,847.87,2260.964
2010-01-01,Not Available,952.14,169.187,1121.327,3.125,3.197,45.908,52.23,1173.557,503.27,1676.826,959.243,2636.069
2010-02-01,Not Available,811.35,154.516,965.865,2.823,3.446,41.465,47.734,1013.599,419.131,1432.73,774.968,2207.698
2010-03-01,Not Available,590.949,106.721,697.671,3.125,4.748,45.908,53.781,751.452,381.427,1132.879,693.657,1826.536
2010-04-01,Not Available,319.284,69.956,389.241,3.025,5.233,44.427,52.684,441.925,300.414,742.339,544.886,1287.226
2010-05-01,Not Available,201.304,64.078,265.382,3.125,5.777,45.908,54.81,320.192,323.604,643.796,659.286,1303.082
2010-06-01,Not Available,136.645,60.623,197.268,3.025,5.829,44.427,53.28,250.548,435.016,685.565,860.259,1545.824
2010-07-01,Not Available,113.493,51.505,164.998,3.125,6.119,45.908,55.152,220.15,527.798,747.948,1034.289,1782.237
2010-08-01,Not Available,109.183,47.025,156.208,3.125,6.055,45.908,55.088,211.297,525.63,736.927,1023.202,1760.129
2010-09-01,Not Available,119.562,46.703,166.266,3.025,5.523,44.427,52.974,219.24,425.076,644.316,769.562,1413.878
2010-10-01,Not Available,205.443,76.527,281.969,3.125,5.033,45.908,54.067,336.036,329.9,665.935,600.911,1266.847
2010-11-01,Not Available,455.696,106.873,562.569,3.025,4.129,44.427,51.58,614.15,317.883,932.032,614.048,1546.081
2010-12-01,Not Available,864.514,166.728,1031.241,3.125,3.919,45.908,52.952,1084.194,443.607,1527.801,890.82,2418.621
2011-01-01,Not Available,989.316,150.815,1140.131,3.363,3.371,44.526,51.261,1191.392,494.95,1686.343,917.508,2603.851
2011-02-01,Not Available,783.404,133.695,917.099,3.038,3.634,40.217,46.89,963.989,409.815,1373.804,714.733,2088.537
2011-03-01,Not Available,606.535,106.203,712.738,3.363,5.007,44.526,52.897,765.635,357.994,1123.629,646.979,1770.608
2011-04-01,Not Available,347.018,68.585,415.603,3.255,5.519,43.09,51.864,467.467,319.71,787.177,569.551,1356.728
2011-05-01,Not Available,209.211,46.805,256.016,3.363,6.093,44.526,53.982,309.998,333.315,643.313,624.037,1267.351
2011-06-01,Not Available,135.149,48.332,183.481,3.255,6.147,43.09,52.492,235.974,429.853,665.827,813.007,1478.833
2011-07-01,Not Available,116.355,44.681,161.035,3.363,6.453,44.526,54.343,215.379,527.935,743.314,1039.26,1782.574
2011-08-01,Not Available,114.408,54.846,169.255,3.363,6.386,44.526,54.276,223.531,524.557,748.087,986.566,1734.653
2011-09-01,Not Available,125.035,60.497,185.532,3.255,5.825,43.09,52.17,237.702,418.719,656.421,727.517,1383.938
2011-10-01,Not Available,229.693,80.011,309.704,3.363,5.309,44.526,53.199,362.902,322.724,685.627,584.51,1270.136
2011-11-01,Not Available,442.82,101.189,544.009,3.255,4.355,43.09,50.7,594.709,318.068,912.777,596.218,1508.995
2011-12-01,Not Available,706.874,138.172,845.045,3.363,4.134,44.526,52.023,897.069,396.956,1294.024,755.242,2049.266
2012-01-01,Not Available,812.562,132.363,944.925,3.354,3.59,37.106,44.051,988.976,429.508,1418.484,775.903,2194.386
2012-02-01,Not Available,677.204,110.441,787.645,3.138,3.87,34.712,41.72,829.366,368.412,1197.778,650.009,1847.786
2012-03-01,Not Available,412.137,84.955,497.092,3.354,5.333,37.106,45.793,542.885,339.022,881.907,584.308,1466.215
2012-04-01,Not Available,285.394,64.326,349.721,3.246,5.877,35.909,45.033,394.753,300.608,695.361,513.639,1209.0
2012-05-01,Not Available,166.654,53.111,219.765,3.354,6.488,37.106,46.949,266.714,344.254,610.968,639.27,1250.238
2012-06-01,Not Available,126.051,47.47,173.52,3.246,6.547,35.909,45.702,219.223,419.451,638.674,775.957,1414.631
2012-07-01,Not Available,109.898,44.615,154.514,3.354,6.873,37.106,47.333,201.847,527.424,729.271,1011.504,1740.775
2012-08-01,Not Available,107.935,53.214,161.149,3.354,6.801,37.106,47.262,208.411,504.775,713.186,926.214,1639.4
2012-09-01,Not Available,121.199,47.84,169.039,3.246,6.203,35.909,45.359,214.397,405.453,619.85,710.95,1330.8
2012-10-01,Not Available,245.357,59.137,304.494,3.354,5.654,37.106,46.114,350.608,329.836,680.444,585.741,1266.185
2012-11-01,Not Available,492.919,85.812,578.731,3.246,4.638,35.909,43.793,622.524,331.494,954.017,611.7,1565.717
2012-12-01,Not Available,685.549,102.34,787.889,3.354,4.402,37.106,44.863,832.751,389.608,1222.359,737.444,1959.804
2013-01-01,Not Available,895.175,148.568,1043.743,3.363,3.885,48.551,55.799,1099.543,449.65,1549.193,802.148,2351.341
2013-02-01,Not Available,769.738,133.972,903.71,3.038,4.187,43.853,51.078,954.788,385.945,1340.732,660.769,2001.501
2013-03-01,Not Available,679.461,122.673,802.134,3.363,5.77,48.551,57.684,859.819,382.474,1242.293,683.004,1925.297
2013-04-01,Not Available,375.733,84.199,459.932,3.255,6.359,46.985,56.599,516.531,325.985,842.516,550.817,1393.334
2013-05-01,Not Available,198.048,53.655,251.704,3.363,7.02,48.551,58.935,310.639,324.794,635.432,581.585,1217.018
2013-06-01,Not Available,130.86,36.826,167.686,3.255,7.083,46.985,57.323,225.01,402.555,627.565,742.517,1370.082
2013-07-01,Not Available,114.321,36.011,150.332,3.363,7.436,48.551,59.351,209.682,490.832,700.515,906.321,1606.835
2013-08-01,Not Available,110.449,42.806,153.255,3.363,7.359,48.551,59.273,212.528,471.078,683.606,869.329,1552.935
2013-09-01,Not Available,120.756,48.613,169.37,3.255,6.712,46.985,56.952,226.322,414.282,640.604,721.813,1362.417
2013-10-01,Not Available,228.264,54.074,282.338,3.363,6.117,48.551,58.032,340.369,337.423,677.792,591.377,1269.17
2013-11-01,Not Available,530.867,86.62,617.487,3.255,5.018,46.985,55.258,672.745,334.049,1006.794,622.089,1628.882
2013-12-01,Not Available,870.44,115.16,985.6,3.363,4.763,48.551,56.678,1042.278,440.032,1482.31,829.213,2311.523
2014-01-01,Not Available,1069.718,143.881,1213.598,3.363,4.361,49.136,56.86,1270.458,499.897,1770.355,927.837,2698.192
2014-02-01,Not Available,879.552,135.188,1014.74,3.038,4.63,44.381,52.049,1066.789,438.358,1505.147,760.003,2265.15
2014-03-01,Not Available,721.513,121.315,842.829,3.363,6.34,49.136,58.839,901.668,389.762,1291.43,690.141,1981.571
2014-04-01,Not Available,366.889,65.508,432.397,3.255,6.923,47.551,57.728,490.125,314.893,805.018,521.355,1326.373
2014-05-01,Not Available,209.525,62.134,271.66,3.363,7.66,49.136,60.159,331.819,326.62,658.439,587.973,1246.412
2014-06-01,Not Available,129.339,49.339,178.678,3.255,7.742,47.551,58.547,237.225,402.783,640.008,736.247,1376.255
2014-07-01,Not Available,116.155,44.457,160.612,3.363,8.091,49.136,60.59,221.202,467.539,688.741,860.168,1548.91
2014-08-01,Not Available,108.337,44.62,152.956,3.363,8.04,49.136,60.54,213.496,463.451,676.947,858.444,1535.392
2014-09-01,Not Available,125.368,60.872,186.24,3.255,7.419,47.551,58.225,244.465,411.969,656.434,700.324,1356.758
2014-10-01,Not Available,218.415,75.809,294.224,3.363,6.877,49.136,59.376,353.6,334.505,688.105,570.973,1259.078
2014-11-01,Not Available,560.173,109.293,669.467,3.255,5.668,47.551,56.474,725.94,339.445,1065.386,621.06,1686.446
2014-12-01,Not Available,738.999,123.844,862.843,3.363,5.491,49.136,57.991,920.833,412.172,1333.005,736.125,2069.13
2015-01-01,Not Available,971.941,152.631,1124.571,3.363,4.485,43.547,51.396,1175.967,470.054,1646.021,830.083,2476.103
2015-02-01,Not Available,935.117,140.074,1075.191,3.038,4.913,39.333,47.284,1122.475,422.534,1545.009,735.272,2280.281
2015-03-01,Not Available,655.769,108.158,763.927,3.363,6.878,43.547,53.789,817.716,399.774,1217.49,655.109,1872.599
2015-04-01,Not Available,330.53,65.457,395.987,3.255,7.709,42.143,53.107,449.093,307.76,756.853,499.233,1256.086
2015-05-01,Not Available,183.77,55.697,239.467,3.363,8.517,43.547,55.428,294.895,324.688,619.583,586.844,1206.427
2015-06-01,Not Available,128.421,32.953,161.374,3.255,8.638,42.143,54.036,215.41,410.463,625.873,754.585,1380.458
2015-07-01,Not Available,111.972,34.986,146.958,3.363,9.151,43.547,56.062,203.02,498.283,701.303,915.47,1616.773
2015-08-01,Not Available,106.478,40.459,146.937,3.363,9.085,43.547,55.996,202.932,493.086,696.018,880.876,1576.894
2015-09-01,Not Available,112.296,40.122,152.418,3.255,8.242,42.143,53.64,206.058,427.922,633.98,722.477,1356.457
2015-10-01,Not Available,208.62,92.879,301.499,3.363,7.444,43.547,54.355,355.854,338.979,694.833,558.041,1252.874
2015-11-01,Not Available,421.078,112.305,533.383,3.255,6.132,42.143,51.53,584.912,316.216,901.129,538.445,1439.574
2015-12-01,Not Available,612.091,131.432,743.523,3.363,5.68,43.547,52.591,796.114,381.02,1177.134,640.816,1817.95
2016-01-01,Not Available,911.658,130.41,1042.068,3.354,5.09,37.661,46.105,1088.173,446.876,1535.049,775.488,2310.537
2016-02-01,Not Available,715.632,110.883,826.516,3.138,5.996,35.231,44.365,870.881,395.654,1266.535,624.881,1891.416
2016-03-01,Not Available,471.67,84.326,555.996,3.354,8.01,37.661,49.025,605.022,341.973,946.995,529.559,1476.554
2016-04-01,Not Available,340.0,68.294,408.294,3.246,9.01,36.446,48.701,456.996,301.09,758.085,482.171,1240.256
2016-05-01,Not Available,200.936,54.706,255.642,3.354,9.969,37.661,50.984,306.626,321.404,628.03,549.747,1177.776
2016-06-01,Not Available,127.097,35.762,162.86,3.246,10.276,36.446,49.968,212.827,427.221,640.048,767.429,1407.477
2016-07-01,Not Available,110.301,36.44,146.741,3.354,10.683,37.661,51.698,198.439,526.845,725.284,956.842,1682.126
2016-08-01,Not Available,104.125,30.348,134.472,3.354,10.37,37.661,51.385,185.857,533.778,719.635,932.999,1652.635
2016-09-01,Not Available,113.766,42.813,156.579,3.246,9.249,36.446,48.941,205.52,441.386,646.906,722.058,1368.965
2016-10-01,Not Available,194.162,66.109,260.27,3.354,8.272,37.661,49.287,309.557,346.345,655.902,565.066,1220.968
2016-11-01,Not Available,393.629,82.21,475.839,3.246,6.731,36.446,46.423,522.262,318.149,840.411,526.337,1366.748
2016-12-01,Not Available,823.665,135.982,959.646,3.354,6.177,37.661,47.192,1006.839,413.81,1420.649,732.894,2153.543
2017-01-01,Not Available,859.787,131.436,991.223,3.363,5.772,36.485,45.62,1036.843,440.873,1477.716,743.208,2220.924
2017-02-01,Not Available,599.435,96.798,696.233,3.038,6.441,32.954,42.433,738.666,344.504,1083.17,537.087,1620.257
2017-03-01,Not Available,599.849,94.337,694.187,3.363,9.253,36.485,49.101,743.287,351.762,1095.049,564.622,1659.672
2017-04-01,Not Available,288.372,64.024,352.395,3.255,10.321,35.308,48.884,401.279,309.552,710.831,474.2,1185.031
2017-05-01,Not Available,206.177,48.177,254.354,3.363,11.388,36.485,51.236,305.59,335.335,640.925,545.771,1186.697
2017-06-01,Not Available,128.227,42.896,171.123,3.255,11.744,35.308,50.307,221.43,418.117,639.548,690.459,1330.007
2017-07-01,Not Available,111.077,31.366,142.443,3.363,12.017,36.485,51.865,194.308,511.46,705.768,889.758,1595.526
2017-08-01,Not Available,107.341,37.587,144.928,3.363,11.647,36.485,51.495,196.423,484.528,680.951,811.581,1492.533
2017-09-01,Not Available,118.346,40.428,158.774,3.255,10.438,35.308,49.001,207.775,405.273,613.048,649.496,1262.544
2017-10-01,Not Available,211.972,57.062,269.034,3.363,9.334,36.485,49.183,318.216,350.791,669.008,564.827,1233.835
2017-11-01,Not Available,483.615,93.534,577.149,3.255,7.31,35.308,45.873,623.021,335.47,958.491,560.367,1518.858
2017-12-01,Not Available,850.293,133.85,984.143,3.363,6.856,36.485,46.704,1030.847,416.28,1447.126,734.281,2181.408
2018-01-01,Not Available,1016.759,171.787,1188.547,3.363,6.708,44.577,54.649,1243.195,508.106,1751.301,845.965,2597.266
2018-02-01,Not Available,714.652,115.635,830.286,3.038,7.326,40.263,50.627,880.913,388.119,1269.032,586.81,1855.842
