Month,"Natural Gas Price, Wellhead","Natural Gas Price, Citygate","Natural Gas Price, Delivered to Consumers, Residential",Percentage of Residential Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Commercial",Percentage of Commercial Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Industrial",Percentage of Industrial Sector Consumption for Which Price Data Are Available,Natural Gas Transportation Sector Price,"Natural Gas Price, Electric Power Sector",Percentage of Electric Power Sector Consumption for Which Price Data Are Available
1987-08-01,1.63,2.89,6.84,Not Available,4.77,Not Available,2.74,Not Available,Not Available,2.26,Not Available
1987-09-01,1.56,2.83,6.64,Not Available,4.6,Not Available,2.75,Not Available,Not Available,2.19,Not Available
1987-10-01,1.57,2.69,5.85,Not Available,4.62,Not Available,2.77,Not Available,Not Available,2.26,Not Available
1987-11-01,1.64,2.76,5.42,Not Available,4.66,Not Available,2.89,Not Available,Not Available,2.28,Not Available
1987-12-01,1.7,2.84,5.13,Not Available,4.67,Not Available,3.01,Not Available,Not Available,2.53,Not Available
1988-01-01,1.96,2.91,5.08,Not Available,4.6,93.8,3.18,48.8,Not Available,2.6,Not Available
1988-02-01,1.84,2.95,5.09,Not Available,4.69,93.3,3.22,47.9,Not Available,2.56,Not Available
1988-03-01,1.7,2.87,5.18,Not Available,4.69,92.5,3.13,43.3,Not Available,2.32,Not Available
1988-04-01,1.59,2.79,5.35,Not Available,4.71,91.7,2.97,42.7,Not Available,2.2,Not Available
1988-05-01,1.52,2.75,5.87,Not Available,4.61,89.4,2.76,39.2,Not Available,2.1,Not Available
1988-06-01,1.53,2.87,6.5,Not Available,4.53,87.5,2.67,37.9,Not Available,2.16,Not Available
1988-07-01,1.56,2.87,6.74,Not Available,4.48,86.3,2.54,38.8,Not Available,2.23,Not Available
1988-08-01,1.62,2.92,6.92,Not Available,4.37,87.2,2.66,38.8,Not Available,2.36,Not Available
1988-09-01,1.53,3.05,6.79,Not Available,4.41,87.6,2.7,41.2,Not Available,2.36,Not Available
1988-10-01,1.68,2.92,5.95,Not Available,4.53,87.4,2.8,43.3,Not Available,2.4,Not Available
1988-11-01,1.76,2.98,5.56,Not Available,4.69,88.7,3,42.1,Not Available,2.58,Not Available
1988-12-01,1.89,3.08,5.39,Not Available,4.78,89.7,3.31,44.4,Not Available,2.57,Not Available
1989-01-01,1.99,3.17,5.41,Not Available,4.81,91,3.37,41.1,Not Available,2.63,Not Available
1989-02-01,1.81,3.1,5.38,Not Available,4.8,91.2,3.31,39.9,Not Available,2.44,Not Available
1989-03-01,1.69,2.89,5.45,Not Available,4.79,90.8,3.1,38.2,Not Available,2.32,Not Available
1989-04-01,1.56,2.83,5.54,Not Available,4.77,89.2,2.89,36.8,Not Available,2.31,Not Available
1989-05-01,1.61,2.94,5.93,Not Available,4.64,88.2,2.78,35.9,Not Available,2.39,Not Available
1989-06-01,1.65,2.98,6.58,Not Available,4.57,86.1,2.67,37,Not Available,2.4,Not Available
1989-07-01,1.65,3.08,6.92,Not Available,4.65,85.1,2.68,34,Not Available,2.4,Not Available
1989-08-01,1.61,3.04,7.07,Not Available,4.61,85.1,2.69,32.8,Not Available,2.38,Not Available
1989-09-01,1.55,2.99,6.8,Not Available,4.67,84.6,2.66,33.8,Not Available,2.33,Not Available
1989-10-01,1.58,2.84,6.06,Not Available,4.61,85.2,2.74,37.3,Not Available,2.39,Not Available
1989-11-01,1.66,2.98,5.56,Not Available,4.71,87.7,2.96,35,Not Available,2.56,Not Available
1989-12-01,1.92,3.1,5.3,Not Available,4.81,90.7,3.31,39.6,Not Available,2.85,Not Available
1990-01-01,2.23,3.24,5.43,Not Available,4.97,90.8,3.53,43.2,Not Available,3,Not Available
1990-02-01,1.85,3.1,5.65,Not Available,5.05,88.8,3.41,38.9,Not Available,2.76,Not Available
1990-03-01,1.55,2.94,5.6,Not Available,4.92,88.3,3.08,36.8,Not Available,2.37,Not Available
1990-04-01,1.49,2.83,5.64,Not Available,4.82,86.9,2.85,33.8,Not Available,2.28,Not Available
1990-05-01,1.47,2.81,6,Not Available,4.63,85.5,2.68,32.2,Not Available,2.18,Not Available
1990-06-01,1.48,3,6.56,Not Available,4.56,83.8,2.58,31.3,Not Available,2.16,Not Available
1990-07-01,1.49,3.03,7.04,Not Available,4.45,81.8,2.5,33,Not Available,2.21,Not Available
1990-08-01,1.51,2.91,7.08,Not Available,4.55,81.7,2.52,33.4,Not Available,2.23,Not Available
1990-09-01,1.56,2.92,6.9,Not Available,4.55,80.3,2.6,32.6,Not Available,2.21,Not Available
1990-10-01,1.76,2.81,6.14,Not Available,4.66,81.2,2.69,32.8,Not Available,2.45,Not Available
1990-11-01,1.94,3.14,5.69,Not Available,4.81,84.7,3.02,35.7,Not Available,2.79,Not Available
1990-12-01,2.04,3.19,5.62,Not Available,4.92,87.9,3.25,37.8,Not Available,2.89,Not Available
1991-01-01,1.96,3.08,5.54,Not Available,4.94,89.4,3.25,36.8,Not Available,2.7,Not Available
1991-02-01,1.62,2.94,5.56,Not Available,4.94,88.5,2.97,36.4,Not Available,2.35,Not Available
1991-03-01,1.49,2.78,5.6,Not Available,4.89,87.8,2.75,36.3,Not Available,2.21,Not Available
1991-04-01,1.5,2.74,5.9,Not Available,4.87,84,2.68,33.3,Not Available,2.1,Not Available
1991-05-01,1.48,2.76,6.28,Not Available,4.65,83.2,2.4,32.4,Not Available,2.01,Not Available
1991-06-01,1.43,2.86,6.97,Not Available,4.8,80,2.34,31.3,Not Available,1.94,Not Available
1991-07-01,1.34,2.74,7.23,Not Available,4.5,79.3,2.23,29.2,Not Available,1.88,Not Available
1991-08-01,1.43,2.78,7.36,Not Available,4.73,81.6,2.29,31.9,Not Available,1.96,Not Available
1991-09-01,1.59,2.91,6.92,Not Available,4.57,78.1,2.4,29.4,Not Available,2.19,Not Available
1991-10-01,1.82,2.92,6.2,Not Available,4.58,78.7,2.69,29.2,Not Available,2.35,Not Available
1991-11-01,1.89,2.92,5.51,Not Available,4.71,85.1,2.84,32.8,Not Available,2.43,Not Available
1991-12-01,2,3.05,5.51,Not Available,4.84,86.1,3.09,32.3,Not Available,2.64,Not Available
1992-01-01,1.74,2.9,5.53,Not Available,4.85,87.1,3.04,31.8,Not Available,2.49,Not Available
1992-02-01,1.26,2.7,5.54,Not Available,5.03,85.2,2.78,31.4,Not Available,2.03,Not Available
1992-03-01,1.35,2.61,5.5,Not Available,4.77,84.7,2.58,29.9,Not Available,1.99,Not Available
1992-04-01,1.42,2.74,5.62,Not Available,4.77,84,2.54,31.3,Not Available,2.07,Not Available
1992-05-01,1.51,2.9,6.15,Not Available,4.59,79.3,2.44,29.8,Not Available,2.11,Not Available
1992-06-01,1.62,3,6.84,Not Available,4.72,79.4,2.53,28,Not Available,2.18,Not Available
1992-07-01,1.55,3.01,7.27,Not Available,4.64,76,2.54,27.4,Not Available,2.13,Not Available
1992-08-01,1.84,3.18,7.45,Not Available,4.73,76.1,2.71,28.6,Not Available,2.42,Not Available
1992-09-01,1.92,3.23,7.15,Not Available,4.69,78,2.82,29.3,Not Available,2.51,Not Available
1992-10-01,2.38,3.5,6.52,Not Available,4.9,80.9,3.21,31.4,Not Available,3.04,Not Available
1992-11-01,2.13,3.33,6.02,Not Available,5.12,83.1,3.26,30.8,Not Available,2.87,Not Available
1992-12-01,2.07,3.17,5.74,Not Available,5.11,85.6,3.38,32.5,Not Available,2.81,Not Available
1993-01-01,2.03,3.11,5.73,Not Available,5.23,86.6,3.15,32.6,Not Available,2.7,Not Available
