Month,"Natural Gas Price, Wellhead","Natural Gas Price, Citygate","Natural Gas Price, Delivered to Consumers, Residential",Percentage of Residential Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Commercial",Percentage of Commercial Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Industrial",Percentage of Industrial Sector Consumption for Which Price Data Are Available,Natural Gas Transportation Sector Price,"Natural Gas Price, Electric Power Sector",Percentage of Electric Power Sector Consumption for Which Price Data Are Available
1993-03-01,2,3.06,5.67,Not Available,5.1,86.4,2.98,32,Not Available,2.61,Not Available
1993-04-01,2.06,3.24,6.02,Not Available,5.19,84.9,3.04,30.7,Not Available,2.75,Not Available
1993-05-01,2.18,3.58,6.78,Not Available,5.31,82.2,3.14,29.6,Not Available,2.9,Not Available
1993-06-01,1.98,3.44,7.37,Not Available,5.4,79,2.86,27.4,Not Available,2.48,Not Available
1993-07-01,1.99,3.34,7.86,Not Available,5.15,79.2,2.62,28.3,Not Available,2.45,Not Available
1993-08-01,2.04,3.35,8.13,Not Available,5.34,78,2.76,27.6,Not Available,2.6,Not Available
1993-09-01,2.09,3.54,7.75,Not Available,5.35,78.3,2.95,27,Not Available,2.69,Not Available
1993-10-01,2.02,3.15,6.79,Not Available,5.18,79.9,2.77,28.1,Not Available,2.45,Not Available
1993-11-01,2.03,3.15,6.17,Not Available,5.21,83,3.02,29.8,Not Available,2.59,Not Available
1993-12-01,2.15,3.27,6.07,Not Available,5.33,85.1,3.28,29.5,Not Available,2.76,Not Available
1994-01-01,1.93,3.04,5.93,Not Available,5.5,83.7,3.47,27.9,Not Available,2.67,Not Available
1994-02-01,1.88,3.26,6.04,Not Available,5.58,83.9,3.43,30,Not Available,2.8,Not Available
1994-03-01,1.93,3.33,6.3,Not Available,5.67,82.8,3.47,28.6,Not Available,2.67,Not Available
1994-04-01,1.91,3.15,6.6,Not Available,5.6,78.6,3.01,26.7,Not Available,2.44,Not Available
1994-05-01,2,3.17,6.84,Not Available,5.47,74.5,2.92,25.6,Not Available,2.46,Not Available
1994-06-01,1.8,3.17,7.66,Not Available,5.37,70.5,2.69,23.3,Not Available,2.25,Not Available
1994-07-01,1.81,3.12,8.1,Not Available,5.25,68.7,2.77,23.9,Not Available,2.27,Not Available
1994-08-01,1.83,3.15,8.22,Not Available,5.31,72.6,2.67,23.5,Not Available,2.16,Not Available
1994-09-01,1.78,2.92,7.84,Not Available,5.36,72.2,2.55,22,Not Available,2,Not Available
1994-10-01,1.7,2.8,6.86,Not Available,5.11,74.3,2.49,23.7,Not Available,1.95,Not Available
1994-11-01,1.75,2.84,6.27,Not Available,5.19,77.8,2.86,24.1,Not Available,2.1,Not Available
1994-12-01,1.88,2.86,6.06,Not Available,5.24,82.1,2.99,25.8,Not Available,2.17,Not Available
1995-01-01,1.62,2.79,5.85,Not Available,5.23,81.6,2.95,27.3,Not Available,2.13,Not Available
1995-02-01,1.48,2.71,5.76,Not Available,5.14,81.7,2.85,27.4,Not Available,2,Not Available
1995-03-01,1.47,2.74,5.84,Not Available,5.12,81.2,2.74,26.5,Not Available,1.92,Not Available
1995-04-01,1.52,2.72,6.06,Not Available,5.08,77.2,2.57,25.4,Not Available,1.97,Not Available
1995-05-01,1.55,2.8,6.54,Not Available,5.04,71.8,2.54,23.6,Not Available,2.06,Not Available
1995-06-01,1.58,2.89,7.49,Not Available,5.16,71.4,2.44,24.5,Not Available,2.06,Not Available
