Month,"Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector",Biodiesel Consumed by the Transportation Sector,Renewable Diesel Fuel Consumed by the Transportation Sector ,Other Biofuels Consumed by the Transportation Sector ,Biomass Energy Consumed by the Transportation Sector,Conventional Hydroelectric Power Consumed by the Electric Power Sector,Geothermal Energy Consumed by the Electric Power Sector,Solar Energy Consumed by the Electric Power Sector,Wind Energy Consumed by the Electric Power Sector,Wood Energy Consumed by the Electric Power Sector,Waste Energy Consumed by the Electric Power Sector,Biomass Energy Consumed by the Electric Power Sector,Total Renewable Energy Consumed by the Electric Power Sector
2008-01-01,53.581,3.636,Not Available,Not Available,57.217,70.325,4.125,0.056,14.58,16.124,20.864,36.988,126.073
2008-02-01,55.36,2.732,Not Available,Not Available,58.092,63.554,3.708,0.122,13.142,14.555,19.972,34.528,115.054
2008-03-01,57.194,1.391,Not Available,Not Available,58.585,73.306,4.268,0.255,16.316,15.212,22.667,37.879,132.023
2008-04-01,62.576,1.789,Not Available,Not Available,64.365,75.236,4.156,0.321,17.829,13.001,21.309,34.31,131.852
2008-05-01,64.737,2.214,Not Available,Not Available,66.951,92.28,4.295,0.337,18.221,12.554,21.248,33.802,148.936
2008-06-01,65.429,0.837,Not Available,Not Available,66.266,99.096,4.3,0.437,17.539,14.196,21.67,35.866,157.239
2008-07-01,69.444,3.642,Not Available,Not Available,73.086,86.762,4.363,0.378,13.677,16.226,22.856,39.082,144.262
2008-08-01,70.443,4.821,Not Available,Not Available,75.264,72.031,4.343,0.359,11.138,16.137,22.29,38.427,126.298
2008-09-01,69.754,5.028,Not Available,Not Available,74.783,54.867,4.209,0.316,10.616,14.923,20.764,35.687,105.696
2008-10-01,73.453,4.46,Not Available,Not Available,77.913,52.448,4.357,0.206,16.229,13.504,21.199,34.703,107.943
2008-11-01,69.345,4.553,Not Available,Not Available,73.899,53.043,4.208,0.098,17.038,15.039,21.284,36.323,110.71
2008-12-01,74.526,3.628,Not Available,Not Available,78.155,70.614,4.303,0.064,22.573,15.875,21.804,37.679,135.232
2009-01-01,66.967,0.423,Not Available,Not Available,67.39,79.556,4.397,0.025,20.304,16.882,20.612,37.494,141.776
2009-02-01,57.766,0.391,Not Available,Not Available,58.157,60.263,3.984,0.104,19.968,15.081,19.326,34.407,118.726
2009-03-01,66.71,3.099,Not Available,Not Available,69.809,73.781,4.437,0.266,24.222,14.479,23.538,38.016,140.722
2009-04-01,70.161,3.204,Not Available,Not Available,73.365,87.245,4.17,0.339,25.446,12.241,21.144,33.386,150.585
2009-05-01,77.153,2.605,Not Available,Not Available,79.757,100.19,4.214,0.377,21.366,12.822,21.556,34.378,160.525
2009-06-01,74.96,3.123,Not Available,Not Available,78.083,99.137,4.124,0.353,19.105,15.194,22.211,37.404,160.124
2009-07-01,80.263,2.995,Not Available,Not Available,83.259,79.305,4.283,0.413,16.906,16.248,23.147,39.395,140.303
2009-08-01,80.563,4.239,Not Available,Not Available,84.802,66.341,4.269,0.397,18.645,16.779,22.641,39.42,129.072
2009-09-01,74.574,5.57,Not Available,Not Available,80.144,58.9,4.152,0.324,15.868,14.498,21.18,35.678,114.922
2009-10-01,81.926,5.724,Not Available,Not Available,87.65,66.712,4.166,0.232,23.248,13.83,21.261,35.092,129.45
2009-11-01,80.846,4.285,Not Available,Not Available,85.131,71.191,4.344,0.138,23.458,14.914,21.912,36.826,135.958
2009-12-01,82.017,5.406,Not Available,Not Available,87.423,83.756,4.667,0.072,23.563,17.077,22.438,39.515,151.575
2010-01-01,80.683,0.168,Not Available,Not Available,80.85,75.772,4.476,0.034,23.383,17.362,21.236,38.597,142.261
2010-02-01,75.742,3.188,Not Available,Not Available,78.93,69.677,3.955,0.112,18.531,16.329,19.742,36.072,128.346
2010-03-01,83.211,2.142,Not Available,Not Available,85.353,70.597,4.458,0.259,29.301,16.444,22.427,38.871,143.485
2010-04-01,83.799,3.612,Not Available,Not Available,87.411,64.482,4.232,0.382,33.311,14.876,21.442,36.319,138.725
2010-05-01,88.683,3.086,Not Available,Not Available,91.769,84.97,4.472,0.522,29.671,14.27,21.71,35.98,155.614
2010-06-01,90.415,2.33,Not Available,Not Available,92.745,101.373,4.312,0.597,27.46,16.205,22.52,38.724,172.466
2010-07-01,91.04,3.336,Not Available,Not Available,94.376,83.27,4.346,0.548,22.939,17.274,22.749,40.023,151.125
2010-08-01,90.867,2.858,Not Available,Not Available,93.725,68.306,4.425,0.531,22.808,17.996,22.693,40.689,136.76
2010-09-01,85.872,4.005,Not Available,Not Available,89.877,58.644,4.274,0.467,24.24,16.067,21.723,37.79,125.415
2010-10-01,91.162,3.162,Not Available,Not Available,94.324,59.92,4.169,0.256,27.099,14.985,21.613,36.598,128.042
2010-11-01,88.224,2.541,Not Available,Not Available,90.765,66.28,4.273,0.26,33.253,16.297,22.713,39.011,143.077
2010-12-01,91.661,2.757,Not Available,Not Available,94.419,78.558,4.537,0.146,30.905,17.49,23.208,40.698,154.845
2011-01-01,82.427,3.369,0.579,Not Available,86.375,86.618,4.596,0.127,29.163,16.907,20.53,37.437,157.941
2011-02-01,80.535,3.79,0.126,Not Available,84.45,81.784,4.146,0.276,35.647,15.547,19.283,34.83,156.683
2011-03-01,87.192,5.926,0.412,Not Available,93.53,105.583,4.563,0.397,35.963,15.293,20.91,36.202,182.709
2011-04-01,82.46,7.982,0.257,Not Available,90.698,105.798,4.228,0.53,42.365,11.949,19.687,31.636,184.557
2011-05-01,90.001,8.15,0.984,Not Available,99.135,110.501,4.495,0.616,40.15,13.181,20.526,33.708,189.471
2011-06-01,92.213,10.288,0.597,Not Available,103.098,109.18,4.144,0.718,37.466,15.634,21.544,37.178,188.686
2011-07-01,85.905,10.056,0.846,Not Available,96.808,106.363,4.33,0.616,25.541,16.96,22.358,39.318,176.168
2011-08-01,95.183,11.684,1.105,Not Available,107.972,87.572,4.349,0.743,25.49,17.169,22.252,39.42,157.574
2011-09-01,83.431,12.694,0.772,Not Available,96.896,72.519,4.182,0.605,23.425,15.493,21.062,36.554,137.285
2011-10-01,88.697,11.451,0.757,Not Available,100.904,67.078,4.37,0.516,35.891,14.041,21.53,35.571,143.426
2011-11-01,85.777,13.393,0.773,Not Available,99.942,70.057,4.337,0.352,42.415,13.667,22.022,35.69,152.851
2011-12-01,91.178,14.289,0.87,Not Available,106.337,80.36,4.519,0.398,36.335,16.318,22.864,39.182,160.795
2012-01-01,81.818,5.584,0.552,Not Available,87.953,77.894,4.31,0.311,46.481,16.837,21.706,38.543,167.54
2012-02-01,81.572,7.769,0.417,Not Available,89.758,68.381,4.072,0.44,37.686,16.026,19.89,35.917,146.496
2012-03-01,87.857,11.187,0.7,Not Available,99.744,87.587,4.385,0.755,47.837,15.607,21.808,37.415,177.979
2012-04-01,86.368,11.534,0.723,Not Available,98.625,89.103,4.259,1.04,43.338,12.707,20.509,33.216,170.957
2012-05-01,92.118,12.036,0.85,Not Available,105.005,96.99,4.449,1.519,42.769,14.018,21.806,35.824,181.551
2012-06-01,89.703,12.461,0.789,Not Available,102.953,90.352,4.359,1.733,40.831,16.377,21.54,37.918,175.193
2012-07-01,87.737,10.464,0.821,Not Available,99.022,89.912,4.506,1.677,30.092,17.736,22.668,40.403,166.59
2012-08-01,94.623,11.14,0.717,Not Available,106.48,78.066,4.449,1.518,28.885,17.931,22.54,40.471,153.388
2012-09-01,82.841,9.244,0.797,Not Available,92.882,59.516,4.436,1.498,29.976,16.49,21.24,37.73,133.155
2012-10-01,91.45,8.125,1.13,Not Available,100.706,55.64,4.535,1.416,43.089,15.106,22.485,37.592,142.272
2012-11-01,82.946,8.683,1.043,Not Available,92.673,63.186,4.596,1.144,39.723,15.019,22.542,37.561,146.21
2012-12-01,85.555,6.487,1.161,Not Available,93.203,77.78,4.744,1.156,49.529,16.338,23.718,40.055,173.263
2013-01-01,83.26,8.812,0.25,Not Available,92.322,83.598,4.715,1.023,50.257,17.125,21.959,39.084,178.677
2013-02-01,77.069,9.107,1.482,Not Available,87.658,68.415,4.218,1.422,48.001,15.3,19.411,34.711,156.767
2013-03-01,88.678,12.381,1.113,Not Available,102.173,69.017,4.702,2.035,53.731,16.977,22.519,39.496,168.981
2013-04-01,88.8,13.033,1.142,Not Available,102.975,84.763,4.347,2.183,59.602,13.65,20.909,34.558,185.453
2013-05-01,93.169,13.609,0.816,Not Available,107.594,95.937,4.462,2.469,55.375,15.337,22.111,37.448,195.692
2013-06-01,92.774,14.923,4.114,Not Available,111.811,92.298,4.361,2.864,46.886,16.785,21.771,38.556,184.965
2013-07-01,91.646,15.022,3.885,Not Available,110.553,91.882,4.561,2.728,37.833,18.448,22.437,40.885,177.889
2013-08-01,91.403,15.639,4.353,Not Available,111.394,72.981,4.512,3.117,32.856,19.909,22.51,42.418,155.884
2013-09-01,89.69,17.876,5.725,Not Available,113.291,57.046,4.433,3.128,39.811,18.036,21.248,39.284,143.702
2013-10-01,93.561,21.762,5.322,Not Available,120.646,57.861,4.652,3.257,46.494,17.522,21.597,39.12,151.383
2013-11-01,89.25,18.412,5.067,Not Available,112.73,59.603,4.198,2.725,53.875,18.528,22.031,40.559,160.961
2013-12-01,92.3,21.736,5.307,Not Available,119.342,70.98,4.659,2.817,47.614,19.81,23.681,43.491,169.562
2014-01-01,86.84,10.269,2.933,0.092,100.135,73.392,4.623,2.505,61.056,21.381,23.962,45.343,186.92
2014-02-01,82.214,9.663,2.575,0.108,94.561,58.99,4.115,2.777,47.756,19.968,22.166,42.134,155.772
2014-03-01,87.731,14.106,3.577,0.15,105.564,82.361,4.564,4.389,60.468,22.136,24.083,46.218,198.001
2014-04-01,89.528,12.32,4.382,0.114,106.344,86.356,4.482,4.957,63.536,18.1,23.141,41.241,200.571
2014-05-01,93.767,14.596,4.27,0.104,112.737,90.112,4.546,5.835,53.195,17.285,23.791,41.077,194.765
2014-06-01,91.945,15.824,2.302,0.113,110.183,87.485,4.413,6.424,53.863,21.855,23.511,45.365,197.55
2014-07-01,95.731,15.048,3.776,0.163,114.717,82.792,4.502,5.965,41.546,22.764,24.823,47.587,182.392
2014-08-01,95.211,19.276,2.52,0.004,117.011,67.245,4.535,6.274,34.673,22.576,23.863,46.44,159.167
2014-09-01,88.728,18.554,2.185,0.084,109.551,54.544,4.461,6.126,39.271,20.837,22.389,43.226,147.629
2014-10-01,96.164,16.336,4.046,0.252,116.799,58.221,4.589,5.732,49.448,20.279,22.125,42.403,160.393
2014-11-01,91.608,16.563,2.159,0.148,110.478,63.203,4.649,4.609,64.308,21.604,22.023,43.627,180.397
2014-12-01,94.034,18.229,3.75,0.215,116.227,75.752,4.691,3.449,50.144,22.468,23.013,45.481,179.517
2015-01-01,87.584,6.3,2.735,0.231,96.85,81.936,4.647,3.87,51.679,22.132,22.651,44.782,186.914
2015-02-01,82.738,11.476,2.972,0.161,97.347,75.674,4.299,4.979,50.865,20.921,20.486,41.407,177.225
2015-03-01,92.26,13.265,3.64,0.188,109.353,82.393,4.756,6.951,52.18,20.609,22.403,43.011,189.291
2015-04-01,88.335,15.172,3.876,0.159,107.542,76.192,4.342,7.977,60.906,17.821,21.822,39.644,189.06
2015-05-01,96.564,17.882,3.652,0.171,118.27,68.224,4.743,8.38,58.469,18.431,22.969,41.4,181.217
2015-06-01,94.423,20.633,3.908,0.146,119.11,69.252,4.441,8.571,45.753,20.611,23.125,43.736,171.754
2015-07-01,97.034,18.456,4.816,0.174,120.479,71.297,4.629,8.801,46.627,22.354,25.607,47.961,179.315
2015-08-01,97.614,19.774,4.189,0.224,121.801,64.929,4.586,9.006,44.595,22.964,24.774,47.739,170.855
2015-09-01,93.752,19.573,4.371,0.164,117.861,54.643,4.104,7.43,47.635,19.935,23.121,43.055,156.868
2015-10-01,94.489,17.09,4.579,0.154,116.311,56.343,4.514,6.399,55.832,17.459,23.881,41.34,164.428
2015-11-01,92.288,14.018,5.089,0.153,111.549,65.517,4.55,5.806,67.091,19.195,24.738,43.933,186.897
2015-12-01,92.86,17.009,4.522,0.198,114.59,78.532,4.698,5.272,68.514,21.426,25.445,46.871,203.888
2016-01-01,88.18,12.95,2.082,0.139,103.351,86.883,4.545,4.975,62.941,20.69,23.184,43.874,203.217
2016-02-01,90.024,15.171,3.066,0.087,108.347,81.908,4.242,7.508,68.644,20.495,22.337,42.831,205.134
2016-03-01,96.208,16.928,5.125,0.188,118.448,92.894,4.487,8.771,74.79,19.47,23.599,43.07,224.013
2016-04-01,89.149,18.154,3.632,0.149,111.083,87.807,4.125,9.66,70.905,15.235,23.823,39.058,211.555
2016-05-01,97.244,22.893,5.221,0.233,125.591,86.513,4.578,11.516,64.255,15.721,23.916,39.637,206.498
2016-06-01,97.255,21.327,6.084,0.091,124.757,78.904,4.27,11.661,55.581,18.136,23.135,41.271,191.687
2016-07-01,99.496,27.038,4.081,0.231,130.846,72.801,4.474,13.261,60.069,20.066,23.534,43.601,194.205
2016-08-01,100.825,27.871,5.205,0.238,134.14,66.391,4.518,13.335,46.331,21.396,24.062,45.459,176.034
2016-09-01,94.435,26.417,6.096,0.178,127.126,55.544,4.527,12.229,55.925,19.065,22.344,41.409,169.633
2016-10-01,95.906,25.071,5.057,0.319,126.353,58.787,4.617,10.736,69.325,15.671,21.747,37.418,180.883
2016-11-01,94.637,25.857,6.93,0.284,127.708,63.878,4.653,9.313,66.151,17.837,24.077,41.914,185.909
2016-12-01,99.692,26.415,4.409,0.352,130.868,76.396,4.961,8.151,78.892,20.625,24.905,45.53,213.929
2017-01-01,90.809,12.901,5.532,0.254,109.497,90.347,4.801,7.842,70.901,20.438,24.938,45.376,219.267
2017-02-01,84.296,14.202,4.17,0.266,102.934,81.022,4.227,9.27,75.31,18.489,22.108,40.597,210.426
2017-03-01,95.669,19.081,5.085,0.212,120.047,100.519,4.733,15.233,87.707,20.939,24.306,45.244,253.435
2017-04-01,93.839,20.906,4.729,0.399,119.872,99.749,4.576,16.56,86.511,16.792,22.249,39.042,246.437
2017-05-01,99.999,25.445,6.174,0.158,131.775,110.622,4.442,19.534,78.636,16.758,23.571,40.328,253.563
2017-06-01,99.951,25.244,5.272,0.241,130.708,103.8,4.38,20.65,68.665,18.422,23.652,42.074,239.569
2017-07-01,98.595,23.71,5.175,0.23,127.71,90.282,4.684,18.797,54.96,20.092,23.764,43.856,212.58
2017-08-01,102.597,25.74,5.43,0.268,134.035,74.803,4.651,18.12,47.322,21.052,23.683,44.735,189.631
2017-09-01,95.914,22.075,4.857,0.22,123.066,65.042,4.543,17.082,61.062,18.055,21.938,39.993,187.723
2017-10-01,99.39,21.689,5.436,0.254,126.769,60.073,4.143,15.716,83.067,18.039,22.503,40.542,203.541
2017-11-01,97.39,21.156,4.109,0.306,122.961,67.414,4.452,10.83,77.085,19.036,23.19,42.226,202.006
2017-12-01,97.103,21.164,5.685,0.329,124.282,75.528,4.712,10.258,75.675,21.212,24.315,45.528,211.701
2018-01-01,96.486,15.29,2.581,0.259,114.617,85.17,4.577,11.218,87.245,21.462,24.363,45.826,234.036
2018-02-01,82.108,14.578,5.243,0.284,102.213,84.596,4.347,13.18,79.039,18.849,22.924,41.774,222.936
2018-03-01,95.716,20.149,3.18,0.295,119.339,87.866,4.663,17.091,90.196,19.658,24.334,43.993,243.81
2018-04-01,89.654,19.79,4.423,0.286,114.154,95.502,4.053,20.48,90.098,15.966,22.632,38.598,248.731
2018-05-01,103.559,21.288,7.906,0.264,133.018,103.447,4.718,23.16,81.655,17.231,22.935,40.166,253.145
2018-06-01,97.765,22.657,2.966,0.039,123.427,93.837,4.435,25.07,84.218,18.98,22.88,41.86,249.419
2018-07-01,101.332,21.252,3.474,0.002,126.06,85.31,4.673,22.831,56.065,20.821,22.76,43.581,212.459
2018-08-01,104.42,23.779,3.838,0.226,132.263,74.751,4.664,22.634,67.661,19.835,22.938,42.772,212.482
2018-09-01,89.823,21.725,6.191,0.429,118.167,65.032,4.531,20.168,63.128,16.949,20.517,37.466,190.324
2018-10-01,99.003,21.747,6.102,0.303,127.155,66.283,4.344,16.808,72.231,16.629,22.579,39.208,198.874
2018-11-01,95.283,20.119,6.192,0.315,121.909,74.316,4.541,12.662,75.033,17.001,22.758,39.759,206.311
2018-12-01,97.267,20.531,5.169,0.433,123.4,77.285,4.82,10.518,82.849,17.681,23.401,41.083,216.553
2019-01-01,89.286,15.847,6.449,0.308,111.889,84.133,4.599,12.099,82.82,19.476,21.712,41.188,224.838
2019-02-01,90.163,16.62,6.2,0.343,113.326,77.698,4.272,12.957,77.105,16.079,19.469,35.547,207.58
2019-03-01,94.937,20.275,7.461,0.415,123.088,89.421,4.703,19.93,87.845,16.137,21.217,37.354,239.253
2019-04-01,93.5,19.943,7.637,0.446,121.526,94.495,4.187,22.827,98.565,13.692,19.918,33.61,253.684
2019-05-01,102.766,21.633,9.551,0.438,134.388,108.694,4.451,24.21,87.882,16.091,20.539,36.629,261.866
2019-06-01,100.01,20.293,7.388,0.264,127.954,95.416,4.416,26.948,76.518,16.26,20.434,36.694,239.993
2019-07-01,100.363,21.643,9.092,0.301,131.399,84.577,4.579,27.477,75.352,18.751,21.015,39.766,231.75
2019-08-01,99.555,20.712,8.2,0.157,128.624,76.785,4.649,26.623,68.116,19.268,21.21,40.478,216.65
2019-09-01,92.905,19.151,7.949,0.372,120.376,62.99,4.566,23.044,83.574,16.857,19.658,36.515,210.689
2019-10-01,101.146,19.079,8.71,0.348,129.283,62.208,3.763,20.609,94.166,14.635,20.567,35.202,215.948
2019-11-01,98.704,17.395,8.561,0.339,125,68.713,3.212,14.75,85.845,15.714,20.365,36.079,208.599
2019-12-01,98.289,18.721,12.208,0.53,129.748,72.927,3.89,11.681,90.814,17.565,21.51,39.075,218.387
2020-01-01,95.039,16.795,7.574,0.324,119.732,83.179,3.795,15.091,95.868,17.381,21.909,39.29,237.222
2020-02-01,87.22,18.248,8.928,0.305,114.701,87.83,4.057,18.829,99.24,16.405,20.123,36.528,246.484
2020-03-01,76.048,18.7,8.163,0.381,103.292,80.807,4.852,21.486,99.951,15.711,21.753,37.464,244.561
2020-04-01,53.887,18.888,8.01,0.415,81.201,78.702,4.57,26.813,101.426,12.738,20.05,32.788,244.299
2020-05-01,77.816,18.794,7.836,0.291,104.737,101.852,4.516,32.672,96.744,13.94,20.515,34.455,270.239
2020-06-01,89.698,19.878,11.465,0.334,121.375,95.21,4.233,32.672,102.83,14.003,18.948,32.952,267.896
2020-07-01,89.466,22.821,8.008,0.548,120.843,90.955,4.439,35.92,77.751,16.332,20.008,36.34,245.405
2020-08-01,88.49,20.951,8.848,0.321,118.61,79.17,4.411,31.547,78.346,17.728,20.411,38.14,231.614
2020-09-01,87.784,21.788,9.26,0.434,119.266,63.499,4.28,26.18,78.823,14.776,19.216,33.992,206.774
2020-10-01,84.297,20.65,6.306,0.17,111.423,63.952,4.262,24.001,97.982,14.15,19.418,33.568,223.765
2020-11-01,86.544,19.683,10.175,0.348,116.75,71.006,4.633,19.532,112.632,15.476,19.153,34.629,242.432
2020-12-01,88.057,22.216,12.913,0.331,123.516,73.048,4.636,17.258,108.772,16.733,20.694,37.427,241.142
2021-01-01,78.469,13.393,9.672,0.377,101.911,83.42,4.445,18.845,102.49,17.876,20.393,38.269,247.469
2021-02-01,73.766,16.667,9.579,0.838,100.85,68.42,4.258,21.473,91.077,16.997,18.2,35.197,220.424
2021-03-01,92.754,19.211,12.421,0.993,125.378,71.976,4.179,31.503,133.659,16.421,20.288,36.71,278.025
2021-04-01,87.594,18.95,12.764,0.908,120.216,65.777,4.267,36.911,123.279,13.495,18.849,32.343,262.577
2021-05-01,99.041,19.655,14.314,0.583,133.593,79.163,4.379,42.231,115.204,14.807,19.533,34.34,275.317
2021-06-01,97.062,17.469,13.195,0.729,128.455,79.739,4.221,41.351,90.935,16.692,18.817,35.509,251.754
2021-07-01,99.871,18.595,11.401,0.733,130.6,75.059,4.474,41.332,74.046,18.876,19.405,38.282,233.193
2021-08-01,96.883,19.432,14.521,0.77,131.606,69.049,4.42,40.57,92.309,18.713,19.031,37.744,244.093
2021-09-01,91.534,17.515,10.779,0.598,120.426,57.759,4.437,38.025,98.864,16.258,18.615,34.873,233.959
2021-10-01,101.12,19.414,17.107,0.926,138.566,58.138,4.335,31.427,109.837,14.29,18.228,32.518,236.255
2021-11-01,96.115,18.47,16.049,1.328,131.962,65.757,4.509,26.43,121.888,15.476,18.099,33.575,252.159
2021-12-01,95.357,19.431,16.299,1.323,132.41,80.077,4.871,20.657,135.867,16.845,20.007,36.853,278.325
2022-01-01,86.455,14.361,15.974,0.961,117.75,82.218,5.016,26.52,127.562,17.811,15.895,33.706,275.021
2022-02-01,80.576,14.953,14.395,1.215,111.14,72.391,4.241,30.603,128.337,17.163,14.617,31.78,267.351
2022-03-01,95.517,18.175,17.546,1.484,132.721,82.917,4.389,39.639,146.707,16.187,16.052,32.24,305.891
2022-04-01,89.113,18.952,16.824,2.2,127.089,68.046,4.374,45.42,157.409,13.955,14.274,28.229,303.478
2022-05-01,96.802,17.312,17.889,2.019,134.022,79.323,4.528,51.254,143.632,15.161,14.275,29.435,308.173
2022-06-01,96.477,18.53,22.063,2.098,139.168,88.362,4.355,54.406,115.143,16.757,14.582,31.339,293.605
2022-07-01,93.54,17.756,17.976,2.35,131.623,83.555,4.577,53.438,100.512,18.506,15.01,33.516,275.599
2022-08-01,99.089,18.248,21.136,2.518,140.991,71.823,4.62,49.142,84.296,18.572,14.618,33.189,243.07
2022-09-01,89.642,17.053,18.952,2.414,128.061,57.825,4.536,45.035,93.2,16.381,13.985,30.366,230.962
2022-10-01,97.994,19.168,21.938,2.556,141.657,48.794,4.43,40.485,111.643,14.469,14.335,28.804,234.157
2022-11-01,94.097,20.024,18.157,2.344,134.622,60.797,4.766,28.473,140.464,15.388,14.234,29.622,264.121
2022-12-01,92.132,17.031,21.816,3.327,134.306,69.325,5.057,22.979,131.884,17.341,14.611,31.953,261.197
2023-01-01,90.687,17.401,23.911,3.334,135.332,77.248,4.845,26.486,130.797,16.688,15.004,31.693,271.069
2023-02-01,81.093,16.925,23.691,2.269,123.978,67.725,4.441,32,141.242,14.736,13.505,28.241,273.649
2023-03-01,96.827,19.96,28.277,3.268,148.332,72.326,4.92,41.413,148.609,15.576,14.339,29.915,297.183
2023-04-01,90.155,17.202,28.201,2.699,138.257,67.225,4.625,51.045,145.755,12.12,13.189,25.309,293.959
2023-05-01,97.129,22.664,38.088,3.419,161.3,93.969,4.59,58.601,109.887,14.177,14.269,28.446,295.492
2023-06-01,97.221,22.801,34.714,3.045,157.78,73.305,4.413,60.504,93.941,15.096,13.541,28.637,260.799
2023-07-01,95.132,20.907,29.465,3.367,148.871,74.673,4.422,64.105,95.521,16.089,14.199,30.288,269.009
2023-08-01,100.564,21.531,36.992,2.212,161.299,72.377,4.323,60.216,96.837,16.191,14.2,30.391,264.143
2023-09-01,90.662,23.053,34.043,3.442,151.2,57.496,4.485,52.885,96.702,13.19,13.211,26.402,237.97
2023-10-01,99.896,22.426,33.081,3.559,158.961,53.26,4.845,47.935,122.834,12.213,13.899,26.112,254.985
2023-11-01,94.017,21.216,26.787,3.337,145.357,57.866,4.912,35.444,124.273,13.177,13.783,26.96,249.455
2023-12-01,93.561,20.187,38.786,4.238,156.773,64.598,5.025,30.947,129.711,14.817,15.103,29.921,260.202
2024-01-01,86.098,19.867,30.78,3.442,140.188,74.42,4.847,33.003,118.764,15.329,14.281,29.61,260.644
2024-02-01,87.475,21.375,36.877,3.128,148.854,68.231,4.497,42.305,141.34,12.205,12.639,24.844,281.217
2024-03-01,93.933,19.96,38.629,3.17,155.692,79.176,4.394,53.57,155.16,12.473,13.367,25.84,318.14
2024-04-01,86.422,22.462,37.463,3.519,149.866,65.791,4.555,64.629,161.07,11.26,12.222,23.482,319.527
2024-05-01,102.799,21.48,38.024,2.371,164.674,76.79,4.249,75.021,131.584,13.454,13.092,26.546,314.19
2024-06-01,92.276,21.803,42.884,3.176,160.14,71.876,4.333,82.088,129.785,13.321,12.664,25.985,314.067
2024-07-01,99.328,20.384,48.544,3.427,171.682,71.97,4.526,81.836,95.169,13.531,13.461,26.992,280.492
2024-08-01,98.993,19.424,43.667,2.953,165.038,72.53,4.479,81.311,97.852,14.077,13.579,27.656,283.828
2024-09-01,93.142,18.85,41.771,3.697,157.46,56.564,4.341,68.204,98.585,12.531,12.865,25.396,253.089
