Month,"Electricity Net Generation From Coal, Commercial Sector","Electricity Net Generation From Petroleum, Commercial Sector","Electricity Net Generation From Natural Gas, Commercial Sector","Electricity Net Generation From Waste, Commercial Sector","Electricity Net Generation Total (including from sources not shown), Commercial Sector","Electricity Net Generation From Coal, Industrial Sector","Electricity Net Generation From Petroleum, Industrial Sector","Electricity Net Generation From Natural Gas, Industrial Sector","Electricity Net Generation From Other Fossil Gases, Industrial Sector","Electricity Net Generation From Hydroelectric Power, Industrial Sector","Electricity Net Generation From Wood, Industrial Sector","Electricity Net Generation From Waste, Industrial Sector","Electricity Net Generation Total (including from sources not shown), Industrial Sector"
1997-06-01,84.922,36.966,474.06,194.211,804.9,1962.329,488.813,6168.391,971.026,549.545,1872.846,73.179,12377.841
1997-07-01,97.181,49.841,673.079,202.238,1036.776,1948.591,659.057,6907.689,1003.394,504.89,2285.632,76.203,13686.893
1997-08-01,94.446,42.363,620.348,204.358,974.612,2068.631,560.175,6903.247,1003.394,429.124,2456.252,77.002,13799.261
1997-09-01,88.073,42.237,537.784,174.548,854.288,1971.927,558.508,6396.665,971.026,373.189,2286.281,65.77,12915.08
1997-10-01,88.409,38.973,387.769,207.369,735.975,2007.753,515.342,6064.157,1003.394,394.495,3169.77,78.137,13534.484
1997-11-01,84.938,36.589,283.699,196.205,613.507,1941.089,483.82,5944.531,971.026,378.165,2499.432,73.93,12583.706
1997-12-01,93.577,40.511,314.119,204.882,665.398,1923.913,535.687,6393.689,1003.394,412.527,2171.249,77.2,12819.096
1998-01-01,85.412,22.203,258.021,166.994,548.112,1838.096,360.019,6378.182,948.677,476.708,3020.89,62.914,13375.312
1998-02-01,74.403,19.756,203.225,168.792,480.557,1779.471,320.339,5761.393,856.87,496.191,1935.338,63.591,11474.973
1998-03-01,78.777,30.166,296.436,198.922,619.773,1809.97,489.142,6228.953,948.677,524.177,2228.622,74.942,12594.31
1998-04-01,72.122,23.684,291.577,194.882,596.593,1844.435,384.044,5843.215,918.075,473.228,2246.139,73.42,12063.033
1998-05-01,79.251,33.127,429.794,214.558,772.963,1807.882,537.158,6213.072,948.677,549.122,2374.918,80.833,12801.489
1998-06-01,85.818,42.182,553.127,173.33,868.797,1899.59,683.984,6562.178,918.075,534.982,1233.041,65.301,12177.628
1998-07-01,94.265,47.294,665.657,198.786,1020.486,1887.393,766.872,7280.646,948.677,474.075,2332.338,74.891,14054.719
1998-08-01,93.967,45.315,675.928,199.199,1027.774,1990.006,734.786,7430.586,948.677,415.38,2480.328,75.047,14364.637
1998-09-01,84.545,36.619,569.933,191.679,894.44,1878.188,593.78,6797.387,918.075,344.509,2418.922,72.213,13303.551
1998-10-01,78.749,25.498,377.545,211.058,704.181,1925.739,413.461,6219.49,948.677,312.387,2690.647,79.514,12879.742
1998-11-01,75.194,25.716,271.187,173.493,556.53,1845.015,416.996,5915.341,918.075,331.178,2107.582,65.362,11880.025
1998-12-01,82.964,31.19,286.784,243.356,657.882,1831.134,505.753,6454.867,948.677,416.634,2623.774,91.683,13162.349
1999-01-01,87.295,48.895,268.034,180.679,597.503,1771.091,686.528,6498.948,1063.257,439.6,2859.277,51.826,13700.469
1999-02-01,74.94,38.852,227.266,191.525,544.281,1711.494,545.513,5906.255,960.361,427.283,1996.908,54.937,11900.764
1999-03-01,79.743,41.531,308.817,195.411,638.131,1743.388,583.137,6324.416,1063.257,477.708,1591.809,56.051,12169.709
1999-04-01,75.171,35.019,378.069,213.633,713.344,1762.628,491.702,6301.265,1028.959,407.109,2338.435,61.278,12710.675
1999-05-01,78.578,36.219,402.26,226.146,755.778,1719.535,508.554,6225.788,1063.257,431.794,3091.049,64.867,13434.788
1999-06-01,85.615,39.941,479.174,217.319,834.518,1816.178,560.807,6396.474,1028.959,455.181,2138.613,62.335,12777.847
1999-07-01,97.079,57.689,633.911,204.342,1005.578,1797.032,810.009,7241.217,1063.257,442.061,2713.142,58.613,14455.274
1999-08-01,93.882,47.896,622.833,191.886,967.542,1915.444,672.499,7537.157,1063.257,383.098,2584.726,55.04,14541.166
1999-09-01,83.697,30.021,413.961,196.472,733.266,1807.535,421.525,6767.324,1028.959,311.106,2304.516,56.356,13016.62
1999-10-01,79.705,25.059,359.592,195.197,668.024,1850.422,351.852,6626.273,1063.257,296.379,1892.691,55.99,12466.807
1999-11-01,76.237,17.156,254.79,193.134,550.679,1799.849,240.891,6240.826,1028.959,315.151,2518.652,55.398,12519.026
1999-12-01,83.341,15.319,258.325,187.041,554.412,1779.624,215.098,6727.197,1063.257,371.837,2030.54,53.65,12571.147
2000-01-01,99.52,28.555,266.104,161.96,567.002,1823.802,369.961,6557.751,1010.19,380.281,1786.02,68.484,12391.948
2000-02-01,88.917,19.058,236.985,168.068,523.429,1763.666,246.913,6216.264,945.016,337.38,2395.895,71.067,12346.147
2000-03-01,87.528,17.797,295.922,191.549,604.835,1807.365,230.58,6325.18,1010.19,400.696,2512.921,80.996,12763.386
2000-04-01,79.189,18.611,306.918,190.862,608.144,1828.716,241.117,6178.201,977.603,427.507,2383.46,80.705,12500.012
2000-05-01,86.779,34.374,427.259,204.924,765.406,1780.411,445.342,6697.01,1010.19,411.467,2269.912,86.652,13096.443
2000-06-01,94.249,44.259,428.443,164.901,742.841,1880.408,573.411,6636.136,977.603,377.919,1981.786,69.728,12879.692
2000-07-01,97.463,41.916,514.205,172.412,837.017,1855.327,543.057,6926.506,1010.19,362.094,2421.378,72.904,13586.914
2000-08-01,101.313,52.003,562.642,165.072,891.338,1959.916,673.741,7595.117,1010.19,329.839,2490.464,69.8,14524.526
2000-09-01,90.421,44.817,401.174,157.591,702.574,1854.105,580.644,6527.688,977.603,267.11,2252.527,66.637,12909.017
2000-10-01,88.745,34.46,303.342,169.948,605.292,1897.57,446.457,6326.54,1010.19,257.889,2729.465,71.862,13135.431
2000-11-01,86.797,29.412,254.076,156.57,536.31,1817.386,381.06,6227.427,977.603,287.521,2668.641,66.205,12808.544
2000-12-01,96.412,66.731,264.654,81.057,518.587,1787.301,864.567,6584.619,1010.19,295.454,2759.366,34.275,13731.229
2001-01-01,88.255,61.487,361.115,75.801,628.822,1895.413,654.373,6766.808,678.131,234.487,2432.743,58.38,13127.989
2001-02-01,85.972,38.837,311.356,73.02,547.831,1590.27,486.058,6019.49,633.476,235.365,2070.528,40.553,11420.986
2001-03-01,83.168,37.545,321.413,72.378,553.025,1733.778,488.764,6590.009,723.858,338.019,2172.248,48.417,12453.544
2001-04-01,64.924,31.752,330.541,78.516,550.152,1571.968,415.628,6099.106,654.54,282.952,2204.419,66.409,11673.566
2001-05-01,72.607,32.702,333.768,86.998,574.821,1477.07,423.577,6317.113,734.023,293.439,2079.752,37.984,11751.117
2001-06-01,84.03,32.773,343.752,87.659,597.509,1643.875,377.162,6404.978,682.105,291.048,2133.849,37.739,11948.707
2001-07-01,100.687,35.821,454.677,91.984,732.236,1818.132,418.723,7029.607,781.274,241.743,2303.683,42.326,13047.543
2001-08-01,114.95,39.482,525.052,88.066,814.2,1948.622,419.425,7191.394,790.51,316.406,2410.199,43.057,13566.189
2001-09-01,83.633,31.005,387.876,87.459,635.533,1624.832,385.655,6781.559,719.972,242.845,2171.31,50.135,12411.656
2001-10-01,72.099,35.583,384.088,85.536,622.306,1640.38,417.232,6845.2,692.996,206.277,2414.604,51.766,12720.558
2001-11-01,68.24,29.447,326.601,80.985,548.085,1576.037,381.105,6670.219,652.527,197.66,2222.864,63.114,12230.486
2001-12-01,76.595,31.896,354.076,98.924,611.425,1614.27,425.299,7039.639,710.264,265.028,2272.284,56.517,12822.333
2002-01-01,84.573,35.433,354.873,73.437,597.082,1752.494,390.094,7230.514,721.409,295.887,2447.649,75.986,13173.316
2002-02-01,70.444,36.423,290.971,61.428,499.684,1548.494,326.987,6484.34,652.866,278.733,2190.061,70.1,11849.861
2002-03-01,84.219,31.949,338.116,74.891,572.724,1677.405,359.314,7000.978,743.453,276.022,2183.658,83.255,12653.905
2002-04-01,65.728,27.048,327.6,77.289,546.2,1740.876,343.304,6118.276,759.082,316.598,2534.67,66.298,12175.69
2002-05-01,68.897,27.44,314.351,93.036,565.566,1691.277,332.909,6760.506,781.189,286.777,2458.575,64.694,12591.785
2002-06-01,83.166,29.59,378.161,92.232,641.734,1848.27,338.332,6566.563,868.28,254.516,2646.094,65.03,12828.794
2002-07-01,101.456,38.318,447.6,94.968,742.651,2091.979,370.744,7078.755,873.299,273.308,2638.403,79.071,13819.932
2002-08-01,102.287,37.302,489.621,106.967,796.532,1891.239,349.748,7051.277,915.02,276.942,2588.885,78.246,13438.332
2002-09-01,87.654,33.652,391.831,103.209,675.759,1781.562,338.831,6388.21,872.267,246.916,2504.707,69.324,12627.551
2002-10-01,77.828,30.956,343.622,94.708,600.469,1826.652,394.58,5925.48,736.911,342.621,2606.789,56.468,12362.866
2002-11-01,78.358,37.831,293.634,95.947,554.462,1803.551,432.03,6130.622,729.534,447.129,2404.589,71.898,12361.207
2002-12-01,87.623,65.371,339.179,84.604,621.65,1871.51,425.941,6277.42,839.51,529.199,2439.123,65.609,12696.543
2003-01-01,103.301,38.861,324.501,100.239,617.462,1853.647,512.958,7305.042,1017.116,355.537,2405.045,71.661,13925.885
2003-02-01,98.56,33.11,288.987,86.087,550.453,1600.633,424.741,6217.033,894.209,300.534,2140.928,64.579,11999.093
2003-03-01,101.861,31.319,291.376,110.65,594.258,1576.958,444.267,6448.513,1037.79,365.838,2294.782,65.23,12636.95
2003-04-01,95.826,19.689,292.663,111.865,580.725,1495.319,408.871,6177.577,1061.214,240.229,2304.994,66.735,12158.832
2003-05-01,91.458,30.334,307.322,109.652,598.377,1597.522,419.803,6529.295,1058.792,385.855,2257.966,47.012,12705.532
2003-06-01,97.428,36.731,318.504,111.316,624.179,1628.361,450.294,6580.104,1030.574,362.514,2283.676,46.471,12763.317
2003-07-01,112.33,42.686,372.624,118.038,708.92,1734.166,476.634,6942.356,1079.969,364.367,2476.563,58.514,13571.459
2003-08-01,114.559,44.347,387.154,113.202,718.393,1748.009,448.9,7089.65,1080.712,369.045,2420.969,58.607,13677.708
2003-09-01,100.254,35.877,342.748,106.727,639.986,1566.535,405.59,6569.59,1104.893,331.819,2277.862,54.904,12744.085
2003-10-01,93.227,32.777,339.623,111.117,636.18,1652.147,458.658,6462.161,1110.341,330.0,2350.031,57.578,12815.926
2003-11-01,93.611,33.512,313.433,97.517,587.573,1593.386,365.624,6072.384,1241.668,346.464,2324.185,60.255,12376.714
2003-12-01,103.387,44.249,319.873,112.506,639.672,1770.441,468.611,6311.637,1235.65,470.219,2451.369,63.898,13154.251
2004-01-01,119.958,72.179,306.784,128.686,694.315,1822.611,827.029,6720.727,931.607,327.764,2470.662,67.687,13554.862
2004-02-01,118.979,51.522,299.582,118.326,654.27,1601.213,513.114,6359.297,916.963,278.636,2217.755,73.477,12347.637
2004-03-01,117.24,45.064,287.496,116.827,634.323,1619.758,486.638,6491.92,1004.762,273.057,2312.688,77.126,12670.195
2004-04-01,92.806,45.105,276.241,130.309,622.992,1547.569,429.74,6232.012,1034.512,205.405,2393.704,75.561,12333.632
2004-05-01,106.538,39.194,330.616,137.625,699.294,1622.301,441.443,6742.858,980.224,195.69,2268.363,83.092,12764.916
2004-06-01,116.538,36.812,333.574,134.065,701.932,1683.266,476.391,6619.707,1025.149,189.879,2345.156,70.955,12852.644
2004-07-01,123.941,42.194,380.693,138.329,763.172,1767.882,514.626,7149.154,958.796,200.712,2518.728,71.316,13636.525
2004-08-01,121.491,40.288,375.668,136.645,749.416,1687.323,452.666,6923.493,997.288,223.808,2427.982,76.721,13181.097
2004-09-01,111.51,31.286,360.6,131.289,706.767,1548.314,379.106,6581.327,1027.152,313.837,2299.469,46.593,12586.199
2004-10-01,92.826,28.422,351.934,127.337,673.365,1608.492,366.815,6161.079,982.864,291.06,2441.14,48.567,12300.86
2004-11-01,105.55,29.357,316.147,129.56,656.056,1563.713,417.423,6224.286,910.038,347.73,2288.01,52.454,12237.267
2004-12-01,112.624,38.025,349.942,132.796,713.784,1700.396,662.311,6753.261,914.844,400.916,2383.429,53.44,13459.345
2005-01-01,119.278,58.332,349.834,137.075,737.182,1647.107,603.89,6109.225,824.139,338.84,2435.629,72.083,12488.624
2005-02-01,115.062,37.565,310.432,123.959,655.822,1534.741,431.898,5610.655,775.596,264.603,2218.313,53.391,11278.515
2005-03-01,114.295,29.937,350.143,136.856,702.428,1635.384,449.123,6076.935,836.136,295.475,2379.751,60.45,12131.688
2005-04-01,90.946,22.503,342.863,124.819,648.839,1531.935,443.911,5730.832,793.307,274.888,2318.092,56.853,11511.509
2005-05-01,93.896,22.005,341.269,146.74,686.285,1518.735,369.156,6072.684,863.515,262.377,2311.473,59.692,11852.56
2005-06-01,119.547,28.004,386.061,149.73,762.889,1600.236,396.269,6717.467,848.377,296.026,2314.594,60.436,12662.256
2005-07-01,129.532,32.658,440.269,148.854,823.476,1748.277,509.592,7402.315,862.108,291.311,2436.452,63.954,13820.666
2005-08-01,125.87,30.776,454.218,142.902,820.834,1717.929,469.126,7455.696,882.894,221.66,2423.84,67.069,13862.065
2005-09-01,115.401,29.123,363.704,140.911,717.819,1618.75,392.73,5898.395,855.221,218.136,2338.939,68.043,11818.508
2005-10-01,102.465,26.532,318.322,129.295,643.974,1602.933,423.415,4757.092,768.381,220.759,2386.092,55.323,10553.43
2005-11-01,107.799,20.951,290.225,136.919,626.752,1598.675,400.802,5162.443,660.496,222.453,2327.47,57.566,10797.352
2005-12-01,118.971,36.417,301.683,138.695,665.363,1711.405,478.448,5888.569,716.818,288.913,2379.888,57.693,11962.02
2006-01-01,118.415,26.812,321.677,141.087,683.837,1639.489,419.253,6536.097,813.781,356.736,2495.263,54.546,12720.128
2006-02-01,112.652,30.497,300.362,130.037,643.478,1488.491,367.825,5815.06,811.387,281.238,2187.485,45.856,11357.077
2006-03-01,100.945,30.522,335.758,113.328,642.559,1635.208,360.372,6133.3,884.758,210.486,2300.753,44.162,12046.18
2006-04-01,88.239,21.412,307.25,130.627,624.737,1608.037,320.129,5733.705,836.367,185.459,2293.152,42.92,11445.015
2006-05-01,98.682,15.704,364.761,149.523,713.215,1621.045,329.183,6585.976,880.975,181.6,2278.24,51.012,12380.318
2006-06-01,113.523,13.764,383.314,130.697,723.669,1673.171,324.918,6492.923,792.54,176.599,2291.026,42.771,12175.765
2006-07-01,126.534,17.36,437.679,132.209,783.315,1743.129,336.304,7186.852,888.801,219.52,2523.458,50.433,13374.776
2006-08-01,129.322,16.808,437.115,131.288,779.566,1749.272,372.869,7249.148,879.671,182.462,2500.314,47.708,13394.135
2006-09-01,101.836,12.133,369.319,129.36,681.526,1589.331,343.721,6388.307,818.303,202.279,2387.686,43.826,12193.169
2006-10-01,96.965,11.076,391.689,134.681,703.832,1618.568,285.997,6716.025,854.78,278.53,2360.724,47.632,12645.125
2006-11-01,109.967,14.862,347.812,136.089,681.728,1512.26,338.34,6141.946,733.515,358.207,2327.906,49.55,11905.637
2006-12-01,113.066,24.011,357.873,139.719,709.45,1585.843,424.307,6689.946,728.362,265.932,2454.009,52.031,12616.945
2007-01-01,119.524,26.843,318.427,130.701,668.925,1367.115,393.642,7347.536,779.104,180.362,2389.88,56.01,12893.836
2007-02-01,120.417,44.315,309.499,109.451,640.621,1283.222,411.953,5686.152,669.113,138.135,2169.162,53.383,10779.34
2007-03-01,114.824,23.603,322.851,128.083,659.406,1423.206,404.005,5855.406,889.341,183.091,2265.684,63.322,11481.171
2007-04-01,100.342,15.962,318.558,127.458,638.504,1350.306,391.114,5708.016,848.197,184.978,2326.96,44.778,11236.358
2007-05-01,107.768,9.068,341.101,137.506,679.689,1414.173,389.73,6137.446,858.658,167.658,2286.954,46.279,11697.425
2007-06-01,111.759,10.937,374.344,135.802,706.841,1407.31,349.05,6249.399,822.863,120.945,2324.591,47.413,11709.461
2007-07-01,115.661,7.909,418.609,145.913,762.541,1454.654,344.233,6907.175,815.195,89.045,2493.706,48.927,12549.782
2007-08-01,126.669,13.214,434.023,136.049,774.023,1492.03,358.204,7509.563,790.848,76.323,2462.627,50.227,13157.459
2007-09-01,113.413,7.473,363.993,134.111,684.075,1389.455,278.051,6656.699,798.221,75.866,2382.838,46.389,11997.302
2007-10-01,107.133,6.949,374.469,141.805,705.795,1431.084,293.818,6662.968,754.668,96.638,2376.47,56.227,12079.822
2007-11-01,114.997,6.243,334.884,138.702,667.281,1331.858,295.115,6270.491,699.49,122.667,2389.553,61.308,11527.837
2007-12-01,118.624,16.836,346.632,133.217,685.695,1349.744,334.393,6589.645,685.525,154.273,2418.951,57.19,12018.289
2008-01-01,116.847,19.992,395.376,116.832,708.759,1421.962,332.751,7007.849,770.149,163.051,2375.669,61.027,12453.448
2008-02-01,106.69,14.219,346.376,113.695,636.268,1216.662,278.341,6235.823,725.187,157.502,2136.177,81.855,11177.53
2008-03-01,79.323,9.19,352.455,116.94,618.901,1380.191,286.383,6318.683,775.362,174.361,2236.501,70.171,11600.992
2008-04-01,88.3,8.252,306.722,134.547,613.693,1308.103,250.715,5974.303,740.799,173.746,2173.724,67.472,11048.789
2008-05-01,96.172,7.907,292.248,136.577,609.449,1347.07,235.316,6313.691,731.969,169.632,2173.043,55.475,11419.784
2008-06-01,116.003,12.499,330.264,138.607,675.122,1327.182,273.199,6604.818,807.262,128.45,2228.817,54.64,11821.926
2008-07-01,121.803,16.726,384.465,133.597,727.566,1403.346,235.525,7402.209,832.048,121.62,2337.177,90.734,12855.19
2008-08-01,117.289,9.156,389.866,132.361,715.479,1377.701,247.945,7258.343,831.217,117.353,2358.032,72.2,12659.58
2008-09-01,105.884,7.022,366.225,128.706,674.507,1317.387,275.672,5499.569,629.981,95.837,2163.202,51.872,10360.147
2008-10-01,100.924,7.941,344.458,126.362,641.599,1276.181,247.827,6315.333,584.879,95.21,2260.603,76.811,11136.642
2008-11-01,99.485,11.197,319.705,128.414,623.23,1165.523,229.428,5652.94,549.139,118.842,2164.861,67.677,10201.13
2008-12-01,112.402,18.125,359.628,127.005,681.079,1161.236,326.064,5837.741,529.181,160.285,2033.083,71.461,10378.014
2009-01-01,105.384,44.107,362.107,131.359,716.913,1194.253,323.583,6059.402,587.005,165.146,2038.98,74.98,10759.626
2009-02-01,92.296,19.412,333.149,120.13,626.888,1080.746,299.432,5641.779,571.327,143.626,1918.653,58.901,10039.697
2009-03-01,86.109,11.211,344.205,145.183,668.14,1130.461,261.195,6021.75,594.721,193.239,2053.78,64.759,10677.669
2009-04-01,73.874,10.832,323.694,145.018,633.327,1058.326,238.584,5534.259,526.765,190.732,1941.341,63.17,9909.955
2009-05-01,76.365,9.452,310.37,154.977,639.925,1069.938,234.589,5710.053,539.055,186.995,1984.351,44.343,10170.224
2009-06-01,82.081,5.472,345.135,154.713,674.745,1159.711,244.052,6268.921,622.947,169.355,2067.853,45.788,10972.959
2009-07-01,95.992,8.323,393.984,155.835,732.567,1194.765,238.728,7012.536,678.039,139.71,2249.281,55.443,11968.007
2009-08-01,108.816,12.979,414.283,153.546,769.178,1235.122,238.506,7189.444,733.666,136.298,2331.996,55.005,12313.522
2009-09-01,89.359,8.302,374.333,147.506,692.524,1105.49,238.055,6810.219,724.518,95.105,2167.617,52.445,11545.318
2009-10-01,84.544,8.391,345.577,146.097,659.076,1203.974,211.917,6404.773,680.024,135.548,2205.561,72.143,11288.726
2009-11-01,94.093,10.77,311.131,151.278,647.989,1071.576,215.249,6239.39,654.696,137.163,2181.169,75.973,10974.806
2009-12-01,106.613,13.321,367.137,142.643,703.248,1181.339,219.027,6855.4,661.539,175.418,2151.576,77.517,11708.598
2010-01-01,115.985,12.875,367.282,136.77,708.875,1543.946,224.683,6958.538,633.741,169.409,2113.512,71.915,12120.169
2010-02-01,102.271,10.87,338.867,111.231,622.994,1480.793,196.644,6303.343,577.634,162.451,1966.57,64.42,11118.16
2010-03-01,91.456,8.188,350.925,133.561,660.684,1649.258,163.018,6588.054,734.646,187.729,2149.326,67.107,11936.179
2010-04-01,79.549,8.538,326.108,143.514,644.8,1257.696,168.876,6194.413,669.419,187.323,2093.66,80.422,11034.153
2010-05-01,84.431,11.952,326.498,148.905,666.374,1518.813,180.738,6476.807,737.889,164.321,2061.341,68.504,11614.438
2010-06-01,97.305,10.321,350.427,149.733,699.228,1482.078,186.824,6884.715,699.525,132.491,2137.147,67.619,12075.28
2010-07-01,109.907,17.584,458.696,145.679,811.74,1712.66,194.495,7204.759,695.778,107.375,2245.74,75.333,12718.293
2010-08-01,104.579,11.365,489.522,151.532,838.226,1792.267,188.781,7700.806,811.7,99.064,2242.516,77.822,13395.186
2010-09-01,89.054,9.292,421.074,148.458,750.023,1499.4,165.204,7085.337,713.061,76.122,2181.646,61.8,12237.709
2010-10-01,79.849,6.532,419.254,133,712.447,1527.33,183.978,6442.824,637.492,117.495,2114.435,84.004,11562.2
2010-11-01,69.177,4.401,400.77,134.125,682.809,1300.504,195.558,6520.311,687.949,129.769,2144.537,78.858,11493.451
2010-12-01,87.783,12.082,475.712,135.763,793.399,1676.641,209.491,7222.776,743.704,134.142,2255.234,70.847,12777.047
2011-01-01,108.225,20.607,420.625,186.025,816.806,1304.027,207.139,6901.371,686.6,142.658,2307.022,81.749,12054.42
2011-02-01,104.046,11.008,366.927,169.21,724.972,1124.78,167.912,6177.233,599.873,159.681,2048.342,77.518,10769.757
2011-03-01,100.219,6.728,372.957,188.049,753.396,1161.458,160.006,6212.449,693.494,187.265,2181.245,78.108,11148.507
2011-04-01,77.057,3.875,356.703,179.041,706.346,1139.482,162.887,6415.57,673.66,184.038,2090.405,72.51,11175.08
2011-05-01,82.184,4.76,470.907,201.805,866.65,1199.018,155.621,6597.251,632.834,198.182,2032.536,65.745,11359.084
2011-06-01,90.466,2.924,462.656,200.21,860.44,1248.597,152.336,6802.323,753.352,150.065,2292.025,66.827,11937.87
2011-07-01,103.92,6.901,604.792,205.273,1023.125,1352.668,141.279,7516.589,835.641,109.371,2311.567,71.011,12867.896
2011-08-01,93.592,6.617,571.1,209.57,985.16,1388.556,138.385,7745.159,822.845,95.907,2343.381,75.662,13084.956
2011-09-01,83.778,7.348,486.589,195.418,870.331,1209.008,144.897,6952.886,751.905,121.741,2260.38,74.627,11948.391
2011-10-01,65.288,5.595,437.825,190.405,799.161,1120.003,162.415,6419.214,700.386,126.008,2145.573,86.067,11223.83
2011-11-01,62.4,6.663,436.919,195.316,799.59,1077.458,143.5,6742.101,715.076,146.214,2286.33,86.186,11663.197
2011-12-01,77.969,5.963,499.224,195.175,874.023,1165.075,154.72,7429.184,757.991,177.618,2391.829,80.759,12641.73
2012-01-01,82.728,14.862,542.608,185.687,916.283,1134.76,330.314,7096.011,753.675,274.74,2340.299,62.254,12425.237
2012-02-01,80.934,15.552,530.928,181.661,899.978,1017.494,213.766,6770.986,788.253,240.197,2197.293,72.497,11699.114
2012-03-01,73.871,12.148,536.711,188.039,911.157,1041.254,225.387,6712.958,815.269,234.094,2139.817,82.012,11681.51
2012-04-01,66.018,17.308,509.966,187.461,888.418,935.122,199.381,6570.594,802.887,178.465,1986.088,78.721,11157.89
2012-05-01,68.915,11.944,540.85,192.58,929.948,984.043,191.077,7185.668,758.076,212.061,2122.486,75.028,11988.43
2012-06-01,78.58,21.006,585.437,180.001,975.322,1035.221,206.938,7327.09,719.263,174.573,2144.427,62.435,12090.887
2012-07-01,83.076,18.85,716.361,197.955,1135.331,1189.295,234.393,8013.356,776.357,137.411,2302.634,79.425,13189.761
2012-08-01,81.353,18.595,619.892,208.008,1045.994,1158.71,278.563,7956.451,783.835,151.854,2308.394,85.361,13159.938
2012-09-01,66.45,14.957,536.564,195.84,929.821,1026.228,249.914,7208.707,671.954,158.947,2276.696,68.055,12069.246
2012-10-01,56.936,19.783,512.578,200.111,904.432,989.914,229.19,7005.744,669.962,192.289,2235.487,93.532,11841.207
2012-11-01,67.267,15.69,488.477,199.102,876.465,1012.039,279.57,7079.59,664.244,212.513,2277.043,96.339,12052.239
2012-12-01,76.851,15.519,482.512,202.739,887.605,1079.031,283.077,7573.055,709.436,186.049,2394.495,92.836,12751.151
2013-01-01,88.676,20.217,562.302,203.772,981.366,1063.921,253.329,7607.525,758.795,323.544,2385.745,104.741,12924.279
2013-02-01,80.525,14.976,511.893,179.393,887.644,982.584,164.351,6801.335,643.576,363.154,2189.62,92.011,11641.956
2013-03-01,77.837,7.36,573.693,211.572,995.128,1086.483,210.415,7386.587,752.02,302.263,2309.6,99.343,12575.762
2013-04-01,62.674,7.113,541.37,203.552,945.954,985.765,209.614,6868.674,697.705,250.428,2085.856,119.787,11580.301
2013-05-01,69.311,8.351,546.198,221.793,981.341,1063.464,254.636,7025.488,720.537,327.91,2254.295,107.282,12146.636
2013-06-01,75.353,6.73,592.783,216.998,1025.916,1047.718,236.992,7350.771,698.993,328.292,2334.608,106.456,12510.51
2013-07-01,76.093,12.77,778.758,229.285,1235.683,1137.615,246.525,8033.319,767.359,320.436,2441.088,117.674,13501.705
2013-08-01,71.203,7.294,697.085,232.955,1147.248,1066.452,244.587,7856.122,766.707,240.35,2429.565,120.156,13195.477
2013-09-01,60.081,6.404,652.042,216.382,1072.671,1003.589,208.038,7217.782,713.842,239.145,2262.675,108.119,12230.137
2013-10-01,48.725,7.443,550.163,216.87,961.327,1005.045,202.404,7165.396,666.888,238.826,2296.358,121.019,12181.896
2013-11-01,60.264,8.642,525.308,210.828,935.767,1021.856,135.149,7394.956,693.853,206.348,2293.934,121.745,12316.549
2013-12-01,67.814,16.405,622.681,223.436,1063.625,1089.173,165.035,8024.558,650.414,322.3,2407.582,127.335,13209.864
2014-01-01,76.174,102.589,651.217,243.263,1217.977,1104.891,184.914,7440.602,666.772,119.506,2342.639,115.82,12391.332
2014-02-01,78.582,38.108,532.935,199.086,961.002,998.292,146.91,6679.747,606.401,103.695,2105.15,102.71,11111.613
2014-03-01,65.513,30.444,529.106,214.41,971.856,1086.854,158.691,7104.526,650.821,114.458,2311.02,122.502,11937.119
2014-04-01,46.99,9.86,508.585,218.876,926.818,954.923,159.979,6689.948,623.563,126.521,2188.295,124.553,11250.673
2014-05-01,38.639,8.472,557.261,224.313,986.214,1008.784,165.273,6917.545,661.675,129.555,2276.035,104.937,11666.505
2014-06-01,42.118,8.321,604.903,225.273,1041.374,1064.987,167.129,6960.242,711.254,100.075,2295.313,110.244,11814.335
2014-07-01,49.632,8.929,700.766,248.022,1172.599,1105.238,165.738,7684.984,785.67,89.095,2425.901,120.005,12789.602
2014-08-01,42.082,8.194,722.249,243.902,1180.644,1080.551,169.229,7716.382,819.971,95.986,2383.599,110.891,12856.299
2014-09-01,35.533,8.82,657.266,230.904,1086.384,1013.16,162.352,7234.162,828.299,85.807,2170.535,101.971,12044.123
2014-10-01,31.432,9.776,601.18,215.292,1007.719,942.34,140.017,7028.423,747.906,93.407,2179.532,118.425,11667.457
2014-11-01,43.931,10.48,559.741,202.338,959.742,965.96,150.683,7083.153,771.852,99.118,2175.023,115.355,11797.266
2014-12-01,44.651,11.341,601.959,215.672,1007.25,1014.734,162.725,7669.751,789.501,124.803,2386.213,119.365,12756.83
2015-01-01,55.666,23.527,564.254,208.876,980.582,964.159,160.553,7673.523,852.051,121.075,2403.974,105.25,12716.784
2015-02-01,58.885,73.088,498.807,183.345,932.008,894.378,173.947,6609.429,696.244,104.678,2132.367,79.862,11070.846
2015-03-01,51.83,11.828,559.821,212.992,976.604,964.704,122.656,6752.564,763.846,130.185,2226.095,106.07,11474.73
2015-04-01,38.315,8.945,513.213,215.576,930.928,803.862,148.568,6465.119,689.589,137.72,2217.785,112.071,11005.144
2015-05-01,32.452,10.513,583.477,221.161,1013.059,880.506,134.559,6808.917,760.626,127.431,2239.032,95.094,11521.722
