Month,"Refiner Price of Residual Fuel Oil, Sulfur Content Less Than or Equal to 1 Percent, Sales for Resale","Refiner Price of Residual Fuel Oil, Sulfur Content Less Than or Equal to 1 Percent, Sales to End Users","Refiner Price of Residual Fuel Oil, Sulfur Content Greater Than 1 Percent, Sales for Resale","Refiner Price of Residual Fuel Oil, Sulfur Content Greater Than 1 Percent, Sales to End Users","Refiner Price of Residual Fuel Oil, Average, Sales for Resale","Refiner Price of Residual Fuel Oil, Average, Sales to End Users"
2020-09-01,1.098,Withheld,1,1.035,1.066,1.2
2020-10-01,1.078,Withheld,0.996,1.071,1.041,1.151
2020-11-01,1.164,Withheld,1.098,1.068,1.145,1.145
2020-12-01,1.351,Withheld,1.266,1.193,1.32,1.29
2021-01-01,1.491,Withheld,1.352,1.344,1.432,1.462
2021-02-01,1.583,Withheld,1.429,1.469,1.518,1.617
2021-03-01,1.78,Withheld,1.558,1.59,1.683,1.766
2021-04-01,1.78,Withheld,1.534,1.556,1.686,1.756
2021-05-01,1.828,Withheld,1.628,1.552,1.736,1.76
2021-06-01,1.909,Withheld,1.65,1.608,1.783,1.867
2021-07-01,1.852,Withheld,1.766,1.721,1.818,1.969
2021-08-01,1.842,Withheld,1.674,1.666,1.776,1.901
2021-09-01,1.913,Withheld,1.768,1.748,1.845,1.95
2021-10-01,2.124,Withheld,1.964,1.876,2.069,2.091
2021-11-01,2.065,Withheld,1.834,1.827,1.927,2.141
2021-12-01,1.94,2.282,1.766,1.726,1.861,2.09
2022-01-01,2.21,2.342,1.966,1.871,2.085,2.16
2022-02-01,2.415,Not Available,2.085,2.106,2.274,2.432
2022-03-01,2.932,Not Available,2.423,2.478,2.689,2.867
