Month,Population,GDP
1990-02-01,249.88333333333333,10054.191666666668
1990-03-01,250.16666666666666,10053.283333333333
1990-04-01,250.45,10052.375
1990-05-01,250.73333333333332,10051.466666666667
1990-06-01,251.01666666666665,10050.558333333334
1990-07-01,251.3,10049.650000000001
1990-08-01,251.58333333333334,10048.741666666667
1990-09-01,251.86666666666667,10047.833333333334
1990-10-01,252.15,10046.925000000001
1990-11-01,252.43333333333334,10046.016666666666
1990-12-01,252.71666666666667,10045.108333333334
1991-01-01,253.0,10044.2
1991-02-01,253.29166666666666,10073.683333333334
1991-03-01,253.58333333333334,10103.166666666668
1991-04-01,253.875,10132.650000000001
1991-05-01,254.16666666666666,10162.133333333333
1991-06-01,254.45833333333334,10191.616666666667
1991-07-01,254.75,10221.1
1991-08-01,255.04166666666666,10250.583333333334
1991-09-01,255.33333333333334,10280.066666666668
1991-10-01,255.625,10309.55
1991-11-01,255.91666666666666,10339.033333333333
1991-12-01,256.2083333333333,10368.516666666666
1992-01-01,256.5,10398.0
1992-02-01,256.7833333333333,10421.85
1992-03-01,257.06666666666666,10445.7
1992-04-01,257.35,10469.55
1992-05-01,257.6333333333333,10493.4
1992-06-01,257.91666666666663,10517.25
1992-07-01,258.2,10541.1
1992-08-01,258.48333333333335,10564.95
1992-09-01,258.76666666666665,10588.800000000001
1992-10-01,259.04999999999995,10612.650000000001
1992-11-01,259.3333333333333,10636.5
1992-12-01,259.6166666666667,10660.35
1993-01-01,259.9,10684.2
1993-02-01,260.16666666666663,10720.066666666668
1993-03-01,260.43333333333334,10755.933333333334
1993-04-01,260.7,10791.800000000001
1993-05-01,260.96666666666664,10827.666666666668
1993-06-01,261.23333333333335,10863.533333333335
1993-07-01,261.5,10899.400000000001
1993-08-01,261.76666666666665,10935.266666666666
1993-09-01,262.03333333333336,10971.133333333333
1993-10-01,262.3,11007.0
1993-11-01,262.56666666666666,11042.866666666667
1993-12-01,262.83333333333337,11078.733333333334
