Month,Geothermal Energy Consumed by the Residential Sector,Solar Energy Consumed by the Residential Sector,Wood Energy Consumed by the Residential Sector,Total Renewable Energy Consumed by the Residential Sector,Hydroelectric Power Consumed by the Commercial Sector,Geothermal Energy Consumed by the Commercial Sector,Solar Energy Consumed by the Commercial Sector,Wind Energy Consumed by the Commercial Sector,Wood Energy Consumed by the Commercial Sector,Waste Energy Consumed by the Commercial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Commercial Sector",Biomass Energy Consumed by the Commercial Sector,Total Renewable Energy Consumed by the Commercial Sector
1996-08-01,0.593,6.479,45.738,52.81,0.032,0.449,0.011,No Data Reported,6.45,3.829,0.009,10.289,10.781
1996-09-01,0.574,5.91,44.262,50.746,0.027,0.434,0.01,No Data Reported,6.204,4.502,0.009,10.715,11.187
1996-10-01,0.593,5.386,45.738,51.717,0.028,0.449,0.009,No Data Reported,6.45,5.247,0.012,11.709,12.195
1996-11-01,0.574,4.418,44.262,49.254,0.029,0.434,0.008,No Data Reported,6.238,4.86,0.014,11.112,11.584
1996-12-01,0.593,4.194,45.738,50.524,0.037,0.449,0.007,No Data Reported,6.398,5.06,0.013,11.472,11.965
1997-01-01,0.637,3.374,36.521,40.531,0.038,0.484,0.007,No Data Reported,6.258,4.156,0.021,10.436,10.964
1997-02-01,0.575,3.637,32.986,37.199,0.036,0.437,0.007,No Data Reported,5.613,4.5,0.023,10.136,10.617
1997-03-01,0.637,5.011,36.521,42.169,0.04,0.484,0.01,No Data Reported,6.219,4.498,0.025,10.742,11.276
1997-04-01,0.616,5.523,35.342,41.482,0.037,0.468,0.011,No Data Reported,6.025,5.116,0.022,11.163,11.679
1997-05-01,0.637,6.097,36.521,43.255,0.039,0.484,0.012,No Data Reported,6.232,5.299,0.023,11.554,12.089
1997-06-01,0.616,6.152,35.342,42.111,0.04,0.468,0.012,No Data Reported,6.001,4.777,0.019,10.797,11.318
1997-07-01,0.637,6.458,36.521,43.616,0.036,0.484,0.013,No Data Reported,6.225,4.974,0.026,11.226,11.759
1997-08-01,0.637,6.391,36.521,43.549,0.031,0.484,0.013,No Data Reported,6.237,5.027,0.02,11.284,11.811
1997-09-01,0.616,5.829,35.342,41.788,0.027,0.468,0.011,No Data Reported,6.029,4.293,0.023,10.345,10.852
1997-10-01,0.637,5.313,36.521,42.47,0.028,0.484,0.01,No Data Reported,6.286,5.101,0.031,11.418,11.941
1997-11-01,0.616,4.358,35.342,40.317,0.027,0.468,0.009,No Data Reported,6.044,4.826,0.025,10.895,11.399
1997-12-01,0.637,4.137,36.521,41.294,0.03,0.484,0.008,No Data Reported,6.217,5.039,0.032,11.289,11.811
1998-01-01,0.654,3.336,32.274,36.264,0.037,0.603,0.007,No Data Reported,5.476,3.873,0.027,9.376,10.023
1998-02-01,0.591,3.596,29.151,33.337,0.038,0.545,0.008,No Data Reported,4.9,3.915,0.022,8.836,9.427
1998-03-01,0.654,4.954,32.274,37.882,0.04,0.603,0.011,No Data Reported,5.43,4.614,0.025,10.068,10.723
1998-04-01,0.633,5.46,31.233,37.326,0.036,0.584,0.012,No Data Reported,5.26,4.52,0.021,9.801,10.434
1998-05-01,0.654,6.028,32.274,38.956,0.042,0.603,0.014,No Data Reported,5.438,4.977,0.019,10.434,11.093
1998-06-01,0.633,6.082,31.233,37.948,0.041,0.584,0.014,No Data Reported,5.201,4.02,0.021,9.242,9.88
1998-07-01,0.654,6.385,32.274,39.313,0.036,0.603,0.014,No Data Reported,5.436,4.611,0.022,10.068,10.722
1998-08-01,0.654,6.319,32.274,39.246,0.032,0.603,0.014,No Data Reported,5.444,4.62,0.023,10.088,10.737
1998-09-01,0.633,5.763,31.233,37.629,0.026,0.584,0.013,No Data Reported,5.27,4.446,0.024,9.739,10.362
1998-10-01,0.654,5.252,32.274,38.18,0.024,0.603,0.012,No Data Reported,5.457,4.896,0.027,10.379,11.018
1998-11-01,0.633,4.308,31.233,36.174,0.025,0.584,0.01,No Data Reported,5.252,4.024,0.024,9.3,9.919
1998-12-01,0.654,4.09,32.274,37.018,0.032,0.603,0.009,No Data Reported,5.453,5.645,0.031,11.128,11.773
1999-01-01,0.722,3.257,33.123,37.102,0.036,0.569,0.009,No Data Reported,5.675,4.071,0.018,9.765,10.379
1999-02-01,0.652,3.511,29.918,34.081,0.035,0.514,0.009,No Data Reported,5.105,4.316,0.015,9.436,9.995
1999-03-01,0.722,4.838,33.123,38.683,0.039,0.569,0.013,No Data Reported,5.63,4.403,0.017,10.05,10.671
1999-04-01,0.699,5.332,32.055,38.085,0.033,0.551,0.014,No Data Reported,5.477,4.814,0.015,10.306,10.904
1999-05-01,0.722,5.886,33.123,39.731,0.036,0.569,0.016,No Data Reported,5.684,5.096,0.015,10.795,11.415
1999-06-01,0.699,5.939,32.055,38.692,0.037,0.551,0.016,No Data Reported,5.47,4.897,0.017,10.383,10.987
1999-07-01,0.722,6.235,33.123,40.08,0.036,0.569,0.017,No Data Reported,5.67,4.604,0.014,10.289,10.911
1999-08-01,0.722,6.17,33.123,40.015,0.031,0.569,0.017,No Data Reported,5.665,4.324,0.017,10.006,10.623
1999-09-01,0.699,5.627,32.055,38.381,0.026,0.551,0.015,No Data Reported,5.476,4.427,0.017,9.919,10.511
1999-10-01,0.722,5.129,33.123,38.974,0.024,0.569,0.014,No Data Reported,5.641,4.398,0.021,10.06,10.667
1999-11-01,0.699,4.207,32.055,36.96,0.026,0.551,0.011,No Data Reported,5.483,4.352,0.021,9.856,10.444
1999-12-01,0.722,3.993,33.123,37.839,0.031,0.569,0.011,No Data Reported,5.646,4.215,0.024,9.884,10.494
2000-01-01,0.728,3.112,35.574,39.414,0.031,0.644,0.01,No Data Reported,6.025,3.856,0.032,9.913,10.598
2000-02-01,0.681,3.354,33.279,37.315,0.028,0.602,0.011,No Data Reported,5.668,4.001,0.026,9.696,10.336
2000-03-01,0.728,4.622,35.574,40.924,0.033,0.644,0.015,No Data Reported,6.057,4.56,0.032,10.65,11.341
2000-04-01,0.705,5.094,34.426,40.225,0.035,0.623,0.016,No Data Reported,5.86,4.544,0.028,10.431,11.106
2000-05-01,0.728,5.623,35.574,41.926,0.034,0.644,0.018,No Data Reported,6.047,4.879,0.032,10.957,11.653
2000-06-01,0.705,5.674,34.426,40.805,0.031,0.623,0.018,No Data Reported,5.842,3.926,0.024,9.792,10.464
2000-07-01,0.728,5.957,35.574,42.259,0.03,0.644,0.019,No Data Reported,6.053,4.105,0.03,10.188,10.88
2000-08-01,0.728,5.895,35.574,42.197,0.027,0.644,0.019,No Data Reported,6.056,3.93,0.033,10.019,10.708
2000-09-01,0.705,5.376,34.426,40.508,0.022,0.623,0.017,No Data Reported,5.854,3.752,0.03,9.636,10.298
2000-10-01,0.728,4.9,35.574,41.202,0.021,0.644,0.016,No Data Reported,6.067,4.046,0.036,10.149,10.829
2000-11-01,0.705,4.019,34.426,39.151,0.024,0.623,0.013,No Data Reported,5.872,3.728,0.036,9.635,10.295
2000-12-01,0.728,3.815,35.574,40.118,0.024,0.644,0.012,No Data Reported,6.068,1.93,0.038,8.035,8.715
2001-01-01,0.803,2.971,31.425,35.198,0.021,0.702,0.012,No Data Reported,5.684,2.006,0.033,7.722,8.457
2001-02-01,0.725,3.203,28.384,32.311,0.02,0.634,0.013,No Data Reported,5.125,1.872,0.027,7.024,7.692
2001-03-01,0.803,4.413,31.425,36.64,0.022,0.702,0.018,No Data Reported,5.691,1.928,0.029,7.647,8.389
2001-04-01,0.777,4.864,30.411,36.051,0.025,0.68,0.02,No Data Reported,5.462,1.955,0.024,7.441,8.165
2001-05-01,0.803,5.369,31.425,37.597,0.024,0.702,0.022,No Data Reported,5.667,2.022,0.025,7.713,8.461
2001-06-01,0.777,5.418,30.411,36.605,0.024,0.68,0.022,No Data Reported,5.493,2.147,0.019,7.658,8.384
2001-07-01,0.803,5.687,31.425,37.915,0.018,0.702,0.023,No Data Reported,5.678,2.272,0.033,7.982,8.726
2001-08-01,0.803,5.628,31.425,37.856,0.015,0.702,0.023,No Data Reported,5.673,2.265,0.023,7.96,8.701
2001-09-01,0.777,5.133,30.411,36.321,0.013,0.68,0.021,No Data Reported,5.486,2.096,0.026,7.608,8.321
2001-10-01,0.803,4.679,31.425,36.906,0.013,0.702,0.019,No Data Reported,5.663,1.97,0.035,7.668,8.402
2001-11-01,0.777,3.838,30.411,35.025,0.013,0.68,0.015,No Data Reported,5.483,1.839,0.028,7.351,8.059
2001-12-01,0.803,3.643,31.425,35.87,0.018,0.702,0.015,No Data Reported,5.686,2.172,0.028,7.886,8.621
2002-01-01,0.867,2.867,32.274,36.007,0.002,0.743,0.014,No Data Reported,5.847,1.858,0.035,7.739,8.499
2002-02-01,0.783,3.09,29.151,33.024,0.004,0.671,0.015,No Data Reported,5.266,1.687,0.033,6.986,7.676
2002-03-01,0.867,4.258,32.274,37.398,0.004,0.743,0.021,No Data Reported,5.834,1.913,0.028,7.775,8.543
2002-04-01,0.839,4.692,31.233,36.764,0.003,0.719,0.023,No Data Reported,5.646,1.975,0.034,7.654,8.4
2002-05-01,0.867,5.18,32.274,38.321,0.003,0.743,0.026,No Data Reported,5.811,2.285,0.036,8.132,8.904
2002-06-01,0.839,5.227,31.233,37.299,0.004,0.719,0.026,No Data Reported,5.628,2.307,0.033,7.967,8.717
2002-07-01,0.867,5.487,32.274,38.628,0.004,0.743,0.027,No Data Reported,5.866,2.491,0.038,8.395,9.17
2002-08-01,0.867,5.43,32.274,38.571,0.004,0.743,0.027,No Data Reported,5.854,2.551,0.038,8.443,9.217
2002-09-01,0.839,4.953,31.233,37.024,0.004,0.719,0.024,No Data Reported,5.646,2.353,0.038,8.037,8.785
2002-10-01,0.867,4.514,32.274,37.654,0.003,0.743,0.022,No Data Reported,5.816,2.306,0.046,8.167,8.937
2002-11-01,0.839,3.703,31.233,35.774,0.004,0.719,0.018,No Data Reported,5.622,2.244,0.052,7.918,8.66
2002-12-01,0.867,3.515,32.274,36.655,0.004,0.743,0.017,No Data Reported,5.824,1.907,0.049,7.78,8.545
2003-01-01,1.104,2.783,33.973,37.86,0.02,0.934,0.017,No Data Reported,6.079,2.456,0.059,8.594,9.564
2003-02-01,0.997,3,30.685,34.682,0.018,0.844,0.018,No Data Reported,5.486,2.116,0.07,7.672,8.552
2003-03-01,1.104,4.134,33.973,39.21,0.021,0.934,0.025,No Data Reported,6.061,2.404,0.059,8.524,9.505
2003-04-01,1.068,4.556,32.877,38.501,0.022,0.904,0.027,No Data Reported,5.858,2.405,0.067,8.329,9.282
2003-05-01,1.104,5.03,33.973,40.106,0.022,0.934,0.03,No Data Reported,6.05,2.526,0.067,8.643,9.63
2003-06-01,1.068,5.075,32.877,39.02,0.023,0.904,0.03,No Data Reported,5.868,2.459,0.064,8.391,9.348
2003-07-01,1.104,5.327,33.973,40.404,0.022,0.934,0.032,No Data Reported,6.074,2.582,0.065,8.721,9.709
2003-08-01,1.104,5.272,33.973,40.349,0.021,0.934,0.031,No Data Reported,6.08,2.537,0.071,8.688,9.674
2003-09-01,1.068,4.809,32.877,38.754,0.017,0.904,0.029,No Data Reported,5.871,2.305,0.063,8.239,9.189
2003-10-01,1.104,4.382,33.973,39.459,0.019,0.934,0.026,No Data Reported,6.064,2.376,0.072,8.512,9.491
2003-11-01,1.068,3.595,32.877,37.54,0.02,0.904,0.021,No Data Reported,5.872,2.266,0.081,8.219,9.164
2003-12-01,1.104,3.412,33.973,38.489,0.022,0.934,0.02,No Data Reported,6.073,2.594,0.085,8.752,9.729
2004-01-01,1.186,2.741,34.727,38.654,0.017,1.016,0.02,No Data Reported,5.994,2.788,0.061,8.843,9.897
2004-02-01,1.109,2.955,32.486,36.55,0.029,0.951,0.022,No Data Reported,5.614,2.621,0.06,8.295,9.297
2004-03-01,1.186,4.071,34.727,39.984,0.043,1.016,0.03,No Data Reported,5.958,2.736,0.06,8.754,9.843
2004-04-01,1.148,4.487,33.607,39.241,0.043,0.984,0.034,No Data Reported,5.771,2.877,0.061,8.709,9.769
2004-05-01,1.186,4.953,34.727,40.866,0.045,1.016,0.037,No Data Reported,5.912,2.974,0.063,8.949,10.048
2004-06-01,1.148,4.998,33.607,39.752,0.037,0.984,0.037,No Data Reported,5.703,2.959,0.066,8.728,9.786
2004-07-01,1.186,5.247,34.727,41.159,0.017,1.016,0.039,No Data Reported,5.903,3.004,0.061,8.967,10.04
2004-08-01,1.186,5.192,34.727,41.105,0.014,1.016,0.039,No Data Reported,5.942,2.949,0.062,8.953,10.022
2004-09-01,1.148,4.736,33.607,39.49,0.017,0.984,0.035,No Data Reported,5.754,2.797,0.063,8.614,9.65
2004-10-01,1.186,4.316,34.727,40.229,0.025,1.016,0.032,No Data Reported,5.983,2.713,0.066,8.761,9.835
2004-11-01,1.148,3.54,33.607,38.294,0.03,0.984,0.026,No Data Reported,5.81,2.856,0.064,8.73,9.77
2004-12-01,1.186,3.361,34.727,39.273,0.042,1.016,0.025,No Data Reported,5.984,2.962,0.069,9.015,10.099
2005-01-01,1.35,2.674,36.521,40.545,0.038,1.155,0.031,No Data Reported,5.945,2.876,0.07,8.891,10.115
2005-02-01,1.22,2.883,32.986,37.089,0.037,1.043,0.033,No Data Reported,5.468,2.616,0.061,8.145,9.259
2005-03-01,1.35,3.972,36.521,41.843,0.028,1.155,0.046,No Data Reported,5.938,2.885,0.067,8.89,10.119
2005-04-01,1.307,4.378,35.342,41.027,0.042,1.118,0.05,No Data Reported,5.719,2.668,0.063,8.45,9.66
2005-05-01,1.35,4.833,36.521,42.704,0.043,1.155,0.056,No Data Reported,5.947,2.958,0.069,8.974,10.228
2005-06-01,1.307,4.877,35.342,41.526,0.023,1.118,0.056,No Data Reported,5.734,3.056,0.075,8.865,10.062
2005-07-01,1.35,5.119,36.521,42.99,0.012,1.155,0.059,No Data Reported,5.92,3.097,0.075,9.093,10.318
2005-08-01,1.35,5.066,36.521,42.937,0.004,1.155,0.058,No Data Reported,5.945,2.938,0.08,8.963,10.18
2005-09-01,1.307,4.621,35.342,41.27,0.008,1.118,0.053,No Data Reported,5.745,2.831,0.073,8.649,9.828
2005-10-01,1.35,4.211,36.521,42.082,0.015,1.155,0.048,No Data Reported,5.931,2.62,0.08,8.63,9.849
2005-11-01,1.307,3.454,35.342,40.104,0.02,1.118,0.04,No Data Reported,5.743,2.816,0.08,8.639,9.817
2005-12-01,1.35,3.279,36.521,41.15,0.023,1.155,0.038,No Data Reported,5.96,2.888,0.086,8.933,10.149
2006-01-01,1.554,2.782,32.274,36.61,0.044,1.189,0.045,No Data Reported,5.532,3.172,0.082,8.786,10.064
2006-02-01,1.404,2.999,29.151,33.553,0.038,1.074,0.048,No Data Reported,4.998,2.923,0.076,7.996,9.157
2006-03-01,1.554,4.132,32.274,37.96,0.041,1.189,0.067,No Data Reported,5.531,2.682,0.085,8.298,9.595
2006-04-01,1.504,4.554,31.233,37.291,0.032,1.151,0.073,No Data Reported,5.346,2.936,0.088,8.37,9.626
2006-05-01,1.554,5.027,32.274,38.855,0.031,1.189,0.081,No Data Reported,5.521,3.4,0.105,9.026,10.328
2006-06-01,1.504,5.072,31.233,37.809,0.033,1.151,0.082,No Data Reported,5.345,3.05,0.117,8.512,9.777
2006-07-01,1.554,5.325,32.274,39.153,0.012,1.189,0.086,No Data Reported,5.527,3.041,0.109,8.677,9.964
2006-08-01,1.554,5.27,32.274,39.098,0.001,1.189,0.085,No Data Reported,5.536,3.047,0.114,8.697,9.972
2006-09-01,1.504,4.806,31.233,37.543,0.009,1.151,0.077,No Data Reported,5.352,2.889,0.113,8.353,9.591
2006-10-01,1.554,4.38,32.274,38.209,0.01,1.189,0.071,No Data Reported,5.53,2.984,0.12,8.635,9.905
2006-11-01,1.504,3.593,31.233,36.33,0.035,1.151,0.058,No Data Reported,5.353,3.037,0.118,8.509,9.752
2006-12-01,1.554,3.411,32.274,37.239,0.034,1.189,0.055,No Data Reported,5.534,3.149,0.124,8.807,10.084
2007-01-01,1.868,2.895,35.671,40.434,0.037,1.223,0.063,No Data Reported,5.975,2.622,0.154,8.75,10.074
2007-02-01,1.688,3.12,32.219,37.027,0.029,1.105,0.068,No Data Reported,5.388,2.235,0.14,7.764,8.966
2007-03-01,1.868,4.299,35.671,41.839,0.038,1.223,0.094,No Data Reported,5.962,2.587,0.154,8.703,10.058
2007-04-01,1.808,4.738,34.521,41.067,0.038,1.184,0.104,No Data Reported,5.746,2.524,0.146,8.415,9.741
2007-05-01,1.868,5.231,35.671,42.771,0.041,1.223,0.114,No Data Reported,5.897,2.656,0.157,8.711,10.089
2007-06-01,1.808,5.278,34.521,41.607,0.018,1.184,0.115,No Data Reported,5.703,2.609,0.159,8.471,9.788
2007-07-01,1.868,5.541,35.671,43.08,0.006,1.223,0.121,No Data Reported,5.865,2.74,0.167,8.772,10.121
2007-08-01,1.868,5.483,35.671,43.023,-0.002,1.223,0.12,No Data Reported,5.877,2.613,0.168,8.658,9.999
2007-09-01,1.808,5.001,34.521,41.33,0.003,1.184,0.109,No Data Reported,5.693,2.503,0.162,8.357,9.652
2007-10-01,1.868,4.558,35.671,42.098,0.013,1.223,0.1,No Data Reported,5.914,2.64,0.184,8.738,10.073
2007-11-01,1.808,3.739,34.521,40.068,0.018,1.184,0.082,No Data Reported,5.792,2.622,0.182,8.596,9.879
2007-12-01,1.868,3.549,35.671,41.089,0.026,1.223,0.078,No Data Reported,5.985,2.61,0.194,8.788,10.115
2008-01-01,2.236,3.026,39.809,45.071,0.017,1.254,0.102,No Data Reported,6.185,2.81,0.145,9.14,10.513
2008-02-01,2.092,3.262,37.24,42.594,0.016,1.173,0.11,No Data Reported,5.774,2.595,0.15,8.519,9.818
2008-03-01,2.236,4.494,39.809,46.539,0.034,1.254,0.151,No Data Reported,6.171,2.718,0.155,9.044,10.482
2008-04-01,2.164,4.953,38.525,45.641,0.034,1.213,0.167,No Data Reported,5.982,2.976,0.17,9.128,10.541
2008-05-01,2.236,5.468,39.809,47.513,0.02,1.254,0.184,No Data Reported,6.142,2.989,0.175,9.307,10.764
2008-06-01,2.164,5.517,38.525,46.206,0.019,1.213,0.186,No Data Reported,5.983,3.002,0.177,9.163,10.581
2008-07-01,2.236,5.792,39.809,47.837,0.017,1.254,0.195,No Data Reported,6.182,2.897,0.188,9.267,10.733
2008-08-01,2.236,5.732,39.809,47.776,0.003,1.254,0.193,No Data Reported,6.184,2.93,0.191,9.305,10.754
2008-09-01,2.164,5.228,38.525,45.916,0.006,1.213,0.176,No Data Reported,5.98,2.884,0.189,9.053,10.448
2008-10-01,2.236,4.764,39.809,46.809,0.01,1.254,0.16,No Data Reported,6.164,2.769,0.199,9.132,10.556
2008-11-01,2.164,3.908,38.525,44.597,0.011,1.213,0.131,No Data Reported,5.984,2.806,0.188,8.978,10.333
2008-12-01,2.236,3.71,39.809,45.755,0.019,1.254,0.125,No Data Reported,6.172,2.837,0.202,9.211,10.608
2009-01-01,2.786,3.055,42.805,48.647,0.03,1.418,0.137,0,6.155,2.927,0.211,9.293,10.878
2009-02-01,2.516,3.294,38.663,44.473,0.022,1.281,0.147,0,5.577,2.584,0.182,8.344,9.794
2009-03-01,2.786,4.538,42.805,50.129,0.035,1.418,0.203,0,6.19,3.094,0.211,9.494,11.151
2009-04-01,2.696,5.002,41.425,49.122,0.031,1.373,0.224,0,5.963,3.044,0.221,9.228,10.856
2009-05-01,2.786,5.521,42.805,51.113,0.029,1.418,0.247,0,6.14,3.253,0.243,9.636,11.331
2009-06-01,2.696,5.571,41.425,49.692,0.029,1.373,0.249,0,5.978,3.16,0.237,9.375,11.026
2009-07-01,2.786,5.849,42.805,51.44,0.007,1.418,0.262,0,6.149,3.169,0.253,9.571,11.259
2009-08-01,2.786,5.788,42.805,51.379,0.002,1.418,0.259,0,6.176,3.25,0.254,9.68,11.359
2009-09-01,2.696,5.279,41.425,49.399,0.003,1.373,0.236,0,5.971,2.902,0.235,9.107,10.72
2009-10-01,2.786,4.811,42.805,50.402,0.012,1.418,0.215,0,6.155,2.944,0.259,9.358,11.003
2009-11-01,2.696,3.946,41.425,48.067,0.019,1.373,0.177,0,5.966,3.008,0.255,9.229,10.798
2009-12-01,2.786,3.746,42.805,49.337,0.023,1.418,0.168,0,6.174,3.022,0.259,9.455,11.064
2010-01-01,3.125,3.197,45.908,52.23,0.021,1.571,0.209,0.004,6.083,2.969,0.256,9.308,11.114
2010-02-01,2.823,3.446,41.465,47.734,0.021,1.419,0.225,0.003,5.493,2.567,0.24,8.3,9.969
2010-03-01,3.125,4.748,45.908,53.781,0.025,1.571,0.31,0.005,6.077,3.038,0.264,9.379,11.29
2010-04-01,3.025,5.233,44.427,52.684,0.037,1.521,0.342,0.005,5.884,3.221,0.266,9.371,11.276
2010-05-01,3.125,5.777,45.908,54.81,0.04,1.571,0.378,0.005,6.079,3.599,0.282,9.959,11.953
2010-06-01,3.025,5.829,44.427,53.28,0.036,1.521,0.383,0.003,5.887,3.175,0.287,9.35,11.294
2010-07-01,3.125,6.119,45.908,55.152,0.014,1.571,0.402,0.003,6.088,3.099,0.289,9.476,11.468
2010-08-01,3.125,6.055,45.908,55.088,0.003,1.571,0.398,0.004,6.086,3.228,0.289,9.603,11.579
2010-09-01,3.025,5.523,44.427,52.974,0.005,1.521,0.363,0.004,5.886,2.947,0.273,9.105,10.998
2010-10-01,3.125,5.033,45.908,54.067,0.014,1.571,0.33,0.005,6.075,2.693,0.289,9.058,10.978
2010-11-01,3.025,4.129,44.427,51.58,0.021,1.521,0.271,0.006,5.891,2.649,0.28,8.82,10.639
2010-12-01,3.125,3.919,45.908,52.952,0.037,1.571,0.261,0.006,6.089,2.773,0.291,9.153,11.028
2011-01-01,3.363,3.371,44.526,51.261,0.007,1.673,0.349,0.01,5.881,3.346,0.229,9.456,11.496
2011-02-01,3.038,3.634,40.217,46.89,0.006,1.511,0.382,0.013,5.327,3.103,0.223,8.653,10.566
2011-03-01,3.363,5.007,44.526,52.897,0.009,1.673,0.525,0.014,5.859,3.417,0.242,9.517,11.739
2011-04-01,3.255,5.519,43.09,51.864,0.009,1.619,0.586,0.017,5.706,3.309,0.229,9.243,11.474
2011-05-01,3.363,6.093,44.526,53.982,0.009,1.673,0.648,0.016,5.861,3.631,0.25,9.742,12.088
2011-06-01,3.255,6.147,43.09,52.492,0.008,1.619,0.661,0.014,5.697,3.697,0.256,9.65,11.952
2011-07-01,3.363,6.453,44.526,54.343,0.007,1.673,0.686,0.009,5.901,3.73,0.238,9.869,12.244
2011-08-01,3.363,6.386,44.526,54.276,0.006,1.673,0.682,0.009,5.874,3.849,0.264,9.987,12.357
2011-09-01,3.255,5.825,43.09,52.17,0.006,1.619,0.616,0.011,5.665,3.574,0.231,9.47,11.722
2011-10-01,3.363,5.309,44.526,53.199,0.006,1.673,0.561,0.019,5.821,3.527,0.246,9.594,11.854
2011-11-01,3.255,4.355,43.09,50.7,0.006,1.619,0.454,0.022,5.677,3.694,0.238,9.609,11.71
2011-12-01,3.363,4.134,44.526,52.023,0.007,1.673,0.431,0.02,5.892,3.666,0.253,9.81,11.941
2012-01-01,3.354,3.59,37.106,44.051,0.01,1.669,0.578,0.02,5.138,3.777,0.2,9.115,11.392
2012-02-01,3.138,3.87,34.712,41.72,0.008,1.561,0.628,0.016,4.812,3.622,0.199,8.633,10.846
2012-03-01,3.354,5.333,37.106,45.793,0.008,1.669,0.871,0.017,5.122,3.696,0.215,9.033,11.597
2012-04-01,3.246,5.877,35.909,45.033,0.008,1.615,0.969,0.018,4.973,3.67,0.211,8.854,11.464
2012-05-01,3.354,6.488,37.106,46.949,0.01,1.669,1.078,0.015,5.118,3.817,0.225,9.16,11.932
2012-06-01,3.246,6.547,35.909,45.702,0.008,1.615,1.092,0.014,4.985,3.63,0.219,8.834,11.562
2012-07-01,3.354,6.873,37.106,47.333,0.007,1.669,1.138,0.01,5.158,3.818,0.214,9.19,12.014
2012-08-01,3.354,6.801,37.106,47.262,0.007,1.669,1.122,0.01,5.156,3.94,0.231,9.328,12.136
2012-09-01,3.246,6.203,35.909,45.359,0.006,1.615,1.037,0.012,4.966,3.764,0.202,8.932,11.603
2012-10-01,3.354,5.654,37.106,46.114,0.008,1.669,0.943,0.018,5.12,3.898,0.223,9.241,11.878
2012-11-01,3.246,4.638,35.909,43.793,0.007,1.615,0.769,0.016,4.986,3.71,0.203,8.899,11.306
2012-12-01,3.354,4.402,37.106,44.863,0.007,1.669,0.726,0.018,5.148,3.907,0.209,9.264,11.683
2013-01-01,3.363,3.885,48.551,55.799,0.013,1.673,0.79,0.021,5.956,3.811,0.207,9.974,12.472
2013-02-01,3.038,4.187,43.853,51.078,0.014,1.511,0.869,0.017,5.385,3.407,0.192,8.984,11.396
2013-03-01,3.363,5.77,48.551,57.684,0.015,1.673,1.202,0.018,5.965,3.991,0.221,10.177,13.085
2013-04-01,3.255,6.359,46.985,56.599,0.014,1.619,1.328,0.018,5.686,3.853,0.221,9.76,12.74
2013-05-01,3.363,7.02,48.551,58.935,0.016,1.673,1.465,0.017,5.916,4.08,0.232,10.227,13.398
2013-06-01,3.255,7.083,46.985,57.323,0.016,1.619,1.485,0.014,5.764,4.062,0.231,10.057,13.191
2013-07-01,3.363,7.436,48.551,59.351,0.017,1.673,1.548,0.011,5.958,4.126,0.228,10.312,13.562
2013-08-01,3.363,7.359,48.551,59.273,0.012,1.673,1.536,0.009,5.964,4.132,0.227,10.324,13.555
2013-09-01,3.255,6.712,46.985,56.952,0.01,1.619,1.414,0.013,5.723,3.946,0.223,9.892,12.949
2013-10-01,3.363,6.117,48.551,58.032,0.006,1.673,1.303,0.016,5.991,3.889,0.233,10.113,13.111
2013-11-01,3.255,5.018,46.985,55.258,0.007,1.619,1.064,0.027,5.817,3.762,0.222,9.802,12.518
2013-12-01,3.363,4.763,48.551,56.678,0.01,1.673,1.01,0.024,6.04,4.015,0.23,10.284,13.002
2014-01-01,3.363,4.361,49.136,56.86,0.014,1.673,1.078,0.032,6.294,4.469,0.288,11.051,13.849
2014-02-01,3.038,4.63,44.381,52.049,0.012,1.511,1.166,0.026,5.664,3.457,0.273,9.394,12.109
2014-03-01,3.363,6.34,49.136,58.839,0.013,1.673,1.573,0.029,6.262,3.801,0.291,10.354,13.643
2014-04-01,3.255,6.923,47.551,57.728,0.013,1.619,1.704,0.028,5.935,3.756,0.297,9.988,13.352
2014-05-01,3.363,7.66,49.136,60.159,0.013,1.673,1.877,0.022,6.238,3.965,0.311,10.515,14.101
2014-06-01,3.255,7.742,47.551,58.547,0.011,1.619,1.872,0.032,6.169,3.935,0.305,10.409,13.944
2014-07-01,3.363,8.091,49.136,60.59,0.011,1.673,1.933,0.028,6.265,4.203,0.318,10.786,14.432
2014-08-01,3.363,8.04,49.136,60.54,0.009,1.673,1.908,0.022,6.248,4.155,0.316,10.719,14.331
2014-09-01,3.255,7.419,47.551,58.225,0.009,1.619,1.719,0.026,5.994,3.936,0.295,10.224,13.598
2014-10-01,3.363,6.877,49.136,59.376,0.008,1.673,1.552,0.037,6.181,3.8,0.319,10.301,13.571
2014-11-01,3.255,5.668,47.551,56.474,0.007,1.619,1.249,0.045,5.962,3.647,0.304,9.913,12.832
2014-12-01,3.363,5.491,49.136,57.991,0.008,1.673,1.191,0.035,6.193,3.839,0.312,10.344,13.251
2015-01-01,3.363,4.485,43.547,51.396,0.011,1.673,1.185,0.036,6.274,3.858,2.019,12.151,15.057
2015-02-01,3.038,4.913,39.333,47.284,0.009,1.511,1.294,0.032,5.691,3.392,1.907,10.99,13.836
2015-03-01,3.363,6.878,43.547,53.789,0.009,1.673,1.746,0.035,6.194,3.882,2.127,12.203,15.666
2015-04-01,3.255,7.709,42.143,53.107,0.009,1.619,1.924,0.039,5.993,3.859,2.036,11.889,15.48
