Month,Small-Scale Solar Photovoltaic Generation: Residential Sector,Small-Scale Solar Photovoltaic Generation: Commercial Sector,Small-Scale Solar Photovoltaic Generation: Industrial Sector,Small-Scale Solar Photovoltaic Generation: Total (All Sectors),Utility-Scale Solar Electricity Net Generation: Commercial Sector,Utility-Scale Solar Electricity Net Generation: Industrial Sector,Utility-Scale Solar Electricity Net Generation:  Electric Power Sector,Utility-Scale Solar Electricity Net Generation:  Total,Solar Electricity Net Generation
1983-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1984-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-0.069,-0.069,-0.069
1984-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.061,0.061,0.061
1984-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.17,0.17,0.17
1984-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.323,0.323,0.323
1984-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.703,0.703,0.703
1984-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.945,0.945,0.945
1984-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.253,0.253,0.253
1984-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.883,0.883,0.883
1984-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.976,0.976,0.976
1984-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.683,0.683,0.683
1984-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.337,0.337,0.337
1984-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-0.016,-0.016,-0.016
1985-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.465,0.465,0.465
1985-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-0.085,-0.085,-0.085
1985-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.104,0.104,0.104
1985-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.222,1.222,1.222
1985-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.471,1.471,1.471
1985-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.568,1.568,1.568
1985-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.055,1.055,1.055
1985-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.007,2.007,2.007
1985-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.369,1.369,1.369
1985-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.947,0.947,0.947
1985-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.276,0.276,0.276
1985-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.231,0.231,0.231
1986-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.638,0.638,0.638
1986-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.592,0.592,0.592
1986-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.014,1.014,1.014
1986-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.377,1.377,1.377
1986-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.828,1.828,1.828
1986-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.409,1.409,1.409
1986-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.669,1.669,1.669
1986-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.629,1.629,1.629
1986-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.438,1.438,1.438
1986-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.289,1.289,1.289
