Month,"Coal Consumption for Electricity Generation, Commercial Sector","Petroleum Consumption for Electricity Generation, Commercial Sector","Natural Gas Consumption for Electricity Generation, Commercial Sector","Waste Consumption for Electricity Generation, Commercial Sector","Coal Consumption for Electricity Generation, Industrial Sector","Petroleum Consumption for Electricity Generation, Industrial Sector","Natural Gas Consumption for Electricity Generation, Industrial Sector","Other Fossil Gases Consumption for Electricity Generation, Industrial Sector","Wood Consumption for Electricity Generation, Industrial Sector","Waste Consumption for Electricity Generation, Industrial Sector","Other Consumption for Electricity Generation, Industrial Sector"
2011-11-01,20.976,10.652,3.709,2.571,396.739,179.131,46.579,6.173,15.506,0.585,4.789
2011-12-01,25.558,8.814,4.309,2.601,520.933,187.094,51.394,6.399,16.375,0.533,5.054
2012-01-01,28.52,28.592,5.065,2.696,410.154,527.797,51.072,7.148,19.335,0.52,4.415
2012-02-01,27.33,18.422,4.955,2.629,374.274,341.531,48.73,7.33,18.152,0.552,4.185
2012-03-01,26.401,16.961,5.129,2.704,388.322,357.105,48.345,7.76,17.012,0.661,4.415
2012-04-01,22.934,16.615,5.044,2.676,355.84,329.303,47.869,7.446,16.753,0.632,4.225
2012-05-01,22.469,24.772,5.263,2.792,361.233,331.622,53.18,6.927,17.498,0.635,4.836
2012-06-01,25.819,23.876,5.838,2.648,379.372,331.925,54.745,6.819,17.601,0.521,4.438
2012-07-01,28.442,32.637,7.312,2.736,451.544,367.031,59.363,7.319,18.554,0.663,4.782
2012-08-01,27.504,27.674,5.924,2.807,438.702,453.594,58.982,7.334,19.194,0.725,4.542
2012-09-01,23.559,18.696,5.014,2.733,380.937,416.911,53.314,6.571,18.129,0.596,4.329
2012-10-01,21.384,22.232,4.621,2.77,360.509,366.182,51.645,6.443,18.35,0.764,4.415
2012-11-01,24.803,24.227,4.472,2.716,366.258,468.669,51.317,6.478,18.578,0.773,4.572
2012-12-01,27.432,24.257,4.479,2.772,397.868,469.29,54.847,6.777,19.769,0.736,4.462
2013-01-01,55.128,48.357,5.247,2.829,386.265,392.713,55.159,6.674,17.912,0.813,4.122
2013-02-01,49.534,36.098,4.807,2.543,358.161,210.121,49.424,5.686,16.282,0.724,3.95
2013-03-01,48.922,24.593,5.365,3.012,403.598,352.031,53.18,6.422,17.344,0.809,4.117
2013-04-01,40.337,24.078,5.095,2.856,374.059,360.491,49.562,6.09,16.027,0.923,3.601
2013-05-01,39.719,20.38,5.16,3.12,398.786,396.591,50.369,6.296,17.344,0.866,3.809
2013-06-01,38.445,18.059,5.582,3.105,395.25,369.951,53.485,6.178,17.833,0.859,3.949
2013-07-01,37.606,30.832,7.169,3.217,428.53,367.475,58.401,6.856,18.601,0.927,4.276
2013-08-01,38.321,27.212,6.449,3.241,408.49,370.57,57.671,6.795,18.389,0.939,4.599
2013-09-01,38.4,19.895,6.005,3.027,380.209,323.102,52.128,6.191,16.974,0.893,4.699
2013-10-01,37.214,21.56,4.993,3.038,367.438,296.775,51.697,5.895,17.632,0.941,4.84
2013-11-01,42.032,24.928,4.881,2.982,365.576,198.77,53.237,6.005,17.238,0.978,4.355
2013-12-01,47.165,38.705,5.817,3.111,403.849,253.687,57.84,5.332,18.73,1.023,4.162
2014-01-01,27.044,113.274,6.411,3.282,406.928,282.695,54.071,6.423,18.228,0.908,4.931
2014-02-01,26.6,58.499,5.18,2.676,362.011,229.498,47.892,5.926,16.298,0.825,4.151
2014-03-01,22.263,43.638,5.292,2.939,396.245,229.397,50.729,6.166,17.43,0.967,3.905
2014-04-01,15.647,32.476,4.967,2.953,357.032,220.444,47.981,6.21,16.007,1.012,3.748
2014-05-01,12.491,22.773,5.761,3.044,385.366,208.016,50.513,6.579,17.29,0.901,4.123
2014-06-01,14.913,27.047,6.119,3.029,406.276,213.527,50.63,6.549,17.658,0.919,4.27
2014-07-01,15.7,23.994,6.966,3.27,420.369,216.229,55.433,7.19,18.826,0.972,4.382
2014-08-01,13.881,24.384,7.43,3.222,416.715,209.544,55.839,7.632,18.461,0.927,5.121
2014-09-01,12.015,25.341,6.396,3.037,389.34,193.509,52.27,7.564,16.94,0.839,4.857
2014-10-01,10.783,29.115,5.939,2.915,359.003,196.032,50.625,6.844,17.375,0.927,4.349
2014-11-01,14.089,29.41,5.496,2.775,356.171,196.56,51.927,7.115,17.025,0.913,4.701
2014-12-01,16.087,31.706,5.999,2.907,373.463,198.451,55.48,6.913,18.628,0.94,5.332
2015-01-01,18.125,34.339,5.254,2.854,337.707,226.805,54.254,7.135,16.775,0.828,4.649
2015-02-01,19.157,94.731,4.643,2.521,317.701,227.77,46.48,5.758,15.007,0.655,4.092
2015-03-01,16.588,18.81,5.168,2.877,351.184,153.169,47.707,6.053,15.43,0.854,4.227
2015-04-01,11.571,14.758,4.864,2.858,302.301,194.26,45.483,5.64,15.433,0.92,4.46
2015-05-01,10.212,15.228,5.514,2.939,322.896,153.599,48.627,6.211,15.567,0.815,4.875
2015-06-01,13.908,13.707,6.221,2.962,359.243,147.701,53.131,7.001,15.508,0.776,4.822
2015-07-01,14.105,16.445,7.336,3.194,376.303,128.757,57.301,7.668,16.942,0.93,5.554
2015-08-01,12.198,17.977,7.235,3.072,367.502,132.977,56.943,7.083,16.541,0.874,5.481
2015-09-01,10.481,8.785,6.696,3.011,360.382,145.859,53.518,6.732,16.005,0.821,4.69
2015-10-01,10.972,7.937,5.943,2.787,316.803,126.518,51.38,5.479,15.577,0.92,4.918
2015-11-01,11.861,8.112,5.47,2.942,295.055,138.682,52.732,5.398,15.88,0.936,4.983
2015-12-01,13.794,8.888,5.748,3.009,291.537,131.14,56.99,6.398,16.176,0.978,5.112
2016-01-01,12.09,13.918,3.499,2.817,257.631,164.157,44.325,5.043,14.463,0.764,4.417
2016-02-01,12.924,13.308,3.344,2.505,247.617,141.708,41.55,4.647,13.634,0.756,3.966
2016-03-01,12.663,6.071,3.493,2.851,251.931,124.034,43.751,4.713,13.897,0.918,3.92
2016-04-01,7.035,7.746,3.278,2.771,205.686,105.63,41.717,4.788,12.569,0.885,4.194
2016-05-01,5.975,8.32,3.62,2.875,249.302,169.635,43.251,4.536,13.794,0.917,4.53
2016-06-01,7.118,6.813,4.109,2.955,266.432,150.724,44.973,4.164,14.305,0.666,4.615
2016-07-01,7.238,11.366,5.188,3.044,285.094,154.155,48.337,4.409,14.818,0.749,4.801
2016-08-01,7.855,10.303,5.384,3.023,282.097,143.483,48.875,4.421,14.782,0.758,5.047
2016-09-01,8.451,6.906,4.223,2.811,254.393,124.644,45.086,4.116,13.817,0.653,4.902
2016-10-01,8.04,7.039,3.675,2.806,236.755,134.744,43.017,4.066,13.857,0.73,4.324
2016-11-01,9.68,11.294,2.944,2.905,218.121,146.137,44.018,4.022,14.349,0.883,4.212
2016-12-01,11.984,13.142,3.547,2.943,265.612,141.919,44.637,4.414,14.674,0.873,3.971
2017-01-01,11.49,21.545,4.242,2.878,269.5,121.066,46.773,4.076,13.878,0.735,3.803
2017-02-01,9.431,12.748,3.8,2.63,244.591,116.123,41.801,3.908,12.771,0.676,3.579
2017-03-01,9.116,16.384,4.062,2.846,249.785,137.586,44.554,4.11,13.584,0.761,4.061
2017-04-01,5.948,10.433,3.561,2.807,214.029,116.314,43.255,4.158,13.232,0.703,4.092
2017-05-01,5.657,15.348,3.835,2.983,224.408,114.845,43.816,4.178,13.8,0.643,3.991
2017-06-01,6.377,13.359,4.378,2.78,221.176,133.139,45.904,4.0,14.422,0.586,4.166
2017-07-01,7.426,16.282,4.912,2.994,230.01,145.413,48.948,3.991,15.105,0.611,5.033
2017-08-01,6.992,19.873,4.804,2.953,226.864,143.851,47.262,4.63,15.214,0.635,4.966
2017-09-01,7.801,15.143,4.352,2.742,218.002,119.626,42.177,4.205,13.442,0.568,4.069
2017-10-01,7.074,14.576,4.091,2.71,226.54,128.304,43.488,3.968,13.72,0.678,3.54
2017-11-01,8.017,15.921,3.766,2.817,222.277,135.261,44.478,3.923,14.163,0.732,3.961
2017-12-01,9.474,32.803,4.257,2.976,235.994,133.795,48.671,4.264,15.172,0.768,4.106
2018-01-01,10.829,67.791,4.145,2.789,254.743,144.003,48.542,4.561,14.571,0.68,3.959
2018-02-01,8.905,15.628,3.886,2.569,229.934,104.584,42.511,4.504,13.033,0.64,3.347
2018-03-01,8.13,13.266,4.071,2.827,224.2,108.121,43.4,4.769,14.655,0.701,4.077
2018-04-01,6.781,15.453,3.616,2.724,193.376,107.356,43.268,4.613,13.28,0.636,3.753
2018-05-01,6.25,17.92,4.201,2.84,210.5,115.033,45.712,4.737,14.619,0.602,4.093
2018-06-01,5.915,18.196,4.633,2.818,209.95,125.64,46.963,4.721,14.509,0.477,3.856
2018-07-01,6.317,26.687,5.518,2.808,212.066,140.222,51.285,5.153,15.501,0.521,3.795
2018-08-01,6.872,23.648,5.593,2.881,203.748,108.001,51.575,5.697,15.067,0.521,4.115
2018-09-01,6.999,19.038,4.838,2.673,199.308,109.677,47.737,4.665,14.034,0.442,3.494
2018-10-01,6.055,16.62,4.29,2.801,173.162,119.651,47.335,4.651,13.927,0.599,3.877
2018-11-01,6.988,23.839,3.76,2.745,202.066,107.897,48.112,4.446,14.044,0.627,3.836
2018-12-01,6.859,21.34,4.098,2.87,220.54,127.862,48.836,4.761,14.801,0.637,4.152
2019-01-01,8.365,33.893,4.566,2.666,214.316,109.29,53.555,4.116,14.613,0.559,4.216
2019-02-01,7.622,15.923,4.217,2.378,197.053,97.088,46.359,3.667,13.179,0.51,3.47
2019-03-01,9.051,17.068,4.516,2.55,168.443,103.413,48.926,4.224,14.418,0.582,3.741
2019-04-01,6.072,15.995,4.173,2.365,161.303,123.048,46.115,3.701,12.604,0.536,3.447
2019-05-01,5.532,17.083,4.217,2.262,177.965,102.292,49.806,4.23,12.997,0.484,3.604
2019-06-01,4.07,16.94,4.619,2.548,173.608,103.931,50.274,4.032,13.778,0.469,3.523
2019-07-01,5.003,23.742,5.625,2.526,193.27,149.781,54.63,4.872,14.838,0.458,3.824
2019-08-01,4.951,20.775,5.493,2.571,190.433,110.315,55.519,4.613,14.951,0.479,4.009
2019-09-01,5.884,26.503,4.824,2.47,174.527,108.052,52.654,4.602,13.44,0.409,3.976
2019-10-01,6.15,23.468,4.356,2.41,156.71,109.46,51.926,4.395,13.513,0.549,3.661
2019-11-01,6.392,23.163,4.253,2.374,173.183,105.006,53.057,4.337,13.684,0.552,3.616
2019-12-01,7.361,22.777,4.715,2.58,180.211,107.235,54.981,4.544,14.5,0.589,3.698
2020-01-01,6.672,24.731,4.616,2.549,188.7,111.499,56.032,4.804,14.51,0.645,3.252
2020-02-01,9.245,14.141,4.211,2.321,174.924,107.085,51.428,4.768,13.708,0.574,2.842
2020-03-01,7.154,17.363,3.944,2.583,163.33,95.312,52.521,4.593,14.412,0.583,3.167
2020-04-01,4.246,12.545,3.491,2.358,142.794,88.646,46.874,3.833,13.298,0.557,3.338
2020-05-01,4.48,22.44,3.664,2.482,138.614,99.482,47.715,4.404,13.367,0.524,3.443
2020-06-01,5.32,19.761,4.366,2.378,129.456,100.933,51.468,4.404,12.844,0.467,3.372
2020-07-01,4.581,24.866,5.434,2.517,140.545,100.248,55.389,4.72,13.06,0.494,3.333
2020-08-01,4.327,23.909,5.247,2.486,142.094,96.896,55.165,4.785,13.272,0.489,3.422
2020-09-01,6.821,23.027,4.433,2.365,150.674,91.837,48.874,4.417,12.595,0.416,3.155
2020-10-01,5.512,16.756,4.222,2.348,145.126,101.938,48.618,4.337,12.656,0.551,3.648
2020-11-01,5.98,21.073,3.818,2.332,136.987,103.741,48.953,4.12,12.913,0.529,3.58
2020-12-01,7.548,21.148,4.381,2.318,149.073,104.05,55.518,4.134,13.838,0.598,3.803
2021-01-01,7.635,22.168,3.962,2.637,138.639,93.327,53.084,4.188,13.836,0.601,3.584
2021-02-01,10.524,21.004,3.474,2.266,128.168,114.107,41.775,3.67,11.516,0.513,2.794
2021-03-01,7.377,22.671,3.483,2.577,127.024,97.79,44.685,4.012,13.247,0.609,3.412
2021-04-01,6.072,24.207,2.984,2.55,120.618,83.248,43.79,3.532,12.654,0.568,3.01
2021-05-01,3.837,20.4,3.102,2.518,139.993,95.706,45.79,3.696,13.321,0.537,3.338
2021-06-01,6.242,19.886,3.988,2.559,143.809,82.938,49.861,3.9,13.026,0.43,3.319
2021-07-01,6.515,22.684,4.491,2.734,145.293,81.864,54.657,4.367,13.587,0.484,3.449
2021-08-01,7.373,20.34,4.714,2.723,145.02,82.648,53.891,4.192,13.418,0.469,3.339
2021-09-01,7.82,16.482,4.074,2.623,152.635,75.79,47.271,4.165,12.838,0.453,3.029
2021-10-01,8.996,24.563,3.768,2.462,137.521,86.642,48.42,4.312,12.76,0.533,3.146
2021-11-01,8.175,18.592,3.669,2.582,149.019,89.067,49.969,4.15,12.501,0.548,3.226
2021-12-01,6.547,22.738,3.827,2.614,138.377,83.371,52.149,4.15,13.129,0.613,3.553
2022-01-01,7.961,46.284,3.98,5.123,144.906,106.817,52.436,4.087,13.225,0.568,1.817
2022-02-01,6.57,18.295,3.525,4.81,136.852,105.48,45.288,3.765,12.223,0.51,1.592
2022-03-01,5.167,16.205,3.791,5.085,151.184,98.467,49.227,4.047,12.633,0.589,1.68
2022-04-01,3.697,18.311,3.536,5.165,123.699,92.832,46.211,3.827,12.37,0.53,1.434
2022-05-01,3.332,21.724,3.767,5.23,147.921,103.691,48.352,4.033,12.731,0.542,1.67
2022-06-01,8.613,21.725,4.05,5.343,147.02,95.445,49.645,4.193,12.766,0.436,1.626
2022-07-01,8.071,22.289,4.873,5.449,143.152,102.002,54.246,4.377,13.604,0.432,1.663
2022-08-01,8.957,18.604,5.064,5.332,142.226,95.587,54.436,4.229,13.144,0.478,1.495
2022-09-01,9.024,12.739,4.325,5.144,130.443,100.367,48.606,3.979,12.041,0.405,1.319
2022-10-01,8.155,13.521,3.632,5.379,126.431,100.932,48.313,3.942,11.335,0.523,1.328
2022-11-01,8.498,15.372,3.849,5.317,122.416,107.135,49.349,3.827,12.481,0.524,1.423
2022-12-01,9.048,43.475,4.265,5.225,139.089,210.454,49.229,4.05,12.647,0.573,1.341
2023-01-01,8.799,25.655,3.981,5.051,138.401,116.422,50.037,3.693,12.384,0.488,1.058
2023-02-01,7.694,36.15,3.676,4.521,118.087,90.892,45.496,3.733,10.859,0.444,1.025
2023-03-01,6.289,15.836,3.899,4.728,113.904,112.549,49.751,4.313,11.971,0.487,1.01
2023-04-01,6.507,10.517,3.575,4.64,110.835,74.109,43.811,3.792,11.29,0.442,0.918
2023-05-01,5.509,15.214,3.768,5.094,121.845,76.146,48.927,4.122,12.101,0.449,0.987
2023-06-01,2.673,11.021,4.137,5.15,119.811,79.313,51.767,3.977,11.262,0.386,0.95
2023-07-01,4.072,13.171,4.925,5.361,131.459,92.909,54.956,4.179,11.678,0.369,1.078
2023-08-01,4.123,13.219,4.711,5.276,123.473,86.294,55.411,4.34,12.304,0.365,1.07
2023-09-01,4.735,12.172,4.408,4.864,120.784,76.468,52.405,3.994,11.446,0.312,1.016
2023-10-01,5.963,13.315,3.905,5.051,117.297,77.001,50.567,3.936,10.8,0.446,1.113
2023-11-01,5.835,15.042,3.741,5.069,117.089,76.114,50.862,4.072,11.503,0.482,1.078
2023-12-01,6.986,21.542,4.344,5.376,126.701,83.445,54.135,4.324,12.414,0.681,1.098
2024-01-01,9.829,28.249,4.289,5.179,130.03,91.047,55.636,4.433,11.882,0.478,0.991
2024-02-01,6.734,14.576,4.003,4.649,121.138,81.768,49.106,3.26,11.086,0.457,0.89
2024-03-01,6.58,17.724,4.175,4.767,131.735,69.534,48.774,3.158,11.779,0.527,0.893
2024-04-01,4.483,18.866,3.485,4.791,101.596,75.621,48.658,3.157,11.499,0.452,0.833
2024-05-01,2.815,20.597,3.765,5.004,118.252,71.562,48.339,3.396,12.018,0.438,0.928
2024-06-01,3.758,23.467,4.168,4.785,122.383,79.804,46.954,3.455,11.744,0.329,1.013
2024-07-01,5.1,Not Meaningful,4.682,5.058,133.122,80.727,51.881,3.48,11.925,0.396,1.1
2024-08-01,5.678,11.156,4.707,5.192,131.067,74.728,54.041,3.711,12.296,0.385,0.929
2024-09-01,5.64,8.282,4.074,4.631,122.706,65.579,48.989,2.848,11.368,0.355,0.862
