Month,Biodiesel Feedstock,Biodiesel Losses and Co-products,Biodiesel Production,Biodiesel Production.1,Biodiesel Production.2,Biodiesel Imports,Biodiesel Exports,Biodiesel Net Imports,Biodiesel Stocks,Biodiesel Stock Change,Biodiesel Consumption,Biodiesel Consumption.1,Biodiesel Consumption.2
2003-01-01,0.156,0.002,28.734,1.207,0.154,14.165,8.896,5.268,,,34.002,1.428,0.182
2003-02-01,0.141,0.002,25.953,1.09,0.139,2.717,9.478,-6.761,,,19.192,0.806,0.103
2003-03-01,0.156,0.002,28.734,1.207,0.154,4.243,8.487,-4.244,,,24.49,1.029,0.131
2003-04-01,0.151,0.002,27.807,1.168,0.149,3.996,11.574,-7.578,,,20.229,0.85,0.108
2003-05-01,0.156,0.002,28.734,1.207,0.154,3.719,11.439,-7.72,,,21.014,0.883,0.113
2003-06-01,0.151,0.002,27.807,1.168,0.149,3.723,10.109,-6.386,,,21.421,0.9,0.115
2003-07-01,0.156,0.002,28.734,1.207,0.154,4.175,10.211,-6.036,,,22.698,0.953,0.122
2003-08-01,0.156,0.002,28.734,1.207,0.154,9.746,8.217,1.529,,,30.263,1.271,0.162
2003-09-01,0.151,0.002,27.807,1.168,0.149,14.551,6.481,8.07,,,35.877,1.507,0.192
2003-10-01,0.156,0.002,28.734,1.207,0.154,2.962,8.645,-5.682,,,23.052,0.968,0.124
2003-11-01,0.151,0.002,27.807,1.168,0.149,29.379,9.75,19.629,,,47.437,1.992,0.254
2003-12-01,0.156,0.002,28.734,1.207,0.154,3.428,10.179,-6.751,,,21.983,0.923,0.118
2004-01-01,0.307,0.004,56.43,2.37,0.302,10.584,5.157,5.427,,,61.857,2.598,0.331
2004-02-01,0.287,0.004,52.789,2.217,0.283,18.845,8.233,10.612,,,63.401,2.663,0.34
2004-03-01,0.307,0.004,56.43,2.37,0.302,4.235,7.835,-3.6,,,52.83,2.219,0.283
2004-04-01,0.297,0.004,54.61,2.294,0.293,15.971,10.7,5.272,,,59.881,2.515,0.321
2004-05-01,0.307,0.004,56.43,2.37,0.302,3.356,12.789,-9.433,,,46.997,1.974,0.252
2004-06-01,0.297,0.004,54.61,2.294,0.293,5.948,15.977,-10.029,,,44.58,1.872,0.239
2004-07-01,0.307,0.004,56.43,2.37,0.302,7.06,14.767,-7.707,,,48.723,2.046,0.261
2004-08-01,0.307,0.004,56.43,2.37,0.302,3.751,15.801,-12.05,,,44.38,1.864,0.238
2004-09-01,0.297,0.004,54.61,2.294,0.293,9.392,11.771,-2.38,,,52.23,2.194,0.28
2004-10-01,0.307,0.004,56.43,2.37,0.302,10.036,9.357,0.678,,,57.108,2.399,0.306
2004-11-01,0.297,0.004,54.61,2.294,0.293,6.742,8.578,-1.836,,,52.774,2.217,0.283
2004-12-01,0.307,0.004,56.43,2.37,0.302,4.623,6.752,-2.129,,,54.3,2.281,0.291
2005-01-01,0.997,0.014,183.587,7.711,0.984,14.89,7.86,7.029,,,190.616,8.006,1.022
2005-02-01,0.901,0.012,165.82,6.964,0.889,33.766,7.996,25.77,,,191.59,8.047,1.027
2005-03-01,0.997,0.014,183.587,7.711,0.984,12.91,25.098,-12.188,,,171.398,7.199,0.919
2005-04-01,0.965,0.013,177.665,7.462,0.952,17.762,17.555,0.207,,,177.872,7.471,0.953
2005-05-01,0.997,0.014,183.587,7.711,0.984,7.625,10.018,-2.393,,,181.194,7.61,0.971
2005-06-01,0.965,0.013,177.665,7.462,0.952,21.987,10.641,11.346,,,189.01,7.938,1.013
2005-07-01,0.997,0.014,183.587,7.711,0.984,10.252,25.403,-15.151,,,168.435,7.074,0.903
2005-08-01,0.997,0.014,183.587,7.711,0.984,39.515,19.986,19.529,,,203.116,8.531,1.088
2005-09-01,0.965,0.013,177.665,7.462,0.952,11.631,12.526,-0.895,,,176.769,7.424,0.947
2005-10-01,0.997,0.014,183.587,7.711,0.984,8.247,40.996,-32.749,,,150.838,6.335,0.808
2005-11-01,0.965,0.013,177.665,7.462,0.952,24.017,11.29,12.728,,,190.392,7.996,1.02
2005-12-01,0.997,0.014,183.587,7.711,0.984,11.088,23.338,-12.25,,,171.337,7.196,0.918
2006-01-01,1.694,0.023,311.731,13.093,1.671,22.65,27.376,-4.726,,,307.004,12.894,1.645
2006-02-01,1.464,0.02,269.462,11.317,1.444,19.806,74.212,-54.406,,,215.056,9.032,1.152
2006-03-01,1.997,0.027,367.538,15.437,1.97,40.828,12.005,28.823,,,396.361,16.647,2.124
2006-04-01,2.094,0.029,385.37,16.186,2.065,17.393,16.59,0.803,,,386.173,16.219,2.07
2006-05-01,2.885,0.039,530.999,22.302,2.846,77.76,55.568,22.193,,,553.192,23.234,2.965
2006-06-01,3.324,0.045,611.903,25.7,3.279,151.697,55.235,96.463,,,708.366,29.751,3.796
2006-07-01,2.933,0.04,539.915,22.676,2.893,76.847,109.777,-32.929,,,506.986,21.293,2.717
2006-08-01,3.741,0.051,688.515,28.918,3.69,96.124,120.542,-24.417,,,664.098,27.892,3.559
2006-09-01,3.251,0.044,598.364,25.131,3.207,91.26,66.715,24.546,,,622.91,26.162,3.338
2006-10-01,2.98,0.041,548.501,23.037,2.939,104.32,59.132,45.188,,,593.688,24.935,3.182
2006-11-01,2.828,0.039,520.432,21.858,2.789,193.526,137.909,55.617,,,576.049,24.194,3.087
2006-12-01,3.206,0.044,590.109,24.785,3.162,213.103,120.561,92.542,,,682.651,28.671,3.658
2007-01-01,3.762,0.051,692.499,29.085,3.711,245.246,106.027,139.22,,,831.719,34.932,4.457
2007-02-01,3.066,0.042,564.314,23.701,3.024,152.742,179.098,-26.356,,,537.958,22.594,2.883
2007-03-01,4.21,0.057,774.855,32.544,4.152,117.41,302.613,-185.203,,,589.652,24.765,3.16
2007-04-01,4.156,0.057,764.88,32.125,4.099,185.551,625.823,-440.272,,,324.608,13.634,1.74
2007-05-01,5.205,0.071,958.092,40.24,5.134,113.909,560.839,-446.929,,,511.163,21.469,2.739
2007-06-01,5.121,0.07,942.608,39.59,5.051,376.425,432.021,-55.597,,,887.012,37.254,4.753
2007-07-01,6.722,0.092,1237.233,51.964,6.63,278.49,925.563,-647.074,,,590.16,24.787,3.163
2007-08-01,7.051,0.096,1297.852,54.51,6.955,422.364,666.225,-243.862,,,1053.991,44.268,5.648
2007-09-01,6.648,0.091,1223.666,51.394,6.558,309.561,532.126,-222.565,,,1001.101,42.046,5.365
2007-10-01,6.453,0.088,1187.8,49.888,6.365,442.459,602.473,-160.014,,,1027.786,43.167,5.508
2007-11-01,5.394,0.073,992.882,41.701,5.321,253.362,997.218,-743.856,,,249.026,10.459,1.335
2007-12-01,5.573,0.076,1025.817,43.084,5.497,557.445,765.815,-208.371,,,817.446,34.333,4.381
2008-01-01,6.503,0.089,1196.912,50.27,6.414,618.701,1137.142,-518.441,,,678.47,28.496,3.636
2008-02-01,5.835,0.079,1073.928,45.105,5.755,866.454,1430.58,-564.126,,,509.802,21.412,2.732
2008-03-01,6.453,0.088,1187.661,49.882,6.365,282.992,1211.128,-928.136,,,259.525,10.9,1.391
