Month,"Nuclear Generating Units, Total Operable Units","Nuclear Generating Units, Net Summer Capacity",Nuclear Electricity Net Generation,Nuclear Share of Electricity Net Generation,"Nuclear Generating Units, Capacity Factor"
1973-01-01,Not Available,14.533,6246,3.9,57.8
1973-02-01,Not Available,14.533,5928,4.1,60.7
1973-03-01,Not Available,15.314,6649,4.5,58.4
1973-04-01,Not Available,15.314,5876,4.2,53.4
1973-05-01,Not Available,16.174,5697,3.9,47.3
1973-06-01,Not Available,18.729,6784,4.2,50.3
1973-07-01,Not Available,18.729,6960,4.0,50.0
1973-08-01,Not Available,19.205,7785,4.4,54.5
1973-09-01,Not Available,19.205,7862,5.0,56.9
1973-10-01,Not Available,20.271,7518,4.9,49.8
1973-11-01,Not Available,20.271,8142,5.5,55.8
1973-12-01,42,22.683,8031,5.2,47.6
1974-01-01,Not Available,22.683,7603,4.8,45.0
1974-02-01,Not Available,23.735,8116,5.7,50.9
1974-03-01,Not Available,23.675,8777,5.8,49.8
1974-04-01,Not Available,24.201,7129,5.0,41.0
1974-05-01,Not Available,25.461,6562,4.3,34.6
1974-06-01,Not Available,26.237,7080,4.5,37.5
1974-07-01,Not Available,26.237,10210,5.7,52.3
1974-08-01,Not Available,28.139,12333,7.1,58.9
1974-09-01,Not Available,30.032,11010,7.2,50.9
1974-10-01,Not Available,30.905,10864,7.1,47.7
1974-11-01,Not Available,31.356,11004,7.3,48.7
1974-12-01,55,31.867,13288,8.3,56.0
1975-01-01,Not Available,32.692,13938,8.5,57.3
1975-02-01,Not Available,34.516,12733,8.6,54.9
1975-03-01,Not Available,34.516,14882,9.6,58.0
1975-04-01,Not Available,35.306,13327,9.1,52.4
1975-05-01,Not Available,35.306,13764,9.0,52.4
1975-06-01,Not Available,35.306,12744,7.8,50.1
1975-07-01,Not Available,35.306,15372,8.7,58.5
1975-08-01,Not Available,35.306,15880,8.8,60.5
1975-09-01,Not Available,35.306,14396,9.3,56.6
1975-10-01,Not Available,35.306,14626,9.4,55.6
1975-11-01,Not Available,36.163,14164,9.3,54.4
1975-12-01,57,37.267,16679,9.8,60.2
1976-01-01,Not Available,37.267,16099,9.0,58.1
1976-02-01,Not Available,37.267,14377,9.2,55.4
1976-03-01,Not Available,37.267,13993,8.5,50.5
1976-04-01,Not Available,38.232,10982,7.2,40.0
1976-05-01,Not Available,39.071,11929,7.6,41.0
1976-06-01,Not Available,39.881,15757,9.1,54.9
1976-07-01,Not Available,39.881,17709,9.5,59.7
1976-08-01,Not Available,39.818,18363,9.8,62.0
1976-09-01,Not Available,40.884,17290,10.5,58.7
1976-10-01,Not Available,40.884,17355,10.6,57.0
1976-11-01,Not Available,40.884,16134,9.5,54.8
1976-12-01,63,43.822,21115,11.5,64.8
1977-01-01,Not Available,44.559,22152,11.3,66.8
1977-02-01,Not Available,44.559,19601,12.0,65.5
1977-03-01,Not Available,44.559,20672,12.2,62.4
1977-04-01,Not Available,44.559,19867,12.6,62.0
1977-05-01,Not Available,44.559,20599,12.1,62.1
1977-06-01,Not Available,44.559,21517,11.9,67.1
1977-07-01,Not Available,44.559,21825,11.0,65.8
1977-08-01,Not Available,46.303,22750,11.6,66.2
1977-09-01,Not Available,46.303,19630,11.1,59.0
1977-10-01,Not Available,46.303,19041,11.4,55.3
1977-11-01,Not Available,46.303,19458,11.6,58.5
1977-12-01,67,46.303,23771,12.9,69.0
1978-01-01,Not Available,46.303,25833,13.0,75.0
1978-02-01,Not Available,46.303,21833,12.6,70.2
1978-03-01,Not Available,47.403,22449,12.9,63.7
1978-04-01,Not Available,49.198,17580,11.0,49.7
1978-05-01,Not Available,49.198,20416,11.6,55.8
1978-06-01,Not Available,49.198,22185,11.8,62.6
1978-07-01,Not Available,49.198,25007,12.3,68.3
1978-08-01,Not Available,49.198,25599,12.4,69.9
1978-09-01,Not Available,49.966,22189,11.9,61.7
1978-10-01,Not Available,49.966,22997,13.1,60.9
