Month,"Coal Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Distillate Fuel Oil Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Residual Fuel Oil Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Other Petroleum Liquids Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Petroleum Coke Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Total Petroleum Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Other Fossil Gases Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Wood Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Waste Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Other Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector"
1992-01-01,69597.65,1205.03,16154.544,10.816,106.282,17901.798,210.847,1.51,15.027,23.48,0.455
1992-02-01,61358.164,880.727,13006.504,10.118,114.212,14468.411,212.303,1.413,10.658,22.649,0.426
1992-03-01,63929.454,921.317,13784.971,10.816,124.568,15339.944,258.884,1.51,9.039,21.607,0.455
1992-04-01,59942.506,885.757,10144.218,10.467,98.154,11531.21,285.508,1.461,8.574,19.132,0.44
1992-05-01,61774.175,920.518,8081.28,10.816,74.782,9386.525,294.614,1.51,5.48,23.52,0.455
1992-06-01,65374.542,1176.478,11618.956,10.467,98.198,13296.894,331.473,1.461,10.343,22.576,0.44
1992-07-01,75257.335,1559.74,13219.471,10.816,108.327,15331.661,415.857,1.51,11.905,23.447,0.455
1992-08-01,72016.95,1104.942,10837.391,10.816,172.795,12817.124,377.181,1.51,14.061,23.039,0.455
1992-09-01,67255.388,927.181,10683.387,10.467,146.024,12351.157,341.183,1.461,12.556,22.548,0.44
1992-10-01,64032.919,865.519,10680.844,10.816,154.672,12330.537,265.098,1.51,14.363,20.739,0.455
1992-11-01,63834.86,1096.316,10553.906,10.467,138.499,12353.186,235.994,1.461,14.826,16.08,0.44
1992-12-01,70719.722,1079.837,9960.516,10.816,157.706,11839.698,218.93,1.51,13.388,23.42,0.455
1993-01-01,70946.976,1142.539,11035.108,20.332,197.757,13186.763,212.817,1.349,15.107,27.054,0.387
1993-02-01,65234.841,1054.382,10795.508,18.364,172.957,12733.039,209.649,1.218,13.473,20.934,0.35
1993-03-01,68568.167,1439.943,13057.663,20.332,185.106,15443.47,250.929,1.349,13.921,26.491,0.387
1993-04-01,60925.037,923.291,7792.269,19.676,168.065,9575.563,225.064,1.305,11.261,19.304,0.375
1993-05-01,61370.027,978.547,7887.498,20.332,183.647,9804.612,216.009,1.349,6.955,22.328,0.387
1993-06-01,69636.898,1164.545,12007.895,19.676,209.112,14237.677,329.922,1.305,7.453,22.667,0.375
1993-07-01,80472.029,2048.906,17257.132,20.332,267.723,20664.982,432.564,1.349,8.999,21.752,0.387
1993-08-01,79669.815,1765.934,18430.489,20.332,239.236,21412.934,462.247,1.349,15.371,18.079,0.387
1993-09-01,67975.115,1162.311,15045.498,19.676,275.207,17603.522,334.456,1.305,13.648,22.113,0.375
1993-10-01,66388.777,1011.815,11560.581,20.332,238.639,13785.922,303.667,1.349,13.985,21.859,0.387
1993-11-01,67141.649,998.946,11581.466,19.676,216.612,13683.15,269.733,1.305,15.022,20.402,0.375
1993-12-01,73315.851,1157.856,16029.475,20.332,257.107,18493.199,225.924,1.349,14.636,21.804,0.387
1994-01-01,78331.61,4678.903,21291.058,65.473,295.777,27514.32,222.074,1.572,18.976,18.742,0.254
1994-02-01,67143.732,1762.178,15084.822,59.137,232.804,18070.158,194.864,1.42,13.404,19.807,0.23
1994-03-01,67803.575,1279.353,12343.894,65.473,247.05,14923.972,242.9,1.572,13.507,23.362,0.254
1994-04-01,61589.071,1313.747,11890.594,63.361,187.026,14202.832,266.428,1.521,11.669,20.932,0.246
1994-05-01,64711.82,1468.233,10619.268,65.473,154.871,12927.33,282.221,1.572,6.837,25.761,0.254
1994-06-01,75016.265,2360.938,15165.169,63.361,188.262,18530.777,416.139,1.521,8.774,25.186,0.246
1994-07-01,78462.334,1930.025,14433.563,65.473,202.153,17439.827,473.514,1.572,15.0,23.692,0.254
1994-08-01,77634.647,1288.11,9229.095,65.473,173.206,11448.708,499.211,1.572,12.504,23.321,0.254
1994-09-01,68159.194,1097.428,7539.671,63.361,164.301,9521.963,386.65,1.521,11.426,21.502,0.246
1994-10-01,66109.938,1022.779,6808.838,65.473,163.435,8714.266,344.846,1.572,14.256,25.668,0.254
1994-11-01,63473.01,1088.157,6601.426,63.361,155.641,8531.151,302.106,1.521,13.36,25.199,0.246
1994-12-01,69919.001,1322.331,7214.387,65.473,150.105,9352.716,271.591,1.572,12.623,28.382,0.254
1995-01-01,73259.542,1259.836,6191.822,42.392,223.183,8609.967,263.308,2.004,8.871,23.742,0.198
1995-02-01,65414.97,1569.0,10872.149,38.289,216.068,13559.78,223.024,1.81,6.901,20.57,0.179
1995-03-01,65196.707,1080.989,4445.526,42.392,182.009,6478.95,324.86,2.004,8.899,20.852,0.198
1995-04-01,60623.008,1094.01,4858.922,41.024,125.768,6622.799,303.36,1.939,10.976,27.63,0.192
1995-05-01,64258.966,1351.007,6364.28,42.392,208.24,8798.881,341.44,2.004,8.241,17.575,0.198
1995-06-01,71117.409,1424.117,6510.382,41.024,239.468,9172.864,393.641,1.939,7.601,25.851,0.192
1995-07-01,81728.082,2239.116,10923.845,42.392,200.086,14205.781,539.101,2.004,13.625,24.94,0.198
1995-08-01,85863.832,3400.541,11900.256,42.392,280.485,16745.611,620.297,2.004,14.188,26.419,0.198
1995-09-01,70381.059,1076.369,7240.874,41.024,230.396,9510.25,418.941,1.939,11.527,25.788,0.192
1995-10-01,68024.111,1111.074,4935.848,42.392,259.34,7386.016,317.662,2.004,13.026,28.084,0.198
1995-11-01,68905.136,1252.747,5002.81,41.024,291.938,7756.273,262.324,1.939,11.108,28.609,0.192
1995-12-01,75457.653,1693.741,10775.992,42.392,217.505,13599.652,228.568,2.004,10.449,26.193,0.198
1996-01-01,78777.002,2186.409,11832.341,55.285,238.546,15266.764,234.658,1.734,12.562,19.537,0.195
1996-02-01,70859.817,2794.583,12295.913,51.718,183.903,16061.727,190.241,1.622,8.58,22.28,0.182
1996-03-01,70816.612,1771.608,9106.861,55.285,150.155,11684.527,217.475,1.734,10.698,25.047,0.195
1996-04-01,63918.646,1113.204,4505.231,53.502,169.596,6519.917,236.2,1.678,6.329,22.107,0.189
1996-05-01,69103.196,1505.213,5450.773,55.285,189.541,7958.979,368.111,1.734,8.736,22.799,0.195
1996-06-01,75355.197,1204.083,8662.648,53.502,187.963,10860.048,417.2,1.678,11.054,26.838,0.189
1996-07-01,82371.987,1469.51,11867.643,55.285,277.138,14778.126,498.277,1.734,13.128,28.68,0.195
1996-08-01,83425.586,1248.542,9365.733,55.285,332.2,12330.558,511.463,1.734,15.165,21.692,0.195
1996-09-01,73750.925,1326.774,7073.285,53.502,275.838,9832.752,396.761,1.678,11.438,25.505,0.189
1996-10-01,73394.604,1196.462,4676.216,55.285,226.904,7062.481,315.43,1.734,15.111,29.725,0.195
1996-11-01,75400.672,1237.166,6278.824,53.502,198.143,8560.207,236.639,1.678,14.332,27.535,0.189
1996-12-01,79746.349,1726.563,8835.369,55.285,211.872,11676.577,184.447,1.734,10.728,28.668,0.195
1997-01-01,83184.456,2139.876,12343.097,12.929,134.569,15168.749,190.386,2.047,13.415,22.293,0.057
1997-02-01,69663.747,1078.818,6492.238,11.678,133.392,8249.693,196.068,1.849,9.328,24.139,0.051
1997-03-01,71007.697,1067.328,6252.483,12.929,83.358,7749.53,259.611,2.047,10.638,24.127,0.057
1997-04-01,66819.081,1328.161,5292.154,12.512,247.567,7870.661,264.851,1.981,10.768,27.439,0.055
1997-05-01,69998.006,1211.089,6328.766,12.929,324.372,9174.645,317.066,2.047,11.586,28.42,0.057
1997-06-01,75688.383,1750.723,10031.727,12.512,347.599,13532.955,407.273,1.981,9.09,25.622,0.055
1997-07-01,86703.654,3263.767,12919.942,12.929,346.272,17927.997,587.836,2.047,11.093,26.681,0.057
1997-08-01,84558.824,1718.613,11169.494,12.929,385.243,14827.25,535.533,2.047,11.922,26.961,0.057
1997-09-01,78112.916,1319.603,11372.674,12.512,388.45,14647.041,455.689,1.981,11.097,23.028,0.055
1997-10-01,78010.454,1400.289,10578.969,12.929,337.369,13679.031,334.657,2.047,15.385,27.358,0.057
1997-11-01,75073.558,1319.735,9969.686,12.512,325.677,12930.319,246.101,1.981,12.131,25.885,0.055
1997-12-01,82542.823,1390.641,10917.325,12.929,317.909,13910.438,269.732,2.047,10.538,27.03,0.057
1998-01-01,81767.724,1122.356,9587.143,36.578,361.487,12553.513,241.027,2.47,14.913,22.012,0.145
1998-02-01,71050.036,878.899,8705.109,33.038,283.96,11036.844,188.369,2.231,9.554,22.249,0.131
1998-03-01,73847.708,1284.24,13514.371,36.578,290.249,16286.435,273.572,2.47,11.002,26.22,0.145
1998-04-01,68352.903,1050.752,10303.943,35.398,327.442,13027.305,267.858,2.39,11.088,25.688,0.14
1998-05-01,74926.692,2162.382,14212.922,36.578,339.097,18107.365,408.922,2.47,11.724,28.281,0.145
1998-06-01,81249.912,3364.296,17869.845,35.398,386.745,23203.266,533.189,2.39,6.087,22.847,0.14
1998-07-01,89653.694,3644.409,20478.492,36.578,407.559,26197.277,632.82,2.47,11.514,26.203,0.145
1998-08-01,89525.904,3370.713,19946.842,36.578,381.995,25264.109,643.532,2.47,12.244,26.257,0.145
1998-09-01,80285.571,2822.597,15551.07,35.398,360.724,20212.688,536.664,2.39,11.941,25.266,0.14
1998-10-01,75482.608,1062.622,11302.696,36.578,333.873,14071.263,346.68,2.47,13.283,27.82,0.145
1998-11-01,71416.0,1077.265,11303.445,35.398,327.7,14054.606,250.107,2.39,10.404,22.869,0.14
1998-12-01,79060.547,1459.129,13751.947,36.578,301.238,16753.844,265.543,2.47,12.953,32.077,0.145
1999-01-01,82689.434,2624.099,16994.732,46.211,302.799,21179.037,274.917,1.593,14.064,23.801,0.124
1999-02-01,70748.495,988.115,14482.025,41.739,250.1,16762.379,233.826,1.439,9.823,25.229,0.112
1999-03-01,74380.082,1209.99,15137.354,46.211,318.968,17988.397,318.018,1.593,7.83,25.741,0.124
1999-04-01,70452.741,1851.127,12295.055,44.721,286.372,15622.761,394.206,1.542,11.503,28.141,0.12
1999-05-01,74237.685,1409.91,12947.795,46.211,321.459,16011.211,420.603,1.593,15.205,29.79,0.124
1999-06-01,80635.108,2313.688,14384.042,44.721,322.769,18356.297,499.529,1.542,10.52,28.627,0.12
1999-07-01,91929.319,5358.642,19330.033,46.211,391.74,26693.585,673.685,1.593,13.346,26.918,0.124
1999-08-01,89001.818,3308.237,16579.265,46.211,432.635,22096.887,669.843,1.593,12.714,25.277,0.124
1999-09-01,79352.799,1395.239,10943.395,44.721,267.779,13722.252,433.107,1.542,11.336,25.881,0.12
1999-10-01,75586.137,1136.857,8947.452,46.211,269.482,11477.931,369.276,1.593,9.31,25.713,0.124
1999-11-01,72805.217,1290.494,5604.714,44.721,250.994,8194.901,263.607,1.542,12.389,25.441,0.12
1999-12-01,79102.923,1171.367,4847.091,46.211,319.654,7662.937,268.915,1.593,9.988,24.639,0.124
2000-01-01,88436.821,2331.043,8813.454,38.428,467.966,13522.753,325.606,2.157,8.373,25.983,0.112
2000-02-01,79663.436,1407.175,5808.837,35.949,381.553,9159.726,285.444,2.018,11.232,26.963,0.105
2000-03-01,77923.13,1203.059,5491.354,38.428,252.607,7995.874,355.081,2.157,11.781,30.73,0.112
2000-04-01,70223.934,1085.812,6007.814,37.189,258.439,8423.011,367.15,2.087,11.174,30.619,0.109
2000-05-01,77352.57,2531.637,11070.775,38.428,235.441,14818.045,528.293,2.157,10.641,32.875,0.112
2000-06-01,84789.343,2186.738,14986.763,37.189,286.056,18640.968,525.609,2.087,9.291,26.454,0.109
2000-07-01,88392.646,2579.345,13931.922,38.428,168.891,17394.147,638.591,2.157,11.352,27.659,0.112
2000-08-01,91798.783,2896.483,17286.092,38.428,328.705,21864.527,702.044,2.157,11.675,26.482,0.112
2000-09-01,81134.971,1956.857,15418.528,37.189,251.941,18672.28,485.09,2.087,10.56,25.282,0.109
2000-10-01,80114.158,1347.905,11698.236,38.428,198.471,14076.925,365.247,2.157,12.796,27.264,0.112
2000-11-01,79287.487,1703.025,9713.998,37.189,214.306,12525.741,308.501,2.087,12.511,25.118,0.109
2000-12-01,86703.567,8787.206,18285.685,38.428,230.557,28264.105,319.668,2.157,12.936,13.004,0.112
2001-01-01,88394.988,7957.064,21521.441,48.72,296.435,31009.4,340.292,1.235,11.569,17.303,9.33
2001-02-01,75401.218,2649.229,13088.305,34.66,268.722,17115.804,312.843,1.23,9.491,15.702,8.324
2001-03-01,77919.041,2916.384,15061.055,31.16,264.436,19330.779,362.843,1.339,10.434,17.563,9.467
2001-04-01,70384.29,2582.235,14517.365,25.14,213.032,18189.9,384.494,1.243,9.402,17.144,9.533
2001-05-01,76740.905,2148.072,13676.098,24.49,243.321,17065.265,433.923,1.251,10.083,17.612,9.588
2001-06-01,82245.716,1822.537,16541.056,29.46,273.985,19762.978,492.819,0.929,11.607,18.076,9.802
2001-07-01,91241.806,1740.663,14592.726,31.8,323.006,17980.219,634.425,1.571,11.414,18.851,9.966
2001-08-01,93188.647,2598.229,19435.674,39.4,336.521,23755.908,686.753,1.451,11.432,18.851,9.864
2001-09-01,79019.788,1213.519,9124.602,27.4,308.87,11909.871,510.262,1.308,10.316,17.445,9.304
2001-10-01,75634.991,1334.581,7489.549,26.95,297.561,10338.885,466.08,1.208,9.952,17.501,9.24
2001-11-01,73430.962,1049.522,7115.602,26.77,261.95,9501.644,350.549,1.198,9.901,16.924,9.24
2001-12-01,80830.583,1262.298,7340.736,30.57,339.31,10330.154,367.018,1.33,10.801,17.764,9.646
2002-01-01,82424.005,1838.391,6871.84,92.036,441.028,11007.407,381.434,3.488,12.587,19.055,11.86
2002-02-01,72144.492,1136.811,5788.683,44.597,459.027,9265.226,344.243,2.114,10.01,16.734,10.855
2002-03-01,75822.988,1826.746,9271.3,57.714,486.448,13588.0,406.516,2.561,13.156,19.016,11.531
2002-04-01,71560.399,1740.384,8686.807,105.124,463.701,12850.82,404.384,2.198,11.337,17.835,10.614
2002-05-01,76527.714,2017.246,8670.758,135.872,523.41,13440.926,410.108,2.276,11.398,18.798,11.982
2002-06-01,83564.817,1697.861,8745.726,85.687,563.822,13348.384,550.941,2.437,11.756,19.518,12.225
2002-07-01,92766.288,2613.275,11437.305,172.734,499.533,16720.979,733.887,3.121,12.874,20.876,13.65
2002-08-01,91752.488,2430.062,11306.046,165.556,561.571,16709.519,717.592,3.12,13.272,20.871,13.137
2002-09-01,84144.013,1639.795,9031.0,103.811,511.199,13330.601,568.699,2.867,13.808,19.492,12.065
2002-10-01,80714.422,1921.483,9090.914,92.592,430.022,13255.099,442.357,2.818,12.703,18.932,11.363
2002-11-01,79301.203,1342.774,6687.265,79.24,412.381,10171.184,351.612,2.955,13.166,18.622,11.25
2002-12-01,86783.883,1671.508,9185.767,131.54,463.807,13307.85,360.123,2.988,14.125,20.031,12.191
2003-01-01,91361.186,4490.186,14062.965,476.88,383.352,20946.791,382.443,4.068,15.72,19.243,10.649
2003-02-01,79447.436,3833.012,12056.303,347.787,353.428,18004.242,334.698,3.768,13.302,16.838,8.816
2003-03-01,78556.762,2861.664,12309.559,237.815,295.505,16886.563,361.243,3.512,13.67,19.504,10.601
2003-04-01,72000.086,1539.401,10574.061,85.367,439.434,14395.999,352.164,4.035,12.303,18.742,10.391
2003-05-01,76772.357,2473.011,8523.735,79.794,416.072,13156.9,394.021,3.616,11.584,19.294,10.869
2003-06-01,83312.784,2829.185,12588.52,97.723,499.12,18011.028,435.598,3.246,13.106,19.338,10.843
2003-07-01,92994.456,2359.998,14703.977,129.559,574.837,20067.719,630.27,3.275,14.962,20.527,13.34
2003-08-01,94564.966,2037.629,15673.279,190.038,570.477,20753.331,683.513,3.339,15.541,20.156,14.66
2003-09-01,84294.444,1200.479,10184.224,90.426,554.112,14245.689,468.51,2.917,13.801,18.99,13.018
2003-10-01,80856.645,1222.186,9655.566,85.381,566.157,13793.918,408.817,2.987,13.763,18.42,13.107
2003-11-01,81202.477,1111.818,6622.021,87.288,570.149,10671.872,348.129,3.233,14.334,18.566,12.321
2003-12-01,89752.56,1673.176,11325.289,117.519,576.383,15997.899,335.81,3.17,15.201,20.263,11.713
2004-01-01,91711.87,4159.101,16759.191,1023.174,684.559,25364.259,361.401,4.455,14.51,18.274,10.927
2004-02-01,82401.132,1412.103,10668.144,149.059,588.308,15170.847,373.466,4.89,13.534,17.648,10.646
2004-03-01,78150.028,1263.584,11324.075,199.029,593.373,15753.55,375.203,4.69,13.953,18.924,11.422
2004-04-01,72258.059,1089.196,10553.576,144.14,590.027,14737.046,389.328,4.73,11.767,18.37,11.113
2004-05-01,80453.517,1641.23,12117.879,154.729,623.227,17029.972,485.114,5.088,12.131,19.257,11.89
2004-06-01,85787.044,1541.272,13234.025,125.897,586.882,17835.604,508.14,5.045,12.305,18.705,11.748
2004-07-01,93380.738,1399.882,15247.047,144.295,618.318,19882.814,626.401,5.267,16.018,18.931,12.672
2004-08-01,92006.38,1320.383,13621.66,121.407,680.409,18465.497,612.571,4.707,14.68,19.079,12.28
2004-09-01,85347.978,1545.458,9775.035,118.852,579.174,14335.213,529.44,4.746,13.522,18.099,11.08
2004-10-01,81380.181,1038.202,8263.499,125.116,632.049,12587.062,439.841,4.515,13.412,18.184,11.244
2004-11-01,81904.001,914.805,7267.244,144.833,564.568,11149.723,376.169,4.855,13.68,18.438,11.303
2004-12-01,91487.085,1781.762,10984.476,262.669,631.404,16185.927,386.69,5.293,15.679,18.968,11.894
2005-01-01,91788.687,2919.112,13062.838,702.104,686.893,20118.52,384.71,5.916,15.951,18.358,9.937
2005-02-01,80304.842,866.326,7658.651,108.034,635.21,11809.062,330.547,11.512,15.149,16.133,8.818
2005-03-01,83600.739,1011.614,8983.173,125.571,666.651,13453.614,386.309,13.456,16.045,18.436,10.194
2005-04-01,73502.72,1028.414,7147.089,147.989,609.097,11368.976,390.358,5.874,12.713,17.4,9.97
2005-05-01,79305.738,1104.013,6459.712,139.188,687.96,11142.71,422.978,5.732,14.158,19.122,10.403
2005-06-01,89497.662,1414.477,12834.299,124.562,729.584,18021.259,594.137,5.356,14.99,18.856,10.514
2005-07-01,96271.947,2160.898,15728.059,248.225,716.281,21718.588,777.0,5.509,17.093,19.635,11.092
2005-08-01,97283.964,2442.85,17823.446,287.322,756.84,24337.817,791.293,5.333,17.147,19.229,11.187
2005-09-01,88498.157,1869.679,15135.491,193.137,657.589,20486.253,577.543,6.636,15.546,18.067,10.095
2005-10-01,84032.092,1408.572,11956.421,150.272,657.844,16804.488,434.692,5.522,14.689,17.483,9.908
2005-11-01,81530.777,1024.845,7184.704,116.75,594.235,11297.476,373.351,5.787,15.024,18.711,10.335
2005-12-01,91867.236,2424.388,15434.76,342.166,684.774,21625.181,406.226,7.362,16.468,19.293,10.662
2006-01-01,87317.096,1045.221,5431.003,163.984,684.912,10064.767,318.364,5.487,16.522,20.148,10.47
2006-02-01,81043.385,932.861,4183.599,128.25,607.462,8282.019,346.138,5.059,15.445,18.061,9.438
2006-03-01,82499.221,741.019,2820.905,199.218,575.701,6639.645,406.97,5.466,16.013,19.19,10.272
2006-04-01,72559.761,983.7,3522.41,132.155,585.28,7564.666,426.027,5.425,12.062,17.453,10.023
2006-05-01,80514.919,990.05,3427.069,167.54,544.757,7308.445,504.409,6.099,13.36,19.226,10.433
2006-06-01,87319.138,1130.904,5342.495,154.169,609.657,9675.852,629.66,5.377,14.836,18.963,10.765
2006-07-01,97113.07,1431.169,6963.309,182.841,673.113,11942.883,863.531,5.322,15.886,20.168,11.22
2006-08-01,98183.47,1628.055,9164.107,217.941,634.235,14181.277,840.197,6.029,16.676,19.917,11.166
2006-09-01,84326.897,802.215,3987.003,142.203,571.889,7790.864,548.321,5.009,15.295,19.02,10.358
2006-10-01,83724.439,951.193,4468.883,120.978,579.927,8440.688,527.532,4.986,14.916,18.99,9.944
2006-11-01,82293.012,950.532,4293.408,114.192,508.526,7900.762,396.586,5.131,14.873,19.698,10.05
2006-12-01,89741.623,1059.562,3740.705,146.36,525.204,7572.646,414.365,5.155,15.93,19.833,10.651
2007-01-01,91686.368,1407.558,5632.515,198.659,559.296,10035.212,448.149,5.616,19.443,19.75,10.638
2007-02-01,84026.366,2498.884,9494.528,426.301,442.12,14630.313,425.485,4.694,14.943,17.279,9.118
2007-03-01,81803.026,1234.815,5164.31,277.236,447.544,8914.081,416.015,5.313,15.013,19.7,10.3
2007-04-01,75751.468,961.754,4936.42,190.09,437.048,8273.504,453.144,4.755,15.063,18.106,9.778
2007-05-01,81140.09,999.945,4424.869,187.046,474.45,7984.11,507.089,4.651,13.89,19.854,10.471
2007-06-01,89699.353,1210.988,5530.727,174.543,547.243,9652.473,628.467,5.118,15.078,19.937,10.492
2007-07-01,96548.36,1176.284,5534.11,161.277,486.264,9302.991,760.521,4.935,15.635,20.529,10.709
2007-08-01,99085.845,1684.288,7569.616,229.765,505.044,12008.889,969.433,5.149,15.705,20.615,10.75
2007-09-01,87922.262,955.173,4822.274,194.386,470.68,8325.233,683.327,4.738,15.312,19.894,10.169
2007-10-01,83809.565,1105.117,4554.053,196.386,420.821,7959.661,604.092,5.962,14.786,20.336,10.402
2007-11-01,82392.846,927.755,2163.495,166.098,397.799,5246.343,448.18,4.911,15.172,20.546,10.073
2007-12-01,91275.938,1164.207,3259.408,191.74,496.496,7097.835,497.505,5.555,15.915,20.947,11.165
2008-01-01,94459.363,1596.264,3262.827,343.671,485.643,7630.977,531.46,5.12,16.124,20.864,10.985
2008-02-01,86625.885,1182.29,2628.843,258.706,449.017,6314.924,438.868,5.145,14.555,19.972,10.706
2008-03-01,83215.395,924.628,2322.944,244.501,374.185,5362.998,460.763,5.686,15.212,22.667,11.241
2008-04-01,76753.165,925.307,2634.608,188.845,408.54,5791.46,469.607,5.462,13.001,21.309,10.654
2008-05-01,81055.86,927.656,2817.106,191.098,385.354,5862.63,475.467,5.691,12.554,21.248,10.93
2008-06-01,89347.251,1339.401,4726.084,227.889,471.778,8652.264,665.436,5.673,14.196,21.67,11.094
2008-07-01,98032.298,986.479,3889.792,190.13,423.884,7185.821,782.039,6.203,16.226,22.856,11.334
2008-08-01,95589.857,873.22,3271.491,171.626,444.936,6541.017,762.946,5.819,16.137,22.29,11.347
2008-09-01,85375.742,865.853,3931.278,174.983,420.616,7075.194,602.565,4.18,14.923,20.764,10.384
2008-10-01,79982.376,763.633,2368.523,160.642,443.949,5512.543,545.244,4.809,13.504,21.199,10.463
2008-11-01,80883.436,835.909,2645.59,205.47,404.68,5710.369,457.591,3.572,15.039,21.284,10.376
2008-12-01,89259.461,1326.681,3741.837,312.427,406.878,7415.335,476.394,3.889,15.875,21.804,11.146
2009-01-01,90639.918,1864.541,5974.486,423.558,409.636,10310.765,487.426,4.011,16.882,20.612,10.081
2009-02-01,74254.1,1106.021,2384.741,255.866,373.56,5614.428,453.472,3.833,15.081,19.326,9.101
2009-03-01,71947.993,1226.546,2022.853,213.667,464.328,5784.706,499.678,4.256,14.479,23.538,10.287
2009-04-01,67123.335,775.641,1709.104,158.773,413.757,4712.303,451.395,4.373,12.241,21.144,10.195
2009-05-01,70425.024,986.87,2230.295,191.822,417.609,5497.032,515.476,4.772,12.822,21.556,10.619
2009-06-01,78953.662,935.482,2344.549,132.312,417.643,5500.558,642.797,4.787,15.194,22.211,10.702
2009-07-01,84243.159,867.603,2557.739,127.071,433.673,5720.778,778.017,4.931,16.248,23.147,11.142
2009-08-01,86634.915,929.999,3020.878,150.642,419.427,6198.654,840.317,4.982,16.779,22.641,11.109
2009-09-01,73566.457,709.174,1884.588,122.848,416.421,4798.715,690.011,5.133,14.498,21.18,10.24
2009-10-01,74519.745,812.739,2123.387,132.386,256.081,4348.917,537.013,4.758,13.83,21.261,9.88
2009-11-01,73063.19,796.985,1259.829,138.432,252.352,3457.006,457.085,4.431,14.914,21.912,9.866
2009-12-01,88255.453,1023.39,1269.974,162.498,336.172,4136.722,519.846,4.871,17.077,22.438,10.372
2010-01-01,90451.63,2459.131,2886.649,222.474,413.463,7635.569,545.811,4.689,17.362,21.236,9.881
2010-02-01,79883.567,850.573,1060.721,219.05,389.032,4075.504,479.615,4.275,16.329,19.742,9.07
2010-03-01,76109.809,759.202,1255.743,131.409,426.847,4280.589,456.864,4.803,16.444,22.427,10.107
2010-04-01,66842.476,699.33,1213.989,111.818,369.149,3870.882,471.481,4.858,14.876,21.442,10.111
2010-05-01,75596.599,1022.993,2055.243,103.782,399.711,5180.573,559.665,4.829,14.27,21.71,10.375
2010-06-01,87030.384,1222.089,3146.521,137.384,470.844,6860.214,705.665,4.629,16.205,22.52,10.641
2010-07-01,94519.317,1309.41,3730.303,184.592,503.476,7741.685,897.182,4.543,17.274,22.749,10.816
2010-08-01,94247.185,1067.998,3050.719,148.75,393.676,6235.847,943.002,4.242,17.996,22.693,10.919
2010-09-01,79176.234,883.469,1844.923,135.856,372.4,4726.248,696.723,4.127,16.067,21.723,10.428
2010-10-01,70491.949,771.942,1161.151,111.518,345.614,3772.681,570.363,3.253,14.985,21.613,10.393
2010-11-01,72514.14,889.659,1035.396,125.596,301.32,3557.251,496.539,3.978,16.297,22.713,10.364
2010-12-01,88189.2,1854.226,2061.866,245.067,391.335,6117.834,564.274,3.974,17.49,23.208,10.726
2011-01-01,90021.243,1322.343,1745.166,238.845,529.292,5952.814,539.792,4.184,16.907,20.53,10.979
2011-02-01,73473.628,911.21,1023.546,126.976,417.353,4148.495,483.686,3.769,15.547,19.283,10.517
2011-03-01,72458.269,884.985,1153.451,123.608,505.945,4691.771,481.926,4.502,15.293,20.91,12.053
2011-04-01,66930.215,990.894,1383.792,95.553,321.453,4077.503,521.453,4.031,11.949,19.687,11.605
2011-05-01,73337.898,957.466,1286.296,72.216,343.671,4034.336,571.998,4.25,13.181,20.526,12.046
2011-06-01,83908.422,953.695,1303.019,123.412,418.698,4473.615,699.414,4.127,15.634,21.544,12.487
2011-07-01,94037.255,1119.576,1608.523,222.711,501.425,5457.934,938.575,4.32,16.96,22.358,12.759
2011-08-01,92012.0,816.446,1374.953,129.923,450.824,4575.443,921.449,4.284,17.169,22.252,12.552
2011-09-01,76568.826,715.852,1002.225,140.009,438.758,4051.873,684.198,4.261,15.493,21.062,11.872
2011-10-01,69458.238,730.222,989.6,127.858,319.39,3444.632,574.932,4.127,14.041,21.53,11.708
2011-11-01,66918.654,747.989,967.607,133.559,240.654,3052.425,542.546,4.074,13.667,22.022,11.562
2011-12-01,73359.437,869.981,964.614,123.145,349.761,3706.545,613.894,4.41,16.318,22.864,12.476
2012-01-01,70594.167,834.076,1056.868,37.808,400.282,3930.16,648.823,4.691,16.837,21.706,11.66
2012-02-01,62804.099,667.074,796.254,79.599,317.568,3130.767,644.53,4.495,16.026,19.89,11.005
2012-03-01,57265.685,609.96,898.134,92.819,178.405,2492.938,674.099,4.81,15.607,21.808,11.673
2012-04-01,51592.948,686.217,840.529,82.41,165.915,2438.731,714.338,4.556,12.707,20.509,11.119
2012-05-01,62647.842,873.221,883.447,111.491,211.211,2924.215,812.467,4.315,14.018,21.806,12.206
2012-06-01,71479.723,856.958,1364.24,120.938,227.927,3481.77,879.881,4.414,16.377,21.54,12.486
2012-07-01,86282.875,931.62,1623.719,126.801,253.399,3949.132,1081.688,4.65,17.736,22.668,12.512
