Month,"Natural Gas in Underground Storage, End of Period, Base Gas","Natural Gas in Underground Storage, End of Period, Working Gas","Natural Gas in Underground Storage, End of Period, Total","Change in Working Gas From Same Period Previous Year, Volume","Change in Working Gas From Same Period Previous Year, Percent","Natural Gas Storage Activity, Withdrawals","Natural Gas Storage Activity, Injections","Natural Gas Storage Activity, Net"
2005-03-01,4199.962,1284.37,5484.332,225.959,21.3,384.78,99.852,284.927
2005-04-01,4200.417,1498.643,5699.06,246.188,19.7,71.971,287.839,-215.869
2005-05-01,4200.37,1875.151,6075.521,251.392,15.5,56.604,439.385,-382.78
2005-06-01,4201.247,2197.491,6398.738,174.556,8.6,65.769,390.091,-324.321
2005-07-01,4203.04,2450.169,6653.209,55.601,2.3,95.138,351.375,-256.237
2005-08-01,4202.842,2662.261,6865.103,-80.353,-2.9,100.094,314.283,-214.188
2005-09-01,4204.726,2931.698,7136.424,-124.851,-4.1,86.793,359.331,-272.538
2005-10-01,4206.218,3194.104,7400.321,-108.132,-3.3,73.924,339.914,-265.991
2005-11-01,4209.135,3189.16,7398.295,-55.387,-1.7,211.85,203.449,8.401
2005-12-01,4200.014,2635.36,6835.374,-60.716,-2.3,650.767,98.681,552.086
2006-01-01,4202.072,2371.047,6573.119,377.104,18.9,373.525,109.64,263.885
2006-02-01,4202.495,1886.24,6088.735,321.778,20.6,539.208,54.07,485.138
2006-03-01,4196.938,1691.737,5888.675,407.367,31.7,331.197,131.224,199.973
2006-04-01,4198.044,1945.276,6143.32,446.633,29.8,76.524,331.562,-255.039
2006-05-01,4201.709,2309.943,6511.653,434.792,23.2,52.343,419.76,-367.417
2006-06-01,4215.338,2616.647,6831.985,419.156,19.1,61.927,372.977,-311.05
2006-07-01,4213.841,2779.211,6993.053,329.042,13.4,144.082,304.664,-160.582
2006-08-01,4212.743,2969.223,7181.966,306.961,11.5,112.859,301.606,-188.747
2006-09-01,4215.37,3323.178,7538.548,391.48,13.4,36.976,394.576,-357.6
2006-10-01,4216.968,3452.241,7669.209,258.137,8.1,115.149,246.184,-131.034
2006-11-01,4215.859,3406.652,7622.511,217.492,6.8,206.204,158.617,47.587
2006-12-01,4210.95,3069.956,7280.906,434.596,16.5,442.868,99.368,343.499
2007-01-01,4216.333,2382.895,6599.227,11.847,0.5,740.117,56.863,683.254
2007-02-01,4215.728,1651.569,5867.298,-234.671,-12.4,782.391,50.536,731.856
2007-03-01,4246.889,1603.002,5849.891,-88.735,-5.2,269.76,219.347,50.413
2007-04-01,4245.87,1722.741,5968.611,-222.535,-11.4,153.774,273.492,-119.718
2007-05-01,4250.47,2181.239,6431.71,-128.704,-5.6,38.201,497.741,-459.54
2007-06-01,4231.002,2582.784,6813.786,-33.863,-1.3,47.166,436.633,-389.468
2007-07-01,4227.004,2896.255,7123.259,117.043,4.2,83.554,397.159,-313.605
2007-08-01,4229.371,3020.799,7250.17,51.576,1.7,167.095,293.738,-126.643
2007-09-01,4233.352,3315.434,7548.786,-7.744,-0.2,73.075,371.266,-298.191
2007-10-01,4238.254,3565.38,7803.634,113.139,3.3,75.355,331.895,-256.539
2007-11-01,4238.181,3442.033,7680.213,35.381,1,262.091,140.775,121.316
2007-12-01,4234.216,2879.259,7113.475,-190.697,-6.2,632.434,63.475,568.959
2008-01-01,4232.156,2055.881,6288.037,-327.014,-13.7,890.978,67.359,823.619
2008-02-01,4221.565,1464.69,5686.255,-186.879,-11.3,648.34,55.775,592.564
2008-03-01,4220.523,1266.066,5486.589,-336.936,-21,349.985,130.513,219.472
2008-04-01,4222.248,1436.402,5658.65,-286.339,-16.6,105.508,295.897,-190.388
2008-05-01,4225.431,1839.543,6064.975,-341.696,-15.7,56.029,460.684,-404.655
2008-06-01,4229.559,2177.548,6407.107,-405.236,-15.7,80.529,422.926,-342.397
2008-07-01,4228.367,2517.023,6745.39,-379.232,-13.1,88.366,430.005,-341.639
2008-08-01,4227.668,2866.164,7093.832,-154.635,-5.1,92.221,442.234,-350.013
2008-09-01,4229.964,3160.918,7390.883,-154.516,-4.7,97.945,398.325,-300.38
2008-10-01,4234.974,3399.381,7634.355,-165.999,-4.7,91.443,333.892,-242.449
2008-11-01,4231.545,3345.911,7577.456,-96.122,-2.8,250.495,193.236,57.258
2008-12-01,4232.293,2840.363,7072.657,-38.896,-1.4,622.499,109.519,512.979
2009-01-01,4236.795,2133.233,6370.028,77.352,3.8,783.292,78.234,705.058
2009-02-01,4242.866,1758.022,6000.888,293.332,20,471.513,99.949,371.564
2009-03-01,4247.894,1659.646,5907.54,393.58,31.1,294.397,201.681,92.716
2009-04-01,4255.159,1909.916,6165.074,473.513,33,105.648,356.454,-250.807
2009-05-01,4257.355,2374.809,6632.164,535.266,29.1,45.384,512.359,-466.975
2009-06-01,4267.898,2760.133,7028.031,582.585,26.8,62.43,448.064,-385.634
2009-07-01,4263.199,3090.305,7353.504,573.282,22.8,82.604,420.802,-338.198
2009-08-01,4267.274,3359.118,7626.392,492.954,17.2,87.907,362.273,-274.367
2009-09-01,4275.618,3645.978,7921.596,485.059,15.3,56.736,351.897,-295.161
2009-10-01,4281.301,3809.867,8091.168,410.486,12.1,98.787,266.173,-167.386
2009-11-01,4287.564,3837.424,8124.989,491.513,14.7,139.546,173.011,-33.465
2009-12-01,4276.666,3130.076,7406.742,289.712,10.2,737.937,44.093,693.844
2010-01-01,4276.043,2303.858,6579.9,170.624,8,873.468,62.623,810.845
2010-02-01,4277.619,1683.334,5960.953,-74.688,-4.2,657.184,37.714,619.47
2010-03-01,4277.501,1652.413,5929.914,-7.234,-0.4,237.569,206.713,30.856
2010-04-01,4278.372,2011.101,6289.473,101.186,5.3,67.931,427.432,-359.501
2010-05-01,4279.323,2419.66,6698.983,44.85,1.9,52.524,462.812,-410.288
2010-06-01,4286.643,2740.056,7026.7,-20.077,-0.7,63.577,384.815,-321.238
2010-07-01,4287.238,2965.78,7253.018,-124.526,-4,112.493,339.158,-226.665
2010-08-01,4290.1,3152.761,7442.861,-206.357,-6.1,137.433,323.214,-185.781
2010-09-01,4293.804,3507.646,7801.45,-138.332,-3.8,52.326,410.927,-358.602
2010-10-01,4305.058,3850.641,8155.699,40.774,1.1,52.156,407.472,-355.316
2010-11-01,4309.231,3768.905,8078.136,-68.519,-1.8,236.543,162.517,74.025
2010-12-01,4301.362,3111.085,7412.447,-18.991,-0.6,731.181,65.997,665.184
2011-01-01,4302.792,2305.843,6608.635,1.985,0.1,849.115,50.13,798.985
2011-02-01,4302.341,1721.875,6024.215,38.541,2.3,666.248,81.827,584.421
2011-03-01,4302.108,1577.007,5879.115,-75.406,-4.6,313.952,167.632,146.319
2011-04-01,4303.57,1788.48,6092.05,-222.622,-11.1,100.096,312.29,-212.194
2011-05-01,4304.364,2186.855,6491.219,-232.805,-9.6,58.314,457.725,-399.411
2011-06-01,4301.779,2529.647,6831.426,-210.409,-7.7,80.472,420.644,-340.172
2011-07-01,4300.139,2775.346,7075.486,-190.434,-6.4,115.649,359.267,-243.618
2011-08-01,4300.269,3019.155,7319.424,-133.607,-4.2,125.989,370.18,-244.191
2011-09-01,4301.291,3415.698,7716.989,-91.948,-2.6,55.418,453.548,-398.13
2011-10-01,4301.737,3803.828,8105.566,-46.812,-1.2,51.527,436.748,-385.221
2011-11-01,4299.727,3842.882,8142.609,73.978,2,183.799,221.389,-37.59
2011-12-01,4301.752,3462.021,7763.772,350.936,11.3,473.674,90.432,383.241
2012-01-01,4309.129,2910.007,7219.136,604.164,26.2,619.332,74.854,544.477
2012-02-01,4309.505,2448.81,6758.315,726.936,42.2,515.817,56.243,459.574
2012-03-01,4321.454,2473.13,6794.584,896.123,56.8,205.365,240.351,-34.987
2012-04-01,4325.195,2611.226,6936.421,822.746,46,126.403,263.896,-137.493
2012-05-01,4332.383,2887.06,7219.444,700.205,32,73.735,357.965,-284.231
2012-06-01,4338.1,3115.447,7453.546,585.8,23.2,90.8,323.026,-232.226
2012-07-01,4342.905,3245.201,7588.106,469.855,16.9,129.567,263.91,-134.343
2012-08-01,4347.859,3406.134,7753.994,386.98,12.8,133.919,299.798,-165.879
2012-09-01,4351.797,3693.053,8044.851,277.356,8.1,66.652,357.109,-290.456
2012-10-01,4365.049,3929.25,8294.299,125.421,3.3,85.918,327.767,-241.849
2012-11-01,4372.359,3799.215,8171.574,-43.667,-1.1,280.933,155.554,125.379
2012-12-01,4372.412,3412.91,7785.322,-49.111,-1.4,489.707,104.953,384.754
2013-01-01,4377.473,2699.227,7076.7,-210.78,-7.2,793.28,71.973,721.307
2013-02-01,4384.016,2099.354,6483.37,-349.456,-14.3,648.024,44.113,603.91
2013-03-01,4382.35,1719.845,6102.195,-753.285,-30.5,482.543,102.52,380.023
2013-04-01,4381.218,1855.188,6236.406,-756.038,-29,135.335,272.168,-136.833
2013-05-01,4385.077,2269.564,6654.641,-617.497,-21.4,48.824,467.693,-418.868
2013-06-01,4384.597,2642.648,7027.246,-472.799,-15.2,68.653,440.521,-371.868
2013-07-01,4365.315,2936.86,7302.175,-308.341,-9.5,98.733,373.448,-274.716
2013-08-01,4362.286,3212.006,7574.293,-194.128,-5.7,101.608,373.634,-272.026
2013-09-01,4363.096,3564.505,7927.601,-128.549,-3.5,66.306,420.833,-354.527
2013-10-01,4364.401,3816.996,8181.397,-112.254,-2.9,84.363,339.984,-255.621
2013-11-01,4365.582,3605.337,7970.919,-193.878,-5.1,365.862,155.03,210.832
2013-12-01,4365.135,2889.892,7255.027,-523.018,-15.3,807.979,93.744,714.235
2014-01-01,4363.439,1924.922,6288.361,-774.305,-28.7,1038.87,68.3,970.569
2014-02-01,4360.226,1199.987,5560.214,-899.367,-42.8,832.536,104.374,728.162
2014-03-01,4349.988,857.311,5207.298,-862.534,-50.2,487.513,134.059,353.454
2014-04-01,4356.657,1066.38,5423.037,-788.808,-42.5,105.471,322.912,-217.441
2014-05-01,4352.892,1547.944,5900.837,-721.619,-31.8,51.122,528.763,-477.641
2014-06-01,4358.148,2005.475,6363.623,-637.173,-24.1,43.752,506.389,-462.637
2014-07-01,4361.28,2399.974,6761.254,-536.886,-18.3,63.495,462.998,-399.503
2014-08-01,4366.291,2768.398,7134.689,-443.608,-13.8,73.368,446.869,-373.501
2014-09-01,4369.09,3187.016,7556.106,-377.488,-10.6,47.07,468.602,-421.532
2014-10-01,4367.318,3587.27,7954.588,-229.726,-6,52.054,452.353,-400.299
2014-11-01,4367.469,3426.869,7794.338,-178.468,-5,361.403,200.392,161.011
2014-12-01,4364.79,3141.222,7506.012,251.33,8.7,429.214,142.813,286.401
2015-01-01,4368.461,2407.122,6775.582,482.2,25.1,795.057,69.913,725.144
2015-02-01,4368.391,1665.549,6033.94,465.561,38.8,803.302,61.773,741.529
2015-03-01,4369.363,1471.476,5840.84,614.166,71.6,375.546,182.08,193.465
2015-04-01,4369.141,1793.086,6162.227,726.706,68.1,83.652,404.938,-321.286
2015-05-01,4371.009,2287.238,6658.247,739.294,47.8,44.445,540.872,-496.427
2015-06-01,4375.275,2646.533,7021.808,641.058,32,68.449,430.014,-361.564
2015-07-01,4380.283,2924.427,7304.71,524.453,21.9,94.665,378.806,-284.14
2015-08-01,4372.395,3241.632,7614.026,473.234,17.1,84.994,394.156,-309.162
2015-09-01,4373.209,3614.081,7987.29,427.065,13.4,63.374,435.394,-372.021
2015-10-01,4373.747,3942.279,8316.026,355.009,9.9,70.047,400.879,-330.832
2015-11-01,4376.354,3926.822,8303.177,499.954,14.6,213.595,201.289,12.306
2015-12-01,4371.54,3666.632,8038.172,525.41,16.7,402.564,138.226,264.337
2016-01-01,4369.156,2938.089,7307.245,530.967,22.1,794.704,66.038,728.666
2016-02-01,4369.319,2534.293,6903.611,868.744,52.2,514.528,111.437,403.091
2016-03-01,4360.438,2486.323,6846.761,1014.846,69,263.952,215.369,48.583
2016-04-01,4363.889,2645.56,7009.45,852.474,47.5,129.944,294.423,-164.479
2016-05-01,4366.209,2966.266,7332.475,679.028,29.7,73.834,402.385,-328.551
2016-06-01,4368.637,3186.033,7554.67,539.499,20.4,94.09,316.418,-222.328
2016-07-01,4368.849,3318.139,7686.988,393.712,13.5,150.122,283.189,-133.067
2016-08-01,4369.458,3441.325,7810.783,199.693,6.2,161.716,285.482,-123.765
2016-09-01,4368.744,3705.161,8073.906,91.08,2.5,88.399,350.787,-262.387
2016-10-01,4371.364,4012.723,8384.087,70.444,1.8,78.239,386.636,-308.397
2016-11-01,4372.472,3976.581,8349.053,49.759,1.3,213.195,177.903,35.292
2016-12-01,4379.736,3296.944,7676.68,-369.688,-10.1,762.197,86.656,675.541
2017-01-01,4377.902,2622.159,7000.061,-315.93,-10.8,787.405,112.505,674.9
2017-02-01,4377.309,2337.331,6714.64,-196.962,-7.8,421.966,137.031,284.935
2017-03-01,4377.788,2062.505,6440.293,-423.818,-17,449.319,174.88,274.439
2017-04-01,4378.915,2291.25,6670.165,-354.31,-13.4,122.132,352.299,-230.167
2017-05-01,4384.737,2626.507,7011.244,-339.758,-11.5,89.622,430.352,-340.73
2017-06-01,4353.894,2906.809,7260.702,-279.224,-8.8,104.773,385.572,-280.799
2017-07-01,4355.741,3054.151,7409.892,-263.988,-8,153.53,303.38,-149.85
2017-08-01,4355.301,3249.896,7605.198,-191.429,-5.6,157.763,353.387,-195.625
2017-09-01,4355.483,3567.228,7922.712,-137.933,-3.7,102.776,419.311,-316.535
2017-10-01,4353.741,3816.497,8170.238,-196.227,-4.9,130.729,378.18,-247.451
2017-11-01,4353.086,3709.263,8062.349,-267.318,-6.7,285.005,199.026,85.98
2017-12-01,4359.79,3032.602,7392.391,-264.342,-8,785.458,90.71,694.748
2018-01-01,4356.964,2140.557,6497.521,-481.602,-18.4,1036.901,140.847,896.054
2018-02-01,4357.095,1672.663,6029.758,-664.668,-28.4,599.428,132.512,466.917
2018-03-01,4353.094,1390.28,5743.374,-672.225,-32.6,449.149,164.116,285.033
2018-04-01,4350.458,1426.8,5777.258,-864.451,-37.7,223.809,255.58,-31.771
2018-05-01,4351.691,1847.454,6199.145,-779.053,-29.7,65.909,488.969,-423.06
2018-06-01,4353.838,2195.227,6549.065,-711.582,-24.5,87.627,436.179,-348.552
2018-07-01,4354.236,2381.269,6735.506,-672.882,-22,175.166,361.544,-186.378
2018-08-01,4355.005,2616.841,6971.846,-633.055,-19.5,171.775,407.139,-235.365
2018-09-01,4355.771,2950.368,7306.139,-616.86,-17.3,129.749,463.813,-334.064
2018-10-01,4356.617,3236.255,7592.871,-580.242,-15.2,131.043,421.566,-290.522
2018-11-01,4356.312,3030.079,7386.391,-679.184,-18.3,418.016,213.135,204.881
2018-12-01,4360.531,2708.318,7068.849,-324.284,-10.7,510.852,190.513,320.339
2019-01-01,4366.112,1993.997,6360.109,-146.56,-6.8,803.756,95.142,708.614
2019-02-01,4365.887,1426.21,5792.097,-246.453,-14.7,672.497,104.352,568.145
2019-03-01,4360.572,1184.891,5545.463,-205.389,-14.8,434.932,189.689,245.243
2019-04-01,4367.449,1559.402,5926.851,132.602,9.3,103.531,485.598,-382.067
2019-05-01,4371.969,2031.031,6403,183.577,9.9,85.019,556.916,-471.898
2019-06-01,4374.728,2460.748,6835.476,265.521,12.1,91.812,523.071,-431.26
2019-07-01,4374.373,2714.197,7088.57,332.927,14,161.5,415.594,-254.094
2019-08-01,4376.635,2997.81,7374.445,380.969,14.6,167.605,453.252,-285.647
2019-09-01,4378.074,3414.939,7793.013,464.571,15.7,109.361,528.51,-419.15
2019-10-01,4378.738,3762.043,8140.781,525.788,16.2,115.665,461.419,-345.754
2019-11-01,4379.982,3610.029,7990.012,579.95,19.1,350.856,201.178,149.678
2019-12-01,4379.628,3188.243,7567.872,479.925,17.7,556.268,137.798,418.47
2020-01-01,4380.4,2616.176,6996.576,622.179,31.2,665.067,94.44,570.627
2020-02-01,4379.192,2080.883,6460.075,654.673,45.9,634.408,98.895,535.513
2020-03-01,4379.312,2029.36,6408.672,844.469,71.3,285.492,236.339,49.153
2020-04-01,4383.957,2332.493,6716.451,773.091,49.6,130.583,436.762,-306.179
2020-05-01,4386.649,2777.585,7164.234,746.553,36.8,73.987,521.993,-448.006
2020-06-01,4389.423,3133.096,7522.519,672.347,27.3,84.854,442.802,-357.949
2020-07-01,4390.263,3293.55,7683.812,579.353,21.3,151.035,312.2,-161.165
2020-08-01,4389.701,3522.216,7911.918,524.406,17.5,173.887,401.382,-227.495
2020-09-01,4388.932,3839.836,8228.769,424.897,12.4,126.17,449.59,-323.42
2020-10-01,4392.85,3928.504,8321.354,166.46,4.4,190.714,283.12,-92.406
2020-11-01,4393.841,3931.616,8325.457,321.587,8.9,214.323,218.129,-3.807
2020-12-01,4394.46,3340.981,7735.441,152.738,4.8,681.386,94.139,587.247
2021-01-01,4394.388,2634.968,7029.355,18.792,0.7,782.893,75.824,707.069
2021-02-01,4388.696,1859.218,6247.914,-221.665,-10.7,903.859,122.356,781.503
2021-03-01,4387.66,1801.225,6188.885,-228.134,-11.2,321.173,262.155,59.018
2021-04-01,4379.423,1975.034,6354.456,-357.46,-15.3,173.053,347.372,-174.319
2021-05-01,4381.37,2389.892,6771.262,-387.693,-14,75.553,491.679,-416.126
2021-06-01,4433.94,2585.126,7019.066,-547.969,-17.5,139.565,387.667,-248.102
2021-07-01,4433.994,2754.715,7188.708,-538.835,-16.4,171.173,340.972,-169.799
2021-08-01,4434.849,2917.268,7352.117,-604.948,-17.2,186.495,345.761,-159.265
2021-09-01,4436.759,3305.982,7742.741,-533.854,-13.9,82.843,473.433,-390.59
2021-10-01,4437.826,3665.385,8103.211,-263.118,-6.7,90.985,451.789,-360.804
2021-11-01,4438.705,3532.776,7971.48,-398.84,-10.1,320.626,188.673,131.953
2021-12-01,4437.876,3209.983,7647.859,-130.999,-3.9,512.9,190.253,322.647
2022-01-01,4437.357,2215.941,6653.298,-419.027,-15.9,1069.334,75.578,993.756
2022-02-01,4434.489,1562.019,5996.508,-297.199,-16,760.728,102.251,658.478
2022-03-01,4434.002,1401.466,5835.467,-399.759,-22.2,394.465,231.081,163.384
2022-04-01,4439.756,1611.766,6051.522,-363.268,-18.4,140.392,354.148,-213.755
2022-05-01,4441.61,2001.916,6443.525,-387.976,-16.2,81.429,484.564,-403.136
2022-06-01,4442.616,2325.322,6767.938,-259.804,-10,114.193,437.806,-323.613
2022-07-01,4444.395,2505.123,6949.518,-249.592,-9.1,181.652,361.69,-180.038
2022-08-01,4445.772,2709.422,7155.194,-207.846,-7.1,176.244,382.468,-206.224
2022-09-01,4444.846,3145.644,7590.49,-160.339,-4.8,100.095,536.066,-435.97
2022-10-01,4443.108,3569.385,8012.493,-96,-2.6,88.666,510.89,-422.224
2022-11-01,4442.439,3501.05,7943.489,-31.725,-0.9,332.898,261.146,71.752
2022-12-01,4450.651,2925.381,7376.032,-284.602,-8.9,734.538,160.129,574.409
2023-01-01,4451.525,2470.015,6921.54,254.074,11.5,608.777,153.147,455.63
2023-02-01,4450.689,2072.184,6522.873,510.165,32.7,529.41,130.231,399.179
2023-03-01,4449.834,1849.895,6299.73,448.429,32,394.613,170.956,223.658
2023-04-01,4452.175,2116.462,6568.637,504.696,31.3,126.376,394.981,-268.605
2023-05-01,4465.638,2556.481,7022.119,554.565,27.7,81.767,533.975,-452.208
2023-06-01,4463.734,2901.662,7365.395,576.34,24.8,104.724,448.254,-343.529
2023-07-01,4464.915,3035.197,7500.112,530.074,21.2,186.058,319.584,-133.525
2023-08-01,4463.745,3167.947,7631.692,458.525,16.9,232.51,365.36,-132.85
2023-09-01,4462.663,3489.832,7952.495,344.188,10.9,155.222,478.084,-322.862
2023-10-01,4463.174,3809.382,8272.556,239.998,6.7,120.592,441.936,-321.344
2023-11-01,4464.04,3742.245,8206.286,241.195,6.9,298.118,233.132,64.986
2023-12-01,4467.942,3457.481,7925.423,532.1,18.2,454.249,170.376,283.872
2024-01-01,4467.64,2611.364,7079.004,141.349,5.7,950.84,106.471,844.369
2024-02-01,4467.813,2349.679,6817.491,277.495,13.4,457.597,194.882,262.715
2024-03-01,4466.868,2306.055,6772.922,456.16,24.7,319.605,273.544,46.062
2024-04-01,4467.095,2562.447,7029.542,445.986,21.1,155.106,411.12,-256.014
2024-05-01,4469.399,2923.175,7392.574,366.695,14.3,112.086,474.619,-362.533
2024-06-01,4471.178,3174.958,7646.136,273.296,9.4,128.085,381.644,-253.559
2024-07-01,4472.5,3293.578,7766.078,258.382,8.5,176.633,296.151,-119.518
2024-08-01,4477.315,3370.22,7847.535,201.412,6.4,243.831,322.455,-78.624
2024-09-01,4482.461,3616.307,8098.768,125.844,3.6,150.555,402.059,-251.504
