Month,"Coal Electric Power Sector, Net Summer Capacity","Petroleum Electric Power Sector, Net Summer Capacity","Natural Gas Electric Power Sector, Net Summer Capacity","Fossil Fuels Electric Power Sector, Net Summer Capacity","Nuclear Electric Power Sector, Net Summer Capacity","Hydroelectric Pumped Storage Electric Power Sector, Net Summer Capacity","Conventional Hydroelectric Power Electric Power Sector, Net Summer Capacity","Wood Electric Power Sector, Net Summer Capacity","Waste Electric Power Sector, Net Summer Capacity","Geothermal Electric Power Sector, Net Summer Capacity ","Solar Electric Power Sector, Net Summer Capacity","Wind Electric Power Sector, Net Summer Capacity","Renewable Energy Electric Power Sector, Net Summer Capacity ","Battery Storage Electric Power Sector, Net Summer Capacity","Total Electric Power Sector, Net Summer Capacity"
2007-05-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-06-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-07-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-08-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-09-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-10-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-11-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-12-01,309.117,54.84,377.112,741.52,100.266,21.886,77.532,1.694,3.539,2.214,0.501,16.515,101.995,Not Available,965.732
2008-01-01,308.8,56.602,375.417,741.025,100.755,21.858,77.584,1.799,3.542,2.213,0.504,17.297,102.939,Not Available,966.683
2008-02-01,308.754,56.601,375.733,741.294,100.755,21.858,77.584,1.799,3.563,2.229,0.504,17.77,103.449,Not Available,967.462
2008-03-01,308.612,56.584,375.791,741.193,100.755,21.858,77.589,1.799,3.574,2.229,0.504,18.134,103.829,Not Available,967.741
2008-04-01,308.357,56.476,376.085,741.124,100.755,21.858,77.593,1.799,3.578,2.229,0.504,18.69,104.392,Not Available,968.236
2008-05-01,308.287,56.455,379.018,743.965,100.755,21.858,77.571,1.81,3.579,2.229,0.506,19.309,105.003,Not Available,971.688
2008-06-01,308.514,56.504,380.049,745.273,100.755,21.858,77.571,1.836,3.581,2.229,0.506,19.403,105.125,Not Available,973.117
2008-07-01,309.051,56.492,380.991,746.74,100.755,21.858,77.571,1.836,3.587,2.229,0.506,19.929,105.658,Not Available,975.117
2008-08-01,309.051,56.48,381.185,746.921,100.755,21.858,77.572,1.846,3.599,2.229,0.507,20.201,105.953,Not Available,975.594
2008-09-01,309.015,56.48,381.759,747.46,100.755,21.858,77.572,1.846,3.599,2.229,0.509,20.68,106.434,Not Available,976.614
2008-10-01,309.595,56.489,381.735,748.025,100.755,21.858,77.575,1.846,3.612,2.229,0.51,21.482,107.253,Not Available,977.997
2008-11-01,309.595,56.495,381.891,748.186,100.755,21.858,77.575,1.846,3.617,2.229,0.515,21.804,107.586,Not Available,978.491
2008-12-01,309.648,56.379,381.822,748.055,100.755,21.858,77.575,1.846,3.645,2.229,0.535,24.651,110.48,Not Available,981.26
2009-01-01,309.383,56.216,382.309,748.122,101.004,22.16,78.138,1.873,3.529,2.218,0.536,26.142,112.436,Not Available,983.842
2009-02-01,309.383,56.214,382.631,748.442,101.004,22.16,78.139,1.873,3.535,2.218,0.539,27.112,113.417,Not Available,985.148
2009-03-01,309.383,56.214,382.537,748.348,101.004,22.16,78.141,1.873,3.552,2.279,0.54,27.685,114.068,Not Available,985.708
2009-04-01,309.424,56.165,382.756,748.559,101.004,22.16,78.148,1.873,3.557,2.279,0.54,28.576,114.972,Not Available,986.823
2009-05-01,310.329,56.162,381.338,748.043,101.004,22.16,78.148,1.873,3.58,2.279,0.545,28.844,115.268,Not Available,986.604
2009-06-01,310.333,55.749,383.809,750.105,101.004,22.16,78.148,1.893,3.602,2.279,0.545,29.268,115.734,Not Available,989.132
2009-07-01,310.333,55.753,384.744,751.043,101.004,22.16,78.148,1.893,3.716,2.279,0.548,29.479,116.063,Not Available,990.404
2009-08-01,310.331,55.753,386.385,752.683,101.004,22.16,78.148,1.893,3.725,2.279,0.55,30.03,116.625,Not Available,992.607
2009-09-01,310.331,55.755,386.406,752.706,101.004,22.16,78.162,1.893,3.732,2.279,0.553,30.984,117.602,Not Available,993.606
2009-10-01,310.139,55.747,384.761,750.861,101.004,22.16,78.162,1.893,3.733,2.343,0.578,32.205,118.914,Not Available,993.079
2009-11-01,310.139,55.751,385.992,752.096,101.004,22.16,78.162,1.893,3.738,2.382,0.579,32.582,119.336,Not Available,994.736
