Month,Asphalt and Road Oil Consumed by the Industrial Sector,Distillate Fuel Oil Consumed by the Industrial Sector,Propane Consumed by the Industrial Sector,Propylene Consumed by the Industrial Sector,Propane/Propylene Consumed by the Industrial Sector,Total Hydrocarbon Gas Liquids Consumed by the Industrial Sector,Kerosene Consumed by the Industrial Sector,Lubricants Consumed by the Industrial Sector,Motor Gasoline Consumed by the Industrial Sector,Petroleum Coke Consumed by the Industrial Sector,Residual Fuel Oil Consumed by the Industrial Sector,Other Petroleum Products Consumed by the Industrial Sector,Total Petroleum Consumed by the Industrial Sector
1973-01-01,183.645,727.361,344.494,71.774,416.268,1029.597,141.25,81.11,122.028,263.344,834.665,998.645,4381.646
1973-02-01,216.643,874.019,290.961,64.857,355.818,916.268,134.005,88.75,128.389,239.916,992.007,972.321,4562.318
1973-03-01,255.645,718.377,116.923,69.806,186.729,749.961,69.834,86.417,129.913,238.348,1038.087,981.613,4268.195
1973-04-01,377.733,530.107,136.726,66.433,203.159,744.233,56.76,79.166,130.481,233.314,796.524,985.0,3933.318
1973-05-01,543.613,678.634,233.367,70.613,303.98,863.974,46.04,90.458,137.778,249.67,831.525,991.323,4433.016
1973-06-01,710.233,584.235,293.594,72.7,366.294,883.261,40.929,81.326,138.905,270.887,745.844,1033.067,4488.688
1973-07-01,797.0,595.881,256.193,73.29,329.483,857.961,51.652,95.414,140.09,259.456,543.909,1027.097,4368.459
1973-08-01,892.355,633.575,375.057,69.903,444.96,1027.173,51.023,92.866,144.747,270.113,711.658,1051.355,4874.864
1973-09-01,734.5,706.457,369.861,74.767,444.628,994.661,64.182,84.05,131.262,243.443,716.539,990.2,4665.295
1973-10-01,702.935,664.851,357.042,69.065,426.106,1070.016,62.438,100.14,133.184,281.044,643.2,998.548,4656.357
1973-11-01,519.6,837.57,346.38,65.8,412.18,1030.293,106.329,91.731,136.097,248.799,1007.153,983.267,4960.839
1973-12-01,305.645,752.573,38.243,63.355,101.598,714.436,82.898,87.735,124.406,244.849,871.308,977.903,4161.754
1974-01-01,225.419,791.007,241.948,62.581,304.529,929.193,107.987,91.899,108.867,241.666,894.965,951.194,4342.198
1974-02-01,277.643,769.857,65.294,67.071,132.365,769.015,97.384,84.82,114.41,240.28,913.466,965.821,4232.698
1974-03-01,304.968,639.434,100.729,75.581,176.31,767.523,61.704,86.364,115.574,255.151,792.334,899.613,3922.665
1974-04-01,413.867,609.017,193.754,67.3,261.054,851.854,45.053,85.285,121.107,228.489,801.352,943.2,4099.222
1974-05-01,560.968,562.88,223.529,63.258,286.788,819.897,24.713,91.565,126.517,207.81,653.377,981.29,4029.018
1974-06-01,635.3,569.989,306.665,76.5,383.165,980.912,39.772,74.318,129.778,232.965,724.255,1047.733,4435.023
1974-07-01,685.71,540.011,343.324,70.323,413.647,955.027,43.208,87.805,130.526,222.088,646.659,1150.226,4461.261
1974-08-01,693.129,568.277,385.405,72.419,457.824,982.269,48.755,79.336,132.445,226.847,686.36,1127.645,4545.062
1974-09-01,672.2,478.308,438.786,75.3,514.086,1054.553,47.792,88.408,119.807,253.632,661.437,1031.067,4407.202
1974-10-01,655.806,626.745,365.713,75.161,440.874,1032.79,66.691,88.086,125.895,197.522,735.888,1060.903,4590.327
1974-11-01,415.7,687.074,277.074,69.2,346.274,975.654,67.782,79.075,122.788,220.851,842.349,1043.767,4455.039
1974-12-01,220.065,761.945,224.313,52.548,276.861,891.384,84.65,77.578,123.001,233.592,701.381,997.387,4090.983
