Month,"Coal Industrial Sector Generating Units, Capacity Factor","Petroleum Industrial Sector Generating Units, Capacity Factor","Natural Gas Combined Cycle Plants Industrial Sector Generating Units, Capacity Factor","Natural Gas Gas Turbine Plants Industrial Sector Generating Units, Capacity Factor","Natural Gas Conventional Steam Plants Industrial Sector Generating Units, Capacity Factor","Nuclear Industrial Sector Generating Units, Capacity Factor","Hydroelectric Industrial Sector Generating Units, Capacity Factor","Biomass Industrial Sector Generating Units, Capacity Factor","Geothermal Industrial Sector Generating Units, Capacity Factor","Solar Photovoltaic Industrial Sector Generating Units, Capacity Factor","Solar Thermal Industrial Sector Generating Units, Capacity Factor","Wind Industrial Sector Generating Units, Capacity Factor","Hydroelectric Pumped Storage Industrial Sector Generating Units, Usage Factor","Battery Storage Industrial Sector Generating Units, Usage Factor"
2023-07-01,39.5,15.2,68.8,80.5,46.3,No Data Reported,44.2,52.8,No Data Reported,28.2,No Data Reported,11.2,No Data Reported,3.5
2023-08-01,37.5,15.1,68.3,83.6,45.1,No Data Reported,36.4,55.7,No Data Reported,25.6,No Data Reported,15.3,No Data Reported,3.4
2023-09-01,37.6,13.1,69.0,79.8,46.6,No Data Reported,30.8,54.2,No Data Reported,22.9,No Data Reported,11.7,No Data Reported,5
2023-10-01,34.9,12.8,65.7,70.9,43.7,No Data Reported,26.0,51.8,No Data Reported,18.4,No Data Reported,23.2,No Data Reported,5.2
2023-11-01,35.0,13.8,68.8,74.2,47.9,No Data Reported,30.1,58.0,No Data Reported,15.2,No Data Reported,30.2,No Data Reported,4.1
2023-12-01,37.1,13.5,70.9,75.2,45.2,No Data Reported,46.9,60.8,No Data Reported,11.6,No Data Reported,24.8,No Data Reported,2.4
2024-01-01,37.2,16.4,71.0,80.7,50.4,No Data Reported,55.6,60.7,No Data Reported,13.1,No Data Reported,23.7,No Data Reported,0
2024-02-01,37.5,15.2,68.4,74.6,47.1,No Data Reported,54.3,59.2,No Data Reported,17.8,No Data Reported,28.7,No Data Reported,0
2024-03-01,38.3,13.8,61.8,68.5,45.6,No Data Reported,53.6,58.0,No Data Reported,20.7,No Data Reported,31.9,No Data Reported,0
2024-04-01,31.9,14.5,64.4,71.6,44.6,No Data Reported,48.7,58.9,No Data Reported,25.2,No Data Reported,31.9,No Data Reported,0
2024-05-01,35.7,13.0,60.5,71.7,46.1,No Data Reported,51.6,58.5,No Data Reported,27.7,No Data Reported,24.4,No Data Reported,0
2024-06-01,39.0,15.6,59.6,71.3,50.0,No Data Reported,50.4,57.2,No Data Reported,30.2,No Data Reported,24.6,No Data Reported,0
2024-07-01,39.6,16.7,64.3,75.7,50.9,No Data Reported,42.5,58.0,No Data Reported,28.6,No Data Reported,16.5,No Data Reported,0
2024-08-01,38.5,13.7,71.1,76.2,52.2,No Data Reported,48.7,59.3,No Data Reported,28.0,No Data Reported,17.3,No Data Reported,0
2024-09-01,36.5,13.8,65.4,74.2,48.9,No Data Reported,42.7,56.9,No Data Reported,24.0,No Data Reported,19.2,No Data Reported,0
