Month,Distillate Fuel Oil Consumed by the Residential Sector,Propane Consumed by the Residential Sector,Kerosene Consumed by the Residential Sector,Total Petroleum Consumed by the Residential Sector,Distillate Fuel Oil Consumed by the Commercial Sector,Propane Consumed by the Commercial Sector,Kerosene Consumed by the Commercial Sector,Motor Gasoline Consumed by the Commercial Sector,Petroleum Coke Consumed by the Commercial Sector,Residual Fuel Oil Consumed by the Commercial Sector,Total Petroleum Consumed by the Commercial Sector
1973-01-01,1706.943,773.584,206.026,2686.553,548.359,155.582,58.692,41.506,Not Available,525.293,1329.432
1973-02-01,1614.436,752.612,195.457,2562.506,518.647,152.675,55.681,43.67,Not Available,496.824,1267.497
1973-03-01,1140.521,503.778,101.859,1746.158,366.39,118.185,29.017,44.188,Not Available,350.97,908.75
1973-04-01,824.604,413.817,82.789,1321.21,264.902,105.716,23.585,44.381,Not Available,253.768,692.352
1973-05-01,676.745,282.756,67.153,1026.654,217.421,87.55,19.13,46.863,Not Available,208.259,579.223
1973-06-01,529.836,160.002,59.698,749.536,170.201,70.535,17.007,47.246,Not Available,163.068,468.057
1973-07-01,483.905,147.401,75.338,706.645,155.453,68.788,21.462,47.649,Not Available,148.904,442.257
1973-08-01,561.067,149.594,74.421,785.082,180.26,69.092,21.201,49.234,Not Available,172.678,492.465
1973-09-01,599.469,192.381,93.615,885.466,192.568,75.023,26.669,44.647,Not Available,184.468,523.374
1973-10-01,820.681,303.117,91.07,1214.869,263.647,90.372,25.944,45.301,Not Available,252.55,677.813
1973-11-01,1068.305,517.399,155.09,1740.794,343.203,120.073,44.181,46.291,Not Available,328.768,882.517
1973-12-01,1321.49,710.263,120.914,2152.668,424.552,146.805,34.446,42.315,Not Available,406.68,1054.797
1974-01-01,1382.676,668.659,156.943,2208.278,446.676,136.08,46.585,38.424,Not Available,412.151,1079.917
1974-02-01,1383.677,668.202,141.533,2193.412,446.998,136.017,42.011,40.38,Not Available,412.454,1077.862
1974-03-01,1031.676,495.896,89.677,1617.25,333.289,112.352,26.619,40.791,Not Available,307.509,820.56
1974-04-01,822.299,345.176,65.478,1232.953,265.632,91.652,19.436,42.744,Not Available,245.127,664.591
1974-05-01,579.677,249.266,35.916,864.859,187.257,78.479,10.661,44.653,Not Available,172.802,493.853
1974-06-01,490.866,162.389,57.803,711.059,158.566,66.547,17.158,45.804,Not Available,146.33,434.405
1974-07-01,472.87,136.211,62.797,671.879,152.774,62.952,18.64,46.068,Not Available,140.964,421.398
1974-08-01,471.645,142.295,70.858,684.798,152.354,63.787,21.033,46.746,Not Available,140.577,424.497
1974-09-01,631.099,200.776,69.458,901.334,203.866,71.819,20.617,42.285,Not Available,188.129,526.716
1974-10-01,817.967,337.256,96.925,1252.148,264.257,90.564,28.77,44.434,Not Available,243.833,671.858
1974-11-01,958.999,485.327,98.511,1542.837,309.799,110.901,29.241,43.337,Not Available,285.86,779.137
1974-12-01,1394.805,636.81,123.026,2154.641,450.579,131.706,36.518,43.412,Not Available,415.764,1077.979
1975-01-01,1331.528,634.202,107.303,2073.033,432.384,129.09,32.932,43.144,Not Available,335.744,973.295
