Month,F.O.B. Cost of Crude Oil Imports From Angola,F.O.B. Cost of Crude Oil Imports From Colombia,F.O.B. Cost of Crude Oil Imports From Mexico,F.O.B. Cost of Crude Oil Imports From Nigeria,F.O.B. Cost of Crude Oil Imports From Saudi Arabia,F.O.B. Cost of Crude Oil Imports From United Kingdom,F.O.B. Cost of Crude Oil Imports From Venezuela,F.O.B. Cost of Crude Oil Imports From Persian Gulf Nations,F.O.B. Cost of Crude Oil Imports From All OPEC Countries,F.O.B. Cost of Crude Oil Imports From All Non-OPEC Countries
2004-05-01,Withheld,36.46,32.45,38.11,Withheld,Withheld,33.18,32.49,34.43,33.27
2004-06-01,36.57,35.1,30.33,35.63,32.91,Withheld,30.92,32.31,32.46,32.05
2004-07-01,37.82,39.28,32.56,39.8,35.17,Not Available,32.46,34.9,35.28,34.68
2004-08-01,42.75,Withheld,34.24,43.18,Withheld,41.89,33.93,37.7,37.57,37.15
2004-09-01,41.03,41.8,35.27,44.82,38.41,Withheld,38.72,39.05,40.57,37.44
2004-10-01,47.64,45.74,40.38,49.15,Withheld,Withheld,39.55,37.35,41.33,42.87
2004-11-01,40.43,Withheld,33.09,43.14,Withheld,Withheld,32.23,34.05,35.5,36.43
2004-12-01,36.01,Withheld,29.49,40.22,Withheld,Withheld,30.11,30.64,32.52,31.1
2005-01-01,38.2,Withheld,31.51,44.43,38.52,Withheld,34.35,36.03,37.51,34.34
2005-02-01,42.77,Withheld,33.21,48.24,40.11,42.58,37.82,39.37,41.07,37.3
2005-03-01,48.06,47.05,39.32,53.76,42.67,53.98,42.94,43,45.71,42.96
2005-04-01,48.46,50.25,40.43,51.72,45.68,Withheld,43.01,43.71,45.34,42.45
2005-05-01,45.35,Withheld,40.31,49.59,44.09,Withheld,41.78,43.65,44.44,41.46
2005-06-01,50.91,52.64,44.83,55.81,53.37,Withheld,47.06,50.98,51.11,46.19
2005-07-01,54.88,Withheld,46.74,59.03,Withheld,57.71,49.28,54.95,53.46,50.37
2005-08-01,62.16,55.44,50.54,65.78,Withheld,64.87,57.54,57.34,59.86,54.7
2005-09-01,60.64,63.89,52.19,63.73,Withheld,Withheld,62.43,Withheld,60.7,55.52
2005-10-01,54.8,Withheld,48.62,60.89,Withheld,60.09,51.19,49.61,54.61,51.1
2005-11-01,52.01,49.49,43.22,56.11,Withheld,Withheld,46.98,49.88,50.88,46.93
2005-12-01,53.74,55.82,45.83,59.33,Withheld,Not Available,48.22,48.77,52.26,47.67
2006-01-01,59.28,60.78,50.21,63.73,Withheld,Withheld,52.56,52.65,56.14,52.32
2006-02-01,57.55,53.07,48.33,60.2,Withheld,Withheld,50.93,53.66,54.39,49.19
2006-03-01,60.07,54.1,50.16,64.05,Withheld,63.13,56.29,55.84,58.34,51.87
2006-04-01,Withheld,62.26,57.12,71.85,Withheld,Withheld,62.93,61.12,65.06,59.75
2006-05-01,66.95,66.17,55.62,70.83,65.35,68.98,61.7,63.45,65.31,60.81
2006-06-01,67.1,63.43,55.07,69.96,65.87,69.34,60.87,63.99,64.69,59.04
2006-07-01,70.81,69.24,60.24,75.63,Withheld,Withheld,64.6,61.76,67.61,64.23
2006-08-01,68.94,65.45,59.97,72.67,54.21,Not Available,60.48,56.14,62.58,62.76
2006-09-01,56.89,55.49,52.01,62.74,53.27,Withheld,52.02,52.13,55.87,53.58
2006-10-01,54,52.38,47.64,58.62,52.19,Withheld,48.97,50.62,52.73,48.86
2006-11-01,57.67,56.16,48.13,61.2,48.43,Withheld,48.54,49.57,53.07,50.26
2006-12-01,58.28,53.99,50.09,62.24,52.76,Withheld,49.13,51.89,54.26,51.68
2007-01-01,52.04,48.98,43.27,56.03,Withheld,53.57,44.79,50.06,50.92,45.31
2007-02-01,55.18,57.1,47.47,58.32,Withheld,Not Available,49.8,52.43,53.84,49.98
2007-03-01,60.34,58.44,50.21,64.88,Withheld,62.04,52.01,56.22,57.79,52.91
2007-04-01,65.45,58.26,54.36,69.72,Withheld,Withheld,56.48,58.82,62.32,56.42
2007-05-01,65.85,62.06,55.6,71.4,Withheld,Withheld,57.47,63.71,63.77,57.78
2007-06-01,69.63,67.21,59.91,75.55,Withheld,Withheld,61.01,65.45,67.05,61.12
2007-07-01,74.18,70.77,64.61,79.08,Withheld,76.35,66.02,70.75,72.04,66.48
2007-08-01,68.38,70.46,61.8,74.08,Withheld,Withheld,63.79,70.97,68.86,64.18
2007-09-01,75.62,70.66,65.95,80.1,Withheld,Withheld,68.99,77.63,75.3,68.38
2007-10-01,80.2,79.1,72.04,88.88,Withheld,Withheld,74.87,85.03,82.1,73.38
2007-11-01,90.85,Withheld,79.13,94.71,86.74,Withheld,83.61,84.11,87.15,80.07
2007-12-01,88.27,90.11,80.49,96.18,81.45,Withheld,80.57,81.14,86.61,77.78
2008-01-01,88.77,80.54,80.1,93.59,88.52,Not Available,80.49,83.79,85.51,80.72
2008-02-01,93.84,83.63,80.49,98.72,Withheld,Withheld,84.1,94,91.87,83.21
2008-03-01,101.34,99.67,87.46,107.04,Withheld,Not Available,89.63,101.72,99.9,92.25
2008-04-01,110.8,106.06,94.08,114.87,Withheld,Not Available,96.71,113.04,108.19,98.89
2008-05-01,119.61,117.49,103.53,127.35,123.98,Not Available,107.89,121.13,118.23,111.3
2008-06-01,130.72,125.58,116.15,140.01,125.58,Withheld,119.15,124.37,126.3,120.14
2008-07-01,127.19,122.27,123.19,134.58,110.61,Withheld,123.18,110.34,121.93,122.37
2008-08-01,107.58,108.36,108.45,117.21,107.54,Withheld,110.2,105.06,108.99,107.17
2008-09-01,92.42,95.87,92.26,95.68,70.86,Withheld,92.76,75.41,89.61,92.24
2008-10-01,62.08,61.83,63.74,67.28,66.18,Withheld,60.35,61.78,62.77,63.42
2008-11-01,48.16,42.14,42.37,51.45,47.97,Not Available,42.22,45.14,45.61,44.3
2008-12-01,Withheld,Withheld,32.86,44.02,Withheld,Not Available,32.98,35.69,35.79,32.9
2009-01-01,39.5,26.24,36.96,46.26,Withheld,Withheld,36.68,35.24,37.61,36.15
2009-02-01,40.6,32.55,37.59,45.02,Withheld,Not Available,38.03,36.38,39.71,36.81
2009-03-01,44.56,46.69,40.94,50.34,48.31,Withheld,41.78,47.66,45.75,42.96
2009-04-01,50.59,Withheld,46.71,54,Withheld,Not Available,45.98,51.05,48.82,46.87
2009-05-01,55.23,54.17,55.49,59.02,Withheld,Not Available,54.91,58.05,56.3,55.12
2009-06-01,66.96,62.94,63.83,69,Withheld,Not Available,63.16,64.26,65.37,64.34
2009-07-01,63.34,58.58,60.42,69.73,Withheld,Not Available,60.16,63.42,63.25,61.39
2009-08-01,72.25,64.41,67.2,72.37,66.37,Withheld,65.42,66.14,67.65,67.31
2009-09-01,67.49,63.68,64.51,69.65,Withheld,Not Available,64.18,67.25,65.91,65.04
2009-10-01,71.19,69.59,68.71,76.01,Withheld,Withheld,66.95,73.45,70.54,70.38
2009-11-01,76.89,70.96,72.71,77.58,Withheld,Withheld,69.43,72.99,73.6,72.81
2009-12-01,74.56,66.72,69.75,76.06,Withheld,Not Available,68.32,72.85,72.48,70.01
2010-01-01,74.62,70.08,72.96,75.91,Withheld,Not Available,70.86,Withheld,73.42,72.49
2010-02-01,Withheld,68.7,69.16,76.07,Withheld,Not Available,68.83,71.86,71.76,71.14
2010-03-01,78.11,73.9,72.76,81.27,Withheld,Not Available,70.88,76.1,75.83,74.91
2010-04-01,84.4,74.85,75.57,85.94,Withheld,Withheld,72.59,79.98,78.88,77.73
2010-05-01,71.86,64.32,68.3,74.28,Withheld,Not Available,66.37,73.6,70.45,68.24
2010-06-01,72.9,67.19,67.64,75.61,Withheld,Not Available,66.19,72.49,71.39,69.19
2010-07-01,74.77,70,68.53,79.63,Withheld,Not Available,67.25,71.76,72.16,69.84
2010-08-01,77.11,69.88,69.53,75.7,Withheld,Withheld,68.27,72.79,72.38,70.35
2010-09-01,Withheld,69.71,69.9,80.93,74.06,Not Available,67.59,73.34,73.24,70.25
2010-10-01,Withheld,76.06,73.93,84.59,Withheld,Not Available,72.1,78.28,77.55,73.8
2010-11-01,85.99,78.92,77.14,86.61,Withheld,Not Available,75.03,80.99,80.95,78.48
2010-12-01,Withheld,81.62,81.75,93.68,Withheld,Not Available,77.78,Withheld,85.72,82.4
2011-01-01,95.97,83.36,84.45,99.86,Withheld,Not Available,81.25,Withheld,89.74,83.96
2011-02-01,Withheld,88.55,88.77,109.07,Withheld,Not Available,85.11,97.25,96.01,88.99
2011-03-01,113.63,101.29,102.55,117.98,Withheld,Not Available,97.56,107.36,106.19,102.41
2011-04-01,122.52,114.17,109.9,126.05,Withheld,Not Available,106.56,114.82,115.15,107.71
2011-05-01,113.33,106.15,105.13,117.66,Withheld,Not Available,101.6,110.02,108.43,103.64
2011-06-01,115.13,102.78,103.43,119.13,Withheld,Not Available,100.59,106.39,108.22,100.37
2011-07-01,114.8,100.3,104.84,119.68,Withheld,Not Available,100.62,109.06,110.09,100.88
2011-08-01,Withheld,95.01,98.21,115.61,Withheld,Not Available,97.17,106.98,104.19,93.57
2011-09-01,112.49,97.45,100.28,115.43,109.99,Not Available,95.72,108.41,105.82,97.06
2011-10-01,109.74,102.37,101.48,114.46,Withheld,Not Available,96.93,105.62,105.2,98.64
2011-11-01,112.49,106.97,107.94,115.35,Withheld,Not Available,105.44,106.51,108.16,104.17
2011-12-01,111.26,103.1,105.96,Withheld,Withheld,Not Available,105.75,104.48,106.42,100.8
2012-01-01,111.1,106.69,107.79,114.12,Withheld,Not Available,105.08,107.51,107.51,101.4
2012-02-01,121.45,114.47,110.14,124.31,Withheld,Not Available,110.37,111.12,113.85,103.42
2012-03-01,Withheld,118.46,114.81,128.1,Withheld,Not Available,112.76,118.06,117.06,104.65
2012-04-01,118.84,114.06,110.54,Withheld,Withheld,Not Available,109.33,115.02,113.85,101.42
2012-05-01,110.79,101.27,103.12,110.79,Withheld,Not Available,101.45,105.16,105.28,96.74
2012-06-01,95.65,91.81,90.6,98.96,91.9,Not Available,87.64,90.55,90.63,85.28
2012-07-01,Withheld,96.83,95.03,103.86,Withheld,Not Available,93.81,95.47,96.3,88.46
2012-08-01,Withheld,106.16,101.12,114.62,Withheld,Not Available,99.94,104.87,104.18,95.13
2012-09-01,112.75,108.59,102.49,111.74,107.14,Not Available,101,105.58,105.05,97.52
2012-10-01,Withheld,105.77,98.98,Withheld,Withheld,Not Available,98.1,102.7,101.29,95.05
2012-11-01,Withheld,103.75,93.45,Not Available,Withheld,Not Available,93.15,101.91,95.94,89.37
2012-12-01,Not Available,101.24,94.19,Withheld,Withheld,Not Available,92.99,102.93,98.04,87.64
2013-01-01,Withheld,106.99,100.16,Withheld,Withheld,Not Available,97.15,105.3,102.42,91.11
2013-02-01,Withheld,106.45,108.25,Withheld,Withheld,Not Available,104.06,105.22,106.93,96.65
2013-03-01,Withheld,101.31,105.16,111.03,Withheld,Not Available,101.6,108.1,105.77,94.09
2013-04-01,Withheld,99.58,99.94,Withheld,Withheld,Not Available,95.01,100.5,98.68,93.14
2013-05-01,103.46,98.97,99.06,106.45,Withheld,Not Available,95.48,98.46,98.72,93.99
2013-06-01,103.67,98.56,97.16,Withheld,Withheld,Not Available,95.71,97.42,98.45,94.59
2013-07-01,Withheld,102.2,101.27,Withheld,Withheld,Withheld,100.32,101.21,102.36,100.54
2013-08-01,Withheld,105.59,100.97,111.28,Withheld,Not Available,101.12,104.1,103.69,100.42
2013-09-01,113.86,103.16,100.14,Withheld,103.53,Withheld,100.37,103.22,104.44,98.42
2013-10-01,Not Available,Withheld,93.76,Not Available,98.96,Not Available,95.72,98.48,97.38,89.45
2013-11-01,Withheld,Withheld,88.56,Withheld,91.38,Not Available,91.79,92.02,93.23,84.76
2013-12-01,Withheld,95.5,90.25,Not Available,95.97,Not Available,92.46,94.88,94.41,87.24
2014-01-01,Withheld,95.84,89.3,Not Available,99.21,Not Available,89.69,98.44,94.85,87.56
2014-02-01,Withheld,96.04,91.77,Not Available,102.26,Not Available,92.88,100.7,97.51,89.73
2014-03-01,Withheld,Withheld,91.38,Withheld,101.25,Not Available,92.27,100.67,97.19,90.59
2014-04-01,Withheld,98.61,93.22,Withheld,99.76,Not Available,95.26,99.02,99.15,90.49
2014-05-01,Withheld,98.75,95.31,Not Available,100.58,Not Available,96.67,98.89,98.29,94.58
2014-06-01,Withheld,99.03,98.2,Not Available,104.95,Not Available,98.19,102.49,100.67,95.67
2014-07-01,Withheld,100.11,94.65,Not Available,105.25,Not Available,92.45,103.81,97.43,91.37
2014-08-01,Withheld,92.38,91.17,Not Available,99.74,Not Available,89.22,98.95,93.3,86.68
2014-09-01,Withheld,86.08,88.5,Not Available,94.98,Not Available,83.2,93.59,88.39,83.11
2014-10-01,Withheld,72.47,79.79,Not Available,85.77,Not Available,74.19,85.04,79.29,75.2
2014-11-01,Withheld,70.25,71.87,Not Available,Withheld,Not Available,65.55,Withheld,71.14,65.49
2014-12-01,Withheld,50.95,53.2,Not Available,Withheld,Not Available,45.33,60.65,52.49,48.59
2015-01-01,Not Available,42.49,41.19,Not Available,48.14,Not Available,37.99,52.21,42.64,38.89
2015-02-01,Withheld,50.79,48.12,Withheld,47.92,Not Available,45.85,47.7,47.31,42.43
2015-03-01,Withheld,47.25,46.89,Not Available,50.64,Not Available,43.51,49.75,45.54,42.63
2015-04-01,Withheld,54.95,50.49,Not Available,58.95,Not Available,49.03,53.33,50.55,47.41
2015-05-01,Withheld,56.3,56.8,Not Available,61.8,Not Available,51.99,59.55,54.95,53.59
2015-06-01,Withheld,56.42,56.78,Not Available,58.31,Not Available,50.34,58.57,54.06,53.7
2015-07-01,Withheld,46.62,50.71,Not Available,Withheld,Not Available,44.44,50.42,46.61,45.55
2015-08-01,Withheld,42.35,40.4,Not Available,43.38,Not Available,35.47,43.01,38.21,36.62
2015-09-01,Withheld,Withheld,40.5,Not Available,44.5,Not Available,36.23,43.87,39.81,35.06
2015-10-01,Withheld,41.56,40.18,Not Available,42.51,Not Available,37.77,40.68,39.33,36.02
2015-11-01,Not Available,Withheld,36.16,Not Available,39.87,Not Available,31.68,38.17,33.98,33.3
2015-12-01,Withheld,28.98,30.12,Withheld,34.75,Not Available,24.91,33.79,29.35,27.57
2016-01-01,Withheld,Withheld,24.12,Withheld,26.24,Not Available,20.73,25.73,25.05,22.66
2016-02-01,Withheld,24.91,24.5,37.83,27.46,Not Available,22.57,26.58,27.01,23.35
2016-03-01,35.33,30.47,29.01,Withheld,34.14,Not Available,27.31,32.32,31.37,28.35
2016-04-01,Withheld,33.57,30.79,Withheld,37.13,Not Available,29.07,35.67,34.08,31.92
2016-05-01,Withheld,39,39.04,Withheld,42.44,Withheld,36.65,40.55,40.51,37.04
2016-06-01,49.56,41.64,42.27,48.79,45.16,Not Available,39.33,43.77,43.73,40.22
2016-07-01,45,36.91,39.99,Withheld,42.11,Not Available,35.69,40.91,39.61,38.09
2016-08-01,Withheld,36.8,38.73,Withheld,42.48,Not Available,37.56,40.44,40.44,36.78
2016-09-01,Withheld,40.36,38.44,Withheld,42.31,Not Available,36.95,40.37,40.01,37.18
2016-10-01,Withheld,40.59,42.91,Withheld,47.1,Not Available,40.38,45.17,44.66,40.37
2016-11-01,Withheld,39.8,39.55,Withheld,42.5,Withheld,38.39,41.4,42.31,38.33
2016-12-01,Withheld,45.27,45.34,Withheld,48.79,Withheld,44.75,47.95,47.44,42.34
2017-01-01,Not Available,47.92,45.5,Withheld,Withheld,Not Available,45.94,47.61,47.3,43.25
2017-02-01,Withheld,46.97,45.91,Withheld,51.03,Not Available,45.69,50.01,49.11,43.63
2017-03-01,Withheld,46.05,42.1,Withheld,48.54,Not Available,42.47,47.78,46.83,41.73
2017-04-01,Withheld,46.76,44.32,Withheld,50,Withheld,43.71,48.93,47.16,41.46
2017-05-01,Withheld,44.7,44.85,Withheld,47.95,Not Available,42.27,47.14,46.08,42.66
2017-06-01,Withheld,41.3,41.86,48.88,45.41,Not Available,39.16,44.45,43.52,40.28
2017-07-01,Withheld,44.44,44.33,50.26,46.94,Not Available,41.72,45.95,45.4,40.39
2017-08-01,Withheld,47.16,46.33,52.18,49.33,Not Available,45.41,48.06,48.32,41.38
2017-09-01,Not Available,Withheld,48.06,Withheld,53.41,Not Available,49.22,51.74,52.36,43.26
2017-10-01,Not Available,52.69,49.01,58.58,55.44,Not Available,52.51,50.92,53.93,44.21
2017-11-01,Not Available,Withheld,54.66,Withheld,60.22,Withheld,55.88,59.12,58.89,48.57
2017-12-01,Not Available,Withheld,55.32,Withheld,62.09,Not Available,58.27,60.36,61.52,49.87
2018-01-01,Withheld,61.24,58.75,Withheld,65.03,Withheld,62.07,63.5,64.12,51.34
2018-02-01,Withheld,59.66,56.74,Withheld,63.19,Withheld,55.72,61.9,61.07,49.79
2018-03-01,Not Available,Withheld,56.73,Withheld,65.04,Withheld,56.84,61.9,60.9,49.09
2018-04-01,Withheld,65.95,57.68,Withheld,68.33,Withheld,63.28,66.05,66.09,53.73
2018-05-01,Not Available,Withheld,63.32,Withheld,70.57,Withheld,66.56,69.66,70.07,58.99
2018-06-01,Withheld,Withheld,64.46,Withheld,71.32,Withheld,64.82,70.18,69.44,59.81
2018-07-01,Withheld,68.32,66.21,Not Available,70.62,Not Available,62.93,70.3,67.64,59.85
2018-08-01,Withheld,67.29,63.08,Withheld,71.08,Withheld,63.09,70.11,68.4,57.46
2018-09-01,Withheld,Withheld,68.15,Withheld,72.9,Withheld,68.94,72.05,71.8,56.39
2018-10-01,Withheld,Withheld,73.91,Withheld,74.73,Withheld,68.44,74.61,73.26,54.18
2018-11-01,Not Available,64.87,63.76,Withheld,62.34,Withheld,53.25,63.44,60.58,36.18
2018-12-01,Not Available,50.04,52.7,Withheld,57.79,Not Available,46.46,55.74,53.04,28.95
2019-01-01,Not Available,53.27,54.81,Withheld,Withheld,Withheld,48.25,58.54,54.94,46.13
2019-02-01,Not Available,56.59,58.52,Withheld,Withheld,Withheld,Withheld,62.58,63.09,51.63
2019-03-01,Not Available,61.28,60.66,Withheld,67.34,Withheld,Not Available,65.62,65.95,55.66
2019-04-01,Not Available,67.09,63.13,Withheld,70.6,70.45,Not Available,68.89,70.54,59.56
2019-05-01,Withheld,65.4,62.16,70.81,Withheld,69.74,Not Available,65.97,67.8,59.17
2019-06-01,Withheld,61.09,58.75,Withheld,Withheld,Withheld,Not Available,62.67,63.28,51.82
2019-07-01,Withheld,Withheld,58.93,Withheld,Withheld,Withheld,Not Available,62.08,63.82,52.32
2019-08-01,Not Available,59.37,50.72,Withheld,59.24,Withheld,Not Available,57.9,59.51,50.47
2019-09-01,Not Available,Withheld,56.73,Withheld,60.27,Withheld,Not Available,58.79,59.66,51.05
2019-10-01,Not Available,Withheld,51.74,Withheld,Withheld,Withheld,Not Available,56.42,58.3,48.81
2019-11-01,Not Available,59.42,51.24,Withheld,60.69,Withheld,Not Available,58.47,60.86,49.22
2019-12-01,Not Available,58.95,55.23,Not Available,63.59,Withheld,Not Available,61.63,61.72,50.26
2020-01-01,Not Available,56.9,53.7,Withheld,49.26,Withheld,Not Available,50.36,51.96,46.61
2020-02-01,Not Available,Withheld,47.74,Withheld,Withheld,Withheld,Not Available,51.87,53.4,40.68
2020-03-01,Withheld,27.34,28.59,Withheld,Withheld,Withheld,Not Available,24.18,28.56,23.61
2020-04-01,Withheld,19.88,12.25,Withheld,21.44,Not Available,Not Available,21.44,22.92,12.23
2020-05-01,Not Available,Withheld,22.92,Withheld,Withheld,Withheld,Not Available,29.19,30.8,18.09
2020-06-01,Not Available,33.32,34.36,Withheld,Withheld,Withheld,Not Available,40.59,41.17,32.84
2020-07-01,Not Available,Withheld,37.95,Withheld,42.98,Not Available,Not Available,40.6,41.32,36.08
2020-08-01,Not Available,40.34,40.16,Withheld,Withheld,Not Available,Not Available,Withheld,44.02,37.2
2020-09-01,Not Available,37.36,38.42,Withheld,Withheld,Not Available,Not Available,Withheld,41.19,35.82
2020-10-01,Withheld,Withheld,37.12,Withheld,Not Available,Not Available,Not Available,Not Available,40.1,34.01
2020-11-01,Not Available,Withheld,39.55,Not Available,Not Available,Withheld,Not Available,Withheld,Withheld,36.36
2020-12-01,Withheld,Withheld,45.09,Withheld,Withheld,Not Available,Not Available,Withheld,52.06,40.99
2021-01-01,Not Available,Withheld,50.54,Withheld,55.18,Not Available,Not Available,54.23,55.26,45.4
2021-02-01,Not Available,Withheld,56.46,Withheld,60.73,Withheld,Not Available,58.53,60.66,52.03
2021-03-01,Not Available,Withheld,59.46,Withheld,Withheld,Not Available,Not Available,62.12,63.76,56.49
2021-04-01,Not Available,62.48,59.54,Withheld,65.55,Not Available,Not Available,63.85,64.57,56.49
2021-05-01,Withheld,Withheld,62.26,72.66,67.7,Not Available,Not Available,66.13,68.01,60.31
2021-06-01,Withheld,Withheld,67.27,Withheld,70.06,Withheld,No Data Reported,70.06,71.6,64.02
2021-07-01,Withheld,Withheld,68.52,Withheld,Withheld,Not Available,No Data Reported,Withheld,73.71,64.65
2021-08-01,Withheld,Withheld,63.71,Withheld,73.37,Not Available,Not Available,70.48,71.5,61.62
2021-09-01,Withheld,Withheld,66.81,Withheld,Withheld,Not Available,No Data Reported,Withheld,76.73,64.89
2021-10-01,Withheld,Withheld,74.81,Not Available,Withheld,Withheld,Not Available,Withheld,78.24,72.84
2021-11-01,Not Available,Withheld,75.08,Withheld,Withheld,Not Available,Not Available,76.78,79.24,70.1
2021-12-01,Withheld,Withheld,67.18,Not Available,Withheld,Withheld,Not Available,75.56,75.09,64.14
2022-01-01,Not Available,Withheld,75.35,Withheld,93.17,Not Available,Not Available,88.59,88.47,70.67
2022-02-01,Withheld,93.28,86.36,Withheld,Withheld,Not Available,Not Available,96.33,98.86,84.37
2022-03-01,Withheld,Withheld,100.84,Withheld,Withheld,Not Available,Not Available,106.35,111.95,98.36
2022-04-01,Withheld,105.21,99.5,Withheld,Withheld,Not Available,Not Available,104.95,109.49,97.13
2022-05-01,Withheld,108.83,104.49,Withheld,Withheld,Not Available,Not Available,Withheld,115.18,102.14
2022-06-01,Withheld,Withheld,109.97,Withheld,Withheld,Not Available,Not Available,102.09,113.76,105.86
2022-07-01,Withheld,100.17,94.65,Withheld,Withheld,Not Available,Not Available,95.97,103.06,90.27
2022-08-01,Withheld,Withheld,86.09,Withheld,Withheld,Not Available,Not Available,Withheld,102.01,79.67
2022-09-01,Withheld,Withheld,80.31,Withheld,Withheld,Not Available,Not Available,Withheld,91.38,73.26
2022-10-01,Not Available,Withheld,79.36,Withheld,Withheld,Not Available,Not Available,Withheld,90.66,72.59
2022-11-01,Not Available,Withheld,78.1,Withheld,Withheld,Not Available,Not Available,Withheld,86.1,66.81
2022-12-01,Not Available,76.45,68.84,Withheld,Withheld,Not Available,Not Available,Withheld,84.75,61.61
2023-01-01,Not Available,Withheld,67.1,Withheld,Withheld,Not Available,Not Available,Withheld,81.58,60.5
2023-02-01,Not Available,Withheld,66.16,Withheld,Withheld,Not Available,Not Available,75.45,78.39,59.29
2023-03-01,Withheld,Withheld,62.28,Withheld,Withheld,Not Available,Not Available,Withheld,85.82,60.25
2023-04-01,Withheld,Withheld,68.75,Withheld,Withheld,Not Available,Not Available,78.68,81.5,66.52
2023-05-01,Not Available,Withheld,64.26,Withheld,Withheld,Not Available,Not Available,Withheld,77.38,62.11
2023-06-01,Withheld,Withheld,65.34,Withheld,Withheld,Not Available,Withheld,Withheld,78.44,61.65
2023-07-01,Withheld,Withheld,70.57,Withheld,Withheld,Not Available,Withheld,Withheld,80.45,68.28
2023-08-01,Withheld,Withheld,76.73,Withheld,Withheld,Not Available,Withheld,Withheld,88.21,74.81
2023-09-01,Withheld,Not Available,83.26,Withheld,Withheld,Not Available,Withheld,Withheld,89.3,78.62
2023-10-01,Not Available,Withheld,82.27,Withheld,Withheld,Not Available,Withheld,Withheld,84.87,75.35
2023-11-01,Withheld,Withheld,72.97,Withheld,Withheld,Not Available,Withheld,Withheld,83.6,67.17
2023-12-01,Not Available,Not Available,67.97,Withheld,Withheld,Not Available,Withheld,Withheld,80.19,57.99
2024-01-01,Not Available,Not Available,69.74,Withheld,Withheld,Not Available,Not Available,Withheld,Withheld,60.79
2024-02-01,Not Available,Not Available,71.87,Withheld,Withheld,Not Available,Withheld,Withheld,77.03,66.28
2024-03-01,Withheld,Withheld,74.14,Withheld,Withheld,Not Available,Withheld,Withheld,83.2,68.03
2024-04-01,Withheld,Withheld,76.72,Withheld,Not Available,Not Available,Withheld,Withheld,82.72,74.92
2024-05-01,Withheld,Withheld,73.86,Withheld,Not Available,Not Available,Withheld,Not Available,79.97,71.25
2024-06-01,Withheld,Withheld,73.52,Withheld,Not Available,Not Available,Withheld,Withheld,83.04,71.54
2024-07-01,Withheld,Withheld,74.33,Withheld,Not Available,Not Available,Withheld,Not Available,78.5,71.72
2024-08-01,Withheld,73.54,72.95,Withheld,Not Available,Not Available,Withheld,Not Available,81.26,67.45
2024-09-01,Not Available,Withheld,66.37,Withheld,Not Available,Not Available,Withheld,Not Available,69.36,63.12
