Month,"Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Distillate Fuel Oil Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Residual Fuel Oil Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Other Petroleum Liquids Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Petroleum Coke Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Total Petroleum Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Natural Gas Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Other Fossil Gases Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Wood Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Waste Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Other Consumption for Electricity Generation and Useful Thermal Output, All Sectors"
2007-03-01,83929.364,1385.077,6574.644,404.471,577.146,11249.922,502.435,28.451,110.664,27.574,20.099
2007-04-01,77747.195,1088.253,6066.379,394.263,564.341,10370.6,538.321,27.804,111.558,23.364,19.561
2007-05-01,83140.341,1198.478,5253.951,423.77,606.913,9910.764,595.999,27.992,109.577,24.552,20.448
2007-06-01,91682.092,1334.13,6329.571,321.848,686.03,11415.699,718.997,27.27,108.252,24.426,19.636
2007-07-01,98567.578,1272.396,6193.907,304.377,636.417,10952.765,857.45,27.412,114.158,25.119,20.386
2007-08-01,101159.623,1813.889,8346.637,391.497,665.845,13881.248,1076.892,28.423,110.809,25.101,20.717
2007-09-01,89832.885,1049.074,5442.56,279.032,603.744,9789.386,778.727,27.441,107.635,24.166,19.222
2007-10-01,85781.571,1243.756,5161.913,305.824,540.89,9415.943,699.633,27.637,110.994,25.669,20.401
2007-11-01,84392.475,1041.23,2765.284,256.603,528.626,6706.247,539.187,25.07,110.62,25.851,19.122
2007-12-01,93404.084,1308.309,4077.729,304.437,632.237,8851.66,594.337,27.253,117.656,26.422,21.005
2008-01-01,96610.085,1829.945,3974.617,468.152,592.086,9233.144,624.578,30.721,127.889,26.99,17.381
2008-02-01,88657.025,1294.066,3214.092,368.896,536.735,7560.729,522.47,31.753,106.185,26.779,17.349
2008-03-01,85270.254,1016.791,2825.888,373.499,463.572,6534.038,546.949,26.67,107.78,28.971,17.977
2008-04-01,78700.168,1006.527,3038.463,270.832,498.831,6809.977,549.509,24.375,106.213,27.331,17.525
2008-05-01,83057.816,1016.675,3202.883,267.204,480.034,6886.932,558.897,25.248,105.023,26.727,18.439
2008-06-01,91295.943,1449.514,5130.761,298.71,576.344,9760.705,750.227,25.609,102.442,26.511,18.701
2008-07-01,100071.736,1129.291,4246.99,257.313,524.821,8257.699,875.99,27.245,106.516,28.214,19.335
2008-08-01,97598.788,987.427,3586.863,229.977,556.286,7585.697,857.635,27.275,104.507,27.306,18.991
2008-09-01,87313.513,999.538,4243.936,250.877,520.738,8098.041,679.111,22.255,98.787,25.578,16.775
2008-10-01,81919.015,867.498,2661.716,236.088,553.539,6532.997,630.316,21.583,102.005,27.249,16.243
2008-11-01,82769.821,986.36,2978.125,259.27,503.873,6743.12,536.709,18.297,100.864,27.668,15.93
2008-12-01,91238.639,1552.935,4372.281,484.62,507.092,8945.296,556.99,18.964,94.463,28.306,16.997
2009-01-01,92641.462,2157.445,6798.914,535.8,508.998,12037.149,574.902,20.808,94.557,27.355,18.1
2009-02-01,76037.585,1432.329,2913.302,354.455,473.827,7069.221,530.596,19.77,89.314,25.073,16.774
2009-03-01,73809.661,1449.386,2472.948,350.471,558.945,7067.53,584.375,21.13,91.702,30.24,18.168
2009-04-01,68737.78,993.563,2053.525,274.879,494.462,5794.277,530.567,19.455,85.82,26.825,18.503
2009-05-01,72091.571,1238.011,2816.743,270.026,500.509,6827.325,597.481,19.98,88.729,26.89,20.055
2009-06-01,80689.423,1173.56,2705.534,205.491,513.564,6652.405,730.805,20.869,92.632,27.395,20.186
2009-07-01,86039.19,1118.469,2850.113,181.06,545.362,6876.452,874.289,23.216,99.759,28.491,20.4
2009-08-01,88471.466,1157.884,3296.948,215.221,530.488,7322.493,939.889,23.919,103.074,28.138,20.232
2009-09-01,75304.549,922.79,2167.941,198.68,531.31,5945.961,785.321,24.087,96.104,26.293,18.585
2009-10-01,76318.978,980.161,2379.652,195.301,364.289,5376.559,628.224,22.203,97.793,27.902,18.928
2009-11-01,74836.12,972.266,1546.193,194.146,365.589,4540.55,543.685,21.569,96.532,28.912,18.915
2009-12-01,90212.485,1204.002,1670.651,242.21,440.559,5319.658,617.722,22.258,100.715,29.16,19.334
2010-01-01,92738.213,2642.63,3211.69,338.217,525.249,8818.782,643.072,21.199,102.997,28.626,18.108
2010-02-01,82028.621,977.668,1396.716,285.703,496.612,5143.147,565.82,18.832,95.763,26.001,17.018
2010-03-01,78382.977,866.121,1438.941,207.367,522.221,5123.534,546.948,23.166,103.039,29.594,19.241
2010-04-01,69179.424,836.778,1354.515,175.763,457.76,4655.856,556.192,22.425,97.662,29.185,19.103
2010-05-01,77725.195,1110.869,2221.025,175.589,499.561,6005.288,646.962,22.913,97.606,28.59,20.154
2010-06-01,89063.251,1294.575,3291.054,203.544,586.373,7721.038,796.212,22.681,100.98,28.736,20.974
2010-07-01,96783.392,1455.461,3920.621,243.807,612.861,8684.194,996.697,21.831,104.976,29.264,20.822
2010-08-01,96593.05,1185.366,3190.363,206.063,509.944,7131.512,1046.602,23.351,106.34,29.278,21.265
2010-09-01,81250.017,960.523,2005.643,190.646,475.414,5533.882,791.184,21.64,103.457,27.461,19.911
2010-10-01,72570.942,871.256,1369.918,185.676,453.206,4692.88,661.732,20.267,101.485,28.879,19.852
2010-11-01,74495.888,1017.294,1211.684,203.595,414.083,4502.988,585.595,21.315,102.353,30.204,19.518
2010-12-01,90599.919,2028.648,2331.829,361.322,499.245,7218.024,664.945,22.518,108.914,30.45,20.582
2011-01-01,92292.019,1411.124,2123.063,329.071,644.67,7086.609,636.477,22.584,111.06,28.229,19.65
2011-02-01,75446.948,986.446,1247.253,213.318,520.993,5051.98,570.218,22.173,98.517,26.471,19.427
2011-03-01,74514.065,965.031,1327.431,200.547,602.599,5506.007,569.59,23.679,103.866,28.204,21.845
2011-04-01,68840.782,1033.893,1536.684,165.534,428.027,4876.244,610.19,22.197,95.927,25.708,21.062
2011-05-01,75298.238,1016.417,1415.973,145.894,451.979,4838.182,666.033,23.131,95.337,26.891,22.202
2011-06-01,85881.364,1000.611,1450.117,191.015,520.942,5246.452,793.979,24.112,104.237,28.081,22.7
2011-07-01,96127.805,1168.568,1737.836,291.668,599.276,6194.451,1045.008,24.568,106.72,29.033,23.668
2011-08-01,94103.335,854.815,1514.53,204.152,544.957,5298.283,1029.781,24.569,106.908,29.14,22.6
2011-09-01,78478.945,770.284,1135.783,207.483,544.731,4837.203,782.418,23.966,103.69,27.755,21.475
2011-10-01,71316.622,797.415,1146.762,201.193,428.78,4289.272,666.323,24.198,100.177,29.536,21.835
2011-11-01,68748.259,804.502,1118.265,201.292,344.726,3847.689,635.705,22.931,103.453,30.377,21.663
2011-12-01,75421.88,925.541,1123.027,189.204,459.928,4537.412,717.824,24.32,111.046,31.01,22.904
2012-01-01,72764.364,1119.047,1251.2,116.564,604.642,5510.019,752.291,26.091,110.466,28.959,20.828
2012-02-01,64771.236,725.812,906.783,153.534,470.452,4138.389,742.237,25.672,104.023,27.499,19.748
2012-03-01,59077.16,669.601,1018.645,208.451,334.716,3570.277,773.857,27.187,103.126,30.44,20.401
2012-04-01,53176.134,735.721,935.929,152.12,299.282,3320.18,813.147,26.803,96.27,28.099,19.67
2012-05-01,64319.46,913.35,998.467,181.29,346.346,3824.838,916.26,25.871,102.909,28.76,21.831
2012-06-01,73141.797,919.848,1437.234,178.06,380.02,4435.241,987.291,25.084,104.442,27.873,21.789
2012-07-01,88114.626,986.109,1733.6,185.209,425.916,5034.495,1200.988,25.652,109.448,29.868,22.028
2012-08-01,84306.854,778.774,1286.271,170.769,470.869,4590.161,1119.312,26.354,110.856,29.838,21.768
2012-09-01,70950.793,684.958,969.845,129.518,430.161,3935.126,907.466,22.991,107.259,28.13,20.662
2012-10-01,68030.44,734.471,1104.004,154.01,397.246,3978.715,771.333,22.672,105.898,31.328,20.891
2012-11-01,71512.17,781.052,955.877,138.164,435.304,4051.613,680.92,22.776,106.775,31.538,20.976
2012-12-01,74901.332,896.291,973.522,417.529,425.695,4415.819,705.71,25.322,112.029,32.845,21.384
2013-01-01,76748.165,1173.029,1905.849,355.664,522.126,6045.171,741.288,26.328,112.969,31.198,19.002
2013-02-01,68656.38,788.961,1215.925,196.745,416.377,4283.514,666.492,23.533,101.23,27.749,17.748
2013-03-01,72099.699,738.997,989.073,146.256,493.403,4341.342,710.5,25.955,109.229,31.926,19.982
2013-04-01,62248.943,761.918,1000.266,167.477,456.299,4211.157,665.912,24.851,101.468,30.866,18.423
2013-05-01,66167.626,889.095,994.632,152.859,599.835,5035.759,717.08,25.354,106.431,31.236,19.345
2013-06-01,76481.5,750.123,1032.001,147.044,606.39,4961.117,842.478,24.715,109.102,30.533,19.89
2013-07-01,84740.122,1106.59,1466.652,192.541,614.251,5837.038,1027.79,26.304,118.092,31.73,21.016
2013-08-01,83465.521,709.262,1109.597,166.374,653.052,5250.493,1015.404,25.985,115.682,31.964,20.977
2013-09-01,74127.398,690.2,946.266,157.449,557.822,4583.027,857.503,24.856,106.608,30.01,20.162
2013-10-01,67818.349,699.66,963.864,146.933,522.055,4420.732,741.859,24.719,108.471,31.743,20.067
2013-11-01,67558.592,830.425,903.806,156.679,400.34,3892.611,707.774,24.538,111.183,32.364,19.286
2013-12-01,78966.144,1138.586,1670.864,225.5,496.208,5515.99,784.605,28.066,117.097,34.623,20.54
2014-01-01,85420.299,5176.856,4609.499,1046.177,540.647,13535.769,782.023,25.04,117.54,34.69,20.056
2014-02-01,77800.895,1460.366,1745.99,247.029,453.82,5722.484,648.695,22.93,107.251,31.583,17
2014-03-01,73846.164,1528.264,1931.733,316.168,526.776,6410.046,663.791,24.794,116.832,34.298,19.204
2014-04-01,59489.381,709.914,932.302,117.689,418.485,3852.331,646.36,23.753,108.791,33.995,18.832
2014-05-01,65483.189,869.367,835.488,152.948,503.728,4376.442,748.053,24.459,109.255,32.894,19.405
2014-06-01,75741.4,725.557,904.172,80.795,526.582,4343.435,821.616,24.38,116.206,32.509,19.656
2014-07-01,82961.045,701.843,1050.21,138.318,499.219,4386.465,953.174,25.883,119.761,34.761,20.377
2014-08-01,82525.596,741.399,1073.23,137.393,493.919,4421.619,1010.052,27.083,121.016,32.721,21.065
2014-09-01,70482.085,751.56,908.376,157.986,485.003,4242.939,875.732,26.425,111.723,30.732,19.947
2014-10-01,62487.547,700.552,892.673,165.232,316.158,3339.249,807.761,25.736,113.563,32.233,19.451
2014-11-01,66130.981,869.967,878.409,151.846,392.524,3862.844,703.762,26.89,114.524,31.645,19.915
2014-12-01,69372.411,871.351,853.009,196.415,538.273,4612.142,748.513,26.724,121.165,33.324,21.122
2015-01-01,73032.625,1353.854,1913.275,349.963,510.463,6169.406,824.31,27.698,120.602,32.911,19.428
2015-02-01,68640.45,3891.98,4467.749,824.22,512.545,11746.673,749.144,23.205,108.829,29.192,17.389
2015-03-01,59861.422,888.655,981.367,176.299,375.891,3925.776,816.819,24.021,111.006,32.597,18.525
2015-04-01,49839.733,664.969,911.818,184.13,405.8,3789.917,765.24,23.109,108.511,31.749,18.731
2015-05-01,58487.696,862.732,866.122,201.059,435.491,4107.366,838.634,23.608,111.527,32.105,19.732
2015-06-01,70308.968,807.132,963.798,192.509,397.626,3951.568,997.311,24.67,111.358,32.082,19.936
2015-07-01,78020.902,779.765,1240.643,205.618,489.627,4674.163,1166.459,25.744,117.453,35.375,21.612
2015-08-01,75155.592,726.972,1101.263,175.885,474.945,4378.847,1148.226,25.545,118.289,33.837,21.372
2015-09-01,66123.869,662.504,958.819,234.365,474.601,4228.695,1008.3,25.101,110.658,31.963,19.622
2015-10-01,54904.085,660.366,902.617,203.362,383.604,3684.365,903.623,21.856,106.199,34.309,19.723
2015-11-01,50263.548,828.719,973.146,120.962,365.397,3749.812,845.02,21.032,110.321,35.246,20.091
2015-12-01,51587.16,795.997,855.081,139.66,362.432,3602.898,888.588,24.005,115.859,36.511,20.834
2016-01-01,63607.154,1303.455,1184.512,214.527,427.454,4839.765,888.054,25.342,116.318,31.958,19.976
2016-02-01,52018.873,1044.84,1263.07,238.077,424.559,4668.783,794.487,23.184,109.878,30.92,18.446
2016-03-01,41296.981,735.677,762.034,175.066,447.446,3910.006,853.505,26.237,109.606,33.338,19.105
2016-04-01,40280.099,680.769,782.518,131.091,455.279,3870.772,823.234,25.153,100.276,32.802,19.526
2016-05-01,46296.506,875.83,818.155,165.621,465.979,4189.501,911.816,25.035,105.246,32.734,19.944
2016-06-01,64539.282,767.502,928.119,179.085,479.833,4273.871,1082.34,24.995,109.14,30.19,20.317
2016-07-01,75604.032,859.975,1426.067,185.884,501.723,4980.541,1260.455,24.848,112.964,31.243,20.882
2016-08-01,75231.505,803.438,1350.262,230.078,519.935,4983.453,1273.362,24.931,114.69,31.752,21.576
2016-09-01,63592.08,673.79,915.064,173.987,450.63,4015.991,1027.371,23.836,105.816,29.43,19.947
2016-10-01,55797.547,674.039,1016.862,111.703,342.227,3513.739,852.97,22.987,103.946,30.509,19.234
2016-11-01,49331.447,877.119,807.979,153.165,405.729,3866.908,769.325,23.562,109.567,33.446,19.088
2016-12-01,66362.094,981.664,976.832,214.491,430.894,4327.457,785.056,25.509,132.377,34.404,19.895
2017-01-01,64930.078,958.817,942.58,197.155,448.998,4343.542,781.872,26.187,112.404,34.188,19.393
2017-02-01,49182.898,737.769,789.488,144.466,346.628,3404.863,678.428,23.318,102.477,30.341,17.195
2017-03-01,50132.486,851.023,824.959,152.129,354.996,3603.091,788.112,25.111,111.322,33.144,18.616
2017-04-01,45407.413,708.531,786.611,154.369,241.471,2856.866,736.677,23.913,101.815,30.631,18.138
2017-05-01,52034.074,828.404,877.711,141.841,406.409,3880.001,812.147,25.973,103.417,31.134,18.746
2017-06-01,60004.323,706.012,973.431,182.658,440.871,4066.456,967.301,24.176,108.92,30.14,19.268
2017-07-01,70972.049,716.391,869.511,131.082,430.458,3869.274,1207.748,25.195,113.396,30.794,20.622
2017-08-01,66975.973,672.241,987.695,163.215,390.35,3774.901,1145.043,25.282,115.257,30.895,20.824
2017-09-01,55815.119,728.874,894.337,144.332,351.985,3527.468,974.328,24.135,102.178,28.322,18.131
2017-10-01,51238.517,784.347,919.485,145.249,313.764,3417.901,889.001,25.041,106.222,30.202,17.652
2017-11-01,52142.849,816.072,872.92,170.593,372.695,3723.06,782.445,24.53,109.386,31.773,18.206
2017-12-01,59742.225,1659.16,1768.828,305.681,368.42,5575.769,913.503,25.842,116.483,33.203,19.369
2018-01-01,66278.578,5606.524,3893.815,668.46,465.573,12496.664,913.543,28.176,114.312,33.094,19.117
2018-02-01,47078.517,707.091,758.719,164.335,382.467,3542.48,801.74,27.914,101.913,30.913,17.512
2018-03-01,45727.868,782.47,722.673,147.951,326.599,3286.089,873.676,29.727,110.425,33.006,19.315
2018-04-01,41609.999,825.498,773.849,138.178,354.062,3507.835,816.557,27.267,100.826,30.758,18.176
2018-05-01,48373.91,997.534,852.643,159.332,281.494,3416.979,964.248,29.832,106.728,30.519,19.021
2018-06-01,57159.031,945.863,961.936,149.489,412.873,4121.653,1071.998,29.336,106.749,29.089,19.586
2018-07-01,64895.293,798.413,926.545,184.105,448.453,4151.328,1353.993,30.403,113.727,29.266,19.482
2018-08-01,64800.952,842.968,1000.848,168.613,429.009,4157.474,1316.186,34.484,112.054,29.654,19.911
2018-09-01,54974.86,799.844,1029.9,163.207,399.09,3988.401,1152.247,28.511,101.958,26.618,17.289
2018-10-01,49406.159,831.449,989.089,182.587,305.812,3532.185,1008.414,30.698,104.238,30.712,18.593
2018-11-01,52868.2,981.209,879.31,166.817,342.375,3739.211,886.69,27.597,104.912,31.036,18.534
2018-12-01,56853.242,947.323,795.055,284.481,404.198,4047.849,888.801,29.423,113.227,32.19,19.373
2019-01-01,57145.624,1427.409,1120.904,362.241,398.809,4904.599,982.335,23.756,112.369,29.252,20.749
2019-02-01,46183.278,802.023,659.006,216.621,338.045,3367.875,899.291,21.939,100.102,26.308,17.876
2019-03-01,45088.151,778.709,685.1,171.61,308.003,3175.434,938.027,24.407,105.325,28.195,19.18
2019-04-01,34362.037,680.085,679.018,201.185,226.602,2693.298,855.587,22.942,96.451,25.656,18.317
2019-05-01,40955.84,966.569,785.426,177.042,363.643,3747.252,958.545,22.776,101.311,25.778,19.404
2019-06-01,45168.237,839.455,839.537,183.408,286.549,3295.145,1113.286,22.316,100.924,26.286,19.401
2019-07-01,56812.826,806.107,941.728,180.178,384.572,3850.873,1387.338,25.14,108.314,26.303,20.025
2019-08-01,53322.673,800.479,1003.316,188.425,345.578,3720.11,1411.286,24.184,109.267,26.767,20.833
2019-09-01,48102.558,768.374,840.578,197.784,309.789,3355.681,1207.233,23.444,100.533,24.701,19.449
2019-10-01,38416.678,775.621,859.704,212.889,146.486,2580.644,1062.447,22.816,100.752,27.046,19.037
2019-11-01,42925.552,821.292,787.133,266.715,185.666,2803.47,947.119,22.985,102.536,27.06,19.33
2019-12-01,41533.253,902.981,847.489,221.759,268.876,3316.609,1046.39,24.149,107.853,28.602,20.077
2020-01-01,37866.862,839.692,822.188,224.297,330.932,3540.837,1105.965,25.205,106.883,29.455,19.327
2020-02-01,33047.863,739.039,686.567,188.105,272.672,2977.071,1036.208,24.741,100.847,26.891,17.705
2020-03-01,29892.458,588.921,649.286,178.037,331.054,3071.514,1034.143,24.967,102.716,28.818,19.14
2020-04-01,24416.588,643.162,592.938,151.529,283.98,2807.529,909.952,19.799,94.403,26.634,18.566
2020-05-01,27559.11,636.328,624.292,176.115,318.162,3027.545,955.075,21.093,97.155,27.03,18.809
2020-06-01,37331.388,753.883,755.136,150.555,396.499,3642.069,1164.475,20.763,92.583,24.403,17.905
2020-07-01,50601.183,814.383,834.323,174.847,404.977,3848.438,1480.547,22.043,95.803,25.7,19.261
2020-08-01,51243.229,766.325,845.879,160.598,383.553,3690.567,1408.79,23.085,98.227,26.226,19.674
2020-09-01,39497.59,599.069,761.541,165.286,246.939,2760.591,1135.818,20.71,92.575,24.375,18.217
2020-10-01,34726.897,694.537,829.126,190.07,221.553,2821.498,1073.65,22,95.76,26.117,18.787
2020-11-01,35117.284,706.179,723.68,185.748,293.322,3082.217,893.886,21.743,97.713,25.854,18.526
2020-12-01,44452.347,822.471,848.987,214.561,372.856,3750.299,1022.219,22.537,103.779,27.738,20.121
2021-01-01,46121.62,824.606,933.269,201.829,355.603,3737.719,1000.337,23.493,104.434,28.138,19.212
2021-02-01,48814.563,2050.561,932.447,322.052,338.617,4998.145,896.238,19.277,92.972,24.621,16.445
2021-03-01,35365.061,796.313,712.27,170.159,326.119,3309.337,860.458,21.879,100.342,27.622,18.769
2021-04-01,30852.387,840.907,646.075,163.94,235.264,2827.242,876.249,20.609,96.77,25.612,17.299
2021-05-01,36447.721,823.106,698.207,140.561,287.889,3101.319,931.644,20.984,100.391,26.169,17.695
2021-06-01,48809.639,880.484,752.249,212.202,254.231,3116.09,1213.026,21.633,99.041,24.334,18.296
2021-07-01,57255.596,777.443,786.406,203.462,340.72,3470.911,1373.852,22.768,105.948,25.435,19.141
2021-08-01,57086.252,932.128,1138.151,273.088,360.401,4145.372,1395.808,23.144,104.437,25.038,18.897
2021-09-01,45253.285,755.284,932.07,187.573,317.078,3460.317,1109.112,22.358,99.055,24.575,18.084
2021-10-01,36462.162,815.65,819.793,192.392,320.759,3431.63,1062.05,22.718,96.672,25.141,17.837
2021-11-01,33764.108,859.557,750.634,197.612,382.003,3717.818,994.304,22.277,95.636,25.331,17.595
2021-12-01,35436.358,984.288,793.074,205.222,311.372,3539.444,1011.334,22.376,103.541,27.76,19.211
2022-01-01,49742.07,2776.113,2581.993,283.86,295.317,7118.551,1084.549,22.711,100.746,26.363,16.31
2022-02-01,40880.443,1115.224,1010.897,179.658,314.586,3878.709,922.149,20.475,92.833,24.02,14.756
2022-03-01,35380.712,911.6,984.86,171.169,275.41,3444.679,902.405,21.956,94.902,26.535,15.688
2022-04-01,31802.181,733.35,847.095,161.783,281.59,3150.178,860.494,20.952,92.516,24.185,15.251
2022-05-01,36114.301,882.127,908.465,107.257,315.342,3474.559,1043.016,22.948,96.104,24.357,15.727
2022-06-01,42639.741,968.143,893.928,187.042,333.415,3716.188,1266.415,21.605,96.641,23.417,16.111
2022-07-01,50386.764,1012.063,1137.565,230.79,269.966,3730.248,1537.345,22.929,101.457,23.757,16.504
2022-08-01,49318.32,931.632,978.663,229.066,310.339,3691.056,1513.919,22.205,100.192,23.571,15.799
2022-09-01,38207.035,743.759,1099.272,196.623,329.805,3688.679,1246.267,20.964,91.014,22.323,14.995
2022-10-01,32390.584,798.192,1134.251,198.829,324.501,3753.777,1067.017,21.299,88.93,24.138,15.201
2022-11-01,33301.182,832.275,1009.91,168.562,297.603,3498.762,1026.306,20.209,92.51,24.229,15.397
2022-12-01,42768.057,3894.883,2127.912,511.671,354.518,8307.056,1120.455,21.013,95.513,24.942,15.329
2023-01-01,36427.848,932.014,1051.451,243.397,227.904,3366.382,1092.437,22.384,96.249,24.733,15.281
2023-02-01,27641.084,1176.52,1400.327,228.227,201.078,3810.464,982.491,20.778,84.233,22.073,13.676
2023-03-01,29510.81,845.528,970.331,187.128,194.731,2976.642,1062.781,23.398,91.304,23.394,14.365
2023-04-01,23598.878,778.477,988.623,166.435,175.392,2810.495,976.224,21.913,80.449,21.788,13.504
2023-05-01,26227.34,875.167,839.584,137.57,199.902,2851.831,1110.234,23.301,87.54,23.552,14.633
2023-06-01,34272.67,803.827,855.516,186.227,212.994,2910.54,1303.039,23.079,82.577,21.686,14.757
2023-07-01,45222.997,758.368,1004.594,189.039,317.846,3541.231,1605.852,23.596,87.677,22.448,15.731
2023-08-01,44657.713,857.755,958.319,176.777,321.255,3599.126,1602.122,24.119,90.005,22.35,15.532
2023-09-01,34975.411,679.05,1014.95,178.371,290.386,3324.301,1325.009,24.925,84.565,20.722,14.214
2023-10-01,30313.342,738.806,1082.389,196.499,178.182,2908.604,1138.045,24.616,81.55,22.773,14.722
2023-11-01,30308.078,804.754,949.257,164.111,129.411,2565.177,1088.963,21.446,87.538,22.864,15.35
2023-12-01,32833.206,911.201,973.835,163.931,200.157,3049.752,1167.802,23.234,90.923,25.296,16.454
2024-01-01,43323.934,1857.484,1361.79,290.821,197.319,4496.69,1279.889,22.539,89.11,23.902,14.948
2024-02-01,26700.452,694.763,859.877,174.518,151.921,2488.763,1041.372,19.589,78.452,21.445,13.394
2024-03-01,23150.852,763.205,865.331,166.378,99.388,2291.854,1047.775,20.922,85.409,22.327,13.821
2024-04-01,21977.798,1014.758,870.717,389.606,146.586,3008.011,1003.318,18.903,82.952,21.037,12.998
2024-05-01,26929.258,931.685,957.488,133.776,165.095,2848.424,1167.503,21.374,85.134,22.322,13.966
2024-06-01,35182.221,904.77,977.521,147.516,217.741,3118.512,1363.157,20.846,80.131,20.1,13.746
2024-07-01,41275.951,901.752,994.878,163.811,234.51,3232.991,1661.575,20.698,83.416,21.316,15.266
2024-08-01,40239.374,981.7,988.502,144.154,233.407,3281.391,1624.675,21.443,88.169,21.264,14.539
2024-09-01,32298.355,715.535,937.024,127.954,149.612,2528.573,1350.141,18.907,85.0,19.807,12.809
