Month,"Average Price of Electricity to Ultimate Customers, Residential","Average Price of Electricity to Ultimate Customers, Commercial","Average Price of Electricity to Ultimate Customers, Industrial","Average Price of Electricity to Ultimate Customers, Transportation","Average Price of Electricity to Ultimate Customers, Other","Average Price of Electricity to Ultimate Customers, Total"
1983-11-01,7.3,7.1,4.8,Not Available,Not Available,6.2
1983-12-01,7,6.9,4.8,Not Available,Not Available,6.1
1984-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1984-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1984-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1984-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1984-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1984-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1984-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1984-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1984-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1984-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1984-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1984-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1985-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1985-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1985-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1985-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1985-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1985-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1985-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1985-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1985-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1985-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1985-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1985-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1986-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1987-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
