Month,Coal Consumed by the Electric Power Sector,Natural Gas Consumed by the Electric Power Sector (Excluding Supplemental Gaseous Fuels),Petroleum Consumed by the Electric Power Sector,Total Fossil Fuels Consumed by the Electric Power Sector,Nuclear Electric Power Consumed by the Electric Power Sector,Conventional Hydroelectric Power Consumed by the Electric Power Sector,Geothermal Energy Consumed by the Electric Power Sector,Solar Energy Consumed by the Electric Power Sector,Wind Energy Consumed by the Electric Power Sector,Biomass Energy Consumed by the Electric Power Sector,Total Renewable Energy Consumed by the Electric Power Sector,Electric Power Sector Electricity Net Imports,Total Primary Energy Consumed by the Electric Power Sector
2001-09-01,1607.025,520.936,73.731,2201.693,661.861,51.212,3.886,0.221,1.673,27.761,84.753,2.098,2950.404
2001-10-01,1538.189,475.932,63.815,2077.936,631.394,51.263,3.964,0.071,2.071,27.453,84.822,3.338,2797.49
2001-11-01,1493.365,357.878,58.733,1909.977,651.034,51.901,3.948,0.049,1.605,26.825,84.328,3.922,2649.262
2001-12-01,1643.852,374.96,63.717,2082.528,704.181,65.087,4.061,0.014,2.101,28.565,99.827,8.926,2895.462
2002-01-01,1668.097,388.038,67.185,2123.319,740.608,73.352,4.393,0.039,2.769,31.642,112.195,8.41,2984.531
2002-02-01,1460.06,350.193,56.834,1867.087,643.836,67.939,3.863,0.08,2.436,26.744,101.062,6.586,2618.571
2002-03-01,1534.506,413.361,83.57,2031.437,658.27,70.737,4.248,0.151,2.907,32.172,110.216,5.21,2805.133
2002-04-01,1448.239,411.344,78.708,1938.291,610.2,81.647,3.803,0.156,3.495,29.172,118.274,5.737,2672.502
2002-05-01,1548.768,416.948,82.017,2047.733,658.182,89.992,4.149,0.197,3.677,30.196,128.21,2.138,2836.263
2002-06-01,1691.185,560.197,81.847,2333.228,693.055,95.39,3.927,0.326,3.843,31.274,134.759,6.189,3167.232
2002-07-01,1877.404,745.712,102.159,2725.275,735.334,85.969,4.307,0.292,3.038,33.75,127.356,12.238,3600.203
2002-08-01,1856.887,729.286,102.136,2688.309,739.061,70.989,4.187,0.256,3.332,34.143,112.908,10.104,3550.382
2002-09-01,1702.907,578.012,81.717,2362.636,673.308,57.454,4.078,0.179,2.511,33.3,97.522,5.489,3138.955
2002-10-01,1633.498,449.386,81.288,2164.173,631.668,57.416,4.214,0.106,2.506,31.635,95.877,4.512,2896.231
2002-11-01,1604.898,357.368,62.277,2024.543,642.395,65.789,4.058,0.096,2.238,31.788,103.97,3.184,2774.092
2002-12-01,1756.332,366.241,81.447,2204.02,719.511,72.123,4.219,0.015,2.577,34.156,113.089,1.798,3038.418
2003-01-01,1834.715,391.056,126.089,2351.86,721.318,69.055,4.291,0.045,2.158,34.963,110.511,4.524,3188.213
2003-02-01,1595.463,342.218,108.748,2046.429,635.136,66.445,3.857,0.061,2.543,30.14,103.045,3.177,2787.787
2003-03-01,1577.577,369.28,102.943,2049.8,624.624,81.308,4.138,0.171,3.535,33.174,122.327,1.275,2798.026
2003-04-01,1445.906,359.933,88.673,1894.511,591.715,83.636,3.98,0.206,3.729,31.045,122.595,2.855,2611.676
2003-05-01,1541.742,402.18,80.511,2024.434,648.269,98.958,3.988,0.232,3.434,30.878,137.489,1.363,2811.555
2003-06-01,1673.087,444.757,110.641,2228.485,668.892,96.277,4.172,0.309,3.573,32.444,136.776,1.334,3035.486
2003-07-01,1867.515,643.469,123.491,2634.475,725.921,83.5,4.19,0.213,3.253,35.489,126.645,7.859,3494.899
2003-08-01,1899.054,697.749,127.578,2724.38,719.367,77.101,4.161,0.212,2.782,35.697,119.952,7.528,3571.227
2003-09-01,1692.801,478.396,87.704,2258.901,662.669,61.906,4.106,0.191,3.054,32.791,102.049,-1.348,3022.27
2003-10-01,1623.763,417.478,84.869,2126.11,625.489,61.733,4.079,0.121,3.061,32.183,101.177,-4.774,2848.002
2003-11-01,1630.708,355.432,65.275,2051.415,621.151,66.066,3.928,0.048,3.28,32.9,106.223,-2.63,2776.16
2003-12-01,1802.411,343.117,98.299,2243.827,715.071,80.412,4.326,0.015,3.77,35.464,123.987,0.742,3083.627
2004-01-01,1832.403,370.208,149.138,2351.749,738.367,77.284,4.418,0.043,3.41,32.784,117.939,0.433,3208.488
2004-02-01,1646.375,382.561,92.109,2121.045,668.455,70.378,4.143,0.037,3.486,31.182,109.225,-0.398,2898.327
2004-03-01,1561.438,384.183,95.513,2041.134,659.937,77.209,4.234,0.181,4.406,32.877,118.907,-3.148,2816.829
2004-04-01,1443.716,398.535,89.559,1931.81,611.292,70.526,3.963,0.194,4.418,30.137,109.238,0.015,2652.355
2004-05-01,1607.461,496.145,103.555,2207.161,676.959,81.242,4.12,0.279,5.806,31.388,122.835,0.599,3007.555
2004-06-01,1714.025,521.307,108.951,2344.283,706.331,85.477,4.179,0.3,4.767,31.01,125.733,2.19,3178.537
2004-07-01,1865.747,642.205,121.684,2629.635,750.556,78.86,4.359,0.28,3.973,34.948,122.42,9.883,3512.495
2004-08-01,1838.287,626.958,112.778,2578.023,741.102,72.895,4.289,0.249,3.585,33.759,114.776,11.696,3445.598
2004-09-01,1705.253,541.634,87.009,2333.896,687.539,68.944,4.055,0.207,3.718,31.621,108.545,3.242,3133.222
2004-10-01,1625.976,449.892,76.066,2151.935,652.067,63.342,4.355,0.114,3.511,31.596,102.917,3.625,2910.543
2004-11-01,1636.442,384.97,67.155,2088.568,614.635,70.221,4.135,0.052,3.181,32.118,109.707,5.104,2818.014
2004-12-01,1827.912,396.187,97.481,2321.579,715.534,88.021,4.286,0.026,3.999,34.646,130.978,5.356,3173.448
2005-01-01,1834.672,394.819,118.751,2348.242,728.728,81.622,4.272,0.03,3.861,34.309,124.095,5.043,3206.108
2005-02-01,1605.133,338.968,71.354,2015.455,636.042,72.782,3.627,0.045,3.298,31.283,111.034,6.14,2768.671
2005-03-01,1671.012,395.942,81.426,2148.379,642.216,77.222,4.109,0.13,5.325,34.481,121.267,8.15,2920.013
2005-04-01,1469.172,400.011,68.334,1937.517,579.031,77.695,4.051,0.199,5.792,30.113,117.849,6.272,2640.67
2005-05-01,1585.163,433.521,66.708,2085.392,657.16,92.136,4.314,0.277,5.959,33.279,135.965,5.182,2883.698
2005-06-01,1788.879,608.449,109.781,2507.109,690.282,90.35,4.258,0.302,6.131,33.846,134.888,5.427,3337.706
2005-07-01,1924.284,796.004,131.936,2852.224,741.687,87.559,4.342,0.247,4.848,36.728,133.724,9.552,3737.187
2005-08-01,1944.512,810.546,147.91,2902.968,744.938,72.822,4.278,0.259,3.883,36.376,117.618,12.003,3777.528
2005-09-01,1768.901,591.215,124.838,2484.954,696.488,58.493,4.172,0.208,5.01,33.612,101.495,6.298,3289.236
2005-10-01,1679.633,444.806,102.176,2226.616,639.055,60.67,4.255,0.129,4.934,32.171,102.159,6.385,2974.215
2005-11-01,1629.637,382.381,68.125,2080.144,656.557,65.252,4.161,0.044,5.492,33.735,108.684,7.011,2852.396
2005-12-01,1836.242,416.457,130.725,2383.424,748.627,74.537,4.288,0.01,6.237,35.761,120.832,7.08,3259.963
2006-01-01,1740.317,326.37,59.795,2126.482,750.397,92.353,4.195,0.044,8.13,36.67,141.392,4.924,3023.195
2006-02-01,1615.276,354.814,49.086,2019.176,653.394,83.489,3.79,0.067,6.558,33.507,127.41,5.374,2805.354
2006-03-01,1644.292,417.088,38.497,2099.877,664.927,83.26,4.304,0.114,8.048,35.203,130.928,5.656,2901.389
2006-04-01,1446.189,436.563,44.59,1927.341,600.714,96.768,3.852,0.178,8.434,29.514,138.746,4.788,2671.589
2006-05-01,1604.743,517.043,42.869,2164.655,655.064,104.502,3.738,0.241,8.389,32.587,149.457,4.959,2974.135
2006-06-01,1740.358,644.671,57.584,2442.613,713.665,100.897,4.092,0.238,7.001,33.799,146.026,4.843,3307.147
2006-07-01,1935.561,884.731,71.331,2891.622,753.266,86.039,4.304,0.21,6.671,36.055,133.278,10.469,3788.635
2006-08-01,1956.895,860.75,85.198,2902.843,751.488,73.514,4.398,0.283,5.647,36.593,120.435,10.495,3785.261
2006-09-01,1680.719,561.356,46.075,2288.151,695.413,57.992,4.161,0.184,6.412,34.315,103.063,0.002,3086.629
2006-10-01,1668.712,540.201,50.199,2259.112,600.11,57.231,4.351,0.11,8.333,33.906,103.931,1.207,2964.36
2006-11-01,1640.182,406.276,47.05,2093.507,640.629,67.91,4.12,0.054,8.668,34.572,115.323,2.589,2852.049
2006-12-01,1788.64,424.595,44.685,2257.92,735.56,72.744,4.402,0.009,8.433,35.763,121.351,7.542,3122.373
2007-01-01,1825.384,459.013,59.546,2343.943,776.251,88.212,4.421,0.044,8.367,39.193,140.236,6.489,3266.919
2007-02-01,1672.881,435.976,86.788,2195.645,684.143,62.849,3.83,0.066,8.598,32.222,107.564,9.681,2997.033
2007-03-01,1628.616,425.958,52.408,2106.982,674.497,81.783,4.108,0.165,10.397,34.713,131.167,6.151,2918.797
2007-04-01,1508.136,463.97,49.095,2021.201,601.035,80.845,3.951,0.186,10.822,33.17,128.973,9.65,2760.859
2007-05-01,1615.418,519.334,47.17,2181.922,682.043,88.259,3.94,0.287,10.073,33.744,136.304,11.888,3012.157
2007-06-01,1785.824,643.051,57.424,2486.299,722.934,77.419,4.225,0.288,8.941,35.015,125.888,10.866,3345.988
2007-07-01,1922.181,778.415,55.501,2756.098,762.954,76.385,4.266,0.293,7.364,36.164,124.473,12.863,3656.388
2007-08-01,1972.7,992.505,71.774,3036.979,763.084,67.778,4.281,0.256,9.21,36.321,117.846,11.91,3929.819
2007-09-01,1750.444,699.143,49.301,2498.889,708.832,50.04,4.155,0.233,9.781,35.206,99.415,4.716,3311.851
2007-10-01,1668.565,618.2,47.057,2333.821,647.062,50.143,4.315,0.168,11.521,35.122,101.268,6.865,3089.016
2007-11-01,1640.359,458.67,30.343,2129.372,680.729,53.071,4.132,0.083,10.56,35.718,103.564,8.644,2922.309
2007-12-01,1817.213,509.952,41.423,2368.587,755.027,62.03,4.319,0.018,11.909,36.862,115.138,6.908,3245.66
2008-01-01,1862.077,544.721,43.627,2450.425,739.318,70.325,4.125,0.056,14.58,36.988,126.073,11.094,3326.91
2008-02-01,1707.656,449.79,36.201,2193.646,680.743,63.554,3.708,0.122,13.142,34.528,115.054,10.419,2999.862
2008-03-01,1640.425,472.035,30.649,2143.109,676.417,73.306,4.268,0.255,16.316,37.879,132.023,7.322,2958.87
2008-04-01,1513.035,480.837,33.594,2027.467,599.242,75.236,4.156,0.321,17.829,34.31,131.852,9.326,2767.886
2008-05-01,1597.854,486.531,34.092,2118.478,677.56,92.28,4.295,0.337,18.221,33.802,148.936,7.888,2952.861
2008-06-01,1761.302,681.021,50.945,2493.268,734.978,99.096,4.3,0.437,17.539,35.866,157.239,9.374,3394.858
2008-07-01,1932.511,800.392,42.278,2775.18,776.775,86.762,4.363,0.378,13.677,39.082,144.262,14.717,3710.934
2008-08-01,1884.363,780.847,38.338,2703.548,758.994,72.031,4.343,0.359,11.138,38.427,126.298,14.814,3603.654
2008-09-01,1683.012,616.738,41.748,2341.498,700.847,54.867,4.209,0.316,10.616,35.687,105.696,10.438,3158.479
2008-10-01,1576.693,558.06,31.999,2166.752,656.598,52.448,4.357,0.206,16.229,34.703,107.943,5.481,2936.773
2008-11-01,1594.455,468.555,33.036,2096.046,662.742,53.043,4.208,0.098,17.038,36.323,110.71,4.169,2873.668
2008-12-01,1759.572,488.098,42.828,2290.497,762.278,70.614,4.303,0.064,22.573,37.679,135.232,6.944,3194.952
2009-01-01,1769.382,498.5,60.054,2327.936,775.038,79.556,4.397,0.025,20.304,37.494,141.776,6.881,3251.632
2009-02-01,1449.514,463.703,32.069,1945.286,671.752,60.263,3.984,0.104,19.968,34.407,118.726,8.033,2743.798
2009-03-01,1404.497,510.718,33.086,1948.301,703.269,73.781,4.437,0.266,24.222,38.016,140.722,4.239,2796.531
2009-04-01,1310.315,461.109,27.06,1798.484,621.353,87.245,4.17,0.339,25.446,33.386,150.585,6.161,2576.582
2009-05-01,1374.767,526.189,31.668,1932.624,683.971,100.19,4.214,0.377,21.366,34.378,160.525,9.337,2786.458
2009-06-01,1541.254,656.281,32.091,2229.626,729.356,99.137,4.124,0.353,19.105,37.404,160.124,10.592,3129.697
2009-07-01,1644.511,794.54,33.497,2472.548,762.973,79.305,4.283,0.413,16.906,39.395,140.303,13.918,3389.742
2009-08-01,1691.2,858.29,36.362,2585.853,755.606,66.341,4.269,0.397,18.645,39.42,129.072,15.269,3485.8
2009-09-01,1436.091,704.667,27.856,2168.614,687.698,58.9,4.152,0.324,15.868,35.678,114.922,10.541,2981.775
2009-10-01,1454.7,548.442,25.371,2028.513,606.841,66.712,4.166,0.232,23.248,35.092,129.45,11.442,2776.245
2009-11-01,1426.267,466.977,19.744,1912.988,617.805,71.191,4.344,0.138,23.458,36.826,135.958,8.692,2675.442
2009-12-01,1722.835,531.588,23.513,2277.936,739.558,83.756,4.667,0.072,23.563,39.515,151.575,11.082,3180.151
2010-01-01,1774.932,556.699,44.18,2375.812,758.495,75.772,4.476,0.034,23.383,38.597,142.261,14.125,3290.693
2010-02-01,1567.555,489.136,22.708,2079.399,681.945,69.677,3.955,0.112,18.531,36.072,128.346,11.562,2901.252
2010-03-01,1493.503,465.641,24.487,1983.631,675.562,70.597,4.458,0.259,29.301,38.871,143.485,10.404,2813.082
2010-04-01,1311.65,480.215,22.229,1814.093,602.151,64.482,4.232,0.382,33.311,36.319,138.725,8.898,2563.867
2010-05-01,1483.432,569.849,30.262,2083.543,696.713,84.97,4.472,0.522,29.671,35.98,155.614,4.514,2940.384
2010-06-01,1707.797,718.687,40.307,2466.792,713.885,101.373,4.312,0.597,27.46,38.724,172.466,8.515,3361.659
2010-07-01,1854.753,913.908,45.415,2814.076,751.64,83.27,4.346,0.548,22.939,40.023,151.125,9.597,3726.437
2010-08-01,1849.413,960.641,36.608,2846.661,748.093,68.306,4.425,0.531,22.808,40.689,136.76,6.205,3737.719
2010-09-01,1553.675,709.472,27.352,2290.5,725.068,58.644,4.274,0.467,24.24,37.79,125.415,1.776,3142.758
2010-10-01,1383.264,580.723,21.643,1985.63,655.872,59.92,4.169,0.256,27.099,36.598,128.042,1.475,2771.019
2010-11-01,1422.945,505.929,20.266,1949.141,654.872,66.28,4.273,0.26,33.253,39.011,143.077,2.707,2749.797
2010-12-01,1730.537,575.378,34.867,2340.782,770.138,78.558,4.537,0.146,30.905,40.698,154.845,8.854,3274.619
2011-01-01,1741.101,550.13,33.745,2324.976,761.181,86.618,4.596,0.127,29.163,37.437,157.941,9.171,3253.268
2011-02-01,1421.053,492.909,23.632,1937.595,677.953,81.784,4.146,0.276,35.647,34.83,156.683,7.575,2779.806
2011-03-01,1401.415,490.847,26.831,1919.093,687.083,105.583,4.563,0.397,35.963,36.202,182.709,8.47,2797.354
2011-04-01,1294.497,530.834,23.615,1848.946,570.783,105.798,4.228,0.53,42.365,31.636,184.557,7.493,2611.779
2011-05-01,1418.428,582.043,23.445,2023.915,596.583,110.501,4.495,0.616,40.15,33.708,189.471,12.357,2822.327
2011-06-01,1622.873,711.778,25.673,2360.324,682.987,109.18,4.144,0.718,37.466,37.178,188.686,10.804,3242.801
2011-07-01,1818.775,955.463,30.918,2805.155,757.017,106.363,4.33,0.616,25.541,39.318,176.168,16.269,3754.609
2011-08-01,1779.604,937.996,26.251,2743.852,746.487,87.572,4.349,0.743,25.49,39.42,157.574,15.61,3663.522
2011-09-01,1480.918,696.249,22.982,2200.149,699.506,72.519,4.182,0.605,23.425,36.554,137.285,10.304,3047.243
2011-10-01,1343.392,585.035,19.572,1947.999,662.758,67.078,4.37,0.516,35.891,35.571,143.426,9.509,2763.691
2011-11-01,1294.274,552.392,17.285,1863.951,674.655,70.057,4.337,0.352,42.415,35.69,152.851,7.989,2699.445
2011-12-01,1418.845,625.362,21.091,2065.298,751.706,80.36,4.519,0.398,36.335,39.182,160.795,11.552,2989.35
2012-01-01,1356.185,661.741,22.907,2040.832,758.482,77.894,4.31,0.311,46.481,38.543,167.54,10.97,2977.824
2012-02-01,1206.53,657.347,17.939,1881.815,669.053,68.381,4.072,0.44,37.686,35.917,146.496,9.45,2706.815
2012-03-01,1100.131,687.11,14.27,1801.511,646.854,87.587,4.385,0.755,47.837,37.415,177.979,10.261,2636.604
2012-04-01,991.152,728.02,13.991,1733.163,585.471,89.103,4.259,1.04,43.338,33.216,170.957,12.759,2502.351
2012-05-01,1203.528,827.828,16.636,2047.991,650.551,96.99,4.449,1.519,42.769,35.824,181.551,14.746,2894.84
2012-06-01,1373.197,896.619,20.043,2289.859,682.603,90.352,4.359,1.733,40.831,37.918,175.193,14.192,3161.846
2012-07-01,1657.58,1102.413,22.833,2782.827,724.406,89.912,4.506,1.677,30.092,40.403,166.59,19.334,3693.158
2012-08-01,1584.599,1023.097,19.251,2626.947,729.361,78.066,4.449,1.518,28.885,40.471,153.388,18.756,3528.452
2012-09-01,1331.493,817.7,16.392,2165.585,676.01,59.516,4.436,1.498,29.976,37.73,133.155,13.655,2988.404
2012-10-01,1274.51,681.83,16.466,1972.806,626.049,55.64,4.535,1.416,43.089,37.592,142.272,12.492,2753.619
2012-11-01,1339.766,590.979,16.376,1947.12,594.293,63.186,4.596,1.144,39.723,37.561,146.21,13.289,2700.912
2012-12-01,1402.578,611.306,17.102,2030.986,718.688,77.78,4.744,1.156,49.529,40.055,173.263,11.35,2934.288
2013-01-01,1434.834,646.365,25.361,2106.561,746.119,83.598,4.715,1.023,50.257,39.084,178.677,14.747,3046.104
2013-02-01,1283.113,581.581,18.861,1883.555,642.44,68.415,4.218,1.422,48.001,34.711,156.767,14.489,2697.25
2013-03-01,1346.381,617.786,18.46,1982.627,657.737,69.017,4.702,2.035,53.731,39.496,168.981,15.784,2825.13
2013-04-01,1161.64,577.492,17.967,1757.099,593.157,84.763,4.347,2.183,59.602,34.558,185.453,13.567,2549.276
2013-05-01,1235.651,628.327,22.066,1886.044,656.7,95.937,4.462,2.469,55.375,37.448,195.692,17.109,2755.544
2013-06-01,1434.532,753.427,21.838,2209.797,694.124,92.298,4.361,2.864,46.886,38.556,184.965,18.812,3107.698
2013-07-01,1590.793,931.376,26.635,2548.804,737.064,91.882,4.561,2.728,37.833,40.885,177.889,20.035,3483.792
2013-08-01,1567.234,920.554,22.626,2510.414,745.477,72.981,4.512,3.117,32.856,42.418,155.884,20.958,3432.733
2013-09-01,1390.135,768.073,20.445,2178.654,687.533,57.046,4.433,3.128,39.811,39.284,143.702,16.83,3026.719
2013-10-01,1267.545,651.14,19.607,1938.292,660.205,57.861,4.652,3.257,46.494,39.12,151.383,14.837,2764.717
2013-11-01,1260.944,614.711,17.636,1893.29,678.929,59.603,4.198,2.725,53.875,40.559,160.961,15.912,2749.092
2013-12-01,1477.757,684.329,23.662,2185.747,744.947,70.98,4.659,2.817,47.614,43.491,169.562,14.393,3114.648
2014-01-01,1610.671,681.018,67.227,2358.917,765.208,73.392,4.623,2.505,61.056,45.343,186.92,14.277,3325.321
2014-02-01,1466.74,566.112,27.171,2060.022,655.141,58.99,4.115,2.777,47.756,42.134,155.772,10.729,2881.665
2014-03-01,1388.872,575.87,30.839,1995.581,652.611,82.361,4.564,4.389,60.468,46.218,198.001,12.442,2858.635
2014-04-01,1117.58,563.273,16.972,1697.824,589.726,86.356,4.482,4.957,63.536,41.241,200.571,11.783,2499.905
2014-05-01,1231.911,663.648,20.031,1915.591,658.367,90.112,4.546,5.835,53.195,41.077,194.765,15.571,2784.294
2014-06-01,1429.837,739.355,19.974,2189.166,712.658,87.485,4.413,6.424,53.863,45.365,197.55,15.177,3114.551
2014-07-01,1568.017,865.131,20.089,2453.237,752.422,82.792,4.502,5.965,41.546,47.587,182.392,17.976,3406.027
2014-08-01,1559.84,921.11,20.633,2501.582,743.936,67.245,4.535,6.274,34.673,46.44,159.167,19.841,3424.525
2014-09-01,1329.398,790.873,19.314,2139.586,706.343,54.544,4.461,6.126,39.271,43.226,147.629,17.976,3011.533
2014-10-01,1175.677,721.601,14.838,1912.115,652.547,58.221,4.589,5.732,49.448,42.403,160.393,15.085,2740.14
2014-11-01,1244.113,616.371,17.33,1877.813,681.301,63.203,4.649,4.609,64.308,43.627,180.397,16.063,2755.574
2014-12-01,1304.745,655.904,21.052,1981.701,767.299,75.752,4.691,3.449,50.144,45.481,179.517,14.64,2943.157
2015-01-01,1365.554,734.968,29.212,2129.735,776.715,81.936,4.647,3.87,51.679,44.782,186.914,17.816,3111.18
2015-02-01,1283.95,669.934,58.913,2012.797,663.68,75.674,4.299,4.979,50.865,41.407,177.225,14.394,2868.096
2015-03-01,1115.675,732.008,17.741,1865.424,675.03,82.393,4.756,6.951,52.18,43.011,189.291,19.409,2749.155
2015-04-01,927.605,685.683,16.766,1630.053,625.226,76.192,4.342,7.977,60.906,39.644,189.06,20.277,2464.616
2015-05-01,1092.463,757.934,19.062,1869.459,688.414,68.224,4.743,8.38,58.469,41.4,181.217,20.497,2759.587
2015-06-01,1318.527,914.939,18.508,2251.974,716.542,69.252,4.441,8.571,45.753,43.736,171.754,20.735,3161.005
2015-07-01,1463.744,1079.268,23.017,2566.029,746.829,71.297,4.629,8.801,46.627,47.961,179.315,21.322,3513.495
2015-08-01,1410.64,1059.679,21.269,2491.588,757.32,64.929,4.586,9.006,44.595,47.739,170.855,22.215,3441.977
2015-09-01,1238.393,923.756,19.73,2181.879,695.21,54.643,4.104,7.43,47.635,43.055,156.868,20.139,3054.095
2015-10-01,1025.403,816.979,17.244,1859.625,633.451,56.343,4.514,6.399,55.832,41.34,164.428,15.572,2673.076
2015-11-01,935.845,756.281,17.501,1709.627,630.24,65.517,4.55,5.806,67.091,43.933,186.897,17.7,2544.464
2015-12-01,960.452,793.854,17.003,1771.309,728.229,78.532,4.698,5.272,68.514,46.871,203.888,17.403,2720.829
2016-01-01,1190.065,798.904,23.223,2012.192,758.537,86.883,4.545,4.975,62.941,43.874,203.217,20.931,2994.876
2016-02-01,970.319,711.902,21.609,1703.83,686.509,81.908,4.242,7.508,68.644,42.831,205.134,16.653,2612.126
2016-03-01,765.127,768.335,18.459,1551.921,691.851,92.894,4.487,8.771,74.79,43.07,224.013,17.531,2485.316
2016-04-01,750.012,741.475,18.709,1510.195,656.112,87.807,4.125,9.66,70.905,39.058,211.555,14.508,2392.371
2016-05-01,863.454,829.515,19.494,1712.463,696.324,86.513,4.578,11.516,64.255,39.637,206.498,17.712,2632.997
2016-06-01,1211.435,1000.734,20.005,2232.174,702.587,78.904,4.27,11.661,55.581,41.271,191.687,20.943,3147.39
2016-07-01,1421.856,1175.865,24.193,2621.914,735.784,72.801,4.474,13.261,60.069,43.601,194.205,24.223,3576.125
2016-08-01,1415.214,1187.542,24.058,2626.814,748.095,66.391,4.518,13.335,46.331,45.459,176.034,23.073,3574.016
2016-09-01,1194.864,943.934,19.604,2158.402,684.522,55.544,4.527,12.229,55.925,41.409,169.633,16.073,3028.63
2016-10-01,1046.165,766.987,16.421,1829.573,635.21,58.787,4.617,10.736,69.325,37.418,180.883,18.147,2663.813
2016-11-01,922.776,682.946,17.76,1623.483,681.705,63.878,4.653,9.313,66.151,41.914,185.909,20.485,2511.582
2016-12-01,1245.068,692.356,20.362,1957.787,749.517,76.396,4.961,8.151,78.892,45.53,213.929,16.628,2937.862
2017-01-01,1207.105,681.416,20.868,1909.389,764.768,90.347,4.801,7.842,70.901,45.376,219.267,22.297,2915.721
2017-02-01,912.007,587.323,16.377,1515.707,664.778,81.022,4.227,9.27,75.31,40.597,210.426,17.0,2407.911
2017-03-01,928.648,693.965,16.549,1639.163,680.81,100.519,4.733,15.233,87.707,45.244,253.435,17.145,2590.553
2017-04-01,841.961,646.669,12.929,1501.558,593.479,99.749,4.576,16.56,86.511,39.042,246.437,15.203,2356.677
2017-05-01,967.118,721.336,18.871,1707.325,641.27,110.622,4.442,19.534,78.636,40.328,253.563,14.509,2616.667
2017-06-01,1118.36,876.704,19.317,2014.381,700.866,103.8,4.38,20.65,68.665,42.074,239.569,17.68,2972.495
2017-07-01,1326.426,1115.174,18.506,2460.106,745.875,90.282,4.684,18.797,54.96,43.856,212.58,17.759,3436.321
2017-08-01,1250.518,1053.616,17.738,2321.873,757.067,74.803,4.651,18.12,47.322,44.735,189.631,19.573,3288.143
2017-09-01,1039.785,884.925,16.815,1941.525,712.236,65.042,4.543,17.082,61.062,39.993,187.723,15.478,2856.962
2017-10-01,950.926,795.976,15.903,1762.806,690.239,60.073,4.143,15.716,83.067,40.542,203.541,11.063,2667.649
2017-11-01,968.269,687.114,16.938,1672.321,696.756,67.414,4.452,10.83,77.085,42.226,202.006,10.601,2581.685
2017-12-01,1111.11,809.962,26.91,1947.982,770.824,75.528,4.712,10.258,75.675,45.528,211.701,13.836,2944.342
2018-01-01,1228.724,811.021,64.08,2103.825,780.456,85.17,4.577,11.218,87.245,45.826,234.036,13.939,3132.255
2018-02-01,868.148,711.887,16.562,1596.597,677.38,84.596,4.347,13.18,79.039,41.774,222.936,12.011,2508.923
2018-03-01,842.897,780.912,15.384,1639.193,700.826,87.866,4.663,17.091,90.196,43.993,243.81,15.024,2598.853
2018-04-01,768.009,726.347,16.568,1510.924,618.237,95.502,4.053,20.48,90.098,38.598,248.731,9.919,2387.812
2018-05-01,895.731,874.478,16.211,1786.419,703.833,103.447,4.718,23.16,81.655,40.166,253.145,13.982,2757.379
2018-06-01,1062.146,982.192,19.879,2064.217,728.583,93.837,4.435,25.07,84.218,41.86,249.419,14.598,3056.819
2018-07-01,1208.547,1261.952,19.969,2490.468,757.528,85.31,4.673,22.831,56.065,43.581,212.459,15.133,3475.589
2018-08-01,1206.967,1222.694,20.26,2449.921,755.713,74.751,4.664,22.634,67.661,42.772,212.482,17.066,3435.182
2018-09-01,1021.171,1061.745,19.434,2102.35,676.697,65.032,4.531,20.168,63.128,37.466,190.324,10.883,2980.255
2018-10-01,916.879,914.535,16.327,1847.741,620.995,66.283,4.344,16.808,72.231,39.208,198.874,9.672,2677.282
2018-11-01,979.911,786.495,17.512,1783.918,668.643,74.316,4.541,12.662,75.033,39.759,206.311,8.627,2667.499
2018-12-01,1053.826,786.013,18.165,1858.004,749.177,77.285,4.82,10.518,82.849,41.083,216.553,10.831,2834.566
2019-01-01,1057.95,876.758,22.358,1957.065,769.584,84.133,4.599,12.099,82.82,41.188,224.838,11.4,2962.888
2019-02-01,852.98,805.486,15.623,1674.09,675.753,77.698,4.272,12.957,77.105,35.547,207.58,10.693,2568.115
2019-03-01,833.586,840.346,14.616,1688.547,679.562,89.421,4.703,19.93,87.845,37.354,239.253,8.191,2615.554
2019-04-01,631.91,764.103,11.886,1407.899,632.586,94.495,4.187,22.827,98.565,33.61,253.684,8.142,2302.312
2019-05-01,756.964,863.403,17.625,1637.992,700.904,108.694,4.451,24.21,87.882,36.629,261.866,10.377,2611.139
2019-06-01,837.342,1022.541,15.596,1875.479,718.461,95.416,4.416,26.948,76.518,36.694,239.993,12.387,2846.32
2019-07-01,1057.278,1295.565,18.412,2371.254,753.898,84.577,4.579,27.477,75.352,39.766,231.75,12.574,3369.476
2019-08-01,991.11,1319.478,18.004,2328.591,750.891,76.785,4.649,26.623,68.116,40.478,216.65,13.921,3310.053
2019-09-01,893.142,1115.538,15.479,2024.159,689.836,62.99,4.566,23.044,83.574,36.515,210.689,12.0,2936.684
2019-10-01,709.297,966.98,11.188,1687.466,647.745,62.208,3.763,20.609,94.166,35.202,215.948,7.494,2558.652
2019-11-01,793.497,845.451,12.515,1651.463,669.598,68.713,3.212,14.75,85.845,36.079,208.599,12.267,2541.926
2019-12-01,766.206,941.663,15.284,1723.153,763.034,72.927,3.89,11.681,90.814,39.075,218.387,13.774,2718.348
