Month,"Coal Consumption for Electricity Generation, All Sectors","Distillate Fuel Oil Consumption for Electricity Generation, All Sectors","Residual Fuel Oil Consumption for Electricity Generation, All Sectors","Other Petroleum Liquids Consumption for Electricity Generation, All Sectors","Petroleum Coke Consumption for Electricity Generation, All Sectors","Total Petroleum Consumption for Electricity Generation, All Sectors","Natural Gas Consumption for Electricity Generation, All Sectors","Other Fossil Gases Consumption for Electricity Generation, All Sectors","Wood Consumption for Electricity Generation, All Sectors","Waste Consumption for Electricity Generation, All Sectors","Other Consumption for Electricity Generation, All Sectors"
1994-02-01,67948.908,1912.06,15849.106,71.304,303.711,19351.024,234.86,10.462,43.858,21.156,3.044
1994-03-01,68644.975,1388.168,12969.307,78.944,322.296,16047.898,283.249,11.583,44.195,24.954,3.37
1994-04-01,62451.298,1425.488,12493.041,76.397,243.989,15214.872,303.42,11.209,38.183,22.358,3.262
1994-05-01,65543.715,1593.114,11157.301,78.944,202.041,13839.564,317.998,11.583,22.37,27.516,3.37
1994-06-01,75897.005,2561.748,15933.525,76.397,245.602,19799.677,452.818,11.209,28.707,26.901,3.262
1994-07-01,79322.549,2094.184,15164.851,78.944,263.724,18656.598,510.476,11.583,49.08,25.306,3.37
1994-08-01,78591.386,1397.67,9696.695,78.944,225.96,12303.109,537.533,11.583,40.914,24.909,3.37
1994-09-01,69042.561,1190.769,7921.675,76.397,214.342,10260.554,425.034,11.209,37.385,22.966,3.262
1994-10-01,67028.873,1109.771,7153.813,78.944,213.214,9408.596,383.429,11.583,46.647,27.417,3.37
1994-11-01,64371.303,1180.711,6935.892,76.397,203.046,9208.229,341.107,11.209,43.714,26.915,3.262
1994-12-01,70792.834,1434.802,7579.909,78.944,195.823,10072.771,312.756,11.583,41.303,30.315,3.37
1995-01-01,74124.558,1331.998,6569.021,57.739,279.99,9358.709,307.794,11.255,33.945,25.3,3.564
1995-02-01,66242.983,1658.87,11534.467,52.151,271.065,14600.811,263.432,10.166,26.408,21.919,3.219
1995-03-01,66051.469,1142.906,4716.341,57.739,228.336,7058.665,367.939,11.255,34.051,22.22,3.564
1995-04-01,61489.225,1156.674,5154.921,55.876,157.781,7156.374,344.534,10.892,42.0,29.443,3.449
1995-05-01,65087.74,1428.39,6751.984,57.739,261.244,9544.334,382.387,11.255,31.533,18.728,3.564
1995-06-01,72002.485,1505.688,6906.986,55.876,300.42,9970.652,432.697,10.892,29.086,27.548,3.449
1995-07-01,82576.811,2367.37,11589.312,57.739,251.014,15269.489,580.74,11.255,52.138,26.576,3.564
1995-08-01,86783.837,3595.319,12625.205,57.739,351.877,18037.646,663.293,11.255,54.292,28.153,3.564
1995-09-01,71248.505,1138.022,7681.98,55.876,289.04,10321.075,459.046,10.892,44.11,27.48,3.449
1995-10-01,68925.038,1174.714,5236.534,57.739,325.351,8095.741,358.718,11.255,49.846,29.926,3.564
1995-11-01,69766.112,1324.503,5307.575,55.876,366.246,8519.184,304.198,10.892,42.506,30.486,3.449
1995-12-01,76295.287,1790.756,11432.453,57.739,272.867,14645.285,273.093,11.255,39.985,27.912,3.564
1996-01-01,79608.318,2357.775,12554.951,144.985,299.921,16557.318,280.184,13.43,46.721,21.056,3.144
1996-02-01,71655.731,3013.616,13046.833,135.631,231.219,17352.175,232.687,12.563,31.909,24.013,2.941
1996-03-01,71641.438,1910.462,9663.024,144.985,188.788,12662.412,261.714,13.43,39.789,26.996,3.144
1996-04-01,64775.447,1200.454,4780.369,140.308,213.231,7187.289,277.678,12.997,23.538,23.826,3.043
1996-05-01,69920.078,1623.189,5783.656,144.985,238.309,8743.373,408.241,13.43,32.49,24.572,3.144
1996-06-01,76233.47,1298.457,9191.682,140.308,236.324,11812.067,457.586,12.997,41.112,28.925,3.043
1996-07-01,83233.233,1584.688,12592.408,144.985,348.442,16064.292,538.154,13.43,48.823,30.91,3.144
1996-08-01,84358.055,1346.4,9937.705,144.985,417.671,13517.447,552.833,13.43,56.401,23.38,3.144
1996-09-01,74626.451,1430.763,7505.256,140.308,346.809,10810.371,437.269,12.997,42.54,27.489,3.043
1996-10-01,74297.239,1290.238,4961.796,144.985,285.284,7823.438,357.117,13.43,56.2,32.037,3.144
1996-11-01,76266.86,1334.132,6662.276,140.308,249.123,9382.334,279.411,12.997,53.302,29.676,3.043
1996-12-01,80592.733,1861.888,9374.952,144.985,266.384,12713.747,229.585,13.43,39.898,30.898,3.144
1997-01-01,84042.153,2288.625,12893.889,20.127,163.065,16017.969,236.387,10.142,47.428,24.456,3.093
1997-02-01,70503.802,1153.81,6781.944,18.18,161.638,8762.126,238.613,9.16,32.98,26.481,2.794
1997-03-01,71861.874,1141.522,6531.49,20.127,101.009,8198.187,303.763,10.142,37.611,26.468,3.093
1997-04-01,67707.433,1420.486,5528.309,19.478,299.991,8468.226,306.092,9.815,38.071,30.102,2.993
1997-05-01,70840.162,1295.276,6611.178,20.127,393.06,9891.881,357.161,10.142,40.96,31.178,3.093
1997-06-01,76588.136,1872.421,10479.377,19.478,421.205,14477.301,446.088,9.815,32.137,28.109,2.993
1997-07-01,87578.245,3490.642,13496.475,20.127,419.597,19105.229,627.429,10.142,39.22,29.271,3.093
1997-08-01,85515.352,1838.079,11667.916,20.127,466.82,15860.224,576.776,10.142,42.148,29.577,3.093
1997-09-01,79008.286,1411.333,11880.162,19.478,470.707,15664.509,495.064,9.815,39.231,25.263,2.993
1997-10-01,78930.484,1497.628,11051.039,20.127,408.809,14612.839,374.927,10.142,54.391,30.013,3.093
1997-11-01,75962.336,1411.474,10414.567,19.478,394.642,13818.727,287.921,9.815,42.888,28.397,2.993
1997-12-01,83411.234,1487.309,11404.494,20.127,385.228,14838.07,314.547,10.142,37.257,29.653,3.093
1998-01-01,82559.325,1207.256,9944.077,46.612,428.306,13339.477,285.773,10.615,51.77,23.758,3.097
1998-02-01,71818.518,945.383,9029.204,42.101,336.448,11698.929,229.657,9.588,33.166,24.013,2.797
1998-03-01,74632.019,1381.385,14017.517,46.612,343.9,17165.016,316.239,10.615,38.192,28.3,3.097
1998-04-01,69167.433,1130.235,10687.564,45.108,387.969,13802.75,307.515,10.273,38.493,27.725,2.997
1998-05-01,75697.586,2325.954,14742.076,46.612,401.777,19123.527,447.497,10.615,40.699,30.524,3.097
1998-06-01,82069.551,3618.786,18535.148,45.108,458.234,24490.21,571.003,10.273,21.131,24.659,2.997
1998-07-01,90451.534,3920.088,21240.916,46.612,482.895,27622.091,673.679,10.615,39.97,28.28,3.097
1998-08-01,90394.494,3625.689,20689.472,46.612,452.605,26624.799,685.372,10.615,42.506,28.339,3.097
1998-09-01,81092.071,3036.111,16130.044,45.108,427.403,21348.276,576.39,10.273,41.454,27.269,2.997
1998-10-01,76330.079,1143.003,11723.501,46.612,395.588,14891.058,387.206,10.615,46.11,30.026,3.097
1998-11-01,72229.249,1158.754,11724.278,45.108,388.273,14869.507,290.855,10.273,36.118,24.682,2.997
1998-12-01,79852.674,1569.504,14263.938,46.612,356.921,17664.657,310.198,10.615,44.964,34.621,3.097
1999-01-01,83413.106,2830.586,17629.294,82.706,369.058,22387.877,319.807,10.734,49.949,25.054,3.464
1999-02-01,71458.419,1065.868,15022.765,74.702,304.827,17687.473,275.098,9.695,34.884,26.558,3.129
1999-03-01,75102.484,1305.203,15702.564,82.706,388.766,19034.301,360.333,10.734,27.807,27.097,3.464
1999-04-01,71196.766,1996.79,12754.136,80.038,349.036,16576.146,434.089,10.388,40.85,29.624,3.352
1999-05-01,74939.643,1520.854,13431.25,82.706,391.801,16993.816,459.145,10.734,53.998,31.359,3.464
1999-06-01,81384.062,2495.749,14921.124,80.038,393.398,19463.903,537.216,10.388,37.36,30.135,3.352
1999-07-01,92640.575,5780.306,20051.792,82.706,477.461,28302.11,713.349,10.734,47.396,28.336,3.464
1999-08-01,89798.391,3568.557,17198.314,82.706,527.305,23486.102,712.071,10.734,45.153,26.608,3.464
1999-09-01,80096.374,1505.029,11352.008,80.038,326.376,14568.952,475.772,10.388,40.258,27.244,3.352
1999-10-01,76367.934,1226.314,9281.539,82.706,328.451,12232.814,412.587,10.734,33.064,27.067,3.464
1999-11-01,73565.673,1392.042,5813.987,80.038,305.918,8815.654,306.715,10.388,43.998,26.781,3.352
1999-12-01,79838.539,1263.54,5028.075,82.706,389.601,8322.327,315.803,10.734,35.472,25.937,3.464
2000-01-01,89177.023,2459.856,9123.189,122.784,535.038,14381.021,369.155,10.67,30.908,26.933,3.914
2000-02-01,80380.048,1484.935,6012.98,114.862,436.24,9793.979,327.413,9.981,41.462,27.949,3.661
2000-03-01,78672.464,1269.539,5684.34,122.784,288.812,8520.725,395.931,10.67,43.487,31.854,3.914
2000-04-01,71005.525,1145.813,6218.949,118.823,295.481,8960.992,406.375,10.325,41.247,31.739,3.787
2000-05-01,78080.913,2671.533,11459.841,122.784,269.186,15600.091,566.887,10.67,39.282,34.078,3.914
2000-06-01,85564.322,2307.576,15513.451,118.823,327.055,19575.128,563.812,10.325,34.296,27.422,3.787
2000-07-01,89148.28,2721.878,14421.539,122.784,193.097,18231.687,675.911,10.67,41.903,28.671,3.914
2000-08-01,92616.393,3056.541,17893.586,122.784,375.818,22951.999,742.921,10.67,43.099,27.451,3.914
2000-09-01,81902.075,2064.992,15960.39,118.823,288.052,19584.463,523.758,10.325,38.981,26.207,3.787
2000-10-01,80912.324,1422.39,12109.353,122.784,226.918,14789.115,405.838,10.67,47.235,28.262,3.914
2000-11-01,80044.589,1797.133,10055.383,118.823,245.022,13196.449,349.873,10.325,46.182,26.037,3.787
2000-12-01,87428.695,9272.783,18928.308,122.784,263.603,29641.888,363.609,10.67,47.752,13.479,3.914
2001-01-01,89136.058,8185.474,22180.601,131.55,333.335,32164.3,380.142,7.808,42.258,19.071,13.289
2001-02-01,76001.888,2835.319,13588.605,85.59,302.122,18020.124,347.939,7.497,36.672,16.977,11.703
2001-03-01,78613.241,3141.244,15552.255,86.75,295.126,20255.879,402.383,8.312,39.155,18.842,13.103
2001-04-01,71021.87,2737.685,15005.725,61.92,246.772,19039.19,422.486,7.914,38.418,18.765,13.172
2001-05-01,77344.065,2317.312,14108.968,54.63,290.061,17931.215,473.896,8.716,38.505,18.813,13.325
2001-06-01,82959.426,1962.937,16984.696,57.16,310.015,20554.868,532.482,7.765,41.916,19.351,13.391
2001-07-01,92000.656,1885.383,15028.566,64.71,370.156,18829.439,678.341,9.166,41.483,20.188,13.839
2001-08-01,93954.057,2749.659,19888.374,74.69,363.941,24532.428,732.863,8.848,42.694,20.156,14.155
2001-09-01,79750.738,1329.569,9570.682,59.54,339.82,12658.891,552.78,8.163,42.751,18.958,13.512
2001-10-01,76326.961,1459.601,7954.869,55.26,344.331,11191.385,509.011,7.677,42.619,18.816,13.461
2001-11-01,74073.072,1160.992,7591.392,55.82,292.51,10270.754,389.977,7.388,39.22,18.363,13.437
2001-12-01,81509.413,1384.488,7856.806,67.14,383.04,11223.634,410.005,8.054,40.325,19.377,13.764
2002-01-01,83186.047,1963.361,7271.464,148.19,524.014,12003.085,423.766,10.787,51.093,20.587,15.019
2002-02-01,72844.799,1239.209,6107.826,88.142,526.861,10069.482,380.881,9.155,45.783,18.335,14.499
2002-03-01,76541.272,1942.878,9696.125,111.851,568.611,14593.909,447.756,9.922,48.374,20.842,15.348
2002-04-01,72378.909,1818.89,9044.046,143.285,530.058,13656.511,439.403,9.599,49.657,20.04,14.384
2002-05-01,77322.232,2129.552,9002.556,174.853,590.23,14258.111,452.798,10.058,47.441,21.262,15.185
2002-06-01,84412.121,1787.689,9076.349,118.893,645.254,14209.201,589.291,11.521,50.469,22.117,15.471
2002-07-01,93763.288,2729.956,11792.713,207.687,599.872,17729.716,776.565,12.559,53.485,23.69,18.201
2002-08-01,92603.756,2548.99,11635.016,202.349,660.238,17687.545,759.216,12.296,52.378,23.764,17.224
2002-09-01,84931.863,1758.776,9359.096,134.568,616.075,14332.815,605.5,11.488,51.91,22.099,17.433
2002-10-01,81613.437,2049.315,9452.589,183.375,529.463,14332.594,475.151,10.927,54.029,21.299,17.062
2002-11-01,80233.59,1492.114,7123.255,176.757,497.929,11281.771,385.378,11.856,50.482,20.877,15.867
2002-12-01,87751.77,1824.903,9673.769,204.291,547.835,14442.138,390.357,11.063,49.954,21.98,15.55
2003-01-01,92161.324,4699.061,14552.816,484.794,422.589,21849.616,426.722,13.95,45.969,20.861,14.729
2003-02-01,80128.16,4006.396,12425.258,370.995,390.704,18756.169,373.179,12.313,39.335,18.235,12.567
2003-03-01,79207.253,2948.589,12700.754,330.871,342.395,17692.189,400.384,12.461,42.867,20.935,15.365
2003-04-01,72671.712,1645.631,10940.107,160.635,479.469,15143.718,388.77,13.308,41.235,20.839,14.676
2003-05-01,77558.606,2687.731,8808.176,134.375,455.088,13905.722,437.27,12.446,39.055,20.902,15.869
2003-06-01,84059.746,3071.487,12874.673,202.899,540.654,18852.329,478.861,13.203,42.664,20.873,15.419
2003-07-01,93797.131,2544.641,15033.213,261.31,623.411,20956.219,672.292,13.957,46.103,22.132,17.841
2003-08-01,95351.747,2195.709,15995.11,358.433,612.5,21611.752,727.86,13.778,46.066,21.79,19.391
2003-09-01,85003.122,1362.437,10443.231,188.056,596.406,14975.754,508.948,12.874,43.069,20.558,17.851
2003-10-01,81617.976,1428.36,10090.088,166.451,611.976,14744.779,447.547,13.06,43.495,20.054,17.64
2003-11-01,81941.086,1271.03,6917.305,132.458,601.69,11329.243,384.06,12.975,41.917,19.705,16.081
2003-12-01,90559.757,1810.856,11736.772,155.394,626.563,16835.837,370.243,11.979,47.517,21.769,15.757
2004-01-01,92106.949,4434.264,17109.848,993.196,713.492,26104.767,380.528,10.646,30.019,18.649,14.337
2004-02-01,82727.107,1511.73,10869.479,172.342,609.693,15602.015,393.047,10.722,27.431,18.032,13.895
2004-03-01,78513.268,1357.092,11504.063,208.075,611.619,16127.325,393.354,11.198,28.511,19.056,14.833
2004-04-01,72597.685,1190.916,10723.924,159.382,607.717,15112.805,406.203,11.938,26.95,19.057,14.789
2004-05-01,80840.843,1718.582,12316.263,156.311,644.016,17411.237,501.78,11.745,26.635,20.008,15.766
2004-06-01,86184.759,1596.899,13413.081,146.891,613.28,18223.273,526.243,11.573,27.271,19.477,15.629
2004-07-01,93785.651,1471.989,15434.392,174.829,650.484,20333.632,644.149,10.985,31.915,19.951,16.793
2004-08-01,92368.69,1385.789,13777.04,137.526,707.057,18835.64,630.37,11.48,29.98,19.965,15.724
2004-09-01,85665.633,1601.442,9902.08,136.784,599.766,14639.137,547.173,11.667,28.327,18.896,14.567
2004-10-01,81739.515,1087.519,8360.267,148.321,646.03,12826.257,456.586,11.466,28.98,18.841,14.737
2004-11-01,82213.186,960.748,7450.814,144.126,589.084,11501.106,388.914,10.908,27.584,18.805,15.005
2004-12-01,91779.368,1846.516,11226.544,278.109,685.197,16777.154,406.232,10.815,30.529,19.387,17.239
2005-01-01,92063.28,3066.589,13329.276,685.739,706.345,20613.326,399.26,9.098,30.603,18.749,14.316
2005-02-01,80606.57,927.303,7850.612,125.336,651.044,12158.472,344.027,8.495,28.413,16.687,12.746
2005-03-01,83918.717,1064.871,9175.318,142.686,688.055,13823.147,400.032,9.536,30.312,19.05,13.975
2005-04-01,73849.813,1084.755,7318.392,174.432,629.134,11723.249,404.726,8.79,26.91,18.314,13.329
2005-05-01,79589.875,1179.074,6552.731,136.686,706.365,11400.315,440.049,9.532,28.186,19.945,14.169
2005-06-01,89823.421,1489.815,12992.811,142.97,749.159,18371.39,612.511,9.626,28.967,19.892,14.886
2005-07-01,96636.062,2258.57,15890.354,310.137,741.426,22166.189,796.644,9.491,31.75,20.712,16.105
2005-08-01,97648.942,2519.008,18004.524,370.088,785.413,24820.685,812.373,10.079,31.853,20.224,17.239
2005-09-01,88859.67,1931.139,15290.067,212.706,682.024,20844.034,584.977,9.889,29.498,19.154,14.408
2005-10-01,84358.424,1484.846,12144.984,170.175,675.226,17176.135,442.42,9.078,29.064,18.427,13.239
2005-11-01,81884.483,1104.434,7312.045,136.997,619.492,11650.937,385.087,7.823,28.918,19.195,13.817
2005-12-01,92208.421,2540.7,15656.869,360.138,695.955,22037.483,414.264,8.478,30.777,19.746,14.733
2006-01-01,87622.789,1089.103,5601.507,184.177,709.041,10419.993,336.585,9.396,31.194,20.54,14.245
2006-02-01,81312.263,982.456,4320.227,144.102,627.906,8586.313,364.591,9.122,28.137,18.721,12.833
2006-03-01,82815.727,803.639,2931.447,187.664,595.779,6901.644,425.798,9.927,29.493,19.912,14.553
2006-04-01,72930.689,1027.551,3651.37,143.938,604.509,7845.403,442.285,9.656,25.331,18.33,14.005
2006-05-01,80865.134,1031.223,3494.815,206.12,569.293,7578.621,525.815,10.553,26.812,20.358,14.813
2006-06-01,87668.453,1172.0,5404.861,193.372,633.655,9938.51,650.051,9.261,28.297,20.092,14.412
2006-07-01,97471.926,1480.69,7006.799,224.284,693.194,12177.742,885.008,10.066,30.77,21.144,15.141
2006-08-01,98555.358,1668.637,9218.582,285.764,661.453,14480.246,861.903,10.506,31.468,20.875,14.917
2006-09-01,84667.979,831.877,4060.839,187.038,593.873,8049.12,568.382,9.496,29.601,20.004,14.355
2006-10-01,84086.373,983.845,4519.004,136.767,595.897,8619.103,549.537,9.537,29.146,19.88,14.521
2006-11-01,82548.454,996.116,4382.03,123.91,528.694,8145.527,416.27,8.361,29.023,20.316,14.107
2006-12-01,90011.246,1107.033,3881.357,156.653,549.33,7891.693,435.389,8.783,30.8,20.512,14.438
2007-01-01,91775.969,1445.292,5769.661,207.355,585.401,10349.313,476.193,9.962,33.485,20.192,14.096
2007-02-01,84100.029,2502.418,9670.793,412.292,469.646,14933.733,442.365,8.262,27.797,17.697,12.517
2007-03-01,81931.779,1261.561,5333.281,299.136,475.264,9270.298,432.814,10.472,28.514,20.228,13.977
2007-04-01,75917.881,972.563,5028.386,254.689,465.689,8584.083,470.939,10.012,27.206,18.862,13.36
2007-05-01,81309.468,1035.741,4462.191,260.74,505.841,8287.877,528.214,10.109,27.53,20.439,14.189
2007-06-01,89846.447,1242.678,5561.212,218.721,578.746,9916.341,648.157,9.863,28.995,20.606,14.279
2007-07-01,96726.908,1202.372,5558.664,200.672,518.933,9556.373,781.529,9.901,30.526,21.426,14.484
2007-08-01,99245.043,1719.541,7584.879,267.587,539.892,12271.467,992.091,9.638,30.422,21.441,14.637
2007-09-01,88088.604,985.284,4830.052,205.521,492.641,8484.062,704.737,9.584,29.767,20.642,13.642
2007-10-01,83995.034,1147.131,4554.817,210.977,445.947,8142.66,626.057,9.561,28.898,21.077,14.305
2007-11-01,82494.793,955.109,2172.227,175.01,430.72,5455.946,468.868,8.784,29.374,20.889,13.375
2007-12-01,91363.447,1213.225,3306.776,204.019,527.693,7362.485,517.378,8.757,30.512,21.605,15.059
2008-01-01,94532.157,1633.327,3308.898,349.669,514.406,7863.924,554.2,8.7,30.092,21.488,13.945
2008-02-01,86702.035,1198.213,2697.25,264.776,469.467,6507.574,458.209,8.129,27.683,20.362,13.23
2008-03-01,83372.77,936.401,2352.488,249.75,395.763,5517.454,480.183,8.694,29.178,23.082,14.948
2008-04-01,76924.022,934.286,2626.856,193.077,432.075,5914.594,486.948,8.142,26.072,22.11,14.359
2008-05-01,81247.996,940.105,2801.818,195.86,408.929,5982.428,495.188,8.423,26.321,22.145,15.11
2008-06-01,89532.19,1351.355,4722.346,237.064,500.286,8812.195,682.184,8.854,28.477,22.501,15.341
2008-07-01,98194.348,1028.378,3863.47,199.501,451.535,7349.024,805.233,9.899,30.389,23.864,15.832
2008-08-01,95752.008,901.442,3222.913,179.032,479.849,6702.632,786.448,9.912,30.495,23.188,15.446
2008-09-01,85545.081,929.341,3895.654,194.471,446.77,7253.316,618.108,7.06,27.64,21.717,13.777
2008-10-01,80186.185,771.095,2339.174,175.869,469.377,5633.023,564.732,6.919,27.097,22.121,13.255
2008-11-01,80992.548,849.87,2609.858,210.104,423.289,5786.277,472.998,5.877,28.074,21.626,13.087
2008-12-01,89353.31,1358.144,3750.763,372.961,425.558,7609.658,491.412,6.148,27.268,22.752,13.916
2009-01-01,90638.987,1882.36,6033.161,423.877,425.572,10467.258,504.728,6.264,27.836,21.489,13.487
2009-02-01,74255.861,1202.701,2413.62,256.216,390.181,5823.442,470.035,6.138,25.277,19.93,12.442
2009-03-01,71990.293,1251.874,2045.102,246.287,479.932,5942.923,518.595,6.543,25.655,22.749,14.03
2009-04-01,67208.667,825.09,1691.341,177.856,426.789,4828.232,468.256,5.864,22.775,22.503,13.868
2009-05-01,70508.013,1070.786,2215.989,185.118,432.076,5632.273,533.17,5.935,23.93,22.89,14.817
2009-06-01,79071.275,1000.643,2313.141,150.131,432.869,5628.26,664.674,6.795,26.326,23.314,14.867
2009-07-01,84359.578,934.339,2516.627,134.406,454.729,5859.017,802.024,7.587,29.126,24.268,15.259
2009-08-01,86788.773,1001.758,2976.326,165.771,438.848,6338.095,864.501,8.026,30.137,23.847,15.294
2009-09-01,73705.262,764.707,1845.998,134.578,438.083,4935.698,713.414,8.294,26.944,22.135,13.893
2009-10-01,74686.141,846.57,2061.881,138.734,276.005,4427.21,558.901,7.483,26.574,22.382,13.723
2009-11-01,73150.239,827.229,1216.884,143.378,272.791,3551.446,478.878,7.138,27.165,22.808,14.006
2009-12-01,88320.12,1050.063,1245.668,171.591,353.42,4234.422,543.893,7.527,28.701,23.323,14.274
2010-01-01,90766.686,2485.312,2860.244,241.152,432.875,7751.083,570.204,7.161,29.578,22.204,14.589
2010-02-01,80208.599,869.206,1075.234,211.689,403.59,4174.079,501.79,6.272,27.768,20.473,13.148
2010-03-01,76544.33,785.405,1245.439,147.067,438.487,4370.346,478.851,8.222,28.852,23.557,14.849
2010-04-01,67037.314,726.47,1159.746,126.293,382.084,3922.929,493.588,7.789,27.499,23.295,14.829
2010-05-01,76061.126,1049.64,1996.715,121.402,415.22,5243.857,582.287,8.233,26.79,23.576,15.477
2010-06-01,87395.029,1243.956,3086.682,154.329,493.027,6950.102,731.357,7.837,29.061,24.169,16.313
2010-07-01,94992.967,1346.931,3680.854,200.305,524.261,7849.395,922.648,7.558,30.802,24.383,16.361
2010-08-01,94785.906,1092.982,2987.108,164.464,422.646,6357.784,971.855,8.238,31.578,24.471,16.5
2010-09-01,79572.679,904.585,1788.839,150.702,393.779,4813.021,723.23,7.533,29.522,23.403,15.703
2010-10-01,70918.024,786.872,1112.914,128.726,362.287,3839.947,594.338,6.48,27.669,23.061,15.5
2010-11-01,72756.251,876.19,981.817,143.431,317.276,3587.818,519.375,7.143,29.313,23.87,15.233
2010-12-01,88644.979,1882.657,2021.004,266.189,408.069,6210.195,590.663,7.591,31.099,24.302,15.909
2011-01-01,90207.797,1346.606,1723.294,255.384,552.104,6085.804,563.712,7.412,30.922,21.845,15.796
2011-02-01,73614.249,913.041,1019.753,144.068,430.537,4229.545,505.126,6.457,27.914,20.598,14.984
2011-03-01,72645.322,906.995,1112.918,140.347,517.12,4745.862,503.09,6.941,28.821,22.842,17.159
2011-04-01,67128.28,1005.121,1333.238,111.211,336.121,4130.173,545.924,7.211,25.01,21.954,16.766
2011-05-01,73522.236,973.192,1229.564,88.039,357.409,4077.843,598.689,7.038,25.819,22.776,17.54
2011-06-01,84155.568,968.074,1249.278,138.115,431.648,4513.706,727.189,8.218,29.975,23.825,17.853
2011-07-01,94303.914,1137.861,1550.406,237.987,510.028,5476.393,967.125,8.591,31.289,24.68,18.775
2011-08-01,92296.801,830.974,1313.269,145.726,464.0,4609.97,951.425,8.723,31.729,24.604,17.814
2011-09-01,76790.238,735.673,942.246,155.894,454.252,4105.07,711.98,7.813,29.534,23.235,16.696
2011-10-01,69604.897,753.044,938.334,143.184,337.51,3522.114,599.544,7.427,27.245,23.623,16.974
2011-11-01,67059.33,768.292,916.549,146.704,256.749,3115.29,568.007,7.575,27.979,23.888,16.936
2011-12-01,73609.691,892.075,921.91,137.747,364.609,3774.777,642.055,7.886,31.385,24.68,17.962
2012-01-01,70743.842,856.55,1018.665,57.439,476.491,4315.107,677.117,8.839,34.582,23.696,16.76
2012-02-01,62973.889,665.527,774.767,103.431,362.675,3357.1,672.278,8.96,32.667,21.894,15.767
2012-03-01,57468.184,626.853,888.501,113.967,226.466,2761.651,703.533,9.421,31.023,23.708,16.53
2012-04-01,51806.133,701.192,811.488,99.752,212.319,2674.027,741.56,9.094,28.062,23.135,16.024
2012-05-01,62801.053,885.314,849.693,128.778,255.282,3140.196,843.383,8.502,30.164,24.459,17.807
2012-06-01,71655.712,877.585,1305.329,137.48,279.995,3720.368,912.469,8.464,32.221,23.999,17.546
2012-07-01,86516.33,954.739,1585.298,143.013,307.493,4220.512,1118.369,9.02,34.692,25.352,18.08
2012-08-01,82675.521,751.901,1134.241,128.213,337.834,3703.527,1038.691,9.046,35.328,25.333,17.546
2012-09-01,69478.219,656.239,839.386,94.971,314.161,3161.401,835.109,7.984,33.051,23.819,16.761
2012-10-01,66485.589,702.621,912.479,106.675,280.31,3123.325,700.348,7.808,31.734,24.867,16.789
2012-11-01,69912.533,749.278,803.664,94.463,313.519,3215.0,611.68,7.822,32.205,24.526,16.944
2012-12-01,73216.531,856.706,831.706,356.55,307.999,3584.959,630.173,8.394,34.612,25.588,17.084
2013-01-01,75048.998,1114.073,1548.489,299.474,385.306,4888.566,666.65,10.032,33.353,23.928,15.9
2013-02-01,67129.269,733.978,1004.241,152.119,313.799,3459.331,599.1,8.758,29.984,21.472,14.838
2013-03-01,70468.689,700.28,839.624,99.263,363.993,3459.133,637.349,9.595,32.674,25.08,16.748
2013-04-01,60806.731,723.875,844.232,116.616,342.421,3396.829,595.667,9.257,27.741,23.956,15.376
2013-05-01,64688.255,851.533,828.555,108.9,469.419,4136.082,646.296,9.708,31.241,25.608,16.766
2013-06-01,75053.691,710.183,889.096,99.644,476.31,4080.472,771.868,9.579,33.044,25.075,16.903
2013-07-01,83213.021,1075.911,1316.567,153.118,473.796,4914.576,949.141,10.331,35.341,25.987,17.863
2013-08-01,81969.758,676.088,968.163,131.696,491.339,4232.643,937.197,10.283,36.477,26.108,17.637
2013-09-01,72723.222,657.121,813.703,120.138,442.422,3803.073,784.619,9.736,33.383,24.662,17.102
2013-10-01,66348.326,661.308,812.801,107.316,404.473,3603.79,669.764,9.571,33.694,24.551,17.088
2013-11-01,65959.342,785.617,751.123,120.351,307.896,3196.572,633.885,9.597,34.163,24.837,16.409
2013-12-01,77319.312,1093.656,1149.798,172.687,380.917,4320.725,704.762,8.857,36.834,26.652,17.515
2014-01-01,83646.96,4957.501,4277.662,954.368,435.883,12368.948,694.661,8.774,37.135,26.933,17.063
2014-02-01,76160.318,1380.306,1537.697,199.144,361.272,4923.507,579.819,8.007,33.67,24.515,14.591
2014-03-01,72124.131,1480.482,1730.723,264.342,420.562,5578.359,591.101,8.303,36.751,26.752,16.36
2014-04-01,58064.651,672.372,800.708,83.369,302.65,3069.7,579.336,8.406,31.558,26.231,15.555
2014-05-01,64032.958,840.227,697.722,109.285,393.35,3613.982,680.193,8.992,32.416,26.958,16.584
2014-06-01,74328.206,689.926,762.415,50.057,417.633,3590.565,754.126,8.854,37.105,26.648,16.638
2014-07-01,81495.231,672.967,920.782,102.031,384.958,3620.569,880.805,9.697,39.028,28.212,17.353
2014-08-01,81074.27,699.89,953.705,97.13,382.071,3661.083,935.17,10.338,38.477,27.198,17.974
2014-09-01,69127.391,718.498,805.434,120.576,371.837,3503.695,805.96,9.988,35.553,25.558,16.944
2014-10-01,61128.925,674.584,752.59,122.892,230.28,2701.468,736.039,9.435,35.086,24.822,16.285
2014-11-01,64651.377,840.856,733.934,105.926,288.117,3121.303,633.279,9.617,36.209,24.309,16.899
2014-12-01,67799.351,836.982,730.2,153.5,423.831,3839.838,673.898,9.6,38.296,25.413,17.664
