Month,Natural Gas Consumed by the Residential Sector,Natural Gas Consumed by the Commercial Sector,"Natural Gas Consumed by the Industrial Sector, Lease and Plant Fuel","Natural Gas Consumed by the Other Industrial Sector, CHP","Natural Gas Consumed by the Other Industrial Sector, Non-CHP","Natural Gas Consumed by the Other Industrial Sector, Total","Natural Gas Consumed by the Industrial Sector, Total","Natural Gas Consumed by the Transportation Sector, Pipelines and Distribution","Natural Gas Consumed by the Transportation Sector, Vehicle Fuel","Natural Gas Consumed by the Transportation Sector, Total",Natural Gas Consumed by the Electric Power Sector,"Natural Gas Consumption, Total"
2009-03-01,600.328,358.253,110.456,78.597,457.074,535.671,646.126,63.814,2.315,66.129,499.678,2170.514
2009-04-01,390.344,249.12,105.047,73.726,418.686,492.412,597.459,50.684,2.241,52.925,451.395,1741.243
2009-05-01,201.447,166.233,108.587,76.68,390.998,467.679,576.266,43.256,2.315,45.571,515.476,1504.992
2009-06-01,141.121,133.503,105.563,82.147,376.963,459.11,564.673,44.075,2.241,46.316,642.797,1528.41
2009-07-01,118.624,128.095,107.672,89.231,387.039,476.27,583.942,48.056,2.315,50.372,778.017,1659.05
2009-08-01,111.479,128.831,108.525,92.118,403.293,495.412,603.937,50.455,2.315,52.77,840.317,1737.335
2009-09-01,119.681,131.405,102.145,88.304,395.492,483.796,585.942,45.621,2.241,47.862,690.011,1574.901
2009-10-01,251.028,198.631,106.913,84.961,436.919,521.88,628.793,48.298,2.315,50.613,537.013,1666.078
2009-11-01,376.488,251.343,103.532,80.668,452.028,532.696,636.228,51.782,2.241,54.022,457.085,1775.166
2009-12-01,764.286,428.665,106.179,91.121,504.642,595.763,701.942,73.871,2.315,76.187,519.846,2490.925
2010-01-01,932.605,499.107,105.622,90.013,554.246,644.259,749.88,79.95,2.434,82.384,545.811,2809.788
2010-02-01,794.779,440.859,97.743,79.58,515.715,595.295,693.038,70.46,2.199,72.659,479.615,2480.95
2010-03-01,579.243,337.183,108.557,83.501,514.997,598.498,707.054,60.147,2.434,62.581,456.864,2142.925
2010-04-01,313.171,215.375,104.763,78.722,459.022,537.745,642.508,46.922,2.356,49.278,471.481,1691.813
2010-05-01,197.513,161.154,107.55,81.557,462.766,544.323,651.872,44.635,2.434,47.07,559.665,1617.274
2010-06-01,134.038,129.712,102.824,84.362,444.829,529.191,632.015,45.728,2.356,48.084,705.665,1649.515
2010-07-01,111.307,120.183,106.759,91.405,445.733,537.138,643.897,50.825,2.434,53.259,897.182,1825.828
2010-08-01,107.074,126.673,108.019,94.799,444.568,539.366,647.385,52.357,2.434,54.792,943.002,1878.926
2010-09-01,117.299,132.944,107.186,86.98,448.759,535.739,642.926,45.244,2.356,47.6,696.723,1637.491
2010-10-01,201.58,185.337,112.815,83.937,462.582,546.52,659.334,45.889,2.434,48.324,570.363,1664.938
2010-11-01,446.801,286.696,109.026,81.924,494.834,576.758,685.784,55.118,2.356,57.474,496.539,1973.294
2010-12-01,847.001,467.371,114.763,92.21,549.151,641.361,756.125,76.849,2.434,79.283,564.274,2714.054
2011-01-01,969.775,527.999,106.975,89.577,569.35,658.927,765.902,82.626,2.546,85.171,539.792,2888.64
2011-02-01,767.994,431.732,96.973,80.5,519.254,599.754,696.727,69.965,2.299,72.264,483.686,2452.403
2011-03-01,594.929,360.938,111.445,81.62,534.147,615.767,727.212,62.944,2.546,65.489,481.926,2230.493
2011-04-01,340.552,232.006,108.766,82.99,485.813,568.804,677.57,50.979,2.464,53.443,521.453,1825.023
2011-05-01,205.399,166.25,111.897,86.945,476.156,563.102,674.999,46.204,2.546,48.75,571.998,1667.396
2011-06-01,132.672,133.856,107.452,87.696,447.744,535.44,642.892,46.037,2.464,48.501,699.414,1657.334
2011-07-01,114.187,130.147,109.606,97.207,445.349,542.556,652.161,52.9,2.546,55.445,938.575,1890.515
2011-08-01,112.28,137.962,110.98,99.454,454.215,553.67,664.649,52.896,2.546,55.442,921.449,1891.783
2011-09-01,122.751,141.634,109.465,90.591,458.605,549.196,658.66,45.927,2.464,48.391,684.198,1655.634
2011-10-01,225.506,206.142,116.32,84.509,486.137,570.646,686.966,48.362,2.546,50.907,574.932,1744.454
2011-11-01,434.502,286.449,114.768,86.029,508.17,594.199,708.967,56.945,2.464,59.409,542.546,2031.872
2011-12-01,693.232,400.205,117.941,95.539,546.522,642.06,760.002,72.0,2.546,74.546,613.894,2541.878
2012-01-01,794.368,445.861,118.883,94.331,571.544,665.876,784.759,79.832,2.538,82.37,648.823,2756.18
2012-02-01,662.056,387.045,109.038,88.883,534.332,623.215,732.254,72.395,2.375,74.769,644.53,2500.654
2012-03-01,403.15,261.564,117.005,90.887,517.651,608.538,725.543,60.866,2.538,63.404,674.099,2127.761
2012-04-01,279.211,208.94,112.909,90.281,489.234,579.515,692.424,55.702,2.457,58.159,714.338,1953.071
2012-05-01,163.083,149.137,117.153,94.988,481.294,576.282,693.434,53.175,2.538,55.714,812.467,1873.835
2012-06-01,123.336,131.071,112.654,97.774,468.039,565.812,678.466,53.145,2.457,55.602,879.881,1868.356
2012-07-01,107.517,124.496,119.418,107.19,467.889,575.079,694.497,59.038,2.538,61.576,1081.688,2069.773
2012-08-01,105.604,133.475,118.83,104.789,482.43,587.219,706.049,57.21,2.538,59.749,1003.938,2008.815
2012-09-01,118.611,141.657,115.658,95.572,479.462,575.034,690.692,51.204,2.457,53.66,802.588,1807.208
2012-10-01,240.105,212.768,119.771,93.512,509.274,602.786,722.557,53.921,2.538,56.459,669.195,1901.084
2012-11-01,482.134,308.076,116.074,92.894,524.353,617.247,733.321,62.107,2.457,64.564,579.745,2167.841
2012-12-01,670.344,390.835,118.88,97.92,551.692,649.613,768.492,72.195,2.538,74.734,599.502,2503.907
2013-01-01,872.291,478.984,123.951,100.079,576.224,676.303,800.254,93.018,2.552,95.57,631.685,2878.785
2013-02-01,750.082,429.014,112.282,89.413,532.78,622.193,734.475,82.89,2.305,85.195,568.388,2567.155
2013-03-01,662.262,393.457,123.977,97.174,556.836,654.009,777.987,80.94,2.552,83.492,603.91,2521.108
2013-04-01,366.42,249.295,121.527,92.419,508.172,600.591,722.118,62.329,2.469,64.798,564.827,1967.458
2013-05-01,193.222,168.85,125.149,93.41,499.532,592.942,718.091,54.947,2.552,57.499,614.808,1752.469
2013-06-01,127.659,136.047,120.934,95.701,468.19,563.89,684.824,54.767,2.469,57.236,737.15,1742.917
2013-07-01,111.509,135.057,127.432,104.529,473.387,577.915,705.347,60.741,2.552,63.292,911.124,1926.33
2013-08-01,107.731,137.019,127.158,103.614,487.99,591.603,718.761,60.785,2.552,63.337,900.53,1927.379
2013-09-01,117.803,141.926,122.736,95.657,479.38,575.038,697.774,55.518,2.469,57.988,751.482,1766.973
2013-10-01,222.668,206.671,127.212,95.691,516.194,611.884,739.096,58.737,2.552,61.288,637.038,1866.762
2013-11-01,517.529,345.132,124.369,97.537,554.821,652.358,776.727,74.032,2.469,76.502,601.019,2316.909
2013-12-01,848.195,473.848,126.358,105.081,601.644,706.724,833.082,94.357,2.552,96.908,668.792,2920.826
2014-01-01,1037.197,571.744,120.915,105.526,616.801,722.327,843.242,86.069,2.997,89.065,662.881,3204.129
2014-02-01,852.927,490.105,111.8,88.88,570.31,659.19,770.99,73.402,2.707,76.108,551.109,2741.24
2014-03-01,699.921,420.934,124.673,94.446,586.188,680.634,805.307,67.924,2.997,70.921,560.808,2557.89
2014-04-01,356.142,251.038,123.603,89.409,538.376,627.785,751.388,51.31,2.9,54.21,548.899,1961.678
2014-05-01,203.456,176.753,127.034,92.091,513.975,606.067,733.1,46.987,2.997,49.983,646.929,1810.222
2014-06-01,125.596,141.451,123.57,91.286,494.525,585.811,709.381,45.272,2.9,48.172,720.75,1745.351
2014-07-01,112.785,137.609,130.405,99.157,505.894,605.051,735.455,48.869,2.997,51.865,843.303,1881.017
2014-08-01,105.187,137.122,131.115,100.785,507.748,608.533,739.648,50.302,2.997,53.298,897.806,1933.061
2014-09-01,121.736,148.913,126.84,94.659,496.33,590.989,717.83,46.966,2.9,49.866,770.947,1809.291
2014-10-01,212.079,202.359,132.368,94.657,515.26,609.917,742.285,49.702,2.997,52.698,703.39,1912.81
2014-11-01,543.538,361.53,127.279,94.202,565.422,659.624,786.902,62.258,2.9,65.158,600.392,2357.521
2014-12-01,716.907,426.751,132.541,99.861,590.25,690.112,822.652,71.09,2.997,74.086,638.769,2679.165
2015-01-01,937.954,532.631,132.608,103.482,614.838,718.319,850.928,78.8,3.345,82.145,711.324,3114.982
2015-02-01,902.364,517.341,120.37,92.252,567.371,659.623,779.994,74.108,3.022,77.13,648.343,2925.172
2015-03-01,633.081,385.772,133.856,98.908,562.704,661.612,795.468,64.931,3.345,68.277,708.731,2591.329
2015-04-01,319.285,232.201,131.408,92.881,515.052,607.933,739.34,49.581,3.238,52.819,664.276,2007.922
2015-05-01,177.57,160.511,133.834,95.159,507.684,602.843,736.677,45.56,3.345,48.905,734.486,1858.149
2015-06-01,124.066,135.446,129.215,101.032,473.65,574.682,703.897,46.785,3.238,50.023,886.475,1899.906
2015-07-01,108.16,133.728,133.945,109.444,482.456,591.9,725.845,51.094,3.345,54.439,1045.542,2067.714
2015-08-01,102.855,135.279,134.098,110.428,489.439,599.867,733.964,50.694,3.345,54.039,1026.59,2052.728
2015-09-01,108.491,138.126,130.591,102.484,476.578,579.061,709.652,46.786,3.238,50.024,895.044,1901.337
2015-10-01,201.54,194.961,133.961,102.351,510.642,612.994,746.955,48.969,3.345,52.314,791.541,1987.31
2015-11-01,406.61,283.231,129.096,103.292,535.245,638.537,767.633,56.016,3.238,59.253,732.413,2249.14
2015-12-01,590.911,352.506,133.407,110.212,564.32,674.532,807.939,64.859,3.345,68.205,768.606,2588.168
2016-01-01,878.936,503.093,132.516,103.442,617.729,721.171,853.687,78.465,3.56,82.025,773.954,3091.695
2016-02-01,690.077,413.548,125.722,94.99,567.8,662.79,788.512,66.993,3.33,70.324,689.8,2652.26
2016-03-01,455.001,298.447,132.875,98.949,563.745,662.694,795.569,58.956,3.56,62.516,744.765,2356.298
2016-04-01,328.059,233.059,128.499,94.958,525.087,620.045,748.544,51.848,3.445,55.293,718.893,2083.848
2016-05-01,193.922,171.297,131.27,97.669,515.006,612.675,743.944,48.644,3.56,52.204,804.431,1965.799
2016-06-01,122.64,138.34,125.818,101.016,489.376,590.392,716.21,49.713,3.445,53.158,970.308,2000.656
2016-07-01,106.42,134.609,131.076,107.158,509.322,616.48,747.556,54.504,3.56,58.064,1139.968,2186.616
2016-08-01,100.455,140.436,130.037,108.365,519.177,627.541,757.578,55.109,3.56,58.669,1151.236,2208.375
2016-09-01,109.782,142.031,125.008,101.012,502.856,603.868,728.876,48.332,3.445,51.777,915.286,1947.752
2016-10-01,187.385,191.437,128.669,99.374,523.346,622.72,751.389,47.637,3.56,51.196,743.796,1925.203
2016-11-01,379.746,280.6,125.558,98.563,555.557,654.119,779.677,53.93,3.445,57.375,662.046,2159.445
2016-12-01,794.164,462.687,128.282,103.965,630.229,734.194,862.475,72.6,3.56,76.16,670.787,2866.273
2017-01-01,830.917,479.371,126.657,107.463,626.748,734.212,860.868,78.732,4.094,82.826,660.294,2914.277
2017-02-01,579.458,359.436,116.0,96.936,552.875,649.811,765.811,62.832,3.698,66.53,569.282,2340.517
2017-03-01,579.941,371.668,131.333,103.16,593.159,696.319,827.652,67.571,4.094,71.665,672.728,2523.654
2017-04-01,278.972,211.971,127.252,98.942,532.682,631.624,758.876,50.986,3.962,54.948,627.3,1932.067
2017-05-01,199.486,178.502,131.492,101.187,527.22,628.407,759.899,49.736,4.094,53.83,699.858,1891.574
2017-06-01,124.057,138.039,128.484,103.994,510.3,614.294,742.778,50.342,3.962,54.304,850.505,1909.683
2017-07-01,107.443,133.651,134.136,111.31,512.186,623.497,757.633,56.712,4.094,60.806,1081.601,2141.134
2017-08-01,103.835,137.228,134.06,108.326,528.61,636.935,770.996,55.364,4.094,59.458,1021.967,2093.483
2017-09-01,114.508,144.828,132.005,102.535,512.61,615.144,747.149,50.526,3.962,54.488,858.544,1919.516
2017-10-01,205.087,200.683,138.829,104.032,552.526,656.558,795.386,53.469,4.094,57.564,772.23,2030.95
2017-11-01,467.729,322.432,138.532,103.966,591.56,695.526,834.058,62.677,3.962,66.639,666.302,2357.16
2017-12-01,821.89,486.806,144.157,114.807,645.883,760.689,904.846,83.101,4.094,87.195,784.955,3085.692
2018-01-01,981.276,553.97,134.39,115.475,666.731,782.206,916.595,98.811,4.282,103.093,786.506,3341.44
2018-02-01,689.887,424.203,123.921,100.604,598.502,699.106,823.027,79.713,3.867,83.581,690.544,2711.241
2018-03-01,659.389,417.944,138.799,105.124,632.739,737.863,876.662,81.905,4.282,86.186,757.638,2797.818
2018-04-01,440.848,301.841,134.093,101.86,595.478,697.338,831.431,68.299,4.144,72.442,704.947,2351.509
2018-05-01,169.019,163.748,140.156,104.776,565.945,670.722,810.878,59.007,4.282,63.289,849.171,2056.106
2018-06-01,119.244,142.401,136.321,107.159,541.946,649.104,785.426,59.376,4.144,63.519,953.669,2064.26
2018-07-01,105.918,137.574,143.671,115.816,551.932,667.748,811.419,68.011,4.282,72.293,1225.01,2352.215
2018-08-01,99.781,142.976,146.569,115.872,552.042,667.914,814.482,66.785,4.282,71.067,1187.029,2315.335
2018-09-01,112.317,146.602,144.167,109.877,547.158,657.035,801.203,61.997,4.144,66.141,1030.951,2157.215
2018-10-01,255.318,237.37,150.862,109.738,574.679,684.417,835.279,65.791,4.282,70.072,887.974,2286.013
2018-11-01,598.977,386.256,148.545,112.863,623.091,735.954,884.499,79.115,4.144,83.259,763.238,2716.229
2018-12-01,765.58,459.067,152.744,115.109,652.783,767.892,920.636,87.724,4.282,92.006,762.634,2999.923
2019-01-01,953.787,554.325,148.79,121.099,679.486,800.585,949.375,113.78,4.515,118.295,849.262,3425.044
2019-02-01,809.132,472.246,135.307,108.015,610.858,718.873,854.179,100.173,4.078,104.252,780.266,3020.076
2019-03-01,688.517,424.232,150.489,112.587,637.471,750.058,900.547,96.474,4.515,100.99,814.239,2928.525
2019-04-01,328.581,246.547,146.34,104.595,570.506,675.101,821.44,71.767,4.37,76.137,740.792,2213.498
2019-05-01,212.408,184.887,152.372,111.362,563.52,674.882,827.253,68.834,4.515,73.35,837.239,2135.137
2019-06-01,129.214,144.653,147.863,111.046,523.149,634.196,782.059,68.482,4.37,72.852,991.491,2120.269
2019-07-01,111.761,141.95,153.635,118.416,531.14,649.556,803.191,77.819,4.515,82.334,1255.943,2395.18
2019-08-01,101.894,140.788,157.37,119.694,552.679,672.373,829.744,79.079,4.515,83.595,1279.149,2435.169
2019-09-01,109.841,143.158,152.877,114.389,529.516,643.905,796.782,71.327,4.37,75.697,1081.643,2207.12
2019-10-01,231.696,216.141,159.359,114.328,569.252,683.58,842.939,74.586,4.515,79.101,937.591,2307.468
2019-11-01,589.075,388.823,156.747,116.896,617.723,734.619,891.366,91.253,4.37,95.623,819.342,2784.228
2019-12-01,752.613,456.817,161.79,121.793,657.141,778.934,940.724,104.519,4.515,109.035,912.395,3171.583
2020-01-01,824.885,489.586,165.125,145,639.771,784.771,949.896,112.363,4.162,116.525,948.931,3329.822
2020-02-01,737.15,446.611,151.708,132.001,596.841,728.841,880.549,103.42,3.894,107.314,893.044,3064.668
2020-03-01,526.842,338.347,161.805,132.978,581.983,714.961,876.766,91.082,4.162,95.244,890.784,2727.983
2020-04-01,378.068,237.525,155.932,123.04,514.658,637.697,793.629,74.874,4.028,78.902,777.804,2265.928
2020-05-01,236.591,162.251,149.177,108.893,512.278,621.171,770.348,68.46,4.162,72.622,837.108,2078.92
2020-06-01,136.127,131.447,148.373,112.787,492.066,604.852,753.226,70.538,4.028,74.566,1041.101,2136.466
2020-07-01,118.141,128.743,153.428,121.727,516.419,638.146,791.573,82.224,4.162,86.387,1345.797,2470.641
2020-08-01,108.827,130.829,153.469,120.311,533.025,653.337,806.806,79.947,4.162,84.109,1276.048,2406.619
2020-09-01,126.533,143.304,149.899,109.112,539.146,648.258,798.157,71.286,4.028,75.314,1015.907,2159.214
2020-10-01,241.796,208.252,152.317,114.681,576.309,690.99,843.307,77.009,4.162,81.171,948.293,2322.819
2020-11-01,439.857,292.891,151.988,111.741,594.799,706.54,858.528,81.503,4.028,85.531,772.059,2448.866
2020-12-01,799.64,452.878,158.026,126.064,657.348,783.412,941.438,107.654,4.162,111.816,884.847,3190.619
2021-01-01,895.265,496.457,153.936,125.428,670.474,795.902,949.838,125.006,4.629,129.634,864.025,3335.219
2021-02-01,875.84,496.162,128.738,102.023,587.642,689.665,818.403,116.585,4.181,120.766,784.546,3095.717
2021-03-01,574.164,357.214,155.447,109.025,600.012,709.037,864.484,97.632,4.629,102.261,741.98,2640.102
2021-04-01,342.107,247.274,151.61,107.018,574.549,681.568,833.178,83.304,4.479,87.783,761.281,2271.622
2021-05-01,217.935,182.159,156.538,109.851,554.479,664.329,820.868,77.012,4.629,81.641,813.818,2116.42
2021-06-01,129.557,143.361,150.946,116.24,528.195,644.434,795.38,82.167,4.479,86.647,1087.086,2242.031
2021-07-01,112.879,142.831,157.451,124.583,547.963,672.547,829.998,88.81,4.629,93.439,1238.444,2417.59
2021-08-01,106.442,140.971,157.918,122.013,552.438,674.451,832.369,89.526,4.629,94.154,1262.329,2436.266
2021-09-01,118.518,149.555,153.861,110.674,534.419,645.093,798.954,77.973,4.479,82.453,988.732,2138.211
2021-10-01,192.643,195.435,161.515,113.522,570.095,683.616,845.131,82.432,4.629,87.06,939.059,2259.328
2021-11-01,482.064,336.613,158.068,116.495,619.624,736.119,894.188,99.293,4.479,103.772,868.341,2684.978
2021-12-01,669.246,401.044,164.714,122.32,655.59,777.91,942.624,111.733,4.629,116.362,878.946,3008.222
2022-01-01,958.125,550.961,154.207,124.023,701.297,825.321,979.528,141.633,5.503,147.136,949.215,3584.964
2022-02-01,791.02,463.991,138.917,108.16,620.268,728.428,867.345,120.264,4.97,125.234,803.999,3051.589
2022-03-01,588.31,385.47,156.456,115.382,644.757,760.14,916.596,108.067,5.503,113.569,776.847,2780.792
2022-04-01,384.443,275.876,152.489,108.148,596.931,705.079,857.568,90.925,5.325,96.25,743.075,2357.211
2022-05-01,201.305,183.226,158.82,110.939,572.257,683.196,842.015,85.763,5.503,91.265,922.687,2240.499
2022-06-01,123.909,146.419,154.067,111.984,542.121,654.105,808.172,89.064,5.325,94.389,1144.526,2317.415
2022-07-01,110.165,144.45,160.871,120.685,543.723,664.408,825.279,99.74,5.503,105.243,1404.97,2590.107
2022-08-01,102.887,141.541,161.696,121.816,554.177,675.994,837.69,98.739,5.503,104.241,1380.145,2566.504
2022-09-01,114.055,149.96,158.742,110.987,541.493,652.48,811.222,87.684,5.325,93.01,1125.139,2293.386
2022-10-01,241.885,223.328,163.858,111.539,579.373,690.912,854.769,90.592,5.503,96.095,946.433,2362.511
2022-11-01,513.331,353.053,158.559,114.656,614.113,728.768,887.327,107.419,5.325,112.745,902.107,2768.563
2022-12-01,834.818,492.343,160.647,117.129,643.117,760.246,920.892,132.412,5.503,137.915,992.402,3378.37
2023-01-01,806.374,479.871,163.257,119.555,651.399,770.954,934.211,126.41,5.274,131.684,962.576,3314.716
2023-02-01,689.881,427.89,147.735,107.428,601.352,708.78,856.515,112.824,4.764,117.588,865.583,2957.456
2023-03-01,638.422,411.903,165.455,117.154,641.485,758.64,924.094,115.318,5.274,120.592,935.785,3030.795
2023-04-01,340.687,255.514,160.078,105.572,601.542,707.114,867.192,92.64,5.104,97.744,861.916,2423.053
2023-05-01,198.481,184.602,166.644,112.535,569.564,682.099,848.743,88.574,5.274,93.848,988.739,2314.413
2023-06-01,129.788,150.477,160.718,116.712,539.392,656.104,816.822,90.434,5.104,95.538,1176.71,2369.336
2023-07-01,112.281,144.172,166.401,121.521,548.488,670.009,836.409,102.006,5.274,107.28,1473.097,2673.239
2023-08-01,105.096,146.501,168.254,121.512,567.552,689.065,857.319,102.292,5.274,107.566,1469.908,2686.39
2023-09-01,114.371,147.885,163.125,117.219,549.209,666.428,829.553,90.815,5.104,95.919,1197.59,2385.317
2023-10-01,228.798,225.724,168.395,113.803,593.762,707.565,875.96,93.29,5.274,98.565,1014.738,2443.785
2023-11-01,497.467,349.755,165.161,117.295,625.702,742.998,908.158,107.99,5.104,113.094,961.922,2830.397
2023-12-01,661.682,417.132,171.041,125.586,666.83,792.416,963.457,121.261,5.274,126.535,1031.643,3200.449
2024-01-01,918.745,535.391,166.07,131.349,670.075,801.424,967.494,139.019,4.514,143.533,1137.34,3702.503
2024-02-01,646.108,415.573,159.83,113.938,602.579,716.517,876.347,111.554,4.223,115.777,917.221,2971.026
2024-03-01,509.254,346.149,166.436,115.103,630.382,745.485,911.921,105.102,4.514,109.616,922.233,2799.172
2024-04-01,317.937,247.402,160.024,112.732,580.63,693.362,853.386,89.924,4.368,94.293,881.938,2394.955
2024-05-01,171.858,176.062,165.247,113.026,569.884,682.91,848.158,87.63,4.514,92.144,1045.631,2333.854
2024-06-01,122.74,153.302,161.627,109.745,543.041,652.786,814.413,91.237,4.368,95.605,1243.853,2429.912
2024-07-01,107.035,146.175,168.803,116.756,563.575,680.331,849.135,103.043,4.514,107.557,1534.444,2744.345
2024-08-01,105.35,149.161,167.591,120.617,576.053,696.67,864.262,102.092,4.514,106.606,1493.632,2719.011
2024-09-01,113.532,157.511,160.919,112.821,556.53,669.351,830.27,91.04,4.368,95.408,1227.941,2424.661
