Month,Small-Scale Solar Energy Consumption for Heat: Total,Small-Scale Solar Energy Consumption for Electricity: Residential Sector,Small-Scale Solar Energy Consumption for Electricity: Commercial Sector,Small-Scale Solar Energy Consumption for Electricity: Industrial Sector,Small-Scale Solar Energy Consumption for Electricity: Total,Small-Scale Solar Energy Consumption: Total,Utility-Scale Solar Energy Consumption for Electricity: Commercial Sector,Utility-Scale Solar Energy Consumption for Electricity: Industrial Sector,Utility-Scale Solar Energy Consumption for Electricity:  Electric Power Sector ,Utility-Scale Solar Energy Consumption: Total,Solar Energy Consumption
1989-11-01,3.607,0.002,0.003,0.001,0.007,3.613,No Data Reported,No Data Reported,0.084,0.084,3.697
1989-12-01,3.424,0.002,0.003,0.001,0.006,3.43,No Data Reported,No Data Reported,0.035,0.035,3.465
1990-01-01,2.958,0.002,0.003,0.001,0.006,2.964,No Data Reported,No Data Reported,0.051,0.051,3.015
1990-02-01,3.189,0.002,0.003,0.001,0.006,3.195,No Data Reported,No Data Reported,0.061,0.061,3.256
1990-03-01,4.393,0.003,0.004,0.001,0.009,4.402,No Data Reported,No Data Reported,0.087,0.087,4.489
1990-04-01,4.842,0.004,0.005,0.001,0.01,4.852,No Data Reported,No Data Reported,0.095,0.095,4.946
1990-05-01,5.345,0.004,0.005,0.001,0.011,5.356,No Data Reported,No Data Reported,0.159,0.159,5.515
1990-06-01,5.394,0.004,0.005,0.001,0.011,5.404,No Data Reported,No Data Reported,0.129,0.129,5.534
1990-07-01,5.662,0.004,0.006,0.001,0.011,5.673,No Data Reported,No Data Reported,0.159,0.159,5.832
1990-08-01,5.603,0.004,0.006,0.001,0.011,5.614,No Data Reported,No Data Reported,0.167,0.167,5.781
1990-09-01,5.111,0.004,0.005,0.001,0.01,5.121,No Data Reported,No Data Reported,0.107,0.107,5.228
1990-10-01,4.658,0.003,0.005,0.001,0.009,4.667,No Data Reported,No Data Reported,0.115,0.115,4.782
1990-11-01,3.821,0.003,0.004,0.001,0.008,3.828,No Data Reported,No Data Reported,0.056,0.056,3.884
1990-12-01,3.627,0.003,0.004,0.001,0.007,3.634,No Data Reported,No Data Reported,0.066,0.066,3.7
1991-01-01,3.051,0.002,0.003,0.001,0.007,3.057,No Data Reported,No Data Reported,0.068,0.068,3.125
1991-02-01,3.288,0.003,0.004,0.001,0.007,3.295,No Data Reported,No Data Reported,0.073,0.073,3.369
1991-03-01,4.531,0.004,0.005,0.001,0.01,4.54,No Data Reported,No Data Reported,0.021,0.021,4.561
1991-04-01,4.994,0.004,0.005,0.001,0.011,5.004,No Data Reported,No Data Reported,0.022,0.022,5.026
1991-05-01,5.513,0.004,0.006,0.001,0.012,5.524,No Data Reported,No Data Reported,0.214,0.214,5.739
1991-06-01,5.562,0.004,0.006,0.001,0.012,5.574,No Data Reported,No Data Reported,0.229,0.229,5.803
1991-07-01,5.839,0.005,0.006,0.001,0.012,5.852,No Data Reported,No Data Reported,0.281,0.281,6.133
1991-08-01,5.779,0.005,0.006,0.001,0.012,5.791,No Data Reported,No Data Reported,0.244,0.244,6.035
1991-09-01,5.27,0.004,0.006,0.001,0.011,5.282,No Data Reported,No Data Reported,0.205,0.205,5.487
1991-10-01,4.804,0.004,0.005,0.001,0.01,4.814,No Data Reported,No Data Reported,0.122,0.122,4.935
1991-11-01,3.94,0.003,0.004,0.001,0.008,3.949,No Data Reported,No Data Reported,0.086,0.086,4.034
1991-12-01,3.74,0.003,0.004,0.001,0.008,3.748,No Data Reported,No Data Reported,0.044,0.044,3.792
1992-01-01,3.16,0.003,0.004,0.001,0.007,3.167,No Data Reported,No Data Reported,0.03,0.03,3.196
1992-02-01,3.406,0.003,0.004,0.001,0.008,3.414,No Data Reported,No Data Reported,0.038,0.038,3.451
1992-03-01,4.693,0.004,0.005,0.001,0.011,4.703,No Data Reported,No Data Reported,0.048,0.048,4.752
1992-04-01,5.172,0.004,0.006,0.001,0.012,5.184,No Data Reported,No Data Reported,0.1,0.1,5.284
1992-05-01,5.71,0.005,0.007,0.001,0.013,5.723,No Data Reported,No Data Reported,0.16,0.16,5.883
1992-06-01,5.761,0.005,0.007,0.001,0.013,5.774,No Data Reported,No Data Reported,0.157,0.157,5.931
1992-07-01,6.048,0.005,0.007,0.002,0.014,6.062,No Data Reported,No Data Reported,0.212,0.212,6.274
1992-08-01,5.985,0.005,0.007,0.002,0.014,5.999,No Data Reported,No Data Reported,0.206,0.206,6.205
1992-09-01,5.459,0.005,0.006,0.001,0.012,5.471,No Data Reported,No Data Reported,0.157,0.157,5.628
1992-10-01,4.975,0.004,0.006,0.001,0.011,4.986,No Data Reported,No Data Reported,0.128,0.128,5.115
1992-11-01,4.081,0.003,0.005,0.001,0.009,4.09,No Data Reported,No Data Reported,0.097,0.097,4.187
1992-12-01,3.874,0.003,0.004,0.001,0.009,3.883,No Data Reported,No Data Reported,0.031,0.031,3.914
1993-01-01,3.248,0.003,0.004,0.001,0.008,3.256,No Data Reported,No Data Reported,0.032,0.032,3.288
1993-02-01,3.501,0.003,0.004,0.001,0.008,3.51,No Data Reported,No Data Reported,0.061,0.061,3.57
1993-03-01,4.824,0.004,0.006,0.001,0.012,4.836,No Data Reported,No Data Reported,0.118,0.118,4.954
1993-04-01,5.317,0.005,0.007,0.001,0.013,5.33,No Data Reported,No Data Reported,0.185,0.185,5.515
1993-05-01,5.87,0.005,0.007,0.002,0.014,5.884,No Data Reported,No Data Reported,0.169,0.169,6.053
1993-06-01,5.923,0.005,0.007,0.002,0.014,5.937,No Data Reported,No Data Reported,0.121,0.121,6.058
1993-07-01,6.218,0.006,0.008,0.002,0.015,6.233,No Data Reported,No Data Reported,0.213,0.213,6.445
1993-08-01,6.153,0.006,0.008,0.002,0.015,6.168,No Data Reported,No Data Reported,0.233,0.233,6.401
1993-09-01,5.612,0.005,0.007,0.002,0.014,5.625,No Data Reported,No Data Reported,0.193,0.193,5.818
1993-10-01,5.115,0.005,0.006,0.001,0.012,5.127,No Data Reported,No Data Reported,0.116,0.116,5.243
1993-11-01,4.196,0.004,0.005,0.001,0.01,4.206,No Data Reported,No Data Reported,0.091,0.091,4.297
1993-12-01,3.982,0.004,0.005,0.001,0.01,3.992,No Data Reported,No Data Reported,0.047,0.047,4.039
1994-01-01,3.336,0.003,0.005,0.001,0.009,3.345,No Data Reported,No Data Reported,0.087,0.087,3.432
1994-02-01,3.596,0.004,0.005,0.001,0.009,3.606,No Data Reported,No Data Reported,0.074,0.074,3.68
1994-03-01,4.955,0.005,0.007,0.001,0.013,4.968,No Data Reported,No Data Reported,0.169,0.169,5.137
1994-04-01,5.462,0.005,0.007,0.002,0.014,5.476,No Data Reported,No Data Reported,0.164,0.164,5.64
1994-05-01,6.029,0.006,0.008,0.002,0.016,6.045,No Data Reported,No Data Reported,0.171,0.171,6.216
1994-06-01,6.084,0.006,0.008,0.002,0.016,6.1,No Data Reported,No Data Reported,0.193,0.193,6.292
1994-07-01,6.386,0.006,0.009,0.002,0.017,6.403,No Data Reported,No Data Reported,0.181,0.181,6.584
1994-08-01,6.32,0.006,0.009,0.002,0.017,6.337,No Data Reported,No Data Reported,0.134,0.134,6.471
1994-09-01,5.764,0.006,0.008,0.002,0.015,5.78,No Data Reported,No Data Reported,0.169,0.169,5.949
1994-10-01,5.254,0.005,0.007,0.002,0.014,5.267,No Data Reported,No Data Reported,0.19,0.19,5.458
1994-11-01,4.309,0.004,0.006,0.001,0.011,4.321,No Data Reported,No Data Reported,0.094,0.094,4.415
1994-12-01,4.091,0.004,0.006,0.001,0.011,4.101,No Data Reported,No Data Reported,0.034,0.034,4.136
1995-01-01,3.387,0.004,0.005,0.001,0.01,3.397,No Data Reported,No Data Reported,0.018,0.018,3.415
1995-02-01,3.651,0.004,0.006,0.001,0.011,3.662,No Data Reported,No Data Reported,0.031,0.031,3.692
1995-03-01,5.03,0.006,0.008,0.002,0.015,5.045,No Data Reported,No Data Reported,0.06,0.06,5.105
1995-04-01,5.544,0.006,0.008,0.002,0.016,5.56,No Data Reported,No Data Reported,0.175,0.175,5.735
1995-05-01,6.12,0.007,0.009,0.002,0.018,6.138,No Data Reported,No Data Reported,0.232,0.232,6.37
1995-06-01,6.175,0.007,0.009,0.002,0.018,6.194,No Data Reported,No Data Reported,0.278,0.278,6.471
1995-07-01,6.483,0.007,0.01,0.002,0.019,6.502,No Data Reported,No Data Reported,0.248,0.248,6.75
1995-08-01,6.415,0.007,0.01,0.002,0.019,6.434,No Data Reported,No Data Reported,0.24,0.24,6.674
1995-09-01,5.851,0.006,0.009,0.002,0.017,5.869,No Data Reported,No Data Reported,0.178,0.178,6.047
1995-10-01,5.333,0.006,0.008,0.002,0.016,5.349,No Data Reported,No Data Reported,0.123,0.123,5.471
1995-11-01,4.374,0.005,0.007,0.001,0.013,4.387,No Data Reported,No Data Reported,0.086,0.086,4.473
1995-12-01,4.152,0.005,0.006,0.001,0.012,4.165,No Data Reported,No Data Reported,0.028,0.028,4.192
1996-01-01,3.416,0.004,0.006,0.001,0.012,3.428,No Data Reported,No Data Reported,0.044,0.044,3.472
1996-02-01,3.683,0.005,0.006,0.001,0.012,3.695,No Data Reported,No Data Reported,0.065,0.065,3.76
1996-03-01,5.074,0.006,0.009,0.002,0.017,5.091,No Data Reported,No Data Reported,0.202,0.202,5.293
1996-04-01,5.592,0.007,0.01,0.002,0.019,5.611,No Data Reported,No Data Reported,0.254,0.254,5.865
1996-05-01,6.174,0.008,0.011,0.002,0.021,6.194,No Data Reported,No Data Reported,0.292,0.292,6.487
1996-06-01,6.229,0.008,0.011,0.002,0.021,6.25,No Data Reported,No Data Reported,0.311,0.311,6.562
1996-07-01,6.539,0.008,0.011,0.003,0.022,6.561,No Data Reported,No Data Reported,0.243,0.243,6.804
1996-08-01,6.471,0.008,0.011,0.002,0.022,6.493,No Data Reported,No Data Reported,0.109,0.109,6.602
1996-09-01,5.902,0.007,0.01,0.002,0.02,5.922,No Data Reported,No Data Reported,0.034,0.034,5.956
1996-10-01,5.379,0.007,0.009,0.002,0.018,5.397,No Data Reported,No Data Reported,0.097,0.097,5.494
1996-11-01,4.413,0.006,0.008,0.002,0.015,4.427,No Data Reported,No Data Reported,0.068,0.068,4.495
1996-12-01,4.189,0.005,0.007,0.002,0.014,4.203,No Data Reported,No Data Reported,0.059,0.059,4.262
1997-01-01,3.369,0.005,0.007,0.001,0.013,3.382,No Data Reported,No Data Reported,0.04,0.04,3.422
1997-02-01,3.632,0.005,0.007,0.002,0.014,3.646,No Data Reported,No Data Reported,0.117,0.117,3.762
1997-03-01,5.004,0.007,0.01,0.002,0.019,5.023,No Data Reported,No Data Reported,0.153,0.153,5.176
1997-04-01,5.515,0.008,0.011,0.002,0.021,5.536,No Data Reported,No Data Reported,0.211,0.211,5.748
1997-05-01,6.088,0.009,0.012,0.003,0.023,6.112,No Data Reported,No Data Reported,0.18,0.18,6.292
1997-06-01,6.143,0.009,0.012,0.003,0.024,6.167,No Data Reported,No Data Reported,0.267,0.267,6.433
1997-07-01,6.449,0.009,0.013,0.003,0.025,6.474,No Data Reported,No Data Reported,0.247,0.247,6.721
1997-08-01,6.382,0.009,0.013,0.003,0.024,6.406,No Data Reported,No Data Reported,0.205,0.205,6.612
1997-09-01,5.821,0.008,0.011,0.003,0.022,5.843,No Data Reported,No Data Reported,0.115,0.115,5.958
1997-10-01,5.305,0.008,0.01,0.002,0.02,5.325,No Data Reported,No Data Reported,0.111,0.111,5.437
1997-11-01,4.352,0.006,0.009,0.002,0.017,4.368,No Data Reported,No Data Reported,0.056,0.056,4.424
1997-12-01,4.131,0.006,0.008,0.002,0.016,4.146,No Data Reported,No Data Reported,0.041,0.041,4.187
1998-01-01,3.33,0.005,0.007,0.002,0.015,3.345,No Data Reported,No Data Reported,0.03,0.03,3.375
1998-02-01,3.59,0.006,0.008,0.002,0.016,3.605,No Data Reported,No Data Reported,0.023,0.023,3.629
1998-03-01,4.946,0.008,0.011,0.002,0.022,4.968,No Data Reported,No Data Reported,0.17,0.17,5.138
1998-04-01,5.451,0.009,0.012,0.003,0.024,5.475,No Data Reported,No Data Reported,0.189,0.189,5.664
1998-05-01,6.018,0.01,0.014,0.003,0.026,6.044,No Data Reported,No Data Reported,0.129,0.129,6.173
1998-06-01,6.072,0.01,0.014,0.003,0.027,6.099,No Data Reported,No Data Reported,0.228,0.228,6.327
1998-07-01,6.374,0.01,0.014,0.003,0.028,6.402,No Data Reported,No Data Reported,0.276,0.276,6.679
1998-08-01,6.308,0.01,0.014,0.003,0.028,6.336,No Data Reported,No Data Reported,0.249,0.249,6.584
1998-09-01,5.754,0.009,0.013,0.003,0.025,5.779,No Data Reported,No Data Reported,0.177,0.177,5.956
1998-10-01,5.244,0.009,0.012,0.003,0.023,5.267,No Data Reported,No Data Reported,0.128,0.128,5.395
1998-11-01,4.301,0.007,0.01,0.002,0.019,4.32,No Data Reported,No Data Reported,0.069,0.069,4.389
1998-12-01,4.083,0.007,0.009,0.002,0.018,4.101,No Data Reported,No Data Reported,0.046,0.046,4.147
1999-01-01,3.251,0.006,0.009,0.002,0.017,3.268,No Data Reported,No Data Reported,0.026,0.026,3.294
1999-02-01,3.504,0.007,0.009,0.002,0.018,3.523,No Data Reported,No Data Reported,0.048,0.048,3.57
1999-03-01,4.828,0.009,0.013,0.003,0.025,4.853,No Data Reported,No Data Reported,0.131,0.131,4.984
1999-04-01,5.321,0.01,0.014,0.003,0.028,5.349,No Data Reported,No Data Reported,0.187,0.187,5.536
1999-05-01,5.875,0.011,0.016,0.003,0.031,5.905,No Data Reported,No Data Reported,0.216,0.216,6.121
1999-06-01,5.927,0.012,0.016,0.004,0.031,5.958,No Data Reported,No Data Reported,0.225,0.225,6.184
1999-07-01,6.223,0.012,0.017,0.004,0.033,6.255,No Data Reported,No Data Reported,0.227,0.227,6.482
1999-08-01,6.158,0.012,0.017,0.004,0.032,6.19,No Data Reported,No Data Reported,0.186,0.186,6.377
1999-09-01,5.616,0.011,0.015,0.003,0.029,5.646,No Data Reported,No Data Reported,0.13,0.13,5.775
1999-10-01,5.119,0.01,0.014,0.003,0.027,5.146,No Data Reported,No Data Reported,0.166,0.166,5.311
1999-11-01,4.199,0.008,0.011,0.002,0.022,4.221,No Data Reported,No Data Reported,0.086,0.086,4.307
1999-12-01,3.986,0.008,0.011,0.002,0.021,4.006,No Data Reported,No Data Reported,0.061,0.061,4.068
2000-01-01,3.105,0.007,0.01,0.002,0.019,3.124,No Data Reported,No Data Reported,0.031,0.031,3.155
2000-02-01,3.347,0.008,0.011,0.002,0.021,3.367,No Data Reported,No Data Reported,0.072,0.072,3.44
2000-03-01,4.611,0.011,0.015,0.003,0.029,4.64,No Data Reported,No Data Reported,0.093,0.093,4.733
2000-04-01,5.082,0.012,0.016,0.004,0.032,5.114,No Data Reported,No Data Reported,0.126,0.126,5.239
2000-05-01,5.61,0.013,0.018,0.004,0.035,5.645,No Data Reported,No Data Reported,0.187,0.187,5.832
2000-06-01,5.661,0.013,0.018,0.004,0.035,5.696,No Data Reported,No Data Reported,0.199,0.199,5.895
2000-07-01,5.943,0.014,0.019,0.004,0.037,5.98,No Data Reported,No Data Reported,0.281,0.281,6.261
2000-08-01,5.881,0.014,0.019,0.004,0.037,5.918,No Data Reported,No Data Reported,0.226,0.226,6.144
2000-09-01,5.364,0.012,0.017,0.004,0.033,5.397,No Data Reported,No Data Reported,0.211,0.211,5.608
2000-10-01,4.889,0.011,0.016,0.003,0.03,4.919,No Data Reported,No Data Reported,0.137,0.137,5.056
2000-11-01,4.01,0.009,0.013,0.003,0.025,4.035,No Data Reported,No Data Reported,0.068,0.068,4.103
2000-12-01,3.806,0.009,0.012,0.003,0.024,3.83,No Data Reported,No Data Reported,0.052,0.052,3.882
2001-01-01,2.963,0.009,0.012,0.003,0.023,2.986,No Data Reported,No Data Reported,0.022,0.022,3.008
2001-02-01,3.193,0.009,0.013,0.003,0.025,3.219,No Data Reported,No Data Reported,0.043,0.043,3.261
2001-03-01,4.4,0.013,0.018,0.004,0.035,4.435,No Data Reported,No Data Reported,0.107,0.107,4.542
2001-04-01,4.849,0.014,0.02,0.004,0.038,4.888,No Data Reported,No Data Reported,0.132,0.132,5.02
2001-05-01,5.354,0.016,0.022,0.005,0.042,5.396,No Data Reported,No Data Reported,0.277,0.277,5.672
2001-06-01,5.402,0.016,0.022,0.005,0.043,5.444,No Data Reported,No Data Reported,0.311,0.311,5.755
2001-07-01,5.671,0.017,0.023,0.005,0.045,5.715,No Data Reported,No Data Reported,0.314,0.314,6.029
2001-08-01,5.612,0.016,0.023,0.005,0.044,5.656,No Data Reported,No Data Reported,0.291,0.291,5.947
2001-09-01,5.118,0.015,0.021,0.005,0.04,5.159,No Data Reported,No Data Reported,0.221,0.221,5.38
2001-10-01,4.665,0.014,0.019,0.004,0.037,4.702,No Data Reported,No Data Reported,0.071,0.071,4.773
2001-11-01,3.827,0.011,0.015,0.003,0.03,3.857,No Data Reported,No Data Reported,0.049,0.049,3.905
2001-12-01,3.632,0.011,0.015,0.003,0.029,3.661,No Data Reported,No Data Reported,0.014,0.014,3.675
2002-01-01,2.856,0.01,0.014,0.003,0.028,2.884,No Data Reported,No Data Reported,0.039,0.039,2.923
2002-02-01,3.079,0.011,0.015,0.003,0.03,3.109,No Data Reported,No Data Reported,0.08,0.08,3.189
2002-03-01,4.242,0.015,0.021,0.005,0.041,4.283,No Data Reported,No Data Reported,0.151,0.151,4.435
2002-04-01,4.676,0.017,0.023,0.005,0.045,4.721,No Data Reported,No Data Reported,0.156,0.156,4.877
2002-05-01,5.162,0.019,0.026,0.006,0.05,5.212,No Data Reported,No Data Reported,0.197,0.197,5.408
2002-06-01,5.208,0.019,0.026,0.006,0.05,5.259,No Data Reported,No Data Reported,0.326,0.326,5.585
2002-07-01,5.467,0.02,0.027,0.006,0.053,5.52,No Data Reported,No Data Reported,0.292,0.292,5.812
2002-08-01,5.411,0.02,0.027,0.006,0.052,5.463,No Data Reported,No Data Reported,0.256,0.256,5.719
2002-09-01,4.935,0.018,0.024,0.005,0.048,4.983,No Data Reported,No Data Reported,0.179,0.179,5.162
2002-10-01,4.498,0.016,0.022,0.005,0.044,4.541,No Data Reported,No Data Reported,0.106,0.106,4.647
2002-11-01,3.689,0.013,0.018,0.004,0.036,3.725,No Data Reported,No Data Reported,0.096,0.096,3.821
2002-12-01,3.502,0.013,0.017,0.004,0.034,3.536,No Data Reported,No Data Reported,0.015,0.015,3.551
2003-01-01,2.771,0.012,0.017,0.004,0.032,2.803,No Data Reported,No Data Reported,0.045,0.045,2.848
2003-02-01,2.987,0.013,0.018,0.004,0.035,3.022,No Data Reported,No Data Reported,0.061,0.061,3.083
2003-03-01,4.116,0.018,0.025,0.005,0.048,4.164,No Data Reported,No Data Reported,0.171,0.171,4.334
2003-04-01,4.536,0.02,0.027,0.006,0.053,4.589,No Data Reported,No Data Reported,0.206,0.206,4.795
2003-05-01,5.008,0.022,0.03,0.007,0.058,5.066,No Data Reported,No Data Reported,0.232,0.232,5.298
2003-06-01,5.053,0.022,0.03,0.007,0.059,5.112,No Data Reported,No Data Reported,0.309,0.309,5.421
2003-07-01,5.304,0.023,0.032,0.007,0.062,5.366,No Data Reported,No Data Reported,0.213,0.213,5.579
2003-08-01,5.249,0.023,0.031,0.007,0.061,5.31,No Data Reported,No Data Reported,0.212,0.212,5.522
2003-09-01,4.788,0.021,0.029,0.006,0.056,4.843,No Data Reported,No Data Reported,0.191,0.191,5.034
2003-10-01,4.364,0.019,0.026,0.006,0.051,4.414,No Data Reported,No Data Reported,0.121,0.121,4.535
2003-11-01,3.579,0.016,0.021,0.005,0.042,3.621,No Data Reported,No Data Reported,0.048,0.048,3.669
2003-12-01,3.398,0.015,0.02,0.004,0.04,3.437,No Data Reported,No Data Reported,0.015,0.015,3.452
2004-01-01,2.726,0.015,0.02,0.005,0.04,2.766,No Data Reported,No Data Reported,0.043,0.043,2.809
2004-02-01,2.939,0.016,0.022,0.005,0.043,2.982,No Data Reported,No Data Reported,0.037,0.037,3.019
2004-03-01,4.049,0.022,0.03,0.007,0.059,4.108,No Data Reported,No Data Reported,0.181,0.181,4.289
2004-04-01,4.462,0.024,0.034,0.007,0.065,4.528,No Data Reported,No Data Reported,0.194,0.194,4.722
2004-05-01,4.926,0.027,0.037,0.008,0.072,4.999,No Data Reported,No Data Reported,0.279,0.279,5.278
2004-06-01,4.971,0.027,0.037,0.008,0.073,5.044,No Data Reported,No Data Reported,0.3,0.3,5.343
2004-07-01,5.218,0.029,0.039,0.009,0.077,5.295,No Data Reported,No Data Reported,0.28,0.28,5.575
2004-08-01,5.164,0.028,0.039,0.009,0.076,5.24,No Data Reported,No Data Reported,0.249,0.249,5.488
2004-09-01,4.71,0.026,0.035,0.008,0.069,4.779,No Data Reported,No Data Reported,0.207,0.207,4.986
2004-10-01,4.293,0.024,0.032,0.007,0.063,4.355,No Data Reported,No Data Reported,0.114,0.114,4.47
2004-11-01,3.521,0.019,0.026,0.006,0.052,3.573,No Data Reported,No Data Reported,0.052,0.052,3.625
2004-12-01,3.342,0.018,0.025,0.006,0.049,3.391,No Data Reported,No Data Reported,0.026,0.026,3.418
2005-01-01,2.652,0.022,0.031,0.007,0.06,2.712,No Data Reported,No Data Reported,0.03,0.03,2.742
2005-02-01,2.859,0.024,0.033,0.007,0.065,2.923,No Data Reported,No Data Reported,0.045,0.045,2.968
2005-03-01,3.939,0.033,0.046,0.01,0.089,4.028,No Data Reported,No Data Reported,0.13,0.13,4.158
2005-04-01,4.341,0.037,0.05,0.011,0.098,4.439,No Data Reported,No Data Reported,0.199,0.199,4.638
2005-05-01,4.793,0.04,0.056,0.012,0.108,4.901,No Data Reported,No Data Reported,0.277,0.277,5.178
2005-06-01,4.836,0.041,0.056,0.012,0.109,4.945,No Data Reported,No Data Reported,0.302,0.302,5.247
2005-07-01,5.076,0.043,0.059,0.013,0.115,5.191,No Data Reported,No Data Reported,0.247,0.247,5.438
2005-08-01,5.024,0.042,0.058,0.013,0.114,5.137,No Data Reported,No Data Reported,0.259,0.259,5.396
2005-09-01,4.582,0.039,0.053,0.012,0.104,4.686,No Data Reported,No Data Reported,0.208,0.208,4.894
2005-10-01,4.176,0.035,0.048,0.011,0.094,4.27,No Data Reported,No Data Reported,0.129,0.129,4.399
2005-11-01,3.426,0.029,0.04,0.009,0.077,3.503,No Data Reported,No Data Reported,0.044,0.044,3.547
2005-12-01,3.252,0.027,0.038,0.008,0.074,3.325,No Data Reported,No Data Reported,0.01,0.01,3.335
2006-01-01,2.749,0.033,0.045,0.01,0.087,2.837,No Data Reported,No Data Reported,0.044,0.044,2.881
2006-02-01,2.964,0.035,0.048,0.011,0.094,3.058,No Data Reported,No Data Reported,0.067,0.067,3.124
2006-03-01,4.083,0.049,0.067,0.015,0.13,4.213,No Data Reported,No Data Reported,0.114,0.114,4.327
2006-04-01,4.5,0.053,0.073,0.016,0.143,4.643,No Data Reported,No Data Reported,0.178,0.178,4.821
2006-05-01,4.968,0.059,0.081,0.018,0.158,5.126,No Data Reported,No Data Reported,0.241,0.241,5.368
2006-06-01,5.013,0.06,0.082,0.018,0.159,5.172,No Data Reported,No Data Reported,0.238,0.238,5.41
2006-07-01,5.262,0.063,0.086,0.019,0.167,5.43,No Data Reported,No Data Reported,0.21,0.21,5.64
2006-08-01,5.208,0.062,0.085,0.019,0.166,5.373,No Data Reported,No Data Reported,0.283,0.283,5.657
2006-09-01,4.75,0.056,0.077,0.017,0.151,4.901,No Data Reported,No Data Reported,0.184,0.184,5.085
2006-10-01,4.329,0.051,0.071,0.016,0.138,4.467,No Data Reported,No Data Reported,0.11,0.11,4.577
2006-11-01,3.551,0.042,0.058,0.013,0.113,3.664,No Data Reported,No Data Reported,0.054,0.054,3.718
2006-12-01,3.371,0.04,0.055,0.012,0.107,3.478,No Data Reported,No Data Reported,0.009,0.009,3.487
2007-01-01,2.848,0.046,0.063,0.014,0.123,2.972,No Data Reported,No Data Reported,0.044,0.044,3.016
2007-02-01,3.07,0.05,0.068,0.015,0.133,3.204,No Data Reported,No Data Reported,0.066,0.066,3.269
2007-03-01,4.231,0.069,0.094,0.021,0.183,4.414,No Data Reported,No Data Reported,0.165,0.165,4.579
2007-04-01,4.663,0.075,0.104,0.023,0.202,4.865,No Data Reported,No Data Reported,0.186,0.186,5.051
2007-05-01,5.147,0.083,0.114,0.025,0.223,5.371,No Data Reported,No Data Reported,0.287,0.287,5.658
2007-06-01,5.194,0.084,0.115,0.026,0.225,5.419,No Data Reported,No Data Reported,0.288,0.288,5.707
2007-07-01,5.452,0.088,0.121,0.027,0.236,5.689,No Data Reported,No Data Reported,0.293,0.293,5.981
2007-08-01,5.396,0.087,0.12,0.027,0.234,5.63,No Data Reported,No Data Reported,0.256,0.256,5.886
2007-09-01,4.921,0.08,0.109,0.024,0.213,5.135,No Data Reported,No Data Reported,0.233,0.233,5.367
2007-10-01,4.485,0.073,0.1,0.022,0.194,4.68,No Data Reported,No Data Reported,0.168,0.168,4.848
2007-11-01,3.679,0.06,0.082,0.018,0.159,3.839,No Data Reported,No Data Reported,0.083,0.083,3.922
2007-12-01,3.492,0.057,0.078,0.017,0.151,3.644,No Data Reported,No Data Reported,0.018,0.018,3.662
2008-01-01,2.952,0.074,0.102,0.023,0.198,3.15,0,No Data Reported,0.056,0.056,3.206
2008-02-01,3.182,0.08,0.11,0.024,0.214,3.396,0,No Data Reported,0.122,0.122,3.518
2008-03-01,4.384,0.11,0.151,0.033,0.295,4.679,0,No Data Reported,0.255,0.255,4.933
2008-04-01,4.832,0.121,0.167,0.037,0.325,5.156,0,No Data Reported,0.321,0.321,5.478
2008-05-01,5.334,0.134,0.184,0.041,0.359,5.692,0,No Data Reported,0.337,0.337,6.029
2008-06-01,5.382,0.135,0.186,0.041,0.362,5.744,0,No Data Reported,0.437,0.437,6.181
2008-07-01,5.65,0.142,0.195,0.043,0.38,6.03,0,No Data Reported,0.378,0.378,6.408
2008-08-01,5.591,0.14,0.193,0.043,0.376,5.967,0,No Data Reported,0.359,0.359,6.326
2008-09-01,5.099,0.128,0.176,0.039,0.343,5.442,0,No Data Reported,0.316,0.316,5.758
2008-10-01,4.648,0.117,0.16,0.035,0.312,4.96,0,No Data Reported,0.206,0.206,5.166
2008-11-01,3.812,0.096,0.131,0.029,0.256,4.069,0,No Data Reported,0.098,0.098,4.167
2008-12-01,3.619,0.091,0.125,0.028,0.243,3.862,0,No Data Reported,0.064,0.064,3.926
2009-01-01,2.956,0.1,0.137,0.03,0.267,3.222,0,No Data Reported,0.025,0.025,3.247
2009-02-01,3.186,0.107,0.147,0.033,0.287,3.474,0,No Data Reported,0.104,0.104,3.578
2009-03-01,4.39,0.148,0.203,0.045,0.396,4.786,0,No Data Reported,0.266,0.267,5.053
2009-04-01,4.838,0.163,0.224,0.05,0.437,5.275,0,No Data Reported,0.339,0.339,5.614
2009-05-01,5.341,0.18,0.247,0.055,0.482,5.823,0,No Data Reported,0.377,0.377,6.2
2009-06-01,5.39,0.182,0.249,0.055,0.486,5.876,0,No Data Reported,0.353,0.353,6.229
2009-07-01,5.658,0.191,0.262,0.058,0.511,6.168,0,No Data Reported,0.413,0.413,6.582
2009-08-01,5.599,0.189,0.259,0.057,0.505,6.104,0,No Data Reported,0.397,0.397,6.501
2009-09-01,5.107,0.172,0.236,0.052,0.461,5.568,0,No Data Reported,0.324,0.324,5.892
2009-10-01,4.654,0.157,0.215,0.048,0.42,5.074,0,No Data Reported,0.232,0.232,5.307
2009-11-01,3.818,0.129,0.177,0.039,0.344,4.162,0,No Data Reported,0.138,0.138,4.3
2009-12-01,3.624,0.122,0.168,0.037,0.327,3.951,0,No Data Reported,0.072,0.072,4.023
