Month,Small-Scale Solar Energy Consumption for Heat: Total,Small-Scale Solar Energy Consumption for Electricity: Residential Sector,Small-Scale Solar Energy Consumption for Electricity: Commercial Sector,Small-Scale Solar Energy Consumption for Electricity: Industrial Sector,Small-Scale Solar Energy Consumption for Electricity: Total,Small-Scale Solar Energy Consumption: Total,Utility-Scale Solar Energy Consumption for Electricity: Commercial Sector,Utility-Scale Solar Energy Consumption for Electricity: Industrial Sector,Utility-Scale Solar Energy Consumption for Electricity:  Electric Power Sector ,Utility-Scale Solar Energy Consumption: Total,Solar Energy Consumption
1980-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1981-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1981-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1981-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
