Month,"Coal Industrial Sector, Net Summer Capacity","Petroleum Industrial Sector, Net Summer Capacity","Natural Gas Industrial Sector, Net Summer Capacity","Fossil Fuels Industrial Sector, Net Summer Capacity","Nuclear Industrial Sector, Net Summer Capacity","Hydroelectric Pumped Storage Industrial Sector, Net Summer Capacity","Conventional Hydroelectric Power Industrial Sector, Net Summer Capacity","Wood Industrial Sector, Net Summer Capacity","Waste Industrial Sector, Net Summer Capacity","Geothermal Industrial Sector, Net Summer Capacity ","Solar Industrial Sector, Net Summer Capacity","Wind Industrial Sector, Net Summer Capacity","Renewable Energy Industrial Sector, Net Summer Capacity ","Battery Storage Industrial Sector, Net Summer Capacity","Total Industrial Sector, Net Summer Capacity"
2019-09-01,1.8,0.51,14.883,19.33,No Data Reported,No Data Reported,0.214,5.647,0.147,No Data Reported,0.058,0.045,6.111,0.003,26.736
2019-10-01,1.8,0.51,14.878,19.325,No Data Reported,No Data Reported,0.214,5.581,0.147,No Data Reported,0.058,0.045,6.045,0.003,26.664
2019-11-01,1.8,0.51,14.862,19.309,No Data Reported,No Data Reported,0.214,5.581,0.147,No Data Reported,0.058,0.045,6.045,0.003,26.648
2019-12-01,1.725,0.51,14.803,19.176,No Data Reported,No Data Reported,0.214,5.585,0.147,No Data Reported,0.058,0.045,6.049,0.003,26.491
2020-01-01,1.526,0.512,15.269,19.221,No Data Reported,No Data Reported,0.214,5.585,0.138,No Data Reported,0.062,0.045,6.044,0.003,26.537
2020-02-01,1.526,0.512,15.306,19.257,No Data Reported,No Data Reported,0.214,5.585,0.138,No Data Reported,0.062,0.045,6.044,0.003,26.574
2020-03-01,1.526,0.512,15.282,19.234,No Data Reported,No Data Reported,0.214,5.585,0.138,No Data Reported,0.062,0.045,6.044,0.003,26.55
2020-04-01,1.526,0.512,15.28,19.231,No Data Reported,No Data Reported,0.214,5.585,0.138,No Data Reported,0.063,0.045,6.046,0.003,26.549
2020-05-01,1.526,0.512,15.269,19.221,No Data Reported,No Data Reported,0.214,5.585,0.138,No Data Reported,0.071,0.045,6.054,0.003,26.546
2020-06-01,1.526,0.512,15.262,19.214,No Data Reported,No Data Reported,0.214,5.585,0.138,No Data Reported,0.071,0.271,6.28,0.003,26.765
2020-07-01,1.526,0.512,15.276,19.228,No Data Reported,No Data Reported,0.214,5.585,0.138,No Data Reported,0.071,0.271,6.28,0.003,26.779
2020-08-01,1.526,0.512,15.306,19.258,No Data Reported,No Data Reported,0.214,5.585,0.138,No Data Reported,0.071,0.28,6.289,0.003,26.819
2020-09-01,1.526,0.512,15.303,19.255,No Data Reported,No Data Reported,0.214,5.585,0.136,No Data Reported,0.076,0.28,6.292,0.003,26.818
2020-10-01,1.526,0.512,15.303,19.255,No Data Reported,No Data Reported,0.214,5.585,0.136,No Data Reported,0.076,0.28,6.292,0.003,26.818
