Month,"Coal Industrial Sector, Net Summer Capacity","Petroleum Industrial Sector, Net Summer Capacity","Natural Gas Industrial Sector, Net Summer Capacity","Fossil Fuels Industrial Sector, Net Summer Capacity","Nuclear Industrial Sector, Net Summer Capacity","Hydroelectric Pumped Storage Industrial Sector, Net Summer Capacity","Conventional Hydroelectric Power Industrial Sector, Net Summer Capacity","Wood Industrial Sector, Net Summer Capacity","Waste Industrial Sector, Net Summer Capacity","Geothermal Industrial Sector, Net Summer Capacity ","Solar Industrial Sector, Net Summer Capacity","Wind Industrial Sector, Net Summer Capacity","Renewable Energy Industrial Sector, Net Summer Capacity ","Battery Storage Industrial Sector, Net Summer Capacity","Total Industrial Sector, Net Summer Capacity"
2009-01-01,3.223,0.708,14.263,19.953,No Data Reported,No Data Reported,0.337,4.999,0.106,No Data Reported,0.001,No Data Reported,5.443,No Data Reported,26.477
2009-02-01,3.298,0.708,14.263,20.028,No Data Reported,No Data Reported,0.337,4.999,0.106,No Data Reported,0.001,No Data Reported,5.443,No Data Reported,26.552
2009-03-01,3.298,0.708,14.263,20.028,No Data Reported,No Data Reported,0.337,4.994,0.106,No Data Reported,0.001,No Data Reported,5.438,No Data Reported,26.547
2009-04-01,3.403,0.706,14.263,20.085,No Data Reported,No Data Reported,0.337,4.994,0.106,No Data Reported,0.001,No Data Reported,5.438,No Data Reported,26.604
2009-05-01,3.392,0.706,14.503,20.314,No Data Reported,No Data Reported,0.337,4.994,0.106,No Data Reported,0.001,No Data Reported,5.438,No Data Reported,26.834
2009-06-01,3.413,0.706,14.503,20.336,No Data Reported,No Data Reported,0.337,4.994,0.106,No Data Reported,0.001,No Data Reported,5.438,No Data Reported,26.855
2009-07-01,3.413,0.706,14.515,20.348,No Data Reported,No Data Reported,0.337,5.049,0.106,No Data Reported,0.001,No Data Reported,5.493,No Data Reported,26.922
2009-08-01,3.413,0.705,14.515,20.347,No Data Reported,No Data Reported,0.337,5.049,0.118,No Data Reported,0.001,No Data Reported,5.505,No Data Reported,26.933
2009-09-01,3.413,0.705,14.524,20.357,No Data Reported,No Data Reported,0.337,5.043,0.118,No Data Reported,0.001,No Data Reported,5.498,No Data Reported,26.937
2009-10-01,3.412,0.705,14.524,20.355,No Data Reported,No Data Reported,0.337,5.043,0.118,No Data Reported,0.001,No Data Reported,5.498,No Data Reported,26.935
2009-11-01,3.412,0.705,14.515,20.346,No Data Reported,No Data Reported,0.337,5.043,0.118,No Data Reported,0.001,No Data Reported,5.498,No Data Reported,26.925
2009-12-01,3.412,0.704,14.415,20.245,No Data Reported,No Data Reported,0.337,5.043,0.118,No Data Reported,0.001,No Data Reported,5.498,No Data Reported,26.825
2010-01-01,4.036,0.674,14.224,20.805,No Data Reported,No Data Reported,0.341,4.956,0.164,No Data Reported,0.001,No Data Reported,5.462,No Data Reported,27.378
2010-02-01,4.024,0.674,14.224,20.817,No Data Reported,No Data Reported,0.341,4.956,0.164,No Data Reported,0.001,No Data Reported,5.462,No Data Reported,27.389
2010-03-01,3.969,0.674,14.163,20.701,No Data Reported,No Data Reported,0.341,4.956,0.164,No Data Reported,0.001,No Data Reported,5.462,No Data Reported,27.274
2010-04-01,3.969,0.675,14.159,20.698,No Data Reported,No Data Reported,0.341,4.954,0.164,No Data Reported,0.001,0.002,5.461,No Data Reported,27.27
2010-05-01,4.03,0.675,14.159,20.759,No Data Reported,No Data Reported,0.341,4.954,0.164,No Data Reported,0.001,0.002,5.461,No Data Reported,27.331
2010-06-01,4.03,0.675,14.155,20.833,No Data Reported,No Data Reported,0.341,4.954,0.164,No Data Reported,0.001,0.002,5.461,No Data Reported,27.405
