Month,Aviation Gasoline Consumed by the Transportation Sector,Distillate Fuel Oil Consumed by the Transportation Sector,Propane Consumed by the Transportation Sector,Jet Fuel Consumed by the Transportation Sector,Lubricants Consumed by the Transportation Sector,Motor Gasoline Consumed by the Transportation Sector,Residual Fuel Oil Consumed by the Transportation Sector,Other Products Consumed by the Transportation Sector,Total Petroleum Consumed by the Transportation Sector,Distillate Fuel Oil Consumed by the Electric Power Sector,Petroleum Coke Consumed by the Electric Power Sector,Residual Fuel Oil Consumed by the Electric Power Sector,Total Petroleum Consumed by the Electric Power Sector
1973-01-01,39.516,996.288,35.301,1088.387,67.793,5954.111,326.805,Not Available,8508.201,180.887,6.721,1619.205,1806.813
1973-02-01,44.143,1148.759,35.301,1061.857,74.178,6264.477,388.411,Not Available,9017.127,174.211,6.156,1504.329,1684.695
1973-03-01,42.419,1039.073,35.301,976.935,72.228,6338.835,406.453,Not Available,8911.246,89.509,4.362,1288.006,1381.877
1973-04-01,42.567,947.408,35.301,1001.733,66.168,6366.571,311.872,Not Available,8771.62,80.612,7.053,1114.369,1202.034
1973-05-01,50.71,1041.867,35.301,1097.806,75.606,6722.616,325.576,Not Available,9349.483,72.558,8.781,1156.091,1237.431
1973-06-01,44.967,1013.744,35.301,987.2,67.974,6777.582,292.028,Not Available,9218.796,140.817,9.246,1406.193,1556.257
1973-07-01,38.774,967.075,35.301,1021.968,79.748,6835.39,212.962,Not Available,9191.218,149.977,7.866,1505.966,1663.809
1973-08-01,61.71,1016.002,35.301,1019.839,77.618,7062.632,278.643,Not Available,9551.745,193.516,8.694,1592.472,1794.682
1973-09-01,44.133,1073.455,35.301,1060.6,70.25,6404.658,280.554,Not Available,8968.952,112.517,6.29,1494.406,1613.213
1973-10-01,50.806,1080.278,35.301,1093.0,83.698,6498.451,251.839,Not Available,9093.374,112.059,5.343,1442.411,1559.814
1973-11-01,45.367,1150.249,35.301,1012.433,76.669,6640.578,394.341,Not Available,9354.939,120.874,4.702,1427.37,1552.945
1973-12-01,38.129,1077.225,35.301,1079.065,73.33,6070.118,341.153,Not Available,8714.321,121.999,7.99,1324.827,1454.816
1974-01-01,40.806,1092.848,32.552,877.581,76.81,5657.064,360.78,Not Available,8138.441,139.793,9.592,1367.652,1517.037
1974-02-01,31.071,1116.184,32.552,836.857,70.894,5945.102,368.238,Not Available,8400.899,155.14,8.613,1297.091,1460.844
1974-03-01,53.387,1031.262,32.552,942.032,72.184,6005.57,319.407,Not Available,8456.395,142.112,8.203,1136.524,1286.839
1974-04-01,42.533,1034.816,32.552,929.867,71.282,6293.082,323.043,Not Available,8727.174,131.103,5.945,1067.511,1204.559
1974-05-01,42.742,985.584,32.552,1041.226,76.531,6574.216,263.391,Not Available,9016.241,146.473,4.899,1170.333,1321.706
1974-06-01,50.367,1041.773,32.552,935.267,62.116,6743.651,291.963,Not Available,9157.688,132.272,4.336,1242.352,1378.959
1974-07-01,44.29,968.927,32.552,1008.516,73.388,6782.503,260.683,Not Available,9170.859,193.578,5.009,1424.758,1623.345
1974-08-01,59.194,985.637,32.552,1007.129,66.31,6882.229,276.687,Not Available,9309.736,154.83,5.153,1425.634,1585.617
1974-09-01,44.7,952.706,32.552,1101.4,73.892,6225.508,266.64,Not Available,8697.398,127.321,5.035,1358.795,1491.151
1974-10-01,51.452,1061.893,32.552,1001.903,73.623,6541.865,296.653,Not Available,9059.941,125.364,15.542,1334.852,1475.758
1974-11-01,39.067,1059.769,32.552,1021.6,66.092,6380.409,339.57,Not Available,8939.057,151.192,16.416,1467.588,1635.196
1974-12-01,32.161,1104.815,32.552,1036.258,64.841,6391.49,282.742,Not Available,8944.859,147.114,13.924,1583.467,1744.505
