Month,Aviation Gasoline Consumed by the Transportation Sector,Distillate Fuel Oil Consumed by the Transportation Sector,Propane Consumed by the Transportation Sector,Jet Fuel Consumed by the Transportation Sector,Lubricants Consumed by the Transportation Sector,Motor Gasoline Consumed by the Transportation Sector,Residual Fuel Oil Consumed by the Transportation Sector,Other Products Consumed by the Transportation Sector,Total Petroleum Consumed by the Transportation Sector,Distillate Fuel Oil Consumed by the Electric Power Sector,Petroleum Coke Consumed by the Electric Power Sector,Residual Fuel Oil Consumed by the Electric Power Sector,Total Petroleum Consumed by the Electric Power Sector
1975-01-01,31.548,1114.602,30.785,1030.355,74.381,6054.461,430.507,Not Available,8766.641,170.371,1.767,1573.127,1745.265
1975-02-01,37.357,1095.61,30.785,1060.357,57.898,5947.375,349.244,Not Available,8578.627,133.095,1.439,1422.071,1556.605
1975-03-01,33.452,1055.517,30.785,973.677,53.329,6171.376,385.549,Not Available,8703.685,96.299,0.677,1207.407,1304.383
1975-04-01,39.2,1061.24,30.785,999.533,73.063,6554.161,271.488,Not Available,9029.47,77.422,0.708,1157.152,1235.282
1975-05-01,36.0,928.279,30.785,970.161,69.081,6703.646,270.646,Not Available,9008.599,105.237,0.459,1087.852,1193.548
1975-06-01,40.433,939.01,30.785,979.267,75.843,6903.524,260.725,Not Available,9229.587,137.134,1.009,1227.625,1365.768
1975-07-01,46.548,895.864,30.785,941.871,69.623,6868.806,254.784,Not Available,9108.281,125.355,1.143,1307.315,1433.813
1975-08-01,43.548,896.78,30.785,1031.806,75.628,6837.303,188.852,Not Available,9104.704,152.328,0.745,1438.628,1591.701
1975-09-01,45.5,896.916,30.785,1034.833,75.335,6564.534,318.862,Not Available,8966.765,63.093,0.913,1171.602,1235.608
1975-10-01,43.516,1047.495,30.785,991.065,79.714,6612.285,295.831,Not Available,9100.691,60.663,0.829,1166.119,1227.611
1975-11-01,35.7,926.777,30.785,992.8,62.804,6233.773,322.188,Not Available,8604.827,59.301,0.933,1191.949,1252.184
1975-12-01,29.774,1117.132,30.785,907.258,71.379,6641.931,371.435,Not Available,9169.693,98.515,0.948,1411.605,1511.067
1976-01-01,27.839,1119.247,33.483,933.484,62.337,6251.389,328.061,Not Available,8755.84,159.063,0.895,1650.215,1810.174
1976-02-01,28.862,1073.258,33.483,954.345,71.372,6119.677,413.129,Not Available,8694.125,92.147,0.936,1395.032,1488.114
1976-03-01,33.903,1097.059,33.483,952.29,87.147,6732.282,364.763,Not Available,9300.928,90.23,0.945,1327.664,1418.839
1976-04-01,37.0,1052.172,33.483,1002.433,80.337,6995.024,325.679,Not Available,9526.128,82.232,0.709,1256.161,1339.103
1976-05-01,35.097,985.307,33.483,954.613,74.217,6695.627,347.034,Not Available,9125.377,71.571,0.734,1150.09,1222.395
1976-06-01,49.967,1005.001,33.483,952.233,84.762,7310.152,314.371,Not Available,9749.969,118.052,0.82,1336.579,1455.452
1976-07-01,39.226,941.155,33.483,1086.323,84.325,7147.272,317.676,Not Available,9649.459,127.94,0.933,1395.539,1524.411
1976-08-01,47.452,955.846,33.483,958.452,73.905,7003.616,332.967,Not Available,9405.72,108.558,0.838,1474.333,1583.729
1976-09-01,38.4,1088.164,33.483,1038.6,82.88,6915.981,340.809,Not Available,9538.318,82.203,0.818,1276.835,1359.856
1976-10-01,36.613,1132.883,33.483,903.387,75.333,6769.914,339.016,Not Available,9290.629,99.53,1.221,1261.937,1362.689
1976-11-01,34.167,1136.707,33.483,964.9,76.81,6876.639,417.583,Not Available,9540.289,162.567,1.241,1581.063,1744.871
1976-12-01,29.516,1292.307,33.483,1008.323,76.153,6973.926,457.501,Not Available,9871.209,175.998,1.064,1743.5,1920.562
1977-01-01,25.516,1187.443,35.7,1027.355,69.584,6332.499,348.352,Not Available,9026.449,307.027,0.734,2141.245,2449.005
1977-02-01,32.964,1317.545,35.7,1023.964,60.56,6750.791,499.418,Not Available,9720.941,112.516,0.919,1702.096,1815.53
1977-03-01,37.484,1193.94,35.7,1018.806,92.758,6758.807,453.983,Not Available,9591.478,80.461,1.464,1489.398,1571.323
1977-04-01,36.733,1123.056,35.7,1011.7,76.729,7186.568,404.684,Not Available,9875.17,73.759,1.964,1407.258,1482.981
1977-05-01,37.129,1094.81,35.7,968.871,83.232,6877.574,351.014,Not Available,9448.329,124.049,1.243,1444.477,1569.769
1977-06-01,49.7,1150.958,35.7,976.7,85.278,7428.923,399.551,Not Available,10126.809,143.326,1.545,1541.633,1686.503
1977-07-01,52.323,1032.889,35.7,1005.581,77.481,7278.948,289.867,Not Available,9772.788,249.617,1.91,1763.357,2014.884
1977-08-01,45.194,1111.537,35.7,1088.742,86.491,7259.821,389.322,Not Available,10016.807,149.7,1.797,1675.797,1827.294
1977-09-01,44.333,1145.362,35.7,1030.767,76.907,7158.259,419.064,Not Available,9910.392,83.905,1.33,1443.224,1528.459
1977-10-01,34.452,1169.036,35.7,1003.323,77.231,6976.553,405.279,Not Available,9701.572,61.142,0.97,1228.084,1290.196
1977-11-01,35.167,1265.679,35.7,1028.467,76.745,7036.185,390.989,Not Available,9868.93,82.129,1.064,1355.115,1438.308
1977-12-01,26.968,1268.56,35.7,1074.355,66.686,7215.571,410.222,Not Available,10098.062,130.989,1.072,1702.577,1834.639
1978-01-01,28.452,1335.922,38.487,955.742,66.639,6547.546,442.124,Not Available,9414.911,266.351,1.59,1976.483,2244.424
1978-02-01,31.714,1466.544,38.487,1079.25,75.773,6738.843,541.113,Not Available,9971.724,275.328,9.811,2129.859,2414.998
1978-03-01,40.387,1335.501,38.487,1089.097,76.056,7109.84,492.13,Not Available,10181.496,176.631,10.387,1894.334,2081.352
1978-04-01,36.733,1257.271,38.487,1003.467,85.456,7058.227,535.749,Not Available,10015.389,71.717,6.514,1362.581,1440.811
1978-05-01,41.806,1267.556,38.487,989.677,87.509,7569.835,442.111,Not Available,10436.983,73.992,4.455,1298.191,1376.638
1978-06-01,43.067,1215.218,38.487,1031.767,94.021,7754.739,380.641,Not Available,10557.939,119.014,5.168,1424.285,1548.467
1978-07-01,43.903,1087.606,38.487,1006.032,80.787,7424.29,402.913,Not Available,10084.019,115.156,5.136,1533.73,1654.022
1978-08-01,50.774,1159.407,38.487,1119.161,90.283,7714.779,385.954,Not Available,10558.845,114.96,4.947,1697.961,1817.868
1978-09-01,44.2,1126.542,38.487,1062.633,83.027,7250.599,402.958,Not Available,10008.446,110.022,4.698,1437.146,1551.866
1978-10-01,42.548,1215.405,38.487,1064.903,87.055,7298.915,382.116,Not Available,10129.429,58.846,3.952,1363.001,1425.799
1978-11-01,30.7,1317.458,38.487,1101.067,91.252,7353.008,406.519,Not Available,10338.491,72.049,4.42,1483.878,1560.347
1978-12-01,30.387,1353.889,38.487,1032.226,82.041,7302.392,372.095,Not Available,10211.517,117.517,4.781,1766.816,1889.114
1979-01-01,24.387,1466.605,15.515,1078.387,84.015,6695.639,501.407,Not Available,9865.955,201.432,5.38,2007.292,2214.105
1979-02-01,27.571,1575.297,15.515,1133.857,81.186,7111.279,577.579,Not Available,10522.284,177.117,5.722,1844.831,2027.67
1979-03-01,36.742,1423.975,15.515,1090.355,97.631,7086.422,766.436,Not Available,10517.075,60.373,3.512,1173.266,1237.151
1979-04-01,34.633,1306.948,15.515,978.167,93.6,6915.887,507.426,Not Available,9852.175,56.052,2.48,1126.671,1185.202
1979-05-01,39.258,1362.888,15.515,986.226,100.358,7071.117,511.876,Not Available,10087.238,66.232,3.762,1138.223,1208.217
1979-06-01,24.833,1307.667,15.515,1088.567,90.685,7048.943,483.062,Not Available,10059.271,77.12,4.184,1308.604,1389.908
1979-07-01,63.258,1228.203,15.515,1080.226,82.777,6765.713,412.858,Not Available,9648.551,77.841,3.765,1351.465,1433.07
1979-08-01,51.516,1292.314,15.515,1072.258,92.476,7185.683,440.105,Not Available,10149.867,77.924,3.75,1370.272,1451.947
1979-09-01,46.7,1266.155,15.515,1087.267,77.716,6745.09,523.252,Not Available,9761.694,58.25,2.853,1225.615,1286.719
1979-10-01,37.097,1411.104,15.515,1049.516,91.348,6881.987,541.086,Not Available,10027.652,36.507,2.579,1078.875,1117.96
1979-11-01,41.567,1320.974,15.515,1066.333,86.152,6656.995,564.294,Not Available,9751.829,65.12,3.027,1260.729,1328.875
1979-12-01,29.194,1446.519,15.515,1100.065,67.814,6597.612,595.102,Not Available,9851.82,61.486,3.152,1341.963,1406.601
1980-01-01,27.032,1390.357,12.558,1097.161,85.786,6190.009,692.756,Not Available,9495.66,103.332,8.787,1280.289,1392.408
1980-02-01,36.931,1482.489,12.558,1066.138,84.148,6457.965,694.994,Not Available,9835.223,95.444,3.678,1357.988,1457.11
1980-03-01,32.29,1387.031,12.558,1115.323,79.221,6271.774,683.193,Not Available,9581.39,70.838,2.099,1051.274,1124.211
1980-04-01,31.267,1343.971,12.558,1106.533,82.817,6657.353,708.491,Not Available,9942.988,45.399,1.207,872.59,919.195
1980-05-01,37.097,1224.784,12.558,1005.323,72.279,6588.38,614.128,Not Available,9554.549,49.152,1.777,848.614,899.543
1980-06-01,39.367,1178.295,12.558,1056.6,74.948,6517.645,608.423,Not Available,9487.835,65.021,1.843,957.965,1024.829
1980-07-01,38.097,1193.538,12.558,1097.548,67.03,6601.266,503.887,Not Available,9513.924,123.499,1.748,1169.663,1294.91
1980-08-01,40.452,1140.31,12.558,1032.387,67.344,6508.794,464.098,Not Available,9265.943,129.552,2.448,1252.774,1384.774
1980-09-01,40.433,1298.27,12.558,1053.233,78.931,6373.368,632.519,Not Available,9489.313,71.643,1.886,950.154,1023.683
1980-10-01,39.839,1366.477,12.558,1027.258,86.193,6522.627,590.471,Not Available,9645.423,46.065,1.291,823.546,870.903
1980-11-01,31.167,1305.107,12.558,1010.2,76.567,6102.829,553.381,Not Available,9091.809,77.015,1.146,1059.74,1137.9
1980-12-01,24.194,1427.773,12.558,1078.71,74.504,6492.783,554.699,Not Available,9665.221,74.702,1.427,1205.053,1281.182
1981-01-01,24.945,1516.398,24.245,1055.776,72.03,6303.145,630.33,Not Available,9626.868,98.275,1.688,1318.863,1418.826
1981-02-01,23.845,1420.391,24.245,1014.674,82.02,6175.144,698.618,Not Available,9438.937,80.081,1.537,991.249,1072.867
1981-03-01,34.047,1394.175,24.245,1054.213,76.751,6177.173,566.04,Not Available,9326.645,45.312,1.446,898.789,945.548
1981-04-01,35.246,1375.72,24.245,966.874,88.449,6470.855,501.615,Not Available,9463.004,45.212,1.185,807.623,854.019
1981-05-01,28.019,1296.699,24.245,918.342,73.504,6483.179,505.358,Not Available,9329.346,57.903,2.286,746.136,806.324
1981-06-01,38.655,1303.184,24.245,1044.492,69.457,6887.908,494.33,Not Available,9862.271,90.158,2.243,989.969,1082.371
1981-07-01,38.647,1327.122,24.245,1072.236,79.806,6687.189,450.81,Not Available,9680.055,84.364,1.76,1020.26,1106.384
1981-08-01,38.117,1308.075,24.245,1024.32,67.378,6504.699,481.225,Not Available,9448.058,45.868,2.141,830.965,878.974
1981-09-01,23.541,1347.5,24.245,1029.307,75.145,6529.341,491.61,Not Available,9520.689,38.159,2.184,837.902,878.245
1981-10-01,32.828,1332.214,24.245,931.577,82.853,6446.773,443.658,Not Available,9294.147,36.226,2.423,841.24,879.89
1981-11-01,23.538,1357.168,24.245,981.198,59.765,6245.927,504.117,Not Available,9195.959,37.974,1.965,734.734,774.673
1981-12-01,24.355,1399.707,24.245,973.889,67.006,6548.124,618.485,Not Available,9655.81,42.554,1.935,825.569,870.059
1982-01-01,23.289,1387.493,24.321,1031.019,62.537,5853.273,435.021,Not Available,8816.952,100.985,1.623,1040.923,1143.53
1982-02-01,19.01,1437.741,24.321,1050.9,73.284,6084.25,621.494,Not Available,9311.001,50.74,1.663,869.695,922.098
1982-03-01,24.82,1372.435,24.321,979.173,65.278,6349.991,486.763,Not Available,9302.78,42.063,0.681,697.338,740.081
1982-04-01,25.735,1353.538,24.321,1003.716,73.696,6773.241,544.503,Not Available,9798.75,37.737,1.783,597.099,636.619
1982-05-01,25.532,1232.945,24.321,1007.37,65.014,6535.182,442.788,Not Available,9333.152,31.976,1.959,514.146,548.081
1982-06-01,34.251,1361.163,24.321,988.915,73.551,6712.173,410.24,Not Available,9604.614,35.099,2.198,551.305,588.603
1982-07-01,28.6,1195.346,24.321,1000.942,67.01,6668.106,380.133,Not Available,9364.458,43.879,1.792,695.16,740.832
1982-08-01,35.443,1229.643,24.321,980.454,67.271,6494.908,404.249,Not Available,9236.289,33.959,2.042,608.814,644.815
1982-09-01,31.472,1313.317,24.321,1031.932,72.342,6413.35,368.894,Not Available,9255.628,30.692,1.568,551.451,583.711
1982-10-01,23.799,1292.545,24.321,957.416,63.808,6275.473,398.44,Not Available,9035.802,28.058,2.691,515.814,546.563
1982-11-01,13.868,1290.907,24.321,1054.038,77.844,6456.077,471.795,Not Available,9388.851,33.579,3.015,496.949,533.542
1982-12-01,19.624,1291.671,24.321,1055.217,54.606,6430.81,386.401,Not Available,9262.65,35.299,3.509,578.726,617.533
1983-01-01,5.98,1209.244,28.883,959.926,55.162,5948.467,422.688,Not Available,8630.351,35.82,2.682,668.636,707.138
1983-02-01,30.594,1278.507,28.883,1058.821,62.737,5898.826,371.182,Not Available,8729.55,35.157,3.315,725.166,763.638
1983-03-01,19.904,1413.111,28.883,1005.632,75.277,6720.232,415.104,Not Available,9678.143,30.483,2.655,650.789,683.926
1983-04-01,26.218,1335.527,28.883,1030.884,68.698,6343.251,371.003,Not Available,9204.465,35.147,4.021,545.809,584.976
1983-05-01,23.226,1307.321,28.883,1007.869,74.963,6505.122,415.685,Not Available,9363.07,30.224,4.786,463.237,498.247
1983-06-01,34.545,1414.976,28.883,1074.224,74.402,6875.358,333.206,Not Available,9835.596,33.993,3.789,596.406,634.188
1983-07-01,30.985,1310.593,28.883,1076.349,71.059,6651.075,245.835,Not Available,9414.779,46.214,4.031,754.28,804.525
1983-08-01,32.023,1356.903,28.883,1073.35,73.503,6818.272,287.379,Not Available,9670.313,49.771,3.84,762.012,815.624
1983-09-01,33.085,1430.776,28.883,1076.64,81.475,6613.203,348.097,Not Available,9612.16,50.245,4.132,600.708,655.084
1983-10-01,30.011,1421.497,28.883,999.697,81.5,6476.807,332.544,Not Available,9370.941,28.052,3.514,515.917,547.483
1983-11-01,24.163,1426.973,28.883,1008.702,70.517,6491.447,396.562,Not Available,9447.248,35.839,2.837,489.681,528.357
1983-12-01,20.669,1488.865,28.883,1181.133,63.411,6730.439,355.944,Not Available,9869.344,130.12,3.367,756.143,889.63
1984-01-01,13.889,1326.345,30.318,1201.53,65.805,6134.499,472.629,Not Available,9245.014,70.18,3.811,798.228,872.218
1984-02-01,22.329,1238.837,30.318,1119.514,86.164,6102.101,458.026,Not Available,9057.291,35.089,3.611,554.856,593.556
1984-03-01,14.337,1403.42,30.318,1101.519,83.898,6392.649,433.199,Not Available,9459.341,32.783,2.934,557.233,592.95
1984-04-01,26.167,1428.971,30.318,1160.771,88.047,6537.584,416.157,Not Available,9688.015,27.694,3.692,399.033,430.418
1984-05-01,35.407,1446.505,30.318,1145.974,71.517,6747.392,338.24,Not Available,9815.353,32.577,3.721,429.898,466.196
1984-06-01,31.213,1430.478,30.318,1103.627,77.337,6959.271,325.605,Not Available,9957.849,64.218,3.841,578.758,646.817
1984-07-01,24.375,1432.696,30.318,1188.519,69.716,6688.381,278.026,Not Available,9712.031,40.598,3.577,530.741,574.917
1984-08-01,33.96,1421.995,30.318,1248.433,75.777,6945.9,244.117,Not Available,10000.501,49.096,3.207,656.036,708.339
1984-09-01,22.919,1388.077,30.318,1206.61,78.823,6451.741,316.173,Not Available,9494.662,33.187,3.578,407.845,444.61
1984-10-01,19.817,1425.059,30.318,1223.823,79.453,6589.793,270.458,Not Available,9638.722,31.139,3.142,401.602,435.883
1984-11-01,24.1,1359.175,30.318,1158.305,71.753,6658.844,356.008,Not Available,9658.504,44.211,2.903,484.775,531.889
1984-12-01,16.696,1283.941,30.318,1241.173,60.134,6418.942,306.537,Not Available,9357.74,36.96,3.236,403.209,443.405
1985-01-01,21.613,1475.351,21.085,1235.646,66.283,6196.14,381.696,Not Available,9397.814,80.056,2.905,599.169,682.13
1985-02-01,19.857,1454.38,21.085,1177.667,79.089,6429.513,358.769,Not Available,9540.36,47.609,2.99,526.033,576.632
1985-03-01,25.806,1516.202,21.085,1163.094,73.195,6504.357,365.074,Not Available,9668.813,31.601,2.652,365.265,399.518
1985-04-01,31.306,1525.83,21.085,1250.894,78.887,6788.866,370.347,Not Available,10067.215,30.356,2.657,318.691,351.704
1985-05-01,28.452,1506.999,21.085,1134.19,77.044,6890.739,372.672,Not Available,10031.181,31.034,2.153,356.317,389.503
1985-06-01,28.391,1545.834,21.085,1142.17,73.465,6828.976,294.525,Not Available,9934.444,37.047,3.56,400.165,440.772
1985-07-01,34.613,1491.518,21.085,1216.738,67.252,6840.199,287.619,Not Available,9959.025,35.778,3.158,427.023,465.959
1985-08-01,35.065,1557.69,21.085,1208.614,77.692,7067.887,299.336,Not Available,10267.369,43.148,3.061,507.407,553.617
1985-09-01,29.333,1459.153,21.085,1209.286,67.087,6470.526,281.856,Not Available,9538.326,32.626,4.011,399.79,436.427
1985-10-01,26.903,1531.117,21.085,1258.092,74.844,6731.295,285.301,Not Available,9928.637,31.273,3.762,389.02,424.055
1985-11-01,19.8,1378.569,21.085,1276.133,60.712,6607.826,417.74,Not Available,9781.865,34.039,3.897,364.171,402.107
1985-12-01,25.871,1444.178,21.085,1344.045,53.077,6629.573,394.306,Not Available,9912.134,46.453,3.254,567.592,617.299
1986-01-01,20.194,1407.527,19.488,1289.927,36.028,6351.243,359.999,Not Available,9484.405,54.467,2.466,556.572,613.504
1986-02-01,21.0,1454.43,19.488,1276.289,68.633,6319.01,406.717,Not Available,9565.566,39.275,2.644,534.913,576.832
1986-03-01,28.452,1520.975,19.488,1198.668,80.055,6793.642,413.157,Not Available,10054.437,29.93,3.724,519.031,552.685
1986-04-01,33.1,1535.571,19.488,1257.093,77.033,6939.947,433.367,Not Available,10295.599,29.753,3.873,484.601,518.226
1986-05-01,35.0,1529.602,19.488,1248.292,82.03,6941.701,384.702,Not Available,10240.814,39.0,4.018,528.589,571.607
1986-06-01,35.467,1511.624,19.488,1321.862,80.433,7042.054,367.634,Not Available,10378.561,46.344,4.051,605.777,656.171
1986-07-01,35.613,1536.4,19.488,1325.199,69.124,7263.204,315.689,Not Available,10564.716,55.723,4.245,833.526,893.493
1986-08-01,38.323,1549.938,19.488,1351.646,68.728,7262.523,320.404,Not Available,10611.048,37.09,5.075,794.599,836.764
1986-09-01,62.2,1456.322,19.488,1320.946,77.978,6705.368,339.365,Not Available,9981.667,36.9,5.212,570.066,612.178
1986-10-01,27.968,1553.941,19.488,1272.327,74.882,7081.564,343.05,Not Available,10373.22,28.041,4.199,506.914,539.154
1986-11-01,22.967,1504.698,19.488,1379.807,63.208,6719.472,388.486,Not Available,10098.125,35.85,5.692,555.189,596.731
1986-12-01,23.258,1593.868,19.488,1444.666,51.603,6977.077,478.845,Not Available,10588.805,38.356,6.101,606.251,650.708
1987-01-01,19.484,1500.989,15.428,1360.883,75.62,6385.167,452.079,Not Available,9809.649,42.483,4.518,615.115,662.116
1987-02-01,21.643,1574.845,15.428,1427.168,81.746,6640.271,478.314,Not Available,10239.414,41.018,5.097,589.637,635.752
1987-03-01,25.71,1544.381,15.428,1364.508,84.211,6804.709,360.008,Not Available,10198.955,39.572,4.451,507.773,551.796
1987-04-01,27.0,1601.206,15.428,1344.931,87.62,7146.508,404.685,Not Available,10627.377,34.439,3.844,409.888,448.17
1987-05-01,30.129,1534.14,15.428,1306.899,74.754,7289.554,325.449,Not Available,10576.353,38.155,4.967,400.654,443.776
1987-06-01,29.2,1613.456,15.428,1360.403,89.527,7366.8,347.269,Not Available,10822.083,46.89,4.309,546.126,597.325
1987-07-01,29.032,1588.343,15.428,1389.881,80.078,7407.589,382.535,Not Available,10892.885,66.931,4.57,619.13,690.631
1987-08-01,30.194,1563.24,15.428,1416.457,74.079,7170.218,322.053,Not Available,10591.668,53.147,5.024,563.547,621.719
1987-09-01,24.733,1586.498,15.428,1360.571,76.187,7040.193,483.65,Not Available,10587.259,30.806,5.147,400.504,436.457
1987-10-01,25.065,1640.024,15.428,1466.956,72.949,7138.035,368.964,Not Available,10727.42,28.757,5.718,339.922,374.396
1987-11-01,18.367,1503.782,15.428,1358.736,63.296,6987.542,351.984,Not Available,10299.135,43.569,4.575,499.831,547.975
1987-12-01,16.387,1571.136,15.428,1462.814,77.712,7085.137,440.877,Not Available,10669.491,38.932,4.912,560.658,604.503
1988-01-01,23.226,1645.462,16.588,1559.652,64.026,6548.92,442.577,Not Available,10300.451,74.167,3.901,800.047,878.114
1988-02-01,21.931,1681.819,16.588,1513.212,82.712,6887.747,571.824,Not Available,10775.834,39.19,4.627,633.859,677.677
1988-03-01,25.871,1788.419,16.588,1390.0,82.804,7165.347,535.653,Not Available,11004.682,33.702,5.743,484.313,523.758
1988-04-01,24.5,1647.919,16.588,1390.534,74.683,7270.239,519.564,Not Available,10944.028,26.84,5.482,387.746,420.069
1988-05-01,33.419,1665.597,16.588,1368.213,84.797,7145.873,306.981,Not Available,10621.468,32.196,5.295,355.604,393.095
1988-06-01,32.367,1726.495,16.588,1421.059,74.383,7649.062,316.916,Not Available,11236.87,61.892,6.976,492.781,561.649
1988-07-01,33.258,1622.336,16.588,1404.133,71.756,7320.995,267.354,Not Available,10736.42,62.672,7.511,698.004,768.186
1988-08-01,28.419,1689.043,16.588,1440.964,80.117,7393.888,279.321,Not Available,10928.341,103.458,6.544,777.325,887.328
1988-09-01,28.2,1662.361,16.588,1422.789,78.836,7244.608,384.406,Not Available,10837.789,33.476,5.14,519.807,558.423
1988-10-01,25.29,1789.329,16.588,1491.256,74.139,7114.674,354.593,Not Available,10865.87,35.473,4.847,670.32,710.64
1988-11-01,20.867,1709.701,16.588,1439.063,77.799,7219.847,384.832,Not Available,10868.697,40.056,5.134,773.267,818.457
1988-12-01,20.548,1778.599,16.588,1543.299,56.003,7186.083,440.449,Not Available,11041.57,70.091,5.799,915.572,991.463
1989-01-01,22.935,1621.76,16.236,1507.998,69.288,6600.48,520.259,Not Available,10358.957,68.005,7.623,762.562,838.19
1989-02-01,16.357,1706.269,16.236,1542.073,80.694,6966.556,422.769,Not Available,10750.955,88.937,5.804,975.16,1069.901
1989-03-01,25.387,1761.23,16.236,1488.322,91.172,7262.217,423.741,Not Available,11068.306,89.055,5.628,818.184,912.867
1989-04-01,30.333,1712.488,16.236,1350.569,77.917,7003.888,505.295,Not Available,10696.726,35.755,6.278,610.357,652.389
1989-05-01,26.935,1757.708,16.236,1327.523,95.017,7222.594,384.578,Not Available,10830.592,50.382,5.739,502.895,559.015
1989-06-01,25.533,1790.131,16.236,1499.904,83.81,7613.86,341.597,Not Available,11371.071,70.783,6.365,647.648,724.796
1989-07-01,29.032,1645.555,16.236,1422.352,65.424,7139.994,431.346,Not Available,10749.939,72.149,9.364,606.891,688.404
1989-08-01,39.645,1757.128,16.236,1484.002,78.42,7551.849,331.61,Not Available,11258.888,50.657,9.282,557.734,617.672
1989-09-01,26.8,1683.846,16.236,1515.669,75.967,7085.424,271.923,Not Available,10675.864,52.194,8.95,526.165,587.309
1989-10-01,21.355,1780.959,16.236,1473.53,80.772,7145.333,581.765,Not Available,11099.949,39.058,6.37,416.931,462.359
1989-11-01,27.133,1775.715,16.236,1519.349,71.356,7195.579,377.772,Not Available,10983.141,50.761,5.492,597.51,653.762
1989-12-01,17.774,1812.293,16.236,1744.754,57.592,7251.628,479.309,Not Available,11379.588,191.357,7.99,1025.894,1225.241
1990-01-01,19.129,1660.371,16.345,1584.134,77.851,6501.289,638.43,Not Available,10497.55,44.596,8.022,602.039,654.658
1990-02-01,23.036,1717.192,16.345,1518.567,90.2,7025.431,596.284,Not Available,10987.055,38.879,13.695,538.187,590.761
1990-03-01,25.161,1817.951,16.345,1454.952,87.13,7180.936,394.589,Not Available,10977.064,33.022,12.355,528.85,574.227
