Month,"Fuel Ethanol, Excluding Denaturant, Feedstock","Fuel Ethanol, Excluding Denaturant, Losses and Co-products",Fuel Ethanol Denaturant,Fuel Ethanol Production,Fuel Ethanol Production.1,Fuel Ethanol Production.2,Fuel Ethanol Net Imports,Fuel Ethanol Stocks,Fuel Ethanol Stock Change,Fuel Ethanol Consumption,Fuel Ethanol Consumption.1,Fuel Ethanol Consumption.2,"Fuel Ethanol, Excluding Denaturant, Consumption"
2011-12-01,170.591,67.549,602.0,29718.0,1248.156,105.826,-2997.338,18238,-70,26790.662,1125.208,95.402,92.892
2012-01-01,166.114,65.416,584.0,29038.0,1219.596,103.375,-1772.906,21475,3237,24028.094,1009.18,85.54,83.325
2012-02-01,152.465,60.041,531.0,26647.0,1119.174,94.863,-1777.71,22393,918,23951.29,1005.954,85.267,83.075
2012-03-01,157.801,62.142,518.0,27548.0,1157.016,98.071,-1590.937,22583,190,25767.063,1082.217,91.731,89.475
2012-04-01,150.918,59.431,495.0,26346.0,1106.532,93.792,-1548.915,22050,-533,25330.085,1063.864,90.175,87.959
2012-05-01,158.186,62.294,520.0,27616.0,1159.872,98.313,-1013.336,21635,-415,27017.664,1134.742,96.183,93.815
2012-06-01,151.852,59.799,502.0,26513.0,1113.546,94.386,-596.964,21239,-396,26312.036,1105.106,93.671,91.355
2012-07-01,144.391,56.861,503.0,25236.0,1059.912,89.84,-489.444,20224,-1015,25761.556,1081.985,91.711,89.353
2012-08-01,149.254,58.776,526.0,26092.0,1095.864,92.888,654.081,19180,-1044,27790.081,1167.183,98.933,96.366
2012-09-01,139.411,54.9,496.0,24376.0,1023.792,86.779,699.449,19921,741,24334.449,1022.047,86.631,84.367
2012-10-01,142.727,56.206,528.0,24976.0,1048.992,88.915,614.055,18626,-1295,26885.055,1129.172,95.711,93.135
2012-11-01,141.379,55.675,527.0,24744.0,1039.248,88.089,1010.986,19992,1366,24388.986,1024.337,86.825,84.474
2012-12-01,146.23,57.585,534.0,25582.0,1074.444,91.072,-78.949,20350,358,25145.051,1056.092,89.516,87.131
2013-01-01,141.548,55.638,503.0,24778.0,1040.676,88.21,-766.953,19894,-456,24467.047,1027.616,87.103,84.831
2013-02-01,128.474,50.5,461.0,22494.0,944.748,80.079,-726.886,19009,-885,22652.114,951.389,80.642,78.523
2013-03-01,146.411,57.55,511.0,25620.0,1076.04,91.207,-169.213,18410,-599,26049.787,1094.091,92.737,90.351
2013-04-01,146.276,57.497,515.0,25601.0,1075.242,91.14,-550.757,17370,-1040,26090.243,1095.79,92.881,90.476
2013-05-01,155.454,61.105,537.0,27197.0,1142.274,96.821,-399.625,16804,-566,27363.375,1149.262,97.414,94.927
2013-06-01,152.848,60.08,509.0,26722.0,1122.324,95.13,130.086,16428,-376,27228.086,1143.58,96.932,94.525
2013-07-01,153.962,60.518,519.0,26923.0,1130.766,95.846,624.279,17072,644,26903.279,1129.938,95.776,93.375
2013-08-01,150.352,59.099,494.0,26279.0,1103.718,93.553,412.704,16945,-127,26818.704,1126.386,95.475,93.127
2013-09-01,146.154,57.449,499.0,25564.0,1073.688,91.008,-187.461,15986,-959,26335.539,1106.093,93.755,91.382
2013-10-01,160.102,62.931,538.0,27995.0,1175.79,99.662,-767.129,15750,-236,27463.871,1153.483,97.771,95.327
2013-11-01,159.67,62.762,532.0,27915.0,1172.43,99.377,-1901.947,15569,-181,26194.053,1100.15,93.251,90.934
2013-12-01,168.178,66.106,563.0,29405.0,1235.01,104.682,-1458.505,16424,855,27091.495,1137.843,96.446,94.041
2014-01-01,160.98,63.176,558.0,28194.0,1184.148,100.342,-2024.003,17153,729,25440.997,1068.522,90.545,88.254
2014-02-01,144.291,56.627,498.0,25269.0,1061.298,89.932,-1473.287,16865,-288,24083.713,1011.516,85.714,83.553
2014-03-01,160.63,63.039,544.0,28120.0,1181.04,100.079,-1984.755,17310,445,25690.245,1078.99,91.432,89.159
2014-04-01,158.335,62.138,551.0,27733.0,1164.786,98.702,-1202.453,17610,300,26230.547,1101.683,93.355,90.986
2014-05-01,164.981,64.746,565.0,28888.0,1213.296,102.812,-704.108,18330,720,27463.892,1153.483,97.744,95.294
2014-06-01,163.712,64.248,524.0,28629.0,1202.418,101.891,-1278.413,18785,455,26895.587,1129.615,95.721,93.441
2014-07-01,168.174,65.999,542.0,29413.0,1235.346,104.681,-1495.452,18696,-89,28006.548,1176.275,99.675,97.289
2014-08-01,163.863,64.307,534.0,28665.0,1203.93,102.019,-1282.678,18218,-478,27860.322,1170.134,99.155,96.761
2014-09-01,159.011,62.403,509.0,27807.0,1167.894,98.965,-1346.363,18724,506,25954.637,1090.095,92.373,90.172
2014-10-01,163.927,64.333,502.0,28644.0,1203.048,101.944,-1919.36,17341,-1383,28107.64,1180.521,100.035,97.73
2014-11-01,163.38,64.118,540.0,28588.0,1200.696,101.745,-2080.773,17035,-306,26813.227,1126.156,95.428,93.1
2014-12-01,176.043,69.087,609.0,30831.0,1294.902,109.728,-1579.697,18739,1704,27547.303,1156.987,98.041,95.564
2015-01-01,169.775,66.503,589.0,29770.0,1250.34,105.922,-1632.843,20647,1908,26229.157,1101.625,93.323,90.988
2015-02-01,152.897,59.892,534.0,26814.0,1126.188,95.404,-1622.994,21057,410,24781.006,1040.802,88.171,85.953
2015-03-01,168.245,65.904,567.0,29485.0,1238.37,104.908,-2050.255,20878,-179,27613.745,1159.777,98.25,95.846
2015-04-01,159.314,62.406,527.0,27910.0,1172.22,99.304,-1504.49,20854,-24,26429.51,1110.039,94.036,91.768
2015-05-01,169.426,66.367,545.0,29666.0,1245.972,105.552,-1489.283,20154,-700,28876.717,1212.822,102.743,100.317
2015-06-01,169.63,66.447,528.0,29684.0,1246.728,105.616,-1490.399,20128,-26,28219.601,1185.223,100.405,98.093
2015-07-01,172.853,67.709,539.0,30249.0,1270.458,107.626,-1674.942,19701,-427,29001.058,1218.044,103.186,100.806
2015-08-01,170.107,66.633,524.0,29762.0,1250.004,105.893,-904.983,19390,-311,29168.017,1225.057,103.78,101.408
2015-09-01,163.207,63.931,519.0,28571.0,1199.982,101.656,-986.983,18944,-446,28030.017,1177.261,99.731,97.396
2015-10-01,170.619,66.834,560.0,29886.0,1255.212,106.334,-1579.397,18984,40,28266.603,1187.197,100.573,98.161
2015-11-01,169.275,66.308,580.0,29675.0,1246.35,105.584,-928.895,20099,1115,27631.105,1160.506,98.311,95.875
2015-12-01,177.199,69.412,624.0,31081.0,1305.402,110.586,-1766.588,21596,1497,27817.412,1168.331,98.974,96.469
2016-01-01,173.371,67.785,617.0,30452.0,1278.984,108.348,-2293.643,23347,1751,26407.357,1109.109,93.957,91.562
2016-02-01,164.01,64.125,586.0,28810.0,1210.02,102.506,-2024.403,23171,-176,26961.597,1132.387,95.929,93.476
2016-03-01,176.399,68.969,601.0,30957.0,1300.194,110.145,-2611.525,22730,-441,28786.475,1209.032,102.422,99.898
2016-04-01,160.68,62.823,557.0,28208.0,1184.736,100.364,-2918.618,21336,-1394,26683.382,1120.702,94.939,92.568
2016-05-01,172.935,67.615,586.0,30346.0,1274.532,107.971,-1626.502,20962,-374,29093.498,1221.927,103.515,100.974
2016-06-01,173.609,67.878,567.0,30443.0,1278.606,108.316,-1044.604,21284,322,29076.396,1221.209,103.454,100.985
2016-07-01,179.554,70.203,570.0,31469.0,1321.698,111.967,-1641.061,21381,97,29730.939,1248.699,105.783,103.312
2016-08-01,181.838,71.095,564.0,31856.0,1337.952,113.344,-1923.502,21198,-183,30115.498,1264.851,107.151,104.692
2016-09-01,171.448,67.033,544.0,30048.0,1262.016,106.911,-2314.552,20713,-485,28218.448,1185.175,100.401,98.057
2016-10-01,176.904,69.166,563.0,31006.0,1302.252,110.319,-2946.419,20113,-600,28659.581,1203.702,101.971,99.585
2016-11-01,175.184,68.494,559.0,30706.0,1289.652,109.252,-3074.336,19463,-650,28281.664,1187.83,100.626,98.267
2016-12-01,186.382,72.872,606.0,32680.0,1372.56,116.275,-2582.513,19758,295,29802.487,1251.704,106.037,103.515
2017-01-01,187.394,73.13,600.0,32887.0,1381.254,116.946,-2843.972,22679,2921,27122.028,1139.125,96.446,94.234
2017-02-01,166.935,65.146,545.0,29307.0,1230.894,104.216,-3605.275,23195,516,25185.725,1057.8,89.56,87.475
2017-03-01,184.509,72.004,603.0,32393.0,1360.506,115.19,-3022.651,23981,786,28584.349,1200.543,101.646,99.277
2017-04-01,168.862,65.898,545.0,29639.0,1244.838,105.396,-1918.134,23671,-310,28030.866,1177.296,99.678,97.377
2017-05-01,181.671,70.897,562.0,31863.0,1338.246,113.305,-2830.854,22855,-816,29848.146,1253.622,106.14,103.769
2017-06-01,175.577,68.519,543.0,30794.0,1293.348,109.503,-2045.236,21770,-1085,29833.764,1253.018,106.089,103.72
2017-07-01,178.908,69.819,559.0,31384.0,1318.128,111.602,-2552.52,21167,-603,29434.48,1236.248,104.669,102.313
2017-08-01,186.279,72.695,577.0,32672.0,1372.224,116.182,-2028.655,21186,19,30624.345,1286.222,108.9,106.466
2017-09-01,175.083,68.326,535.0,30701.0,1289.442,109.173,-1757.18,21507,321,28622.82,1202.158,101.783,99.531
2017-10-01,183.848,71.746,536.0,32212.0,1352.904,114.546,-2419.478,21663,156,29636.522,1244.734,105.387,103.138
2017-11-01,186.355,72.725,523.0,32631.0,1370.502,116.036,-2068.945,23203,1540,29022.055,1218.926,103.202,101.063
2017-12-01,188.183,73.438,529.0,32952.0,1383.984,117.177,-4174.669,23043,-160,28937.331,1215.368,102.901,100.765
2018-01-01,185.916,72.416,506.0,32577.0,1368.234,115.746,-2521.642,24342,1299,28756.358,1207.767,102.171,100.188
2018-02-01,169.452,66.004,443.0,29674.0,1246.308,105.432,-4837.891,24722,380,24456.109,1027.157,86.893,85.258
2018-03-01,184.942,72.037,487.0,32390.0,1360.38,115.082,-5515.687,23084,-1638,28512.313,1197.517,101.304,99.388
2018-04-01,175.156,68.225,465.0,30680.0,1288.56,109.006,-3675.055,23379,295,26709.945,1121.818,94.9,93.094
2018-05-01,184.919,72.028,490.0,32389.0,1360.338,115.078,-2262.334,22654,-725,30851.666,1295.77,109.616,107.532
2018-06-01,182.321,71.016,473.0,31924.0,1340.808,113.426,-3584.871,21877,-777,29116.129,1222.877,103.45,101.515
2018-07-01,190.785,74.313,519.0,33430.0,1404.06,118.777,-2438.655,22668,791,30200.345,1268.414,107.302,105.22
2018-08-01,192.727,75.069,527.0,33773.0,1418.466,119.995,-2493.766,22824,156,31123.234,1307.176,110.581,108.426
2018-09-01,175.046,68.183,471.0,30667.0,1288.014,108.96,-2313.227,24412,1588,26765.773,1124.162,95.099,93.269
2018-10-01,184.971,72.048,450.0,32358.0,1359.036,114.968,-3614.136,23698,-714,29457.864,1237.23,104.664,102.802
2018-11-01,180.049,70.131,470.0,31529.0,1324.218,112.023,-3229.297,23618,-80,28379.703,1191.948,100.833,98.939
2018-12-01,180.971,70.49,518.0,31736.0,1332.912,112.758,-2923.653,23418,-200,29012.347,1218.519,103.081,100.999
2019-01-01,179.797,69.9,550.0,31603.0,1327.326,112.349,-3242.847,25115,1697,26663.153,1119.852,94.788,92.719
2019-02-01,162.705,63.255,498.0,28599.0,1201.158,101.669,-2282.534,24506,-609,26925.466,1130.87,95.72,93.63
2019-03-01,175.779,68.338,504.0,30863.0,1296.246,109.718,-3653.096,23396,-1110,28319.904,1189.436,100.677,98.587
2019-04-01,176.705,68.698,462.0,30981.0,1301.202,110.137,-3194.857,23331,-65,27851.143,1169.748,99.011,97.095
2019-05-01,185.251,72.021,471.0,32466.0,1363.572,115.417,-2355.409,22843,-488,30598.591,1285.141,108.778,106.717
2019-06-01,181.765,70.666,505.0,31898.0,1339.716,113.397,-2339.922,22583,-260,29818.078,1252.359,106.003,103.856
2019-07-01,185.448,72.097,512.0,32541.0,1366.722,115.683,-2311.685,22892,309,29920.315,1256.653,106.367,104.222
2019-08-01,181.852,70.699,513.0,31921.0,1340.682,113.479,-2396.504,22727,-165,29689.496,1246.959,105.546,103.383
2019-09-01,166.509,64.734,474.0,29232.0,1227.744,103.92,-1236.664,23012,285,27710.336,1163.834,98.51,96.477
2019-10-01,176.23,68.514,504.0,30941.0,1299.522,109.995,-1998.227,21784,-1228,30170.773,1267.172,107.257,105.035
2019-11-01,178.459,69.38,536.0,31358.0,1317.036,111.478,-2029.489,21646,-138,29466.511,1237.593,104.753,102.499
2019-12-01,189.42,73.641,560.0,33275.0,1397.55,118.293,-3234.454,22352,706,29334.546,1232.051,104.284,102.068
2020-01-01,189.698,73.629,549.0,33346.0,1400.532,118.612,-3282.094,23884,1532,28531.906,1198.34,101.488,99.312
2020-02-01,173.688,67.415,482.0,30511.0,1281.462,108.528,-3646.105,24582,698,26166.895,1099.01,93.076,91.142
2020-03-01,167.314,64.941,482.0,29409.0,1235.178,104.608,-3657.275,27505,2923,22828.725,958.806,81.202,79.467
2020-04-01,96.57,37.483,307.0,17003.0,714.126,60.48,-2180.08,26124,-1381,16203.92,680.565,57.637,56.31
2020-05-01,120.157,46.638,383.0,21157.0,888.594,75.255,-1690.592,22190,-3934,23400.408,982.817,83.235,81.315
2020-06-01,147.411,57.216,473.0,25959.0,1090.278,92.336,-1700.349,19472,-2718,26976.651,1133.019,95.956,93.731
2020-07-01,162.976,63.257,531.0,28708.0,1205.736,102.114,-1481.4,19784,312,26914.6,1130.413,95.735,93.489
2020-08-01,161.414,62.651,513.0,28420.0,1193.64,101.09,-1453.32,20142,358,26608.68,1117.565,94.647,92.468
2020-09-01,157.793,61.246,498.0,27779.0,1166.718,98.81,-1519.99,20008,-134,26393.01,1108.506,93.88,91.73
2020-10-01,168.125,65.256,546.489,29613.685,1243.775,105.336,-2525.483,21737.76,1729.76,25358.441,1065.055,90.2,88.087
2020-11-01,169.767,65.893,563.391,29914.573,1256.412,106.406,-2105.373,23502.487,1764.726,26044.474,1093.868,92.64,90.435
2020-12-01,170.88,66.325,564.292,30107.843,1264.529,107.094,-2450.056,24663.18,1160.693,26497.094,1112.878,94.25,92.016
2021-01-01,163.593,63.376,491.027,28809.069,1209.981,102.416,-3875.072,26117.099,1453.919,23480.078,986.163,83.472,81.68
2021-02-01,130.008,50.365,390.571,22895.066,961.593,81.392,-2226.96,24711.957,-1405.142,22073.248,927.076,78.47,76.785
2021-03-01,166.497,64.501,506.555,29327.262,1231.745,104.258,-3409.34,22868.778,-1843.179,27761.101,1165.966,98.691,96.55
2021-04-01,160.243,62.078,475.064,28213.149,1184.952,100.298,-2508.331,22368.472,-500.307,26205.124,1100.615,93.159,91.178
2021-05-01,177.292,68.683,534.873,31224.16,1311.415,111.002,-1897.302,22056.734,-311.738,29638.596,1244.821,105.365,103.094
2021-06-01,173.962,67.393,528.081,30640.987,1286.921,108.929,-1668.289,21980.079,-76.655,29049.353,1220.073,103.27,101.034
2021-07-01,178.552,69.171,542.069,31449.422,1320.876,111.803,-883.405,22655.862,675.783,29890.235,1255.39,106.26,103.958
2021-08-01,165.315,64.043,470.501,29086.641,1221.639,103.403,-1642.998,21134.858,-1521.004,28964.646,1216.515,102.969,100.848
2021-09-01,159.529,61.801,465.922,28080.42,1179.378,99.826,-1603.011,20235.302,-899.556,27376.965,1149.833,97.325,95.279
2021-10-01,183.404,71.05,528.517,32275.787,1355.583,114.74,-2207.023,20066.744,-168.558,30237.321,1269.967,107.494,105.258
2021-11-01,183.912,71.247,548.104,32383.289,1360.098,115.123,-3190.331,20502.772,436.027,28756.93,1207.791,102.231,100.048
2021-12-01,187.862,72.778,613.082,33132.102,1391.548,117.785,-3022.851,22035.995,1533.223,28576.028,1200.193,101.588,99.259
2022-01-01,182.501,70.7,599.744,32190.667,1352.008,114.373,-2310.714,25873.957,3837.962,26041.991,1093.764,92.527,90.446
2022-02-01,160.694,62.253,487.772,28303.959,1188.766,100.564,-3419.861,26521.413,647.456,24236.642,1017.939,86.113,84.295
2022-03-01,179.437,69.514,520.181,31580.802,1326.394,112.207,-2693.524,26700.237,178.824,28708.453,1205.755,102.001,99.926
2022-04-01,164.767,63.83,434.799,28955.992,1216.152,102.881,-4628.343,24283.766,-2416.471,26744.12,1123.253,95.022,93.226
2022-05-01,177.868,68.906,466.695,31255.659,1312.738,111.051,-3064.428,23425.856,-857.91,29049.141,1220.064,103.212,101.27
2022-06-01,177.946,68.936,485.22,31287.716,1314.084,111.165,-2360.363,23384.442,-41.414,28968.767,1216.688,102.926,100.931
2022-07-01,179.25,69.441,470.111,31498.308,1322.929,111.913,-2615.243,24197.306,812.864,28070.201,1178.948,99.733,97.858
2022-08-01,173.659,67.275,459.762,30520.211,1281.849,108.438,-1469.066,23508.838,-688.468,29739.613,1249.064,105.665,103.663
2022-09-01,154.081,59.691,400.103,27071.582,1137.006,96.185,-2143.876,21540.135,-1968.703,26896.409,1129.649,95.563,93.78
2022-10-01,178.782,69.26,493.238,31440.486,1320.5,111.708,-1843.159,21707.821,167.686,29429.641,1236.045,104.564,102.518
2022-11-01,179.321,69.469,538.972,31579.533,1326.34,112.202,-1413.703,23574.755,1866.934,28298.896,1188.554,100.546,98.441
2022-12-01,170.615,66.096,512.436,30045.95,1261.93,106.753,-1668.245,24244.887,670.132,27707.573,1163.718,98.445,96.385
2023-01-01,176.355,68.32,537.027,31064.147,1304.694,110.402,-2789.927,25239.595,994.708,27279.512,1145.74,96.951,94.873
2023-02-01,158.908,61.561,472.605,27979.654,1175.145,99.44,-2551.312,26284.267,1044.672,24383.67,1024.114,86.66,84.836
2023-03-01,173.869,67.357,505.403,30602.222,1285.293,108.76,-2816.678,24966.236,-1318.031,29103.574,1222.35,103.434,101.297
2023-04-01,165.61,64.157,494.811,29162.0,1224.804,103.642,-2852.845,24164.741,-801.495,27110.65,1138.647,96.351,94.317
2023-05-01,175.068,67.821,515.497,30819.791,1294.431,109.534,-2675.7,23108.151,-1056.591,29200.681,1226.429,103.779,101.613
2023-06-01,176.602,68.415,519.434,31089.349,1305.753,110.492,-2655.505,22314.4,-793.751,29227.595,1227.559,103.875,101.708
2023-07-01,181.892,70.464,528.36,32013.825,1344.581,113.777,-2677.895,23056.691,742.291,28593.638,1200.933,101.622,99.523
2023-08-01,176.787,68.487,530.568,31132.404,1307.561,110.645,-2146.262,21799.776,-1256.915,30243.056,1270.208,107.484,105.206
2023-09-01,171.068,66.272,491.708,30103.643,1264.353,106.988,-2498.66,22159.414,359.638,27245.345,1144.304,96.83,94.846
2023-10-01,180.937,70.095,537.533,31857.847,1338.03,113.223,-2777.487,21202.803,-956.611,30036.971,1261.553,106.751,104.507
2023-11-01,179.499,69.537,531.675,31602.912,1327.322,112.317,-2746.488,21791.411,588.608,28267.816,1187.248,100.464,98.357
2023-12-01,190.541,73.815,546.828,33529.501,1408.239,119.164,-3706.709,23498.269,1706.859,28115.933,1180.869,99.924,97.88
2024-01-01,174.285,67.518,502.944,30671.762,1288.214,109.007,-3579.814,24805.582,1216.329,25875.619,1086.776,91.962,90.072
2024-02-01,176.333,68.311,523.907,31047.187,1303.982,110.342,-3317.205,26233.409,1427.827,26302.155,1104.691,93.478,91.513
2024-03-01,187.513,72.642,500.316,32958.813,1384.27,117.136,-3807.292,27189.421,956.012,28195.509,1184.211,100.207,98.269
2024-04-01,167.131,64.746,434.733,29365.221,1233.339,104.364,-5107.765,25515.78,-1673.642,25931.097,1089.106,92.159,90.412
2024-05-01,180.378,69.878,469.118,31692.621,1331.09,112.636,-3684.909,22678.538,-2837.241,30844.953,1295.488,109.623,107.544
2024-06-01,176.993,68.567,495.565,31133.035,1307.587,110.647,-3480.938,22611.893,-66.645,27718.742,1164.187,98.512,96.535
2024-07-01,192.272,74.486,541.025,33823.298,1420.579,120.208,-3246.629,23349.178,737.285,29839.384,1253.254,106.049,103.912
2024-08-01,190.79,73.912,521.857,33547.635,1409.001,119.228,-3373.906,23797.446,448.268,29725.461,1248.469,105.644,103.562
2024-09-01,177.378,68.716,476.393,31180.649,1309.587,110.816,-3543.341,23474.103,-323.343,27960.651,1174.347,99.372,97.441
