Month,Coal Commercial Sector CO2 Emissions,"Natural Gas, Excluding Supplemental Gaseous Fuels, Commercial Sector CO2 Emissions",Distillate Fuel Oil Commercial Sector CO2 Emissions,HGL Commercial Sector CO2 Emissions,Kerosene Commercial Sector CO2 Emissions,"Motor Gasoline, Excluding Ethanol, Commercial Sector CO2 Emissions",Petroleum Coke Commercial Sector CO2 Emissions,Residual Fuel Oil Commercial Sector CO2 Emissions,"Petroleum, Excluding Biofuels, Commercial Sector CO2 Emissions",Commercial Share of Electric Power Sector CO2 Emissions,Total Energy Commercial Sector CO2 Emissions
1996-09-01,0.647,6.745,2.373,0.43,0.081,0.149,0.001,0.685,3.719,55.88,66.99
1996-10-01,0.66,9.277,2.986,0.576,0.008,0.163,0.001,0.862,4.596,54.232,68.764
1996-11-01,1.282,15.958,3.341,0.791,0.252,0.154,0.001,0.965,5.504,52.746,75.489
1996-12-01,1.54,22.184,3.777,0.887,0.237,0.156,0.001,1.09,6.148,52.959,82.831
1997-01-01,1.573,25.703,4.192,0.953,0.37,0.233,0.001,1.068,6.817,55.555,89.648
1997-02-01,1.143,22.767,3.316,0.765,0.224,0.221,0.001,0.845,5.371,47.24,76.522
1997-03-01,0.969,19.503,3.118,0.737,0.148,0.248,0,0.794,5.046,50.595,76.112
1997-04-01,1.093,14.579,2.584,0.643,0.185,0.249,0.001,0.658,4.32,49.154,69.147
1997-05-01,0.721,11.031,2.312,0.536,0.044,0.259,0.001,0.589,3.742,53.078,68.572
1997-06-01,0.643,8.359,2.355,0.426,0.052,0.256,0.001,0.6,3.691,59.669,72.362
1997-07-01,0.953,7.81,2.304,0.424,0.036,0.271,0.001,0.587,3.622,69.399,81.784
1997-08-01,0.818,7.57,2.279,0.429,0.093,0.263,0.002,0.58,3.646,65.454,77.487
1997-09-01,0.686,7.686,2.355,0.444,0.069,0.247,0.002,0.6,3.717,61.861,73.95
1997-10-01,0.733,10.276,2.377,0.581,0.128,0.259,0.001,0.605,3.952,60.276,75.236
1997-11-01,1.25,16.558,2.427,0.751,0.195,0.246,0.001,0.618,4.237,54.652,76.698
1997-12-01,1.702,22.474,3.175,0.883,0.26,0.256,0.001,0.809,5.384,58.027,87.587
1998-01-01,1.017,24.561,3.353,0.901,0.334,0.215,0.001,0.677,5.481,56.438,87.497
1998-02-01,0.831,21.398,3.069,0.773,0.227,0.196,0.001,0.62,4.886,49.338,76.453
1998-03-01,0.831,19.989,3.071,0.795,0.26,0.226,0.001,0.62,4.972,54.433,80.224
1998-04-01,0.711,13.931,2.553,0.616,0.091,0.227,0.001,0.515,4.004,51.955,70.601
1998-05-01,0.493,9.237,2.771,0.491,0.137,0.234,0.001,0.559,4.193,60.327,74.249
1998-06-01,0.581,7.504,2.357,0.426,0.141,0.233,0.001,0.476,3.634,66.628,78.347
1998-07-01,0.66,7.749,2.25,0.412,0.058,0.245,0.001,0.455,3.422,72.699,84.53
1998-08-01,0.632,7.869,2.171,0.414,0.195,0.242,0.001,0.439,3.461,72.792,84.753
1998-09-01,0.494,7.607,2.049,0.42,0.085,0.227,0.001,0.414,3.196,66.123,77.419
1998-10-01,0.518,9.43,2.559,0.571,0.169,0.236,0.001,0.517,4.054,59.167,73.168
1998-11-01,0.864,14.368,2.374,0.712,0.254,0.223,0.001,0.48,4.044,54.574,73.849
1998-12-01,1.297,19.715,3.106,0.873,0.327,0.238,0.001,0.627,5.172,57.635,83.819
1999-01-01,1.341,25.832,3.8,1.217,0.293,0.155,0.001,0.646,6.111,58.561,91.845
1999-02-01,1.005,21.723,3.686,0.98,0.192,0.146,0.001,0.626,5.631,52.442,80.8
1999-03-01,0.584,21.111,3.438,1.021,0.153,0.163,0.001,0.584,5.36,56.067,83.121
1999-04-01,0.839,14.072,2.441,0.711,0.107,0.166,0.001,0.415,3.841,56.373,75.125
1999-05-01,0.514,9.552,2.181,0.557,0.098,0.169,0.001,0.371,3.377,60.427,73.87
1999-06-01,0.599,7.797,2.081,0.432,0.121,0.173,0.001,0.354,3.162,66.152,77.71
1999-07-01,0.814,7.17,2.02,0.419,0.098,0.18,0.001,0.343,3.061,76.143,87.189
1999-08-01,0.658,7.43,2.151,0.427,0.12,0.172,0.001,0.365,3.237,72.34,83.665
1999-09-01,0.48,7.448,2.072,0.461,0.121,0.162,0.001,0.352,3.168,62.658,73.754
1999-10-01,0.609,9.786,2.563,0.675,0.12,0.171,0.001,0.436,3.966,60.575,74.936
1999-11-01,0.849,13.291,2.753,0.796,0.211,0.16,0.001,0.468,4.389,54.446,72.975
1999-12-01,1.47,19.965,3.206,1.13,0.338,0.178,0.001,0.545,5.398,56.901,83.733
2000-01-01,1.131,24.504,4.015,1.226,0.404,0.241,0.002,0.753,6.641,63.155,95.431
2000-02-01,0.843,22.818,3.8,0.99,0.241,0.244,0.002,0.713,5.99,57.455,87.106
2000-03-01,0.654,18.85,3.326,0.901,0.159,0.261,0.001,0.624,5.272,59.796,84.572
2000-04-01,0.746,13.846,2.609,0.757,0.142,0.255,0.001,0.489,4.254,55.977,74.823
2000-05-01,0.5,9.794,2.518,0.587,0.079,0.272,0.001,0.472,3.93,66.107,80.332
2000-06-01,0.506,7.978,2.184,0.493,0.098,0.269,0.001,0.41,3.455,70.122,82.061
2000-07-01,0.611,7.416,2.162,0.493,0.077,0.272,0.001,0.405,3.41,73.348,84.784
2000-08-01,0.625,8.144,2.874,0.493,0.077,0.281,0.002,0.539,4.266,77.487,90.522
2000-09-01,0.516,8.053,2.54,0.529,0.181,0.259,0.001,0.476,3.987,66.624,79.181
2000-10-01,0.41,9.806,2.946,0.694,0.154,0.264,0.001,0.553,4.611,64.771,79.597
2000-11-01,0.849,15.716,3.264,0.986,0.153,0.255,0.001,0.612,5.273,61.791,83.629
2000-12-01,1.369,25.602,4.43,1.321,0.405,0.272,0.001,0.831,7.26,64.73,98.962
2001-01-01,1.099,27.198,4.938,1.242,0.315,0.209,0.002,0.683,7.389,65.845,101.53
2001-02-01,0.872,22.967,4.067,1.021,0.203,0.192,0.002,0.563,6.049,56.689,86.578
2001-03-01,0.798,20.418,3.806,1.018,0.325,0.221,0.002,0.526,5.897,62.075,89.189
2001-04-01,0.791,13.878,3.097,0.706,0.16,0.215,0.001,0.429,4.608,58.499,77.776
2001-05-01,0.497,8.915,2.48,0.562,0.116,0.226,0.002,0.343,3.729,65.923,79.064
2001-06-01,0.558,7.358,2.411,0.47,0.145,0.218,0.002,0.334,3.581,70.993,82.49
2001-07-01,0.684,7.079,2.594,0.467,0.15,0.233,0.002,0.359,3.805,77.932,89.5
2001-08-01,0.695,7.263,2.469,0.464,0.221,0.232,0.001,0.342,3.729,80.158,91.844
2001-09-01,0.467,7.782,2.356,0.506,0.104,0.215,0.001,0.326,3.507,67.706,79.462
2001-10-01,0.601,10.065,2.914,0.687,0.062,0.224,0.002,0.403,4.292,65.48,80.438
2001-11-01,0.806,12.516,3.03,0.79,0.222,0.217,0.002,0.419,4.681,60.572,78.575
2001-12-01,1.362,18.799,3.749,1.052,0.274,0.222,0.002,0.519,5.818,63.878,89.856
2002-01-01,0.952,23.607,3.898,1.133,0.153,0.25,0.002,0.705,6.142,61.103,91.804
2002-02-01,0.829,21.69,3.225,0.99,0.154,0.236,0.002,0.584,5.19,55.004,82.714
2002-03-01,0.784,20.214,3.116,0.99,0.116,0.264,0.002,0.564,5.052,60.127,86.177
2002-04-01,0.695,14.492,2.351,0.672,0.035,0.258,0.002,0.425,3.743,59.314,78.244
2002-05-01,0.529,10.411,2.229,0.593,0.081,0.276,0.002,0.403,3.584,64.062,78.586
2002-06-01,0.486,7.923,2.045,0.425,0.083,0.269,0.002,0.37,3.194,70.061,81.664
2002-07-01,0.676,7.413,2.197,0.417,0.037,0.278,0.002,0.398,3.328,77.721,89.139
2002-08-01,0.602,7.354,2.261,0.423,0.038,0.283,0.002,0.409,3.416,76.611,87.982
2002-09-01,0.432,7.666,2.29,0.44,0.05,0.255,0.002,0.415,3.451,71.053,82.602
2002-10-01,0.571,10.794,2.725,0.698,0.108,0.267,0.002,0.493,4.293,69.346,85.005
2002-11-01,0.859,16.153,2.862,0.92,0.137,0.258,0.002,0.518,4.698,63.758,85.468
2002-12-01,1.135,22.739,3.919,1.164,0.176,0.269,0.002,0.709,6.24,66.133,96.246
2003-01-01,0.956,28.026,4.828,1.389,0.288,0.34,0.003,1.089,7.936,67.037,103.956
2003-02-01,0.802,26.258,3.926,1.205,0.185,0.31,0.003,0.885,6.513,58.209,91.782
2003-03-01,0.589,21.122,3.723,1.029,0.098,0.347,0.003,0.839,6.041,60.513,88.265
2003-04-01,0.669,14.202,2.806,0.799,0.082,0.345,0.003,0.633,4.667,57.762,77.3
2003-05-01,0.477,9.728,2.496,0.634,0.097,0.365,0.002,0.563,4.157,62.79,77.153
2003-06-01,0.418,7.299,2.496,0.49,-0.001,0.358,0.003,0.563,3.908,68.137,79.762
2003-07-01,0.595,7.167,2.514,0.466,0.025,0.371,0.003,0.567,3.946,77.041,88.748
2003-08-01,0.591,7.109,2.379,0.468,0.053,0.379,0.003,0.536,3.818,78.081,89.598
2003-09-01,0.379,7.396,2.775,0.512,0.083,0.348,0.003,0.626,4.347,67.805,79.928
2003-10-01,0.465,9.606,2.903,0.722,0.09,0.367,0.003,0.654,4.738,66.808,81.617
2003-11-01,0.738,13.926,2.609,0.925,0.117,0.348,0.002,0.588,4.59,63.779,83.033
2003-12-01,1.144,21.082,3.556,1.236,0.247,0.362,0.003,0.802,6.205,66.416,94.847
2004-01-01,1.254,27.513,4.145,1.406,0.282,0.253,0.004,1.086,7.175,66.939,102.88
2004-02-01,1.009,25.933,3.68,1.177,0.178,0.24,0.003,0.964,6.242,60.837,94.021
2004-03-01,0.668,19.38,3.185,0.939,0.14,0.262,0.003,0.834,5.364,61.104,86.517
2004-04-01,0.813,13.735,2.694,0.74,0.124,0.256,0.003,0.706,4.523,59.541,78.613
2004-05-01,0.581,9.377,2.28,0.561,0.058,0.266,0,0.597,3.762,68.427,82.148
2004-06-01,0.56,7.547,2.24,0.472,0.097,0.261,0,0.587,3.657,70.663,82.427
2004-07-01,0.765,6.992,2.268,0.455,0.066,0.272,0,0.594,3.654,77.161,88.572
2004-08-01,0.655,6.98,2.414,0.467,0.083,0.271,0,0.632,3.868,75.75,87.253
2004-09-01,0.534,7.161,2.273,0.484,0.07,0.253,0.002,0.595,3.677,70.939,82.311
2004-10-01,0.566,9.496,2.614,0.703,0.085,0.264,0.003,0.685,4.353,67.748,82.162
2004-11-01,0.915,13.905,2.87,0.924,0.103,0.254,0.004,0.752,4.906,64.979,84.705
2004-12-01,1.45,21.818,4.457,1.241,0.214,0.267,0.005,1.167,7.351,69.539,100.158
2005-01-01,1.101,25.396,3.849,1.072,0.257,0.258,0.004,1.003,6.443,67.487,100.427
2005-02-01,0.855,22.399,3.475,0.893,0.123,0.235,0.003,0.905,5.634,59.456,88.344
2005-03-01,0.823,20.489,3.162,0.914,0.19,0.264,0.004,0.824,5.359,64.986,91.656
2005-04-01,0.703,13.184,2.459,0.647,0.084,0.26,0.001,0.641,4.093,60.151,78.131
2005-05-01,0.558,9.442,2.255,0.568,0.145,0.272,0,0.588,3.829,66.016,79.844
2005-06-01,0.591,7.355,2.473,0.431,0.1,0.266,0,0.644,3.915,76.126,87.987
2005-07-01,0.704,6.771,2.382,0.425,0.09,0.28,0,0.621,3.797,81.581,92.853
2005-08-01,0.669,6.729,2.634,0.428,0.054,0.279,0,0.686,4.081,82.923,94.403
2005-09-01,0.479,6.878,2.231,0.441,0.104,0.253,0.003,0.581,3.612,74.41,85.379
2005-10-01,0.53,8.793,2.496,0.606,0.133,0.264,0.004,0.65,4.154,70.475,83.952
2005-11-01,0.822,13.04,2.521,0.768,0.141,0.258,0.004,0.657,4.349,65.716,83.927
2005-12-01,1.426,22.495,3.445,1.079,0.16,0.272,0.004,0.898,5.857,70.404,100.182
2006-01-01,0.664,21.578,3.485,0.924,0.133,0.274,0,0.661,5.477,63.338,91.057
2006-02-01,0.603,21.2,3.648,0.913,0.188,0.25,0.003,0.692,5.694,60.635,88.132
2006-03-01,0.605,19.175,3.268,0.858,0.173,0.281,0.004,0.62,5.204,63.952,88.935
2006-04-01,0.398,12.262,2.259,0.594,0.142,0.274,0,0.429,3.698,59.74,76.098
2006-05-01,0.413,8.713,2.147,0.505,0.084,0.287,0,0.407,3.43,68.648,81.205
2006-06-01,0.436,7.289,1.938,0.402,0.048,0.282,0,0.368,3.039,74.131,84.894
2006-07-01,0.438,6.623,1.857,0.397,0.067,0.297,0.001,0.352,2.971,82.633,92.664
2006-08-01,0.438,6.865,1.918,0.404,0.051,0.295,0.005,0.364,3.036,83.215,93.555
2006-09-01,0.372,7.22,1.992,0.449,0.046,0.275,0.004,0.378,3.143,70.225,80.96
2006-10-01,0.533,10.186,2.088,0.634,0.053,0.285,0.004,0.396,3.461,72.296,86.476
2006-11-01,0.623,13.916,2.263,0.748,0.042,0.275,0.004,0.429,3.761,66.745,85.046
2006-12-01,0.716,18.834,2.934,0.927,0.084,0.287,0.003,0.556,4.791,69.055,93.396
2007-01-01,0.697,23.444,2.988,0.991,0.092,0.34,0.004,0.598,5.013,69.208,98.362
2007-02-01,0.677,25.928,3.271,0.954,0.076,0.311,0.004,0.654,5.27,63.705,95.58
2007-03-01,0.623,19.233,3.177,0.748,0.062,0.352,0.003,0.635,4.977,64.503,89.336
2007-04-01,0.456,14.106,1.792,0.645,0.046,0.342,0.003,0.358,3.186,63.683,81.431
2007-05-01,0.446,9.141,1.356,0.474,0.024,0.362,0,0.271,2.487,69.188,81.263
2007-06-01,0.429,7.311,1.528,0.397,0.025,0.352,0,0.306,2.607,76.378,86.726
2007-07-01,0.439,6.643,1.543,0.394,0.012,0.369,0,0.309,2.626,80.916,90.624
2007-08-01,0.469,6.898,1.731,0.396,0.05,0.367,0.003,0.346,2.893,86.549,96.809
2007-09-01,0.422,6.907,1.785,0.413,0.054,0.342,0.005,0.357,2.957,74.299,84.585
2007-10-01,0.574,8.556,2.108,0.52,0.049,0.352,0.005,0.422,3.456,73.229,85.815
2007-11-01,0.683,13.958,2.781,0.751,0.078,0.34,0.005,0.556,4.512,67.38,86.534
2007-12-01,0.739,21.464,4.245,0.961,0.103,0.352,0.003,0.849,6.513,70.544,99.261
2008-01-01,0.859,25.93,4.002,1.29,0.026,0.253,0.004,0.749,6.324,70.653,103.765
2008-02-01,0.789,24.933,3.843,1.119,0.053,0.237,0.003,0.719,5.974,65.324,97.02
2008-03-01,0.766,20.666,2.915,1.046,0.049,0.26,0.004,0.545,4.82,64.976,91.228
2008-04-01,0.5,13.853,2.201,0.778,0.002,0.251,0.004,0.412,3.647,63.447,81.447
2008-05-01,0.502,9.752,1.609,0.673,0.013,0.264,0,0.301,2.859,67.937,81.05
2008-06-01,0.614,7.257,1.714,0.516,0.009,0.251,0,0.321,2.81,76.088,86.769
2008-07-01,0.536,6.932,1.673,0.512,-0.002,0.26,0,0.313,2.756,82.248,92.472
2008-08-01,0.533,6.875,1.503,0.519,0.005,0.259,0,0.281,2.568,79.614,89.589
2008-09-01,0.491,7.009,1.564,0.538,0.022,0.232,0,0.293,2.65,72.696,82.846
2008-10-01,0.594,10.065,1.811,0.757,0.019,0.255,0.005,0.339,3.186,69.865,83.711
2008-11-01,0.657,14.963,2.188,0.963,0.038,0.244,0.005,0.409,3.847,66.547,86.014
2008-12-01,0.773,22.965,3.482,1.237,0.09,0.252,0.005,0.651,5.718,68.848,98.303
2009-01-01,0.862,28.102,3.917,1.244,0.065,0.286,0.004,0.715,6.231,68.588,103.783
2009-02-01,0.738,23.146,3.281,0.979,0.054,0.265,0.003,0.599,5.181,57.62,86.685
2009-03-01,0.703,19.428,3.152,0.916,0.024,0.296,0.003,0.576,4.966,59.575,84.671
2009-04-01,0.481,13.502,2.411,0.689,0.021,0.289,0,0.44,3.85,57.476,75.309
2009-05-01,0.439,9.003,1.684,0.528,0.021,0.3,0,0.308,2.841,62.247,74.53
2009-06-01,0.51,7.232,1.558,0.434,0.016,0.293,0,0.285,2.585,69.783,80.11
2009-07-01,0.45,6.941,1.806,0.422,0.002,0.305,0,0.33,2.864,72.895,83.15
2009-08-01,0.469,6.982,1.883,0.421,0.009,0.306,0.004,0.344,2.968,75.754,86.172
2009-09-01,0.417,7.12,2.206,0.45,-0.006,0.284,0.003,0.403,3.339,65.808,76.684
2009-10-01,0.524,10.763,1.959,0.7,0.032,0.295,0,0.358,3.344,64.658,79.289
2009-11-01,0.617,13.624,1.927,0.788,0.031,0.282,0.004,0.352,3.384,60.333,77.958
2009-12-01,0.709,23.257,3.524,1.173,0.04,0.293,0.005,0.644,5.679,68.42,98.065
2010-01-01,0.838,27.054,4.138,1.235,0.022,0.278,0.004,0.66,6.338,66.357,100.587
2010-02-01,0.727,23.895,3.83,1.089,0.047,0.253,0.003,0.611,5.832,60.279,90.732
2010-03-01,0.649,18.264,2.434,0.9,0.017,0.287,0.004,0.388,4.031,59.313,82.256
2010-04-01,0.411,11.658,1.703,0.639,0.01,0.288,0.003,0.272,2.914,57.422,72.404
2010-05-01,0.415,8.72,1.866,0.537,0.016,0.299,0,0.298,3.015,65.67,77.82
2010-06-01,0.473,7.021,2.126,0.426,0.023,0.293,0,0.339,3.207,74.18,84.881
2010-07-01,0.456,6.506,1.702,0.417,0.029,0.303,0,0.272,2.722,79.886,89.57
2010-08-01,0.488,6.858,1.52,0.419,0.014,0.302,0.004,0.243,2.502,80.49,90.338
2010-09-01,0.427,7.195,1.368,0.445,0.012,0.287,0.003,0.218,2.333,68.828,78.783
2010-10-01,0.497,10.029,2.1,0.622,0.022,0.293,0.004,0.335,3.377,62.48,76.382
2010-11-01,0.523,15.525,2.356,0.864,0.067,0.277,0.005,0.376,3.945,61.105,81.097
2010-12-01,0.674,25.327,3.889,1.212,0.075,0.289,0.006,0.621,6.091,67.624,99.717
2011-01-01,0.762,28.598,3.496,1.31,0.03,0.238,0.004,0.486,5.565,64.618,99.543
2011-02-01,0.7,23.382,3.312,1.071,0.073,0.22,0.003,0.461,5.141,55.425,84.647
2011-03-01,0.664,19.537,2.5,0.962,0.043,0.25,0.004,0.348,4.107,58.301,82.609
2011-04-01,0.44,12.552,1.668,0.699,0.013,0.242,0,0.232,2.854,56.537,72.383
2011-05-01,0.441,8.991,1.136,0.566,0.0,0.25,0,0.158,2.11,63.307,74.848
2011-06-01,0.463,7.24,1.707,0.441,0.007,0.248,0,0.237,2.64,70.466,80.81
2011-07-01,0.404,7.041,1.575,0.425,0.015,0.257,0,0.219,2.491,78.821,88.757
2011-08-01,0.36,7.464,2.155,0.427,0.009,0.252,0,0.3,3.143,77.434,88.402
2011-09-01,0.341,7.66,2.283,0.459,0.012,0.241,0,0.317,3.311,65.599,76.911
2011-10-01,0.38,11.148,2.559,0.658,0.003,0.245,0,0.356,3.822,61.12,76.47
2011-11-01,0.406,15.5,2.842,0.847,0.009,0.234,0.002,0.395,4.329,56.771,77.006
2011-12-01,0.48,21.666,3.788,1.095,0.02,0.246,0.005,0.527,5.68,59.607,87.434
2012-01-01,0.517,24.198,3.71,1.173,0.008,0.205,0.005,0.332,5.432,56.761,86.907
2012-02-01,0.449,21.005,2.917,1.011,0.036,0.201,0.004,0.261,4.43,53.248,79.133
2012-03-01,0.424,14.187,2.533,0.785,0.01,0.214,0.004,0.227,3.772,51.931,70.314
2012-04-01,0.267,11.331,1.793,0.681,0.003,0.211,0,0.161,2.848,50.556,65.002
2012-05-01,0.284,8.086,1.838,0.497,0.011,0.224,0,0.165,2.735,60.194,71.299
2012-06-01,0.285,7.107,1.842,0.416,0.003,0.217,0,0.165,2.643,65.847,75.882
2012-07-01,0.275,6.752,1.776,0.402,0.0,0.22,0.003,0.159,2.561,76.154,85.741
2012-08-01,0.275,7.238,2.23,0.406,0.0,0.228,0.004,0.2,3.069,73.168,83.75
2012-09-01,0.245,7.68,1.737,0.446,0.006,0.207,0.004,0.156,2.556,63.409,73.89
2012-10-01,0.308,11.536,1.593,0.663,0.004,0.217,0.004,0.143,2.624,60.936,75.404
2012-11-01,0.376,16.711,2.032,0.934,0.004,0.205,0.004,0.182,3.361,59.095,79.543
2012-12-01,0.428,21.207,2.33,1.108,0.003,0.209,0.004,0.209,3.863,59.162,84.661
2013-01-01,0.487,26.062,4.017,1.241,0.013,0.211,0.005,0.289,5.776,58.604,90.929
2013-02-01,0.448,23.342,3.723,1.107,0.003,0.192,0.005,0.268,5.296,54.032,83.119
2013-03-01,0.433,21.403,3.233,1.079,0.018,0.218,0.005,0.232,4.786,57.375,83.996
2013-04-01,0.26,13.554,2.426,0.765,0.006,0.216,0.001,0.174,3.588,52.594,69.996
2013-05-01,0.275,9.176,1.584,0.576,0.001,0.228,0,0.114,2.504,57.94,69.895
2013-06-01,0.266,7.394,1.121,0.456,0.001,0.222,0,0.081,1.88,65.954,75.495
2013-07-01,0.241,7.341,1.128,0.45,0.001,0.232,0,0.081,1.892,72.624,82.099
2013-08-01,0.244,7.448,1.459,0.456,0.001,0.231,0.004,0.105,2.257,72.415,82.364
2013-09-01,0.231,7.714,1.596,0.488,0.005,0.219,0.004,0.115,2.426,64.528,74.898
2013-10-01,0.285,11.233,1.18,0.693,0.002,0.226,0.004,0.085,2.188,60.186,73.893
2013-11-01,0.354,18.771,1.797,0.981,0.0,0.218,0.003,0.129,3.128,57.117,79.369
2013-12-01,0.409,25.782,2.22,1.242,0.024,0.218,0.005,0.16,3.869,62.015,92.076
2014-01-01,0.509,31.243,2.933,1.439,0.026,0.279,0.005,0.066,4.749,65.466,101.967
2014-02-01,0.507,26.778,3.255,1.223,0.006,0.263,0.005,0.073,4.826,58.509,90.621
2014-03-01,0.457,22.991,2.913,1.153,0.003,0.294,0.005,0.066,4.434,58.975,86.856
2014-04-01,0.266,13.702,1.413,0.78,0.003,0.293,0.005,0.032,2.525,51.615,68.108
2014-05-01,0.232,9.644,1.909,0.598,0.003,0.305,0.002,0.043,2.859,58.536,71.273
2014-06-01,0.254,7.718,1.644,0.484,0.002,0.295,0,0.037,2.462,65.463,75.897
2014-07-01,0.255,7.509,1.374,0.481,0.017,0.312,0.001,0.031,2.216,70.764,80.743
2014-08-01,0.214,7.483,1.438,0.484,0.002,0.315,0.007,0.032,2.278,71.582,81.556
2014-09-01,0.19,8.125,2.008,0.513,0.025,0.288,0.006,0.045,2.886,62.98,74.182
2014-10-01,0.234,11.042,2.171,0.691,0.023,0.308,0.005,0.049,3.247,58.188,72.711
2014-11-01,0.332,19.741,2.555,1.069,0.009,0.291,0.006,0.058,3.987,56.211,80.272
2014-12-01,0.365,23.307,2.833,1.175,0.031,0.301,0.006,0.064,4.411,56.614,84.698
2015-01-01,0.391,29.203,3.676,1.347,0.003,1.979,0.007,0.041,7.054,58.533,95.18
2015-02-01,0.391,28.366,3.173,1.282,0.011,1.823,0.007,0.035,6.331,56.313,91.401
2015-03-01,0.336,21.143,2.516,1.034,0.015,2.074,0.006,0.028,5.673,52.207,79.359
2015-04-01,0.195,12.718,1.515,0.728,0.001,2.04,0.004,0.017,4.305,48.162,65.381
2015-05-01,0.181,8.789,1.516,0.556,0.027,2.117,0,0.017,4.234,55.896,69.101
2015-06-01,0.219,7.418,0.889,0.446,0.001,2.084,0,0.01,3.429,64.681,75.747
2015-07-01,0.204,7.325,1.025,0.441,0.001,2.168,0,0.011,3.647,70.825,82.001
2015-08-01,0.183,7.41,1.27,0.446,0.002,2.164,0.005,0.014,3.902,68.788,80.282
2015-09-01,0.162,7.565,1.209,0.453,0.001,2.055,0.007,0.014,3.738,62.374,73.838
2015-10-01,0.198,10.678,3.056,0.668,0.004,2.116,0.006,0.034,5.884,54.776,71.536
2015-11-01,0.227,15.519,3.281,0.877,0.002,2.015,0.005,0.037,6.216,49.792,71.754
2015-12-01,0.277,19.32,3.566,1.03,0.033,2.095,0.004,0.04,6.769,48.958,75.324
2016-01-01,0.288,27.61,3.041,1.392,0.003,1.941,0.007,0.042,6.426,54.695,89.018
2016-02-01,0.288,22.691,2.97,1.099,0.003,1.932,0.006,0.041,6.05,46.417,75.447
2016-03-01,0.283,16.369,2.101,0.932,0.015,2.101,0.006,0.029,5.184,43.066,64.902
2016-04-01,0.142,12.78,1.847,0.764,0.005,1.994,0.001,0.025,4.636,42.988,60.546
2016-05-01,0.114,9.391,1.673,0.604,0.012,2.11,0,0.023,4.421,49.176,63.103
2016-06-01,0.144,7.586,1.146,0.448,0.015,2.082,0,0.016,3.707,62.555,73.991
2016-07-01,0.122,7.382,1.216,0.446,0.016,2.145,0.004,0.017,3.843,70.292,81.639
2016-08-01,0.13,7.702,0.948,0.446,0.001,2.169,0,0.013,3.578,71.253,82.663
2016-09-01,0.131,7.788,1.441,0.468,0.02,2.057,0,0.02,4.005,61.178,73.101
2016-10-01,0.168,10.495,2.034,0.656,0.028,2.034,0,0.028,4.781,54.429,69.873
2016-11-01,0.201,15.389,2.196,0.883,0.003,1.999,0.001,0.03,5.111,48.045,68.747
2016-12-01,0.254,25.39,3.559,1.296,0.032,2.074,0.005,0.049,7.015,56.151,88.811
2017-01-01,0.253,26.25,3.282,1.339,0.034,1.836,0.007,0.039,6.537,53.086,86.125
2017-02-01,0.206,19.677,2.442,1.043,0.011,1.76,0.004,0.029,5.289,43.564,68.736
2017-03-01,0.235,20.344,2.295,1.082,0.003,2.019,0.006,0.028,5.432,47.033,73.044
2017-04-01,0.131,11.595,1.835,0.728,0.003,1.945,0.002,0.022,4.535,43.898,60.16
2017-05-01,0.122,9.762,1.313,0.634,0.004,2.064,0.003,0.016,4.033,50.162,64.08
2017-06-01,0.125,7.55,1.576,0.471,0.002,2.043,0.002,0.019,4.113,56.961,68.749
2017-07-01,0.127,7.312,1.002,0.463,0.001,2.077,0.001,0.012,3.556,66.264,77.259
2017-08-01,0.115,7.507,1.303,0.475,0.001,2.107,0.007,0.016,3.908,63.418,74.948
2017-09-01,0.122,7.921,1.268,0.494,0.019,1.96,0.006,0.015,3.762,54.878,66.683
2017-10-01,0.142,10.976,1.659,0.679,0.002,2.02,0.004,0.02,4.384,51.191,66.692
2017-11-01,0.177,17.643,2.48,1.007,0.004,1.898,0.003,0.03,5.421,48.661,71.902
2017-12-01,0.222,26.653,3.46,1.376,0.001,1.998,0.006,0.042,6.883,53.314,87.072
2018-01-01,0.259,30.37,3.929,1.56,0.054,1.92,0.006,0.038,7.507,55.547,93.684
2018-02-01,0.202,23.25,2.529,1.194,0.004,1.744,0.006,0.025,5.502,43.17,72.124
2018-03-01,0.193,22.903,2.101,1.226,0.009,2.081,0.005,0.02,5.443,45.234,73.773
2018-04-01,0.137,16.535,1.941,0.978,0.004,1.96,0.002,0.019,4.904,42.409,63.985
2018-05-01,0.114,8.965,1.188,0.616,0.012,2.081,0,0.012,3.908,50.122,63.109
2018-06-01,0.106,7.797,0.92,0.531,0.003,2.082,0,0.009,3.544,56.39,67.837
2018-07-01,0.101,7.535,0.863,0.521,0.003,2.114,0,0.008,3.51,64.925,76.072
2018-08-01,0.107,7.83,0.73,0.525,0.003,2.142,0,0.007,3.407,64.716,76.06
2018-09-01,0.115,8.027,1.008,0.544,0.001,1.947,0.003,0.01,3.512,56.63,68.284
2018-10-01,0.14,12.998,2.155,0.812,0.002,2.036,0.003,0.021,5.029,52.021,70.187
2018-11-01,0.16,21.161,2.78,1.191,0.002,1.97,0.005,0.027,5.975,49.802,77.098
2018-12-01,0.158,25.155,3.807,1.368,0.001,2.011,0.006,0.037,7.231,50.16,82.704
2019-01-01,0.202,30.455,3.529,1.562,0.044,1.948,0.006,0.026,7.114,51.27,89.041
2019-02-01,0.186,25.944,2.941,1.343,0.026,1.807,0.004,0.021,6.142,43.618,75.89
