Month,Asphalt and Road Oil Product Supplied,Aviation Gasoline Product Supplied,Distillate Fuel Oil Product Supplied,Propane Product Supplied,Propylene Product Supplied,Propane/Propylene Product Supplied,Total Hydrocarbon Gas Liquids Product Supplied,Jet Fuel Product Supplied,Kerosene Product Supplied,Lubricants Product Supplied,Motor Gasoline Product Supplied,Petroleum Coke Product Supplied,Residual Fuel Oil Product Supplied,Other Products Supplied,Total Petroleum Products Supplied
1973-01-01,183.645,39.516,4138.258,1308.961,71.774,1380.735,1994.065,1109.968,405.968,148.903,6117.645,270.065,3305.968,998.645,18712.645
1973-02-01,216.643,44.143,4301.679,1231.55,64.857,1296.407,1856.857,1090.25,385.143,162.929,6436.536,246.071,3381.571,972.321,19094.143
1973-03-01,255.645,42.419,3337.129,774.187,69.806,843.994,1407.226,993.677,200.71,158.645,6512.935,242.71,3083.516,981.613,17216.226
1973-04-01,377.733,42.567,2634.567,691.56,66.433,757.993,1299.067,1014.8,163.133,145.333,6541.433,240.367,2476.533,985.0,15920.533
1973-05-01,543.613,50.71,2672.613,638.974,70.613,709.587,1269.581,1112.419,132.323,166.065,6907.258,258.452,2521.452,991.323,16625.806
1973-06-01,710.233,44.967,2418.667,559.433,72.7,632.133,1149.1,1007.367,117.633,149.3,6963.733,280.133,2607.133,1033.067,16481.333
1973-07-01,797.0,38.774,2328.226,507.684,73.29,580.974,1109.452,1046.032,148.452,175.161,7023.129,267.323,2411.742,1027.097,16372.387
1973-08-01,892.355,61.71,2555.097,629.045,69.903,698.948,1281.161,1049.161,146.645,170.484,7256.613,278.806,2755.452,1051.355,17498.839
1973-09-01,734.5,44.133,2674.7,672.567,74.767,747.333,1297.367,1070.367,184.467,154.3,6580.567,249.733,2675.967,990.2,16656.3
1973-10-01,702.935,50.806,2930.129,785.832,69.065,854.897,1498.806,1104.387,179.452,183.839,6676.935,286.387,2590.0,998.548,17202.226
1973-11-01,519.6,45.367,3507.667,1019.153,65.8,1084.953,1703.067,1024.967,305.6,168.4,6822.967,253.5,3157.633,983.267,18492.033
1973-12-01,305.645,38.129,3690.129,930.613,63.355,993.968,1606.806,1086.774,238.258,161.065,6236.839,252.839,2943.968,977.903,17538.355
1974-01-01,225.419,40.806,3835.419,1079.239,62.581,1141.819,1766.484,895.161,311.516,168.71,5804.355,251.258,3035.548,951.194,17285.871
1974-02-01,277.643,31.071,3848.75,902.064,67.071,969.136,1605.786,859.964,280.929,155.714,6099.893,248.893,2991.25,965.821,17365.714
1974-03-01,304.968,53.387,3164.129,741.529,75.581,817.11,1408.323,955.677,178.0,158.548,6161.935,263.355,2555.774,899.613,16103.71
1974-04-01,413.867,42.533,2852.2,663.133,67.3,730.433,1321.233,940.533,129.967,156.567,6456.933,234.433,2437.033,943.2,15928.5
1974-05-01,560.968,42.742,2449.968,583.826,63.258,647.084,1180.194,1053.129,71.29,168.097,6745.387,212.71,2259.903,981.29,15725.677
1974-06-01,635.3,50.367,2377.033,568.153,76.5,644.653,1242.4,951.7,114.733,136.433,6919.233,237.3,2404.9,1047.733,16117.133
1974-07-01,685.71,44.29,2308.581,575.039,70.323,645.361,1186.742,1028.097,124.645,161.194,6959.097,227.097,2473.065,1150.226,16348.742
1974-08-01,693.129,59.194,2308.871,624.039,72.419,696.458,1220.903,1031.0,140.645,145.645,7061.419,232.0,2529.258,1127.645,16549.71
1974-09-01,672.2,44.7,2385.367,743.933,75.3,819.233,1359.7,1109.333,137.867,162.3,6387.6,258.667,2475.0,1031.067,16023.8
1974-10-01,655.806,51.452,2886.968,826.084,75.161,901.245,1493.161,1011.161,192.387,161.71,6712.194,213.065,2611.226,1060.903,17050.032
1974-11-01,415.7,39.067,3156.633,905.853,69.2,975.053,1604.433,1031.8,195.533,145.167,6546.533,237.267,2935.367,1043.767,17351.267
1974-12-01,220.065,32.161,3852.968,1025.381,52.548,1077.929,1692.452,1042.548,244.194,142.419,6557.903,247.516,2983.355,997.387,18012.968
1975-01-01,188.129,31.548,3962.839,1070.716,51.645,1122.361,1708.194,1041.161,219.806,146.226,6205.871,246.613,3253.065,1000.452,18003.903
1975-02-01,189.893,37.357,3803.214,905.164,56.5,961.664,1511.75,1074.571,252.786,113.821,6096.107,248.5,2848.643,907.714,17084.357
1975-03-01,199.935,33.452,3291.71,801.542,52.484,854.026,1404.387,982.065,167.161,104.839,6325.71,222.581,2668.613,914.903,16315.355
1975-04-01,311.033,39.2,3093.733,691.027,44.2,735.227,1241.733,1006.067,146.133,143.633,6718.067,240.333,2232.467,875.9,16048.3
1975-05-01,424.0,36.0,2382.323,479.697,53.161,532.858,1002.129,977.452,97.323,135.806,6871.29,216.871,2086.774,925.29,15155.258
1975-06-01,594.033,40.433,2267.433,453.487,65.467,518.953,997.7,989.367,132.033,149.1,7076.167,232.1,2177.0,954.667,15610.033
1975-07-01,642.387,46.548,2109.355,568.103,63.29,631.394,1190.645,953.903,97.484,136.871,7040.581,271.258,2219.806,1031.032,15739.871
1975-08-01,637.419,43.548,2173.065,620.052,68.903,688.955,1227.484,1046.452,107.0,148.677,7008.29,251.935,2156.774,1005.645,15806.29
1975-09-01,644.667,45.5,2163.167,668.953,67.667,736.62,1277.9,1039.7,125.0,148.1,6728.7,251.067,2328.2,1015.833,15767.833
1975-10-01,582.129,43.516,2677.097,715.974,62.806,778.781,1429.29,996.742,146.065,156.71,6777.645,274.806,2268.387,1024.226,16376.613
1975-11-01,398.5,35.7,2543.6,750.86,63.5,814.36,1443.9,999.067,146.767,123.467,6389.667,251.033,2405.4,1040.133,15777.233
1975-12-01,199.323,29.774,3792.097,1045.148,69.29,1114.439,1786.645,911.129,275.29,140.323,6808.032,253.161,2911.677,1077.548,18185.0
1976-01-01,165.613,27.839,4297.419,1183.974,69.226,1253.2,1884.935,947.71,298.032,122.548,6398.29,265.968,3117.839,1120.71,18646.903
1976-02-01,174.138,28.862,3697.069,845.786,65.69,911.476,1517.69,965.241,217.828,140.31,6263.483,242.655,3076.793,1185.207,17509.276
1976-03-01,257.129,33.903,3339.194,681.548,77.129,758.677,1302.71,964.968,158.71,171.323,6890.484,251.968,2779.258,1152.355,17302.0
1976-04-01,326.633,37.0,2787.633,585.44,72.533,657.973,1201.0,1009.7,138.967,157.933,7159.4,244.367,2495.6,1113.3,16671.533
1976-05-01,461.226,35.097,2519.226,503.49,73.774,577.265,1138.226,960.194,78.032,145.903,6852.968,244.71,2439.484,1102.323,15977.387
1976-06-01,578.7,49.967,2436.267,526.76,69.767,596.527,1110.067,971.7,120.6,166.633,7481.933,237.8,2508.933,1161.967,16824.567
1976-07-01,597.774,39.226,2255.129,545.394,75.065,620.458,1103.194,1098.806,99.516,165.774,7315.226,210.548,2548.29,1173.258,16606.742
