Month,"Coal Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Petroleum Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Waste Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Coal Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Petroleum Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Other Fossil Gases Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Wood Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Waste Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Other Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector"
2007-11-01,169.334,24.405,5.722,2.622,1830.295,1435.499,85.285,20.159,95.225,2.683,7.591
2007-12-01,183.33,74.94,6.41,2.61,1944.816,1678.885,90.423,21.698,101.511,2.866,8.396
2008-01-01,197.17,108.483,6.321,2.81,1953.552,1493.684,86.797,25.6,111.635,3.316,4.783
2008-02-01,181.221,70.808,5.783,2.595,1849.919,1174.997,77.818,26.609,91.521,4.212,5.186
2008-03-01,175.855,35.083,5.744,2.718,1879.004,1135.957,80.442,20.984,92.453,3.587,5.169
2008-04-01,143.833,26.097,5.051,2.976,1803.17,992.42,74.851,18.912,93.09,3.046,5.118
2008-05-01,144.507,19.859,4.489,2.989,1857.449,1004.443,78.941,19.557,92.382,2.49,5.64
2008-06-01,176.867,60.195,5.069,3.002,1771.825,1048.246,79.722,19.936,88.122,1.839,5.683
2008-07-01,168.83,93.449,5.955,2.897,1870.608,978.429,87.997,21.041,90.164,2.46,6.119
2008-08-01,167.879,36.283,6.081,2.93,1841.052,1008.397,88.608,21.456,88.242,2.086,5.811
2008-09-01,154.718,21.653,5.532,2.884,1783.053,1001.194,71.015,18.075,83.744,1.93,4.609
2008-10-01,149.737,29.308,5.329,2.769,1786.902,991.146,79.743,16.774,88.392,3.282,4.138
2008-11-01,165.657,51.458,5.129,2.806,1720.728,981.293,73.989,14.724,85.702,3.578,3.865
2008-12-01,194.747,118.018,5.732,2.837,1784.431,1411.943,74.864,15.075,78.471,3.665,4.242
2009-01-01,208.488,176.058,6.577,2.927,1793.056,1550.326,80.899,16.797,77.565,3.816,6.252
2009-02-01,178.468,69.756,5.809,2.584,1605.017,1385.037,71.315,15.936,74.116,3.163,6.159
2009-03-01,169.863,34.867,6.1,3.094,1691.805,1247.957,78.597,16.875,77.079,3.609,6.023
2009-04-01,127.742,25.561,5.446,3.044,1486.703,1056.413,73.726,15.082,73.466,2.637,6.408
2009-05-01,116.67,19.369,5.325,3.253,1549.877,1310.924,76.68,15.208,75.813,2.08,7.279
2009-06-01,135.403,13.588,5.861,3.16,1600.358,1138.259,82.147,16.082,77.311,2.024,7.428
2009-07-01,137.228,19.286,7.041,3.169,1658.803,1136.388,89.231,18.285,83.408,2.175,7.338
2009-08-01,142.923,37.68,7.453,3.25,1693.628,1086.159,92.118,18.937,86.165,2.248,7.097
2009-09-01,127.269,19.658,7.005,2.902,1610.823,1127.588,88.304,18.954,81.486,2.212,6.586
2009-10-01,128.609,17.162,6.251,2.944,1670.624,1010.48,84.961,17.446,83.853,3.697,7.368
2009-11-01,151.274,34.732,5.932,3.008,1621.656,1048.812,80.668,17.138,81.502,3.992,7.272
2009-12-01,173.865,53.242,6.754,3.022,1783.167,1129.694,91.121,17.388,83.509,3.701,7.199
2010-01-01,192.732,55.224,7.248,2.969,2093.851,1127.989,90.013,16.507,85.521,4.421,6.485
2010-02-01,167.23,46.634,6.626,2.567,1977.824,1021.009,79.58,14.555,79.332,3.692,6.53
2010-03-01,149.349,25.681,6.584,3.038,2123.819,817.264,83.501,18.36,86.487,4.129,7.406
2010-04-01,117.06,23.663,5.988,3.221,2219.888,761.311,78.722,17.565,82.678,4.522,7.065
2010-05-01,118.398,28.476,5.74,3.599,2010.198,796.239,81.557,18.082,83.227,3.281,7.478
2010-06-01,134.823,25.92,6.185,3.175,1898.044,834.904,84.362,18.051,84.664,3.041,8.35
2010-07-01,141.821,59.395,8.111,3.099,2122.254,883.114,91.405,17.288,87.582,3.416,8.064
2010-08-01,151.74,46.269,8.801,3.228,2194.125,849.396,94.799,19.107,88.226,3.357,8.3
2010-09-01,132.752,27.248,7.481,2.947,1941.031,780.386,86.98,17.51,87.28,2.791,7.647
2010-10-01,121.421,21.461,7.431,2.693,1957.572,898.738,83.937,17.012,86.394,4.573,7.672
2010-11-01,127.865,21.532,7.131,2.649,1853.883,924.205,81.924,17.334,85.942,4.841,7.535
2010-12-01,164.776,55.059,8.461,2.773,2245.943,1045.131,92.21,18.54,91.303,4.469,8.213
2011-01-01,188.726,102.573,7.108,3.346,2082.05,1031.221,89.577,18.397,94.017,4.353,6.89
2011-02-01,173.308,47.958,6.032,3.103,1800.012,855.527,80.5,18.401,82.833,4.085,7.239
2011-03-01,164.441,26.308,6.044,3.417,1891.355,787.927,81.62,19.174,88.461,3.877,7.78
2011-04-01,123.729,7.88,5.747,3.309,1786.838,790.862,82.99,18.163,83.832,2.712,7.55
2011-05-01,124.12,12.381,7.09,3.631,1836.22,791.465,86.945,18.879,82.041,2.734,7.94
2011-06-01,130.403,8.546,6.869,3.697,1842.539,764.291,87.696,19.983,88.466,2.84,7.982
2011-07-01,144.829,22.66,9.226,3.73,1945.721,713.857,97.207,20.246,89.606,2.945,8.712
2011-08-01,129.328,19.627,8.878,3.849,1962.007,703.213,99.454,20.283,89.611,3.039,7.823
2011-09-01,122.235,23.426,7.629,3.574,1787.884,761.904,90.591,19.702,88.093,3.12,7.409
2011-10-01,110.077,14.328,6.882,3.527,1748.307,830.312,84.509,20.069,86.062,4.478,8.005
2011-11-01,117.473,27.817,7.13,3.694,1712.132,767.447,86.029,18.854,89.67,4.66,7.985
2011-12-01,138.995,19.13,8.392,3.666,1923.448,811.737,95.539,19.907,94.582,4.48,8.263
2012-01-01,155.402,86.825,9.137,3.777,2014.795,1493.034,94.331,21.4,93.51,3.476,6.828
2012-02-01,135.019,28.529,8.824,3.622,1832.118,979.093,88.883,21.177,87.88,3.987,6.525
2012-03-01,127.674,30.647,8.872,3.696,1683.801,1046.692,90.887,22.377,87.415,4.936,6.477
2012-04-01,102.082,18.782,8.528,3.67,1481.104,862.667,90.281,22.247,83.447,3.921,6.326
2012-05-01,108.45,27.191,8.806,3.817,1563.168,873.432,94.988,21.556,88.792,3.137,7.144
2012-06-01,108.712,27.969,9.637,3.63,1553.362,925.502,97.774,20.67,87.936,2.703,6.871
2012-07-01,119.858,61.345,12.11,3.818,1711.893,1024.018,107.19,21.002,91.573,3.383,7.132
2012-08-01,120.104,40.708,10.585,3.94,1702.828,1196.857,104.789,21.706,92.787,3.358,6.905
2012-09-01,107.005,27.24,9.306,3.764,1534.912,1055.505,95.572,18.635,90.66,3.127,6.47
2012-10-01,101.199,30.735,8.626,3.898,1586.514,1082.026,93.512,18.445,90.691,4.945,6.798
2012-11-01,123.625,38.439,8.281,3.71,1649.036,1162.776,92.894,18.866,91.628,5.285,6.926
2012-12-01,140.766,38.633,8.288,3.907,1751.448,1151.407,97.92,20.697,95.563,5.221,6.946
2013-01-01,148.911,270.077,9.524,3.811,1766.973,1221.526,100.079,21.486,95.721,5.427,5.8
2013-02-01,137.038,97.828,8.69,3.407,1599.91,858.139,89.413,19.177,85.813,4.931,5.417
2013-03-01,132.186,34.807,9.417,3.991,1748.419,1090.673,97.174,21.517,92.12,5.415,5.749
2013-04-01,99.685,27.937,8.666,3.853,1565.148,1036.084,92.419,20.188,87.776,6.105,5.217
2013-05-01,105.286,26.938,8.863,4.08,1618.254,1159.385,93.41,20.328,91.012,5.046,5.164
2013-06-01,101.876,24.024,9.627,4.062,1563.115,1133.026,95.701,19.727,92.198,4.699,5.41
2013-07-01,100.389,44.48,12.137,4.126,1673.576,1143.311,104.529,21.05,99.519,5.166,5.828
2013-08-01,101.761,39.312,11.26,4.132,1626.289,1244.915,103.614,20.693,95.642,5.322,6.386
2013-09-01,96.422,29.327,10.363,3.946,1529.91,966.527,95.657,19.688,88.494,4.815,6.291
2013-10-01,90.521,37.287,9.13,3.889,1620.358,956.249,95.691,19.331,90.791,6.256,6.453
2013-11-01,112.197,42.052,9.218,3.762,1683.154,749.754,97.537,19.351,92.482,6.571,5.874
2013-12-01,129.861,213.111,10.732,4.015,1765.426,1137.357,105.081,22.964,97.08,6.927,5.753
2014-01-01,131.652,236.605,13.616,4.469,1790.919,1048.893,105.526,21.309,95.698,6.259,6.239
2014-02-01,131.171,109.273,8.706,3.457,1633.451,847.567,88.88,19.838,86.888,5.96,5.307
2014-03-01,118.026,78.992,8.537,3.801,1728.557,875.395,94.446,21.873,94.267,6.415,5.22
2014-04-01,81.929,44.007,8.052,3.756,1471.76,860.526,89.409,20.438,90.402,7.098,5.633
2014-05-01,71.559,31.081,9.033,3.965,1548.936,831.963,92.091,20.821,91.564,5.137,5.545
2014-06-01,78.333,30.111,9.58,3.935,1539.845,870.833,91.286,21.08,93.828,5.063,5.743
2014-07-01,85.274,29.079,10.715,4.203,1589.235,860.552,99.157,22.205,96.566,5.734,5.875
2014-08-01,71.562,36.991,11.461,4.155,1591.434,803.866,100.785,23.129,98.025,4.702,6.697
2014-09-01,63.73,36.254,10.126,3.936,1501.925,814.968,94.659,22.566,90.537,4.407,6.275
2014-10-01,57.606,38.372,9.715,3.8,1482.461,686.155,94.657,21.66,92.936,6.308,5.926
2014-11-01,81.857,42.27,9.169,3.647,1553.901,784.394,94.202,23.072,92.603,5.975,6.213
2014-12-01,89.959,45.34,9.883,3.839,1644.052,827.298,99.861,22.501,98.337,6.473,7.1
2015-01-01,96.736,88.282,9.504,3.858,1612.679,883.557,103.482,23.228,98.029,6.403,5.939
2015-02-01,96.733,221.321,8.549,3.392,1482.712,925.996,92.252,19.52,87.485,5.315,5.231
2015-03-01,83.309,53.11,9.18,3.882,1506.146,746.395,98.908,20.758,90.036,6.312,5.468
2015-04-01,54.293,38.694,8.084,3.859,1336.438,810.052,92.881,19.768,90.342,6.067,5.704
2015-05-01,50.344,34.35,8.989,4.007,1377.774,713.368,95.159,19.99,92.896,5.13,6.144
2015-06-01,60.892,28.193,9.804,3.931,1381.105,675.805,101.032,21.216,90.448,5.025,6.069
2015-07-01,64.311,31.765,11.474,4.268,1504.895,598.704,109.444,22.36,94.653,5.5,6.868
2015-08-01,57.556,41.611,11.208,4.083,1419.98,614.225,110.428,21.747,95.0,4.98,6.761
2015-09-01,50.89,21.566,10.772,4.045,1391.418,691.225,102.484,21.235,90.355,4.798,5.951
2015-10-01,51.541,19.891,9.731,3.776,1295.526,615.529,102.351,18.384,88.426,6.652,6.118
2015-11-01,59.107,22.907,9.315,3.913,1325.057,707.389,103.292,17.545,90.811,6.595,6.201
2015-12-01,72.142,20.49,9.769,4.016,1350.383,618.028,110.212,19.945,94.056,7.05,6.413
2016-01-01,75.262,67.817,10.658,3.98,1397.261,679.43,103.442,21.587,95.128,4.794,5.954
2016-02-01,75.387,49.144,9.697,3.614,1282.036,787.733,94.99,19.953,88.928,4.969,5.417
2016-03-01,74.003,21.198,9.791,4.104,1274.833,624.174,98.949,22.154,89.825,5.634,5.394
2016-04-01,45.553,25.674,9.383,3.931,1075.583,572.981,94.958,21.744,84.657,5.048,5.605
2016-05-01,36.542,21.943,9.716,4.051,1178.029,776.307,97.669,21.605,89.231,4.768,5.715
2016-06-01,46.166,21.215,11.016,3.992,1242.702,753.8,101.016,21.182,90.53,3.064,5.942
2016-07-01,46.143,44.711,13.33,4.213,1321.161,749.482,107.158,20.784,92.462,3.496,6.23
2016-08-01,49.413,27.828,13.761,4.169,1292.162,714.304,108.365,21.111,92.78,3.521,6.663
2016-09-01,49.607,16.091,11.073,3.96,1157.257,563.696,101.012,19.718,86.306,3.127,6.389
2016-10-01,49.856,15.58,9.8,3.905,1126.246,680.314,99.374,19.687,87.898,4.857,5.706
2016-11-01,59.538,46.848,8.716,4.076,1092.706,703.723,98.563,19.662,91.37,5.293,5.596
2016-12-01,75.425,46.388,10.305,4.136,1280.244,667.478,103.965,21.615,111.31,5.363,5.422
2017-01-01,70.607,67.792,14.114,4.287,1264.022,582.268,107.463,22.292,91.385,4.963,5.189
2017-02-01,57.521,41.863,12.21,3.792,1076.977,495.517,96.936,19.853,83.508,4.442,4.76
2017-03-01,65.622,50.64,12.224,4.006,1141.721,635.99,103.16,21.278,90.059,4.832,5.379
2017-04-01,42.05,25.155,10.435,3.894,1007.293,549.306,98.942,20.254,84.694,4.487,5.364
2017-05-01,39.18,33.437,11.102,4.049,1042.991,551.484,101.187,22.158,86.316,3.515,5.169
2017-06-01,40.002,26.205,12.802,3.955,1044.356,626.676,103.994,20.439,90.138,2.534,5.469
2017-07-01,47.365,30.502,14.836,4.095,1042.883,611.408,111.31,21.123,92.908,2.934,6.341
2017-08-01,42.897,44.108,14.751,4.11,1050.45,618.33,108.326,21.562,93.8,3.102,6.414
2017-09-01,45.39,35.25,13.25,3.679,989.438,539.485,102.535,20.284,83.874,2.704,5.403
2017-10-01,41.789,34.007,12.739,3.678,1097.876,606.599,104.032,21.126,87.748,4.021,4.816
2017-11-01,52.13,38.808,12.177,3.907,1078.184,679.454,103.966,20.545,89.837,4.676,5.206
2017-12-01,65.508,88.233,13.742,4.054,1138.701,712.808,114.807,21.624,94.705,4.834,5.399
2018-01-01,76.161,185.88,11.562,3.987,1242.113,925.621,115.475,24.263,92.333,4.744,5.249
2018-02-01,59.483,48.342,10.592,3.709,1121.694,578.281,100.604,24.239,82.547,4.28,4.601
2018-03-01,56.765,41.519,10.914,3.987,1108.727,529.745,105.124,25.962,90.238,4.686,5.429
2018-04-01,46.897,35.713,9.75,3.899,959.941,568.44,101.86,23.168,84.505,4.227,4.957
2018-05-01,38.909,33.692,10.3,4.041,979.413,539.203,104.776,25.493,89.146,3.543,5.256
2018-06-01,36.008,33.177,11.17,3.921,969.394,617.893,107.159,25.507,87.314,2.289,5.277
2018-07-01,39.835,54.923,13.167,3.973,961.864,610.221,115.816,26.316,92.465,2.533,5.136
2018-08-01,41.898,46.375,13.285,4.049,949.021,544.832,115.872,30.16,91.733,2.667,5.563
2018-09-01,44.96,38.711,11.419,3.602,942.513,528.108,109.877,24.673,84.621,2.5,4.768
2018-10-01,41.514,36.449,10.702,3.868,890.984,607.896,109.738,26.884,87.253,4.265,5.176
2018-11-01,47.31,61.807,10.589,3.876,1014.877,587.912,112.863,23.992,87.548,4.401,5.077
2018-12-01,46.818,64.549,11.058,4.014,1092.641,656.123,115.109,25.447,94.976,4.775,5.466
2019-01-01,59.36,100.272,11.975,3.725,1118.977,708.358,121.099,19.651,92.297,3.815,5.635
2019-02-01,54.497,50.699,11.01,3.25,1004.705,508.31,108.015,17.762,83.488,3.59,4.826
2019-03-01,57.717,52.621,11.2,3.465,932.37,520.774,112.587,19.857,88.68,3.513,5.16
2019-04-01,39.767,39.024,10.2,3.014,893.164,522.169,104.595,18.918,82.392,2.724,4.81
2019-05-01,38.032,137.001,9.944,2.933,873.157,493.063,111.362,19.123,84.847,2.306,4.681
2019-06-01,27.108,29.384,10.749,3.289,844.356,497.883,111.046,18.725,84.291,2.564,4.825
2019-07-01,34.981,47.829,12.979,3.189,846.101,548.034,118.416,20.957,89.058,2.1,5.173
2019-08-01,36.817,43.808,12.443,3.347,854.488,497.676,119.694,20.21,89.539,2.21,5.448
2019-09-01,39.766,54.259,11.201,3.207,814.112,540.988,114.389,19.728,83.23,1.836,5.301
2019-10-01,37.48,44.082,10.527,3.179,856.199,509.91,114.328,19.466,85.652,3.3,5.039
2019-11-01,44.068,55.376,10.881,3.115,904.177,529.921,116.896,19.057,86.345,3.58,5.121
2019-12-01,49.406,52.404,12.201,3.328,950.303,515.623,121.793,20.19,89.841,3.765,5.085
2020-01-01,49.63,61.099,12.034,3.309,966.696,513.726,145.0,21.333,88.97,4.236,4.513
2020-02-01,53.731,37.236,11.163,3.042,893.904,447.284,132.001,20.615,83.948,3.725,4.17
2020-03-01,45.319,36.881,10.381,3.357,823.06,354.499,132.978,20.793,86.619,3.707,4.343
2020-04-01,29.976,24.162,9.108,3.099,728.756,406.716,123.04,17.092,81.42,3.485,4.583
2020-05-01,30.233,51.503,9.074,3.22,709.143,412.508,108.893,18.393,82.864,3.295,4.581
2020-06-01,32.006,37.235,10.587,3.051,675.663,510.584,112.787,18.367,78.132,2.403,4.522
2020-07-01,31.457,50.157,13.023,3.265,749.141,492.45,121.727,19.408,79.132,2.427,4.512
2020-08-01,34.421,55.422,12.431,3.261,733.735,485.794,120.311,19.404,80.165,2.554,4.682
2020-09-01,39.667,45.567,10.799,3.069,744.809,469.431,109.112,17.725,77.589,2.09,4.462
2020-10-01,34.356,33.55,10.677,3.096,806.427,478.651,114.681,19.056,81.361,3.604,4.929
2020-11-01,39.222,46.047,10.086,3.022,760.835,490.945,111.741,18.0,81.955,3.679,4.879
2020-12-01,53.005,47.749,11.308,3.061,860.758,546.045,126.064,18.654,86.713,3.983,5.216
2021-01-01,52.186,56.441,10.883,3.427,873.813,550.72,125.428,19.715,86.264,4.318,4.98
2021-02-01,65.209,76.24,9.669,2.895,811.082,558.365,102.023,17.063,75.565,3.526,4.069
2021-03-01,49.956,56.312,9.452,3.319,800.683,502.707,109.025,19.405,83.639,4.015,4.811
2021-04-01,38.573,52.014,7.95,3.224,757.925,442.371,107.018,17.416,83.066,3.539,4.25
2021-05-01,30.685,47.959,7.975,3.149,766.526,480.61,109.851,17.889,85.416,3.487,4.455
2021-06-01,33.776,38.54,9.7,3.22,774.068,409.745,116.24,18.052,81.978,2.297,4.631
2021-07-01,35.434,47.214,10.825,3.52,845.331,428.427,124.583,19.078,86.655,2.51,4.758
2021-08-01,39.628,41.195,11.465,3.487,790.798,413.426,122.013,19.192,85.3,2.521,4.592
2021-09-01,43.484,33.864,9.707,3.363,819.561,432.519,110.674,18.843,82.393,2.597,4.327
2021-10-01,46.174,54.928,9.47,3.113,800.49,466.414,113.522,18.63,82.09,3.8,4.514
2021-11-01,50.182,47.723,9.468,3.218,865.4,424.687,116.495,19.176,79.878,4.015,4.517
2021-12-01,48.63,61.677,10.068,3.373,794.612,445.483,122.32,19.288,86.295,4.379,5.012
2022-01-01,56.029,168.481,11.311,6.27,881.08,539.807,124.023,19.443,82.552,4.197,3.013
2022-02-01,55.307,56.746,9.989,5.822,761.857,514.645,108.16,17.446,75.294,3.58,2.693
2022-03-01,37.039,57.272,10.175,6.111,845.38,599.496,115.382,18.779,78.418,4.371,2.691
2022-04-01,25.383,51.967,9.27,6.111,765.16,603.44,108.148,17.347,78.317,3.801,2.462
2022-05-01,26.885,64.751,9.39,6.279,823.56,631.763,110.939,18.721,80.559,3.803,2.591
2022-06-01,41.539,47.996,9.905,6.413,781.372,608.187,111.984,18.219,79.388,2.422,2.797
2022-07-01,44.236,66.228,11.689,6.54,786.518,629.59,120.685,19.34,82.505,2.207,2.889
2022-08-01,46.404,48.179,11.958,6.441,802.775,580.908,121.816,19.169,81.075,2.512,2.542
2022-09-01,46.749,24.801,10.141,6.204,751.135,561.541,110.987,17.618,74.354,2.134,2.429
2022-10-01,45.775,27.576,9.044,6.352,790.769,629.78,111.539,18.148,74.27,3.451,2.446
2022-11-01,51.766,34.981,9.543,6.367,745.955,642.348,114.656,17.7,76.8,3.628,2.603
2022-12-01,57.492,181.267,10.924,6.149,827.52,899.722,117.129,17.988,77.839,4.181,2.397
2023-01-01,51.306,94.597,10.306,6.063,807.627,605.62,119.555,19.256,79.236,3.666,2.216
2023-02-01,44.271,68.145,9.481,5.48,693.929,526.874,107.428,18.119,69.287,3.088,2.095
2023-03-01,39.095,41.82,9.842,5.767,713.732,619.854,117.154,20.195,75.449,3.287,2.085
2023-04-01,35.615,18.289,8.736,5.62,663.535,566.669,105.572,18.848,68.121,2.98,1.797
2023-05-01,27.789,25.459,8.961,6.146,690.815,424.871,112.535,19.58,73.258,3.137,1.866
2023-06-01,22.192,27.125,9.616,6.122,671.746,406.203,116.712,19.477,67.159,2.023,2.017
2023-07-01,25.542,28.839,11.234,6.401,717.916,429.306,121.521,20.054,71.401,1.847,2.104
2023-08-01,26.392,29.009,10.702,6.359,676.913,474.348,121.512,20.103,73.508,1.792,2.105
2023-09-01,26.985,32.106,10.201,5.888,671.288,441.78,117.219,21.521,71.037,1.623,1.972
2023-10-01,27.474,30.453,9.504,5.992,668.231,438.445,113.803,21.461,69.091,2.882,2.221
2023-11-01,33.585,51.789,9.745,6.113,690.913,463.712,117.295,18.256,74.126,2.969,2.708
2023-12-01,39.497,134.52,10.573,6.53,717.684,493.777,125.586,19.447,75.791,3.663,2.772
2024-01-01,53.515,121.231,11.2,6.222,780.37,646.475,131.349,19.344,73.398,3.399,1.956
2024-02-01,39.077,60.854,10.214,5.637,698.482,422.171,113.938,17.423,66.072,3.169,1.741
2024-03-01,35.857,81.437,10.439,5.751,792.169,407.802,115.103,18.238,72.838,3.209,1.833
2024-04-01,30.481,60.744,8.648,5.595,658.847,459.579,112.732,16.058,71.618,3.219,1.743
2024-05-01,18.558,86.178,8.846,5.931,657.903,459.562,113.026,19.09,71.5,3.299,1.479
2024-06-01,28.748,96.038,9.559,5.713,689.026,483.785,109.745,17.541,66.521,1.724,1.768
2024-07-01,30.953,Not Meaningful,10.375,5.987,726.401,431.115,116.756,17.838,69.457,1.868,2.635
2024-08-01,32.053,16.994,10.425,5.999,735.908,448.471,120.617,18.535,73.846,1.686,1.863
2024-09-01,31.32,13.807,9.38,5.27,683.393,393.616,112.821,16.055,72.153,1.672,1.494
