Month,"Coal Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Petroleum Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Waste Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Coal Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Petroleum Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Other Fossil Gases Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Wood Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Waste Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Other Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector"
1993-05-01,101.302,88.349,4.054,2.816,2342.033,2144.212,82.806,25.194,54.263,3.85,6.8
1993-06-01,114.947,119.162,6.191,2.859,2457.059,2905.243,90.555,24.381,58.156,3.908,6.581
1993-07-01,132.833,187.308,8.117,2.743,2412.434,4127.543,99.645,25.194,70.214,3.751,6.8
1993-08-01,131.508,180.897,8.674,2.28,2519.263,4151.232,103.183,25.194,119.935,3.117,6.8
1993-09-01,112.204,136.2,6.276,2.789,2440.039,3576.884,92.275,24.381,106.492,3.813,6.581
1993-10-01,109.586,110.295,5.699,2.757,2481.565,2889.953,96.46,25.194,109.119,3.769,6.8
1993-11-01,110.829,109.607,5.062,2.573,2426.025,2819.498,94.528,24.381,117.206,3.518,6.581
1993-12-01,121.02,141.182,4.24,2.75,2382.47,3677.339,95.744,25.194,114.197,3.76,6.8
1994-01-01,125.563,323.762,4.113,2.298,2383.965,5932.678,100.267,25.147,155.425,2.745,7.589
1994-02-01,107.629,153.153,3.609,2.429,2347.946,4040.887,93.77,22.713,109.784,2.901,6.854
1994-03-01,108.687,117.866,4.499,2.865,2416.087,3520.139,96.818,25.147,110.629,3.421,7.589
1994-04-01,98.725,117.05,4.935,2.567,2427.169,3202.909,91.396,24.335,95.578,3.065,7.344
1994-05-01,103.731,118.94,5.227,3.159,2425.184,2871.841,89.619,25.147,55.996,3.773,7.589
1994-06-01,120.248,182.544,7.708,3.088,2527.109,3986.058,99.074,24.335,71.86,3.688,7.344
1994-07-01,125.772,158.352,8.771,2.905,2475.527,3835.514,102.126,25.147,122.857,3.47,7.589
1994-08-01,124.445,104.339,9.247,2.859,2630.438,2659.775,106.057,25.147,102.415,3.415,7.589
1994-09-01,109.257,87.682,7.162,2.636,2519.434,2281.01,100.401,24.335,93.583,3.149,7.344
1994-10-01,105.972,80.891,6.387,3.147,2566.234,2133.381,98.644,25.147,116.766,3.759,7.589
